Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,12120.77,54332.43,445981.54,60101.21,71510.709,577542.66,0.0,230733.2,30726.28,61097.47,91823.75,95487.17,326220.37,198638.19,195258.61,3.76,4737.98,4737.98,983638.7,17479.04,983638.7,535.5,1372.24,96521.3,37489.64,54239.15,576479.25,16.0,-243998.34,4792.51,119761.169,138536.97999999998,658141.48,0.0,331743.88,12120.77,331743.88,0.0,57731.73,40252.69,61097.47,800797.8400000001,40784.43,-3365.73,531.74,117645.51,542502.8400000001,542502.8400000001,288986.33900000004,SAR GIRONA SA_resum
2000-01-01,6131.320000000001,54332.43,372518.029,60101.21,68882.76,577542.66,0.0,143671.11000000002,38607.12,33099.738999999994,71706.85900000001,109537.29,253208.399,228913.83,221691.3,1296.74,2055.46,2055.46,1001766.33,13026.79,1001766.33,11073.45,2481.4500000000003,125772.29,11860.41,109119.37,581299.75,16.0,-243998.34,4792.509,119309.63,168812.62,658141.48,0.0,263245.159,6131.320000000001,263245.159,0.0,33525.738999999994,20498.949,33099.738999999994,800797.8400000001,30275.64,426.0,9776.71,118621.49,498290.32,498290.32,305656.31,SAR GIRONA SA_resum
2001-01-01,875.9,54332.43,463049.75,60105.0,89805.32,577542.66,0.0,147923.61000000002,42542.76,65995.08,108537.84,175905.52,323829.13,276176.39,255159.4,2241.42,499.54,499.54,1247257.23,20255.38,1247257.23,93.49,4170.33,114705.52,6743.96,103169.05,714678.4,16.0,-243998.34,4792.509,139220.62,216071.39,658141.48,0.0,300702.98000000004,875.9,300702.98000000004,0.0,69665.87000000001,49410.489,65995.08,800797.8400000001,47262.56,3670.79,-2147.9300000000003,138935.94999999998,577755.2699999999,577755.2699999999,365719.639,SAR GIRONA SA_resum
2002-01-01,0.0,54332.43,439875.73900000006,60105.0,82382.90999999999,577542.66,0.0,193278.71,36215.99,64741.76,100957.75,142163.2,335441.91000000003,322343.31,277904.39,6.01,222.66,222.66,1171451.88,19785.82,1171451.88,579.31,860.3399999999999,82988.59,2402.42,75193.67000000001,622330.61,16.0,-243998.34,5392.5,104433.829,262238.31,658141.48,0.0,200521.02,0.0,200521.02,0.0,65379.44,45593.62,64741.76,800797.8400000001,46166.92,637.6800000000001,573.3,104396.76,522864.33,522864.33,380295.779,SAR GIRONA SA_resum
2003-01-01,0.0,54332.43,536353.1889999999,60105.0,92448.09,577542.66,0.0,130514.16,31017.57,78714.72,109732.29,216898.34,347412.5,383773.83,283915.61,661.31,34.190000000000005,34.190000000000005,1358048.1700000002,26403.89,1358048.1700000002,6034.29,3780.9,66137.3,285.48,60459.32,746213.97,12.0,-243998.34,5392.5,188940.689,323668.83,658141.48,0.0,218716.66,0.0,218716.66,0.0,82461.43,56057.539,78714.72,800797.8400000001,61430.52,3746.71,5372.98,188711.56,602490.49,602490.49,402801.78,SAR GIRONA SA_resum
2004-01-01,0.0,54332.43,583636.5,60105.0,96406.84,577542.66,0.0,148528.03,26216.11,90993.61,117209.72,120400.49,268928.52,453964.56,317021.43000000005,381.079,5.89,5.89,1358519.89,31531.29,1358519.89,4298.55,6816.83,86720.31,731.63,80596.18000000001,686211.31,12.0,-243998.34,5392.5,314707.98000000004,393859.56,658141.48,0.0,216392.25,0.0,216392.25,0.0,97804.55,66273.26,90993.61,800797.8400000001,70190.73,6810.94,3917.47,314285.83,670356.81,670356.81,444965.449,SAR GIRONA SA_resum
2005-01-01,0.0,54332.43,467221.19,60105.0,120941.53,577542.66,0.0,171347.2,33963.52,97510.65,131474.169,147075.61000000002,318422.81,470942.57,346319.64,300.02,10.2,10.2,1380718.86,38429.37,1380718.86,22662.68,5544.27,159528.64,525.7800000000001,153610.36,678271.64,12.0,-243998.34,5392.5,148798.37999999998,410837.57,658141.48,0.0,155807.26,0.0,155807.26,0.0,103044.72,64615.350000000006,97510.65,800797.8400000001,86978.01,5534.07,22362.66,132932.69,626749.8300000001,626749.8300000001,505700.74,SAR GIRONA SA_resum
2006-01-01,0.0,54332.43,679469.99,60105.0,148310.27000000002,577542.66,0.0,168616.67,36191.57,159131.78,195323.35,169342.87,337959.54,497061.27,373868.86,4713.17,20.46,20.46,1531072.2,51310.64,1531072.2,1613.159,7418.03,127491.37,319.92999999999995,121778.94,714183.19,13.0,-243998.34,5392.5,341510.449,436956.27,658141.48,0.0,309900.09,0.0,309900.09,0.0,166529.34999999998,115218.71,159131.78,800797.8400000001,112118.7,7397.57,-3100.01,340359.16,806961.3600000001,806961.3600000001,573510.2289999999,SAR GIRONA SA_resum
2007-01-01,0.0,54332.43,753682.8200000001,60105.0,189629.89,577542.66,0.0,390627.03,40762.42,184986.91,225749.33,172425.34,563052.37,533928.74,357775.58,286.38,1.4,1.4,1678831.28,55214.46,1678831.28,5912.01,13470.79,123646.27,1902.21,120378.87,827320.8500000001,12.0,-243998.34,1365.1899999999998,190630.449,473823.74,658141.48,0.0,343400.35,0.0,343400.35,0.0,198456.3,143241.84,184986.91,800797.8400000001,148867.47,13469.39,5625.63,189934.14,877329.09,877329.09,602621.3300000001,SAR GIRONA SA_resum
2008-01-01,0.0,54332.43,501464.51,60105.0,157470.59,577542.66,0.0,129773.54,46173.03,142656.36,188829.389,99388.34,174829.44999999998,497226.3,367970.11,0.0,1845.35,1845.35,1378197.5,39113.06,1378340.5,0.0,9599.61,122393.09,9416.15,111611.75,577542.66,11.0,-243998.34,1365.1899999999998,272302.63,437121.3,658141.48,0.0,72298.87000000001,0.0,126631.3,0.0,150410.62,111297.56,142656.36,800797.8400000001,111297.56,7754.26,0.0,162302.63,623857.6,623857.6,566399.11,SAR GIRONA SA_resum
