Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,6950.88,33786.21,192552.94,72121.45,84356.01,302131.92000000004,0.0,84653.89,14988.11,99833.12,114821.23,3616.23,88270.12000000001,159308.9,144976.73,97.4,646.09,646.08,527656.62,29729.1,527656.62,0.01,7.35,46051.36,7012.81,38116.67,205015.11,16.0,-100691.18,921.88,104282.819,87187.45,407144.61,0.0,72344.52,6950.88,72344.52,0.0,99194.39,69465.29,99833.12,438665.11,69367.9,-638.73,-97.39,97453.82,238604.31,238604.31,259707.92,SERVIEXPRES FIGUERES SRL_resum
2000-01-01,76514.23999999999,33786.21,266146.27,72121.45,39366.17,302131.92000000004,0.0,158881.94999999998,17473.08,30503.74,47976.82,60971.68,219853.63,137700.47999999998,218559.22,613.31,3583.98,3583.98,616994.24,9382.75,616994.24,4750.4,219.0,217592.6,85546.2,105461.31,258059.09,16.0,-100691.18,26585.089,46292.64,65579.03,407144.61,0.0,269524.15,76514.23999999999,269524.15,0.0,27138.76,17756.01,30503.74,438665.11,21893.09,-3364.98,4137.09,34029.53,483738.88,483738.88,270892.12,SERVIEXPRES FIGUERES SRL_resum
2001-01-01,57313.66,33786.21,132546.94999999998,72121.45,-16516.06,302131.92000000004,0.0,67579.59,31388.84,-46029.41,-14640.57,45196.87,112776.459,89795.58,323205.68,14582.66,8015.57,8015.52,944755.81,-20024.03,944755.81,698.04,0.6690000000000002,204477.45,73412.29,104480.06,472708.3,16.0,-100691.18,26585.1,19770.49,17674.129999999997,407144.61,0.0,189915.16,57313.66,189915.16,0.0,-54044.310000000005,-34020.28,-46029.41,438665.11,-47904.9,-8014.9,-13884.619,9427.07,337024.4,337024.4,294681.11,SERVIEXPRES FIGUERES SRL_resum
2002-01-01,28730.22,33786.21,165185.47,72121.45,30401.75,302131.92000000004,0.0,68931.93,32242.57,3127.59,35370.16,52782.0,121713.93,87954.75,315510.11,24.35,7000.929999999999,7000.660000000001,1045496.16,-788.93,1045496.16,1196.1899999999998,71.75,176096.7,54752.04,94759.57,542334.25,16.0,-100691.18,26585.089,43471.54,15833.3,407144.61,0.0,224597.2,28730.22,224597.2,0.0,-3801.59,-3012.66,3127.59,438665.11,-1840.82,-6929.18,1171.84,34876.37,341282.17,341282.17,352123.58900000004,SERVIEXPRES FIGUERES SRL_resum
2003-01-01,57617.59,33786.21,207050.21,72121.45,45595.84,302131.92000000004,0.0,66555.83,24608.55,26242.58,50851.13,60887.0,127442.83,108942.03,333987.34,20.01,6953.95,6953.83,1170486.82,8994.56,1170486.82,10705.96,7.27,200485.87,52922.009,120978.77,604852.57,16.0,-100691.18,26585.089,79607.38,36820.58,407144.61,0.0,240976.46,57617.59,240976.46,0.0,19295.9,10301.34,26242.58,438665.11,20987.29,-6946.68,10685.949,70626.73999999999,407536.08,407536.08,395531.57,SERVIEXPRES FIGUERES SRL_resum
2004-01-01,9010.27,33786.21,214265.46,72121.45,35740.13,302131.92000000004,0.0,65077.380000000005,26188.81,18718.92,44907.72899999999,42786.04,107863.42,118493.35,352211.25,139.84,5287.38,5187.27,1175083.13,4093.42,1175083.13,351.469,1.569,138682.13,44892.429,75738.98,609897.41,16.0,-100691.18,18050.72,106402.04,46371.9,407144.61,0.0,225443.97,9010.27,225443.97,0.0,13433.11,9339.69,18718.92,438665.11,9551.32,-5285.81,211.629,99757.75,352947.59,352947.59,397232.07,SERVIEXPRES FIGUERES SRL_resum
2005-01-01,34138.16,33786.21,213437.71,72121.45,33004.950000000004,302131.92000000004,0.0,69784.37000000001,33438.51,2894.82,36333.33,41280.0,111064.37,118059.79,378011.4,67.89,3784.36,3783.75,1135434.8,-185.8,1135434.8,335.36,2.71,150043.43,63987.65,77501.05,549290.0,16.0,-100691.18,8554.729000000001,102373.34,45938.34,407144.61,0.0,211283.19,34138.16,211283.19,0.0,-886.8299999999999,-701.03,2894.82,438665.11,-433.56,-3781.65,267.47,96336.84,363481.14,363481.14,414614.3,SERVIEXPRES FIGUERES SRL_resum
2006-01-01,31201.24,33786.21,167319.07,72121.45,33095.65,302131.92000000004,0.0,67697.35,35014.0,3322.1,38336.1,33324.0,101021.35,116141.44,337686.65,1.05,5562.58,5562.45,1009121.71,-238.19,1009121.71,84.74000000000001,0.25,137466.94999999998,45320.63,85395.22,464184.06,16.0,-100691.18,6751.1,66297.72,44019.99,407144.61,0.0,157443.34,31201.24,157443.34,0.0,-2240.23,-2002.04,3322.1,438665.11,-1918.35,-5562.33,83.69,89336.485,304786.02,304786.02,376106.56,SERVIEXPRES FIGUERES SRL_resum
2007-01-01,8442.140000000001,33786.21,121809.53,72121.45,-39917.619,302131.92000000004,0.0,34864.189999999995,23034.94,-34168.52,-11133.579,4600.0,39464.19,53188.880000000005,328336.45,47294.05,2603.9,2603.88,815117.56,-20984.18,815117.56,13.41,116.32,87401.52,12246.1,70207.36,350134.45,12.0,-100691.18,4948.059,82345.34,-18932.57,407144.61,0.0,147580.03,8442.140000000001,147580.03,0.0,-36656.1,-15671.919,-34168.52,438665.11,-62952.56,-2487.58,-47280.64,82336.13,209211.05,209211.05,270038.53,SERVIEXPRES FIGUERES SRL_resum
2008-01-01,1041.079,33786.21,82540.38,72121.45,35713.850000000006,302131.92000000004,0.0,11895.47,12657.81,31520.5,44178.310000000005,4600.0,-17290.738999999998,76244.92,293795.62,0.0,854.53,854.08,740797.03,7736.6,740797.03,0.0,126.67,108521.2,141.31,63583.46,302131.92000000004,10.0,-100691.18,44796.43,66044.90999999999,4123.469,407144.61,0.0,79989.37000000001,1041.079,113775.58,0.0,30792.64,23056.04,31520.5,438665.11,23056.04,-727.8599999999999,0.0,66044.90999999999,191061.58,191061.58,338100.15,SERVIEXPRES FIGUERES SRL_resum
