Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,458670.33,573.64,7894.25,63106.27,44105.18,0.0,0.0,120202.42,17534.3,69155.1,86689.4,0.0,120202.42,112325.27,0.0,0.0,25362.9,25362.9,95723.2,17230.8,95723.2,0.0,9.48,571238.2,4515.96,554840.43,0.0,0.0,-41493.22899999999,11881.809,7894.25,49219.0,49602.259,0.0,8136.860000000001,458670.33,8136.860000000001,0.0,43801.68,26570.88,69155.1,46800.0,26570.88,-25353.42,0.0,7894.25,579132.4500000001,579132.4500000001,86698.88,SPIRAL CONCEPT SL_resum
2000-01-01,393815.66,573.64,130139.92,63106.27,57703.02,0.0,0.0,120202.42,18016.74,78344.07,96360.81,0.0,120202.42,152011.55,0.0,0.0,21653.68,21653.68,101781.4,17008.4,101781.4,0.0,4.29,556076.03,5437.04,538757.1699999999,0.0,0.0,-41493.22899999999,11881.819,9937.5,88905.28,49602.259,0.0,140388.73,393815.66,140388.73,0.0,56694.68,39686.28,78344.07,46800.0,39686.28,-21649.39,0.0,9937.49,686215.9400000001,686215.9400000001,96365.1,SPIRAL CONCEPT SL_resum
2001-01-01,326392.99000000005,573.64,50330.18,63105.0,55760.74,0.0,0.0,42300.0,18122.52,81037.66,99160.18,0.0,42300.0,189649.77,0.0,0.0,27275.37,27275.37,104787.66,16130.67,104787.66,0.0,6.6,615855.93,4136.8,521934.9,0.0,0.0,-41493.22899999999,89784.23,8030.18,126544.769,49602.259,0.0,150143.34999999998,326392.99000000005,150143.34999999998,0.0,53768.89,37638.22,81037.66,46800.0,37638.22,-27268.77,0.0,8030.18,666186.11,666186.11,99166.78,SPIRAL CONCEPT SL_resum
2002-01-01,254965.51,573.64,26666.17,63105.0,59873.26,0.0,0.0,21150.0,17720.64,82053.8,99774.44,0.0,21150.0,231802.43,0.0,0.0,21812.480000000003,21812.480000000003,108123.57,18093.07,108123.57,0.0,4.37,619285.31,3238.4190000000003,505112.65,0.0,0.0,-41493.22899999999,110934.24,5516.169000000001,168697.43,49602.259,0.0,159183.54,254965.51,159183.54,0.0,60245.69,42152.62,82053.8,46800.0,42152.62,-21808.11,0.0,5516.17,645951.48,645951.48,99778.81,SPIRAL CONCEPT SL_resum
2003-01-01,502450.45,573.64,319165.73000000004,63105.0,58389.76,0.0,0.0,304281.95,17412.5,90258.2,107670.7,0.0,304281.95,272779.69,0.0,0.0,31991.73,31991.73,115323.76,27318.17,115323.76,7072.99,2955.9700000000003,608972.81,2648.18,488290.39,0.0,0.0,-41493.22899999999,118034.239,14883.779,209674.69,49602.259,0.0,152908.4,502450.45,152908.4,0.0,61222.44,33904.27,90258.2,46800.0,40977.26,-29035.76,7072.99,14883.78,928138.54,928138.54,117699.659,SPIRAL CONCEPT SL_resum
2004-01-01,370595.9,573.64,563998.51,63105.0,191494.79,0.0,0.0,496581.51,10664.38,45770.17,56434.549,0.0,496581.51,453610.1,0.0,0.0,24152.07,24152.07,87015.0,37848.42,87015.0,186806.7,10254.03,485115.13,2205.16,364875.73,0.0,0.0,-41493.22899999999,118034.24,67417.0,390505.1,49602.259,0.0,224907.64,370595.9,224907.64,0.0,31872.13,-5976.289,45770.17,46800.0,180830.41,-13898.04,186806.7,67417.0,1049113.6390000002,1049113.6390000002,253495.28,SPIRAL CONCEPT SL_resum
2005-01-01,316894.67,573.64,1002247.23,63105.0,56499.46,0.0,0.0,1000252.91,10664.38,2203.27,12867.65,0.0,1000252.91,499445.18,0.0,0.0,13315.6,13315.6,48105.0,14684.21,48105.0,51986.0,19645.62,369440.15,1762.14,249643.77,0.0,0.0,-41493.22899999999,118034.24,1994.319,436340.18,49602.259,0.0,555347.53,316894.67,555347.53,0.0,8533.29,-6150.919,2203.27,46800.0,45835.08,6330.02,51986.0,1994.32,1371687.38,1371687.38,84499.27,SPIRAL CONCEPT SL_resum
2006-01-01,269598.43000000005,573.64,1049331.8,63105.0,-10567.27,0.0,0.0,1046204.11,10664.38,5286.650000000001,15951.029,0.0,1046204.11,478213.53,0.0,0.0,27556.49,27556.49,45600.0,692.13,45600.0,0.0,1730.32,358775.77,1319.12,239422.41,0.0,0.0,-41493.22899999999,118034.24,3127.69,415108.53,49602.259,0.0,660295.61,269598.43000000005,660295.61,0.0,-20539.52,-21231.65,5286.650000000001,46800.0,-21231.65,-25826.17,0.0,3127.69,1408107.57,1408107.57,17681.35,SPIRAL CONCEPT SL_resum
2007-01-01,221355.91,573.64,1083315.48,63105.0,-12600.69,0.0,0.0,1076582.26,2998.3300000000004,18863.51,21861.839,0.0,1076582.26,462614.51,0.0,0.0,34698.32,34698.32,46800.0,-1570.315,46800.0,0.0,235.79,357027.44,876.1,236867.1,0.0,0.0,-41493.22899999999,119284.24,6733.219,399509.51,49602.259,0.0,756372.5,221355.91,756372.5,0.0,-15599.02,-15599.02,18863.51,46800.0,-15599.02,-34462.53,0.0,6733.22,1440342.92,1440342.92,22097.629,SPIRAL CONCEPT SL_resum
2008-01-01,174565.81,573.64,222722.11,63105.0,-3390.25,0.0,0.0,124521.03,8109.03,-2802.26,5306.769,0.0,123947.39,1220240.21,0.0,0.0,12529.85,12529.85,46800.0,-3832.76,46800.0,0.0,0.07,1209440.0,433.08,229201.09,0.0,0.0,-41493.22899999999,979805.83,98201.08,1157135.21,49602.259,0.0,36782.45,174565.81,37356.09,0.0,-15332.04,-11499.28,-2802.26,46800.0,-11499.28,-12529.78,0.0,3546.14,1432162.11,1432162.11,5306.839,SPIRAL CONCEPT SL_resum
