Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,86807.82,166789.4,169711.04,3606.07,40028.0,798534.6799999999,0.0,114000.37,9705.41,33540.33,43245.74,44381.56,158381.93,44783.94,60720.91,0.0,3488.52,3488.52,461838.32,8042.91,471883.54,0.0,270.77,33665.21,12390.95,21221.31,319096.43000000005,2.0,-98970.26,52.949,11329.11,41177.87,356398.35,2129.92,158592.31,86807.82,158592.31,0.0,30322.59,30322.59,33540.33,418498.569,30322.59,-3217.75,0.0,10733.85,203376.25,203376.25,104237.43,SUBMINISTRES INDUSTRIALS PRODUCTES ANTIDESGAST SL_resum
2000-01-01,86807.82,166789.4,169711.04,3606.07,40028.0,798534.6799999999,0.0,114000.37,9705.41,33540.33,43245.74,44381.56,158381.93,44783.94,60720.91,0.0,3488.52,3488.52,461838.32,8042.91,471883.54,0.0,270.77,33665.21,12390.95,21221.31,319096.43000000005,2.0,-98970.26,52.949,11329.11,41177.87,356398.35,2129.92,158592.31,86807.82,158592.31,0.0,30322.59,30322.59,33540.33,418498.569,30322.59,-3217.75,0.0,10733.85,203376.25,203376.25,104237.43,SUBMINISTRES INDUSTRIALS PRODUCTES ANTIDESGAST SL_resum
2001-01-01,86807.82,166789.4,243215.08,3606.07,37825.4,798534.6799999999,0.0,135020.6,11609.92,39087.99,50697.909,88871.11,223891.71,70999.42,83670.61,854.74,4100.89,4100.89,579358.52,8042.91,589478.06,124.78,1.23,131033.13,29476.16,101556.98,391220.41,3.0,-98970.26,-0.009,19323.369,67393.349,356398.35,2129.92,216440.98,86807.82,216440.98,0.0,34988.340000000004,26945.429,39087.99,418498.569,26215.480000000003,-4099.649,-729.9599999999999,17138.53,374248.22,374248.22,133639.81,SUBMINISTRES INDUSTRIALS PRODUCTES ANTIDESGAST SL_resum
2002-01-01,104971.14,166789.4,265892.88,3606.07,55618.84,798534.6799999999,0.0,179642.37,17455.24,54143.47,71598.70999999999,73077.31,252719.68,109165.01,103716.98,2586.16,7129.429999999999,7018.429999999999,782162.69,8842.79,795488.07,2159.8900000000003,418.619,160411.34,67010.73999999999,93400.6,575762.62,3.0,-98970.26,0.0,13173.2,105558.939,356398.35,2129.92,212168.07,104971.14,212168.07,0.0,47432.66,38589.87,54143.47,418498.569,38163.6,-6710.81,-426.27,8104.89,426304.22,426304.22,175197.039,SUBMINISTRES INDUSTRIALS PRODUCTES ANTIDESGAST SL_resum
2003-01-01,83411.43999999999,166789.4,305146.54,33536.47,31749.769,798534.6799999999,0.0,185210.6,28227.19,31430.39,59657.58,75198.11,260408.71,112691.93,120074.76,564.47,5395.37,5395.37,848768.1799999999,22474.480000000003,859380.2,245.25,281.26,138561.11000000002,50010.44,88550.67000000001,621604.7699999999,3.0,-98970.26,0.0,44737.829,79155.459,356398.35,2129.92,247604.28,83411.43999999999,247604.28,0.0,26316.28,3841.799,31430.39,418498.569,3522.58,-5114.110000000001,-319.22,42221.77,443707.65,443707.65,179694.37999999998,SUBMINISTRES INDUSTRIALS PRODUCTES ANTIDESGAST SL_resum
2004-01-01,76762.77,166789.4,300854.02,33536.47,53164.66,798534.6799999999,0.0,180969.2,23546.36,45760.83,69307.19,73952.75,254921.95,142310.23,145245.38999999998,37.54,3562.23,3562.23,962464.03,12693.55,969875.67,0.0,150.79,120467.65,38144.24,82323.40999999999,704019.49,4.0,-98970.26,0.0,45932.07,108773.76,356398.35,2129.92,202248.67,76762.77,202248.67,0.0,42349.39,29655.84,45760.83,418498.569,29618.3,-3411.44,-37.54,44484.9,421321.67,421321.67,214665.83,SUBMINISTRES INDUSTRIALS PRODUCTES ANTIDESGAST SL_resum
2005-01-01,60212.82,166789.4,326794.02900000004,33536.47,58268.42,798534.6799999999,0.0,232819.96,21252.18,53701.04,74953.22,75118.43999999999,307938.4,179326.47,153763.38999999998,15.95,3206.17,3206.17,993387.47,15864.11,993787.78,2364.34,37.09,129935.6,52431.99,77503.61,702092.19,4.0,-98970.26,0.0,18855.629,145790.0,356398.35,2129.92,217190.34,60212.82,217190.34,0.0,50531.96,34667.850000000006,53701.04,418498.569,37016.24,-3169.08,2348.3900000000003,17001.5,456729.63,456729.63,231102.09,SUBMINISTRES INDUSTRIALS PRODUCTES ANTIDESGAST SL_resum
2006-01-01,62916.8,166789.4,399303.64,33536.47,62925.34,798534.6799999999,0.0,232151.43,25796.56,54450.02,80246.58,88043.04,320194.47000000003,216455.25,172173.78,498.09,2918.14,2918.14,1091398.84,15912.34,1092879.63,1563.34,443.99,125188.29,43869.15,81319.14,746488.14,6.0,-98970.26,0.0,79109.17000000001,182918.78,356398.35,2129.92,245119.88,62916.8,245119.88,0.0,51975.87,36063.53,54450.02,418498.569,37128.78,-2474.15,1065.25,78361.23,524491.93,524491.93,253929.6,SUBMINISTRES INDUSTRIALS PRODUCTES ANTIDESGAST SL_resum
2007-01-01,49072.28999999999,166789.4,438176.38,33536.47,82761.93999999999,798534.6799999999,0.0,230510.61,29688.01,65413.98,95101.99,80082.8,310593.41000000003,269529.2,210406.62,0.0,2481.4300000000003,2481.4300000000003,1222723.1800000002,17691.309999999998,1223041.1190000002,5472.320000000001,2360.3700000000003,134537.66,29159.61,104616.71,830592.87,6.0,-98970.26,761.3389999999999,127582.97,235992.73,356398.35,2129.92,254112.55,49072.28999999999,254112.55,0.0,65292.92,47601.61,65413.98,418498.569,53073.93,-121.06,5472.320000000001,127582.97,572714.04,572714.04,313341.3,SUBMINISTRES INDUSTRIALS PRODUCTES ANTIDESGAST SL_resum
2008-01-01,33251.16,166789.4,467739.46,33536.47,82697.6,798534.6799999999,1750.9,216379.2,34544.810000000005,62100.22,96645.03,78877.23999999999,128467.04,317681.99000000005,222883.28,0.0,0.0,1989.4080000000004,1217033.25,16121.17,1217033.25,0.0,2173.74,103516.65,21115.763333333332,102755.31,798534.6799999999,3.0,-98970.26,761.3399999999999,172483.02,284145.51900000003,356398.35,2129.92,49652.74,35381.08,218193.04,0.0,64273.96,48152.78999999999,62100.22,418498.569,48152.78999999999,2173.74,0.0,93112.19,571256.11,571256.11,321702.05,SUBMINISTRES INDUSTRIALS PRODUCTES ANTIDESGAST SL_resum
