Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,5426.54,27011.31,91205.01,60461.82,13520.04,86828.18900000001,0.0,8853.7,2424.92,11368.93,13793.85,73400.17000000001,82253.87000000001,92180.13,131181.79,0.0,603.91,603.91,255132.68,476.0,255132.68,0.0,27.09,11285.67,19412.69,8280.61,48578.37,8.0,-84967.469,3005.059,8951.139000000001,31718.31,311461.95900000003,0.0,4884.02,5426.54,4884.02,0.0,10792.11,10792.11,11368.93,321361.4,11095.12,-576.8199999999999,0.0,0.0,102490.68,102490.68,145305.74000000002,SUREDA FUSTERIA EBENISTERIA SL_resum
2000-01-01,5426.54,27011.31,91205.01,60461.82,13520.04,86828.18900000001,0.0,8853.7,2424.92,11368.93,13793.85,73400.17000000001,82253.87000000001,92180.13,131181.79,0.0,603.91,603.91,255132.68,476.0,255132.68,303.01,27.09,11285.67,19412.69,8280.61,48578.37,8.0,-84967.469,3005.059,8951.139000000001,31718.31,311461.95900000003,0.0,4884.02,5426.54,4884.02,0.0,10792.11,10792.11,11368.93,321361.4,11095.12,-576.8199999999999,303.01,8951.15,102490.68,102490.68,145305.74000000002,SUREDA FUSTERIA EBENISTERIA SL_resum
2001-01-01,19224.7,27011.31,159572.44999999998,60461.82,3321.25,86828.18900000001,0.0,30056.65,2424.92,1732.12,4157.04,121403.0,151459.65,93076.46,139512.11000000002,0.0,967.09,967.09,293409.14,476.0,293416.74,0.0,131.3,28273.45,19412.69,5855.7,87138.90999999999,8.0,-84967.469,3005.06,8112.8,32614.64,311461.95900000003,0.0,75544.73,19224.7,75544.73,0.0,896.3299999999999,896.3299999999999,1732.12,321361.4,896.3299999999999,-835.7900000000001,0.0,6235.2,187845.89,187845.89,143800.449,SUREDA FUSTERIA EBENISTERIA SL_resum
2002-01-01,12684.85,27011.31,195272.11,60460.6,3275.23,86828.18900000001,0.0,54197.64,2424.92,1791.36,4216.28,131338.97,185536.61,93926.79,165989.55,0.0,1118.07,1118.07,312652.8,476.0,312652.8,154.05,22.97,25848.53,19412.69,3430.78,91875.01,12.0,-84967.469,3005.06,9735.5,33466.189,311461.95900000003,0.0,114509.0,12684.85,114509.0,0.0,696.26,696.26,1791.36,321361.4,850.31,-1095.1,154.05,8597.4,221120.64,221120.64,170382.84999999998,SUREDA FUSTERIA EBENISTERIA SL_resum
2003-01-01,10585.240000000002,27011.31,204590.759,60461.82,6523.26,86828.18900000001,0.0,34667.78999999999,5202.160000000001,3523.0,8725.16,163215.25,197883.04,95247.89,161986.17,95.49,2135.5,2135.5,283090.88,476.0,283210.99000000005,372.06,133.03,22401.78,17368.1,2028.62,56823.82,11.0,-84967.469,3005.06,6707.719,34786.07,311461.95900000003,0.0,121159.41,10585.240000000002,121159.41,0.0,1520.53,1044.53,3523.0,321361.4,1321.1,-2002.47,276.57,5879.39,226992.54,226992.54,171120.93,SUREDA FUSTERIA EBENISTERIA SL_resum
2004-01-01,21096.69,27011.31,203564.46,60461.82,5844.2,86828.18900000001,0.0,20616.1,5202.160000000001,1141.57,6343.73,202140.4,202140.4,95889.93,178435.27000000002,0.09,1068.11,1068.11,281782.18,275.16,281782.18,841.58,2.25,32420.52,27885.34,1530.12,53396.51,10.0,-84967.469,3005.06,1424.059,35428.109,311461.95900000003,0.0,118998.36,21096.69,118998.36,0.0,75.71000000000001,-199.45,1141.57,321361.4,642.04,-1065.86,841.49,0.0,235984.98,235984.98,185622.74,SUREDA FUSTERIA EBENISTERIA SL_resum
2005-01-01,22256.56,27011.31,148199.24000000002,60461.82,6608.120000000001,86828.18900000001,0.0,6564.41,5202.160000000001,3986.88,9189.04,140925.15,147489.56,97295.89,180630.37,610.42,1404.15,1404.15,378863.22,602.56,378863.22,35.87,0.34,39268.36,33422.309,2840.99,152099.38999999998,9.0,-84967.469,3005.06,709.6790000000001,36834.07,311461.95900000003,0.0,67915.15000000001,22256.56,67915.15000000001,0.0,2583.07,1980.51,3986.88,321361.4,1405.96,-1403.81,-574.55,0.0,187467.6,187467.6,189245.199,SUREDA FUSTERIA EBENISTERIA SL_resum
2006-01-01,106042.49,27011.31,217332.8,60461.82,20883.04,86828.18900000001,0.0,87155.95,17808.52,7243.21,25051.73,129873.12,217029.07,100370.41,178085.66,75.0,2776.3,2776.3,380043.1,1317.65,380043.1,0.0,0.26,170858.61000000002,39935.34,122718.21,106085.44,9.0,-84967.469,8205.059,303.73,39908.59,311461.95900000003,0.0,181778.51,106042.49,181778.51,0.0,4467.17,3149.52,7243.21,321361.4,3074.52,-2776.04,-75.0,0.0,388191.41,388191.41,203062.65,SUREDA FUSTERIA EBENISTERIA SL_resum
2007-01-01,150111.02,27011.31,276272.319,60461.82,23331.4,86828.18900000001,0.0,87927.70999999999,20432.82,11492.12,31924.94,188252.2,276179.91000000003,103268.99,172240.61000000002,160.0,8090.59,8090.59,347857.22000000003,966.2,347857.22000000003,623.2,0.05,176198.8,42135.34,125858.4,45591.93,9.0,-84967.469,8205.059,92.409,42807.17,311461.95900000003,0.0,199091.11,150111.02,199091.11,0.0,3401.58,2435.38,11492.12,321361.4,2898.58,-8090.54,463.2,0.0,452471.12,452471.12,204628.8,SUREDA FUSTERIA EBENISTERIA SL_resum
2008-01-01,95748.69,27011.31,212777.73,60460.6,22434.78,86828.18900000001,0.0,10521.5,20432.82,9899.44,30332.26,202256.23,185766.42,84970.09,206061.67,0.0,7230.160000000001,6911.285,407854.08,667.3199999999999,408189.59,0.0,0.0,156795.66,2200.0,146691.11000000002,289084.42000000004,9.0,-84967.469,7904.55,174.84120000000001,24509.489,311461.95900000003,0.0,161843.3,95748.69,188854.61,0.0,2669.28,2001.96,9899.44,321361.4,2001.96,-7230.160000000001,0.0,0.0,369573.39,369573.39,229163.77,SUREDA FUSTERIA EBENISTERIA SL_resum
