Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,108182.18,22453.61,137785.19,36060.73,11413.86,148974.13,0.0,27591.6,7418.01,18841.14,26259.15,108599.88,136191.47999999998,42933.13,33476.69899999999,1787.49,11382.41,11382.41,186449.01,1712.51,186449.01,37.120000000000005,0.04,41386.07,4348.35,41386.07,99675.91,3.0,-59307.78,0.0,1593.709,6872.399,175369.87,0.0,136238.13,108182.18,136238.13,0.0,7458.73,5746.219,18841.14,185561.95,3995.85,-11382.41,-1750.37,1593.71,179171.26,179171.26,57985.479,TENDALS I ENTAPISSATS CABALLOL SL_resum
2000-01-01,108182.18,22453.61,155494.09,36060.73,12149.96,148974.13,0.0,51307.27,7418.01,17909.58,25327.59,103733.19,155040.46,47665.08,53598.27,590.81,10560.62,10560.62,248328.39,2027.98,248328.39,1.7900000000000005,0.04,188524.2,4348.35,188524.2,131738.67,5.0,-59307.78,0.0,453.629,11604.349,175369.87,0.0,188171.03,108182.18,188171.03,0.0,7348.96,5320.98,17909.58,185561.95,4731.95,-10560.62,-589.02,453.63,344018.29000000004,344018.29000000004,78336.82900000001,TENDALS I ENTAPISSATS CABALLOL SL_resum
2001-01-01,108182.18,22453.61,127580.69,36060.73,16228.78,148974.13,0.0,23831.66,11334.43,19754.1,31088.53,88095.9,111927.56,52559.43,57264.23,0.0,15112.65,15112.65,280354.21,2097.58,280354.21,2350.48,0.04,179093.97,4348.35,179093.97,150965.65,5.0,-59307.78,0.0,15653.13,16498.698999999997,175369.87,0.0,145933.05,108182.18,145933.05,0.0,4641.45,2543.8700000000003,19754.1,185561.95,4894.35,-15112.65,2350.48,15653.13,306674.66,306674.66,90703.239,TENDALS I ENTAPISSATS CABALLOL SL_resum
2002-01-01,108182.18,22453.61,127480.76,36060.73,17091.58,148974.13,0.0,48034.08,12439.27,17691.21,30130.480000000003,77844.0,125878.08,57211.75,69312.89,220.98,11449.36,11449.36,298144.21,1993.89,298144.21,625.2900000000001,0.04,179856.37,4348.35,179856.37,157996.27000000002,5.0,-59307.78,0.0,1602.679,21151.019,175369.87,0.0,141943.2,108182.18,141943.2,0.0,6241.89,4248.0,17691.21,185561.95,4652.31,-11449.32,404.309,1602.6799999999998,307337.13,307337.13,99847.72,TENDALS I ENTAPISSATS CABALLOL SL_resum
2003-01-01,108182.18,22453.61,122739.64,36060.73,20409.76,148974.13,0.0,42950.26,13858.45,21652.88,35511.33,77620.0,120570.26,63763.15,84359.79,2527.64,9775.4,9775.4,338537.75,2807.7,338537.75,9.17,29.566,180296.8,4348.35,180296.8,175593.13,5.0,-59307.78,0.0,2169.3790000000004,27702.42,175369.87,0.0,131091.109,108182.18,131091.109,0.0,11877.48,9069.779,21652.88,185561.95,6551.31,-9775.4,-2518.4700000000003,2169.38,303036.44,303036.44,117352.649,TENDALS I ENTAPISSATS CABALLOL SL_resum
2004-01-01,108182.18,22453.61,112543.18,36060.73,17220.07,148974.13,0.0,38590.53,11616.1,13159.64,24775.739,73359.0,111949.53,69367.12000000001,96414.44,182.95,5570.55,5570.55,368130.57,2401.7,368130.57,599.53,59.092,173245.25,4348.35,173245.25,197931.35,6.0,-59307.78,0.0,593.649,33306.389,175369.87,0.0,108239.13,108182.18,108239.13,0.0,7589.09,5187.39,13159.64,185561.95,5603.969999999999,-5570.55,416.58,593.65,285788.43000000005,285788.43000000005,121606.76,TENDALS I ENTAPISSATS CABALLOL SL_resum
2005-01-01,108182.18,22453.61,102212.0,36060.73,16788.149999999998,148974.13,0.0,36239.42,11793.94,11005.13,22799.07,64843.0,101082.42,74361.33,86013.84,262.61,5496.7,5496.7,349725.19,2140.38,349725.19,1888.77,88.61800000000001,168582.87999999998,4348.35,164234.53,176716.57,5.0,-59307.78,0.0,1129.58,38300.6,175369.87,0.0,88251.37000000001,108182.18,88251.37000000001,0.0,5508.429999999999,3368.05,11005.13,185561.95,4994.21,-5496.7,1626.159,1129.58,270794.88,270794.88,110439.069,TENDALS I ENTAPISSATS CABALLOL SL_resum
2006-01-01,108182.18,22453.61,99110.21,36060.73,18646.76,148974.13,0.0,37929.21,11595.57,9425.04,21020.61,61181.0,99110.209,81412.52,90086.93,108.17,3977.16,2755.3900000000003,326250.72000000003,3021.94,326250.72000000003,4733.42,118.144,158416.61000000002,4035.87,154380.74000000002,165171.68,5.0,-59307.78,0.0,0.0,45351.78999999999,175369.87,0.0,67932.12000000001,108182.18,67932.12000000001,0.0,5447.88,2425.94,9425.04,185561.95,7051.1900000000005,-3977.16,4625.25,3447.385,257526.82,257526.82,114511.02,TENDALS I ENTAPISSATS CABALLOL SL_resum
2007-01-01,108182.18,22453.61,114976.22,36060.73,16762.75,148974.13,0.0,26498.03,11039.3,10419.17,21458.47,82713.0,109211.03,87135.97,79239.64,1069.08,3044.529,2561.04,312944.01,1907.82,312944.01,1178.04,147.67,148298.31,4035.87,144262.44,157928.43,5.0,-59307.78,0.0,5765.1900000000005,51075.24,175369.87,0.0,67956.38,108182.18,67956.38,0.0,7522.31,5614.49,10419.17,185561.95,5723.45,-2896.86,108.96,5765.1900000000005,263274.53,263274.53,100471.25,TENDALS I ENTAPISSATS CABALLOL SL_resum
2008-01-01,118699.2,22453.61,122825.48,36060.73,17140.649999999998,148974.13,0.0,41056.59,12199.740000000002,10192.08,22391.82,76323.0,94925.98,92076.88,103862.35,0.0,3604.1,3604.1,334536.08,1647.07,334536.08,0.0,0.0,157438.57,3026.9,154411.67,131994.13,6.0,-59307.78,0.0,5445.89,56016.149,175369.87,0.0,47034.36,118699.2,69487.97,0.0,6587.98,4940.91,10192.08,185561.95,4940.91,-3604.1,0.0,5445.89,280264.05,280264.05,126254.17,TENDALS I ENTAPISSATS CABALLOL SL_resum
2009-01-01,122528.39,27356.38,131246.87,36060.73,14727.0,119485.24,0.0,58364.4,11880.08,5639.34,17519.420000000002,62772.57,93780.59,94923.8,104114.35,0.0,1899.54,1890.84,293742.62,948.98,293742.62,0.0,56.1,156796.55,8299.77,148496.78,116928.24,5.0,-52623.609,0.0,10109.9,58863.07,168618.039,0.0,43234.850000000006,122528.39,70591.23,0.0,3795.9,2846.92,5639.34,174257.37999999998,2846.92,-1843.44,0.0,10109.9,288043.42000000004,288043.42000000004,121681.17,TENDALS I ENTAPISSATS CABALLOL SL_resum
2010-01-01,136004.62,33171.78,147489.7,36060.73,17179.989,144995.38999999998,0.0,75990.37000000001,14031.740000000002,5495.45,19527.19,56220.46,99039.049,98072.05,108668.26,0.0,1374.43,1374.43,326987.86,1049.42,326987.86,0.0,76.64999999999999,144713.51,5720.35,138993.16,142963.38999999998,5.0,-53797.02,0.0,15278.87,62011.32,176497.02,0.0,24954.76,136004.62,58126.54,0.0,4197.67,3148.25,5495.45,181992.469,3148.25,-1297.78,0.0,15278.87,292203.21,292203.21,128272.099,TENDALS I ENTAPISSATS CABALLOL SL_resum
2011-01-01,128268.92,13392.03,107016.6,36060.73,948.93,89290.6,0.0,45119.9,5162.24,-4070.56,1091.679,61896.7,93624.57,93858.74,102704.89,0.0,1576.57,1576.57,240571.91,-1404.44,240571.91,0.0,29.38,146496.08,4935.120000000001,140156.52,89290.6,4.0,-47484.74,1404.44,19456.64,57798.01,155351.87,0.0,17992.99,128268.92,31385.02,0.0,-5617.75,-4213.309,-4070.56,151281.31,-4213.309,-1547.189,0.0,19456.64,253512.68,253512.68,103825.95,TENDALS I ENTAPISSATS CABALLOL SL_resum
