Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,145028.22,627260.2699999999,613890.25,8263.92,135682.04,2057359.56,15064.8,442096.35,38014.83,169757.76,207772.59,134902.2,576998.55,242320.52,163410.36,1766.61,33950.4,33950.4,1736976.76,41490.47,1741222.24,4523.34,593.599,358709.39,210436.44,143432.31,1136640.02,7.0,-331814.97000000003,4840.64,36891.7,234056.599,733292.23,0.0,585250.91,145028.22,585250.91,0.0,136400.94999999998,94910.48,169757.76,789697.129,97667.21,-33356.809,2756.73,18938.21,972599.65,972599.65,374533.27,TERMOPACK TERMOPLASTICOS Y ENVASES SL_resum
2000-01-01,100404.15,627260.2699999999,996129.55,10457.61,157435.02,2057359.56,15064.8,658969.16,44542.53,230845.77,275388.3,293501.23000000004,952470.39,357406.7,261563.96,22954.4,41609.850000000006,41609.850000000006,2433406.24,53389.65,2437917.17,0.0,0.6100000000000001,332980.57,167333.9,158065.41,1661395.72,10.0,-331814.97000000003,7581.26,43659.16,346949.09,733292.23,0.0,871299.2699999999,100404.15,871299.2699999999,0.0,189236.53,135846.87999999998,230845.77,789697.129,112892.49,-41609.24,-22954.4,32947.78,1329110.12,1329110.12,513998.48,TERMOPACK TERMOPLASTICOS Y ENVASES SL_resum
2001-01-01,172192.84,627260.2699999999,1234060.769,10460.88,251152.669,2057359.56,15064.8,794925.06,63104.83,341543.65,404648.48,377045.05,1171970.11,545454.55,292277.67,0.0,67016.42,67016.02,3555090.35,87437.2,3561444.6,507.36,450.45,528881.99,146621.78,374678.96,2538921.15,8.0,-331814.97000000003,7581.249,62090.659,534993.6699999999,733292.23,0.0,1045295.38,172192.84,1045295.38,0.0,274977.68,187540.479,341543.65,789697.129,188047.84,-66565.97,507.36,41309.78,1762942.76,1762942.76,697883.559,TERMOPACK TERMOPLASTICOS Y ENVASES SL_resum
2002-01-01,105110.91,627260.2699999999,1556438.94,8476.92,365362.25,2057359.56,15064.8,1020528.63,65736.28,489415.1,555151.38,393230.0,1413758.63,826816.92,255725.55,0.0,49265.26,49265.26,3600318.65,141751.97,3606553.6,1228.1,338.53999999999996,491883.15,146941.84,337360.05,2440441.26,8.0,-331814.97000000003,7581.26,142680.30899999998,818340.0,733292.23,0.0,1116394.26,105110.91,1116394.26,0.0,440149.84,298397.87,489415.1,789697.129,299625.97000000003,-49265.26,1228.1,124254.18,2048322.09,2048322.09,812105.03,TERMOPACK TERMOPLASTICOS Y ENVASES SL_resum
2003-01-01,53553.93,627260.2699999999,970463.55,6312.6,157178.31,2057359.56,15064.8,767563.9400000001,41328.11,182518.87,223846.979,186308.81,953872.75,820103.3,248056.62,0.0,35490.61,35490.61,2857777.94,31178.06,2862556.739,0.0,226.63,530773.41,143105.27000000002,380086.88,1996558.13,9.0,-331814.97000000003,7581.26,16590.8,813790.7,733292.23,0.0,627579.73,53553.93,627579.73,0.0,147028.26,115850.2,182518.87,789697.129,115850.2,-35490.61,0.0,627.12,1501236.96,1501236.96,471903.6,TERMOPACK TERMOPLASTICOS Y ENVASES SL_resum
2004-01-01,18340.86,627260.2699999999,1211272.38,6312.6,155810.12,2057359.56,15064.8,939756.89,68116.31,170468.08,238584.389,255962.81,1195719.7,834143.71,285252.54,8216.2,35482.759999999995,35482.759999999995,2710172.14,39311.810000000005,2715712.05,236.5,114.71999999999997,472797.72,0.0,465216.46,1809643.64,10.0,-331814.97000000003,7581.259,15552.68,827831.11,733292.23,0.0,831585.53,18340.86,831585.53,0.0,134985.31999999998,95673.51,170468.08,789697.129,87693.81,-35482.759999999995,-7979.7,137.63,1684070.1,1684070.1,515857.23,TERMOPACK TERMOPLASTICOS Y ENVASES SL_resum
2005-01-01,216195.96,627260.2699999999,1397398.6900000002,6312.6,78425.48,2057359.56,15064.8,954569.03,82112.23999999999,60668.91,142781.15,395746.12,1350315.15,785401.2899999999,322970.17,16935.36,35404.43,35404.43,2789381.79,13497.7,2795833.1,1479.01,2.81,675505.8400000001,506.93,667417.65,1956460.36,12.0,-331814.97000000003,7581.259,47083.54,779088.69,733292.23,0.0,1071307.28,216195.96,1071307.28,0.0,25267.29,11769.59,60668.91,789697.129,-3686.76,-35401.619999999995,-15456.35,259.22,2072904.53,2072904.53,450297.779,TERMOPACK TERMOPLASTICOS Y ENVASES SL_resum
2006-01-01,174040.97999999998,627260.2699999999,1312527.0,6312.6,97170.18,2057359.56,15064.8,1001916.3,78354.45,88582.23,166936.68,282939.54,1284855.84,770952.31,366919.47,10890.36,41523.380000000005,41523.380000000005,2984729.41,18546.64,2990458.53,1193.879,10.873333333333335,598266.63,115.15,590570.22,2134976.589,11.0,-331814.97000000003,7581.26,27671.159,764639.71,733292.23,0.0,965800.34,174040.97999999998,965800.34,0.0,47058.850000000006,28512.21,88582.23,789697.129,18815.73,-41523.380000000005,-9696.48,2324.61,1910793.63,1910793.63,524159.67,TERMOPACK TERMOPLASTICOS Y ENVASES SL_resum
2007-01-01,81258.8,627260.2699999999,1275024.95,6312.6,78992.92,2057359.56,15064.8,818979.3600000001,66816.20999999999,70895.20999999999,137711.41999999998,424817.0,1243796.3590000002,783129.02,360304.0,10890.36,36530.97,36530.97,2926097.92,11810.39,2930970.989,513.22,18.936666666666667,545345.42,62.37,537701.7899999999,2105433.37,10.0,-331814.97000000003,7581.26,31228.589,776816.42,733292.23,0.0,955982.55,81258.8,955982.55,0.0,34364.24,22553.85,70895.20999999999,789697.129,12176.71,-36530.97,-10377.14,335.89,1820370.37,1820370.37,487638.28,TERMOPACK TERMOPLASTICOS Y ENVASES SL_resum
2008-01-01,122764.24,627260.2699999999,1245063.4,6312.6,64916.23,2057359.56,15064.8,753333.1,62846.8,56404.9,119251.7,483402.83,609475.659,785198.4500000001,338630.46,0.0,45291.07,45291.07,2841861.6,9071.4,2847056.69,0.0,27.0,490863.62,0.0,483282.36,2057359.56,10.0,-331814.97000000003,7581.26,8327.467999999999,778885.849,733292.23,0.0,185639.26,122764.24,827964.3300000001,0.0,11140.83,2069.4300000000003,56404.9,789697.129,2069.4300000000003,-45264.07,0.0,12804.996666666666,1735927.02,1735927.02,457909.16,TERMOPACK TERMOPLASTICOS Y ENVASES SL_resum
