Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,279999.28,2595.24,67488.14,34858.7,34287.68,78332.98999999999,0.0,8587.39,18052.19,38995.67,57047.86,55641.55,64228.94,66458.16,37395.92,0.0,15624.269,14579.8,214199.21,6958.07,237809.669,0.0,3.35,373347.14,48422.7,324924.44,124749.4,8.0,-55165.48,0.0,3259.199,31599.460000000003,159188.9,29170.31,94377.83,279999.28,94377.83,0.0,23371.4,16413.329999999998,38995.67,228301.25,16235.49,-15624.27,0.0,24945.49,440835.27,440835.27,93221.47,TON RIELLS SL_resum
2000-01-01,279999.28,2595.24,67488.14,34858.7,34287.68,78332.98999999999,0.0,8587.39,18052.19,38995.67,57047.86,55641.55,64228.94,66458.16,37395.92,1386.03,15624.269,14579.8,214199.21,6958.07,237809.669,1208.1799999999998,3.35,373347.14,48422.7,324924.44,124749.4,8.0,-55165.48,0.0,3259.199,31599.460000000003,159188.9,29170.31,94377.83,279999.28,94377.83,0.0,23371.4,16413.329999999998,38995.67,228301.25,16235.49,-15624.27,-177.849,24945.49,440835.27,440835.27,93221.47,TON RIELLS SL_resum
2001-01-01,246284.76,2595.24,46124.75,34858.7,35239.27,78332.98999999999,0.0,785.22,19797.69,41989.69,61787.380000000005,19501.38,20286.6,81899.73999999999,41213.01,1376.92,19974.49,15912.54,229911.54,6268.620000000001,265070.75,1068.56,3.35,361028.16,33354.8,327673.36,124210.26,4.0,-55165.48,0.0,25838.149,47041.04,159188.9,29170.31,78968.40999999999,246284.76,78968.40999999999,0.0,22018.56,15749.94,41989.69,228301.25,15441.58,-19971.13,-308.36,24945.49,407152.91,407152.91,98633.44,TON RIELLS SL_resum
2002-01-01,357646.53,2595.24,38391.54,34858.7,40588.8,78332.98999999999,0.0,17459.05,22755.88,45501.49,68257.37000000001,20429.460000000003,37888.509,99732.67,46562.23,2915.65,17987.04,17987.04,280379.77,6765.89,319657.62,0.0,0.01,574775.14,17650.37,557124.7699999999,172778.14,6.0,-55165.48,0.0,503.03,64873.97,159188.9,29170.31,155787.47999999998,357646.53,155787.47999999998,0.0,27514.460000000003,20748.57,45501.49,228301.25,17832.920000000002,-17987.03,-2915.65,16318.12,613166.6799999999,613166.6799999999,111903.96,TON RIELLS SL_resum
2003-01-01,588134.7799999999,2595.24,116241.14,34858.7,68363.289,78332.98999999999,0.0,17828.329999999998,64182.1,35056.189999999995,99238.29,64354.12,82182.45,103913.86,59822.16,1350.139,25511.94,25511.94,296354.88,4308.87,339854.49000000005,295.95,1624.5849999999998,892150.23,233912.57,658237.66,134739.97999999998,8.0,-55165.48,0.0,34058.689,69055.16,159188.9,29170.31,316342.73000000004,588134.7799999999,316342.73000000004,0.0,9544.25,5235.38,35056.189999999995,228301.25,4181.189,-25511.94,-1054.189,7690.75,1008391.37,1008391.37,158006.259,TON RIELLS SL_resum
2004-01-01,607269.23,2595.24,111995.57,34858.7,134687.37999999998,78332.98999999999,0.0,5622.83,61891.36,46970.66,108862.02,68455.26,74078.09,176709.88999999998,79586.23999999999,3324.3190000000004,22739.9,22739.9,355933.77,16871.86,398985.57,65512.28,3249.16,1042594.3,270336.0,772258.3,153174.96,14.0,-55165.48,0.0,37917.48,141851.19,159188.9,29170.31,370610.75,607269.23,370610.75,0.0,27479.92,10608.059,46970.66,228301.25,72796.02,-19490.74,62187.96,14865.04,1154589.87,1154589.87,253885.379,TON RIELLS SL_resum
2005-01-01,415309.83,2595.24,107165.33,34858.689999999995,76827.06,78332.98999999999,0.0,8249.887999999999,53390.0,14281.27,67671.27,73509.59,81759.478,200146.94,66545.11,682.5790000000001,19608.31,19608.31,293895.74,12800.3,343503.73000000004,42236.2,10.78,828882.91,235443.37,593439.54,124913.64,6.0,-55165.48,0.0,25405.852,165288.25,159188.9,29170.31,320591.47000000003,415309.83,320591.47000000003,0.0,-5316.26,-18116.559,14281.27,228301.25,23437.06,-19597.53,41553.619,9617.26,936048.24,936048.24,175780.78,TON RIELLS SL_resum
2006-01-01,497319.76,2595.24,166775.139,34858.7,74473.61,78332.98999999999,0.0,43996.92,59309.05,58749.4,118058.45,93685.85,137682.77000000002,215311.5,42697.11,17268.89,19137.66,19137.66,244356.61,7480.56,298407.31,302.27,39.125,917748.2,291675.78,593972.42,84984.73,2.0,-55165.48,32099.999,29092.369,180452.8,159188.9,29170.31,371892.08,497319.76,371892.08,0.0,39611.74,32131.179,58749.4,228301.25,15164.56,-19137.66,-16966.62,12068.94,1084523.34,1084523.34,143788.94,TON RIELLS SL_resum
2007-01-01,345517.33,2595.24,105881.069,34858.7,103078.07,78332.98999999999,0.0,13047.57,71932.38,57390.72,129323.1,82540.2,95587.769,246457.19,42918.36,1536.159,22571.57,22571.57,265778.49000000005,3243.27,309189.44,1038.5,67.47,856402.89,243035.36,581267.53,85688.56,9.0,-55165.48,32100.0,10293.299,211598.49,159188.9,29170.31,370309.44,345517.33,370309.44,0.0,34886.619999999995,31643.35,57390.72,228301.25,31145.69,-22504.1,-497.6590000000001,4935.71,962283.96,962283.96,171811.27000000002,TON RIELLS SL_resum
2008-01-01,463899.47,2595.24,91817.66,34858.7,98484.34,78332.98999999999,7095.18,3323.7,71657.76,69112.35,140770.11000000002,77695.53,78423.989,264913.05,32365.66,0.0,33343.58,33343.58,278509.83,8942.19,306634.24,0.0,0.0,951121.84,245827.59999999998,951121.84,78332.98999999999,9.0,-55165.48,166805.02,10798.43,230054.349,159188.9,29170.31,275266.25,493069.78,284956.67,0.0,35768.77,26826.579,69112.35,228301.25,26826.579,-33343.58,0.0,10798.43,1042939.5,1042939.5,173135.77000000002,TON RIELLS SL_resum
