Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,69522.42,214631.17,1670135.73,60101.21,249037.219,0.0,166801.23,158657.8,103443.14,249396.99,352840.13,51520.310000000005,210178.11,618554.2,1000819.43,0.0,73963.23,13223.16,2270587.08,72356.15000000001,2270587.08,5681.55,36834.92,966111.11,267143.64,260012.17,0.0,44.0,-1049220.3890000002,438955.29900000006,1459957.6190000002,558452.99,2634398.389,0.0,1948170.23,69522.42,1948170.23,0.0,212268.68,139912.53,249396.99,2399684.36,145594.08,-37128.310000000005,5681.55,1375913.27,2636246.85,2636246.85,1335435.96,TORRENT API SA_resum
2000-01-01,33057.23,214631.17,1964289.66,60101.21,218781.83,0.0,166801.23,3599.0,94150.51,148724.12,242874.63,51520.310000000005,55119.310000000005,743185.51,1149988.1800000002,3268.8,20869.71,20869.71,2453801.16,67109.17000000001,2453801.16,7127.85,60027.02,920614.43,270685.41000000003,297475.98000000004,0.0,44.0,-1049220.3890000002,352453.04,1909170.35,683084.3,2634398.389,0.0,2108661.35,33057.23,2108661.35,0.0,187881.43,120772.26,148724.12,2399684.36,124631.32,39157.310000000005,3859.05,1793870.9,2884904.09,2884904.09,1456748.89,TORRENT API SA_resum
2001-01-01,400523.6,214631.17,1651819.53,61000.0,187972.74,0.0,166801.23,160978.27000000002,107879.33,123492.07,231371.4,151905.74000000002,312884.01,846237.9600000001,1253850.47,88949.79,11398.77,11398.77,2628988.32,43127.22,2628988.32,13861.7,86215.42,1208905.91,192906.84,147357.06,0.0,44.0,-1049220.3890000002,868642.01,1338935.52,785237.9600000001,2634398.389,0.0,1613963.88,400523.6,1613963.88,0.0,198308.72,155181.5,123492.07,2399684.36,80093.40999999999,74816.65000000001,-75088.09,1272393.28,2860725.44,2860725.44,1496349.2,TORRENT API SA_resum
2002-01-01,220897.0,214631.17,1778856.85,61000.0,206417.04,0.0,166801.23,213139.36000000002,153161.47999999998,50849.63,204011.11,0.0,289092.23,899493.52,1385993.55,17195.07,12887.92,12887.92,3212276.57,28676.07,3212276.57,1813.4,59351.59,1040800.32,200160.95,353568.75,331805.77,44.0,-1049220.3890000002,487070.619,1778856.85,838493.52,2634398.389,0.0,1920163.65,220897.0,1920163.65,0.0,97313.3,68637.23,50849.63,2399684.36,53255.56,46463.67,-15381.67,1714902.64,2819657.17,2819657.17,1633974.58,TORRENT API SA_resum
2003-01-01,41270.4,214631.17,2457614.52,61000.0,184726.99,0.0,166801.23,265300.45,194393.24,4388.71,198781.949,0.0,265300.45,889827.2699999999,1862047.28,0.0,14054.96,14054.96,2681059.18,0.0,2813168.52,0.0,54154.524999999994,575722.64,214838.99,297414.82,0.0,44.0,-1049220.3890000002,63468.83,2192314.07,828827.2699999999,2634398.389,0.0,2102239.489,41270.4,2102239.489,0.0,-9666.25,-9666.25,4388.71,2399684.36,-9666.25,-14054.96,0.0,2115687.67,3033337.16,3033337.16,2060829.23,TORRENT API SA_resum
2004-01-01,28938.24,214631.17,2238182.41,61000.0,117977.31,0.0,166801.23,25018.76,159221.03,-31845.56,127375.47,0.0,25018.76,848583.56,1585501.51,52369.19,11848.5,11848.5,2989909.24,0.0,3270154.08,5862.07,48957.46,870059.62,149103.1,283781.92000000004,0.0,44.0,-1049220.3890000002,437174.6,2213163.65,787583.56,2634398.389,0.0,2230720.23,28938.24,2230720.23,0.0,5263.4,5263.4,-31845.56,2399684.36,-41243.72,37108.96,-46507.12,2170575.24,3108242.03,3108242.03,1715327.32,TORRENT API SA_resum
2005-01-01,70736.07,214631.17,2121429.049,61000.0,310010.69,0.0,166801.23,85205.08,160232.76,62211.1,222443.86,0.0,85205.08,998361.49,1633708.71,0.0,13141.15,13141.15,3004175.03,43990.25,3252419.36,93260.14,51438.09,866217.25,151102.4,302437.51,161585.0,65.0,-1049220.3890000002,412677.339,2036223.969,937361.49,2634398.389,0.0,1918548.74,70736.07,1918548.74,0.0,100508.04,56517.789,62211.1,2399684.36,149777.93,38296.94,93260.14,2011541.73,2987646.3,2987646.3,2000850.799,TORRENT API SA_resum
2006-01-01,43753.7,214631.17,1999365.77,61000.0,247682.16,0.0,166801.23,56955.445,175646.07,157310.97,332957.04,0.0,56955.445,1070397.58,1835977.84,166894.73,16244.47,16244.47,3780907.65,30872.61,3962697.28,27984.879,100752.05,743468.0,87696.57,267591.40900000004,460335.94,65.0,-1049220.3890000002,388180.02,1999365.77,1009397.58,2634398.389,0.0,1628682.489,43753.7,1628682.489,0.0,241818.55,210945.94,157310.97,2399684.36,72036.09,84507.58,-138909.84999999998,1908783.8,2742833.77,2742833.77,2130777.08,TORRENT API SA_resum
2007-01-01,46346.03,214631.17,1637175.299,61000.0,-368513.57,0.0,166801.23,28705.81,131332.57,-542730.6,-411398.029,0.0,28705.81,570551.4400000001,1786165.36,0.0,15681.92,15681.92,3022926.85,0.0,3071383.9,5172.42,53393.96,708008.97,88923.4,255402.93,485222.61,65.0,-1049220.3890000002,363682.639,1608469.489,509551.4390000001,2634398.389,0.0,1728286.8,46346.03,1728286.8,0.0,-505018.56,-505018.56,-542730.6,2399684.36,-499846.14,37712.04,5172.42,1550542.77,2345184.27,2345184.27,1433333.71,TORRENT API SA_resum
2008-01-01,17277.17,214631.17,884652.58,60200.0,-96021.81,0.0,166801.23,18131.31,126331.79,-234714.03,-108382.24,0.0,-196499.86,455222.66,1458846.21,0.0,23061.17,23061.17,2364915.07,0.0,2399684.36,0.0,35421.6,869389.13,68837.3,451999.91,0.0,60.0,-1049220.3890000002,348551.92000000004,866521.2699999999,395022.66,2634398.389,0.0,900109.48,17277.17,1281541.88,0.0,-222353.6,-222353.6,-234714.03,2399684.36,-222353.6,12360.43,0.0,46609.26,1754041.71,1754041.71,1385885.569,TORRENT API SA_resum
