Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,298817.0,191320.0,230848.99,36060.73,11983.77,1123883.13,0.0,212553.58,11146.33,94063.45,94063.45,18295.41,230848.99,55593.28,315887.46,0.0,94858.71,94858.71,1456724.74,392.12,1456724.74,2102.3300000000004,0.0,599330.6799999999,0.0,593248.43,837183.43,16.0,-207225.6,6082.25,0.0,19532.549,583193.3500000001,0.0,475769.39,298817.0,475769.39,0.0,-795.25,-1187.37,94063.45,622125.08,914.95,-94858.71,2102.3300000000004,5121.27,830179.6699999999,830179.6699999999,412053.24,TRANSPORTES LLAURADO HERMANOS SL_resum
2000-01-01,292852.51,191320.0,162808.94,36060.73,11983.77,1123883.13,0.0,144513.53,11146.33,84408.53,84408.53,18295.41,162808.94,57968.87,348184.99000000005,0.0,88862.65000000001,88862.65000000001,1442259.2,1018.11,1442259.2,7847.820000000001,0.0,730759.07,0.0,724676.8200000001,772342.76,16.0,-207225.6,6082.25,0.0,21908.14,583193.3500000001,0.0,542746.62,292852.51,542746.62,0.0,-4454.120000000001,-5472.23,84408.53,622125.08,2375.59,-88862.65000000001,7847.820000000001,5121.27,893568.0,893568.0,440441.339,TRANSPORTES LLAURADO HERMANOS SL_resum
2001-01-01,347125.05,191320.0,194060.99,36060.73,11983.77,1123883.13,0.0,177973.7,11146.33,116379.1,127525.43,16087.29,194060.99,58806.310000000005,389041.76,0.0,115182.75,115182.75,1531842.55,358.91,1531842.55,0.0,0.0,769020.89,0.0,762938.65,839758.19,16.0,-207225.6,6082.239,0.0,22745.579,583193.3500000001,0.0,557150.52,347125.05,557150.52,0.0,1196.35,837.439,116379.1,622125.08,837.4399999999999,-115182.75,0.0,5121.27,963081.88,963081.88,516567.19,TRANSPORTES LLAURADO HERMANOS SL_resum
2002-01-01,326126.59,191320.0,147160.97999999998,36060.73,18461.9,1123883.13,0.0,147160.97999999998,15476.15,105186.44,120662.59,15188.766666666666,147160.97999999998,39956.95,388322.24,0.0,100921.08,100921.08,1695761.5,1279.61,1695761.5,0.0,0.0,759254.3500000001,0.0,753172.11,934210.4,16.0,-207225.6,6082.239,0.0,3896.219,583193.3500000001,0.0,540331.7899999999,326126.59,540331.7899999999,0.0,4265.360000000001,2985.75,105186.44,622125.08,2985.75,-100921.08,0.0,5121.27,906415.33,906415.33,508984.83,TRANSPORTES LLAURADO HERMANOS SL_resum
2003-01-01,414036.57,191320.0,124753.61,36060.73,25398.9,1123883.13,0.0,124138.51,21143.79,106522.07,127665.86,14290.243333333334,124138.51,44212.06,411167.36,0.0,100443.34,100443.34,1659985.09,1823.62,1659985.09,0.0,0.0,779450.14,10790.63,760904.47,885279.8,16.0,-207225.6,7755.04,615.1,8151.329000000001,583193.3500000001,0.0,445955.12,414036.57,445955.12,0.0,6078.73,4255.110000000001,106522.07,622125.08,4255.110000000001,-100443.34,0.0,5121.27,904203.75,904203.75,538833.22,TRANSPORTES LLAURADO HERMANOS SL_resum
2004-01-01,349148.91000000003,191320.0,142869.08,36060.73,37892.18,1123883.13,0.0,137518.15,34569.880000000005,79782.04,114351.919,13391.720000000001,137518.15,47534.36,399569.93000000005,0.0,75035.9,75035.9,1755779.82,1423.84,1755779.82,0.0,0.0,785232.8400000001,7905.769999999999,770241.15,985785.6,16.0,-207225.6,7085.919,5350.929999999999,11473.629,583193.3500000001,0.0,531418.65,349148.91000000003,531418.65,0.0,4746.14,3322.3,79782.04,622125.08,3322.3,-75035.9,0.0,5121.27,928101.92,928101.92,513921.85,TRANSPORTES LLAURADO HERMANOS SL_resum
2005-01-01,267868.968,191320.0,106077.06,36060.73,37620.310000000005,1123883.13,0.0,106048.54,34997.13,92328.5,127325.63,12493.196666666667,106048.54,50157.54,367486.66,0.0,88581.1,88581.1,1748298.55,1124.22,1748298.55,0.0,0.0,757078.59,5020.91,745640.88,980789.36,16.0,-207225.6,6416.799,28.52,14096.809,583193.3500000001,0.0,545129.14,267868.968,545129.14,0.0,3747.4,2623.18,92328.5,622125.08,2623.18,-88581.1,0.0,31913.206,863155.65,863155.65,494812.29,TRANSPORTES LLAURADO HERMANOS SL_resum
2006-01-01,286538.38,191320.0,98462.9,58598.68,42082.84,1123883.13,0.0,98462.9,36716.87,80098.17000000001,116815.04,11594.673333333332,98462.9,78061.45999999999,374157.43000000005,0.0,72432.5,72432.5,1996421.6,2299.7,1996421.6,0.0,0.0,720027.16,693.62,713251.3,1106421.4,12.0,-207225.6,6082.239,0.0,19462.78,583193.3500000001,0.0,453890.22,286538.38,453890.22,0.0,7665.67,5365.969999999999,80098.17000000001,622125.08,5365.969999999999,-72432.5,0.0,58705.14199999999,818490.06,818490.06,490972.47,TRANSPORTES LLAURADO HERMANOS SL_resum
2007-01-01,396086.07,191320.0,174091.57,58598.68,16569.02,1123883.13,0.0,163395.41999999998,15296.4,39108.91,54405.310000000005,10696.15,174091.57,79334.08,376131.81,0.0,46282.83,46282.83,1563364.66,424.2,1563364.66,8870.740000000002,0.0,768874.3500000001,0.0,762792.11,932753.46,9.0,-207225.6,6082.239,0.0,20735.4,583193.3500000001,0.0,467545.77,396086.07,467545.77,0.0,-7173.92,-7598.120000000001,39108.91,622125.08,1272.62,-46282.83,8870.740000000002,85497.078,942965.92,942965.92,439407.86,TRANSPORTES LLAURADO HERMANOS SL_resum
2008-01-01,426342.61,191320.0,182285.74,58598.68,15860.77,1123883.13,0.0,169171.09,14447.56,38931.73,53379.28999999999,13114.65,-9034.26,80747.29,361520.19,0.0,37047.45,37047.45,1746008.21,471.07,1746008.21,0.0,0.0,776168.88,0.0,770086.64,1123883.13,15.0,-207225.6,6082.24,69622.76,22148.61,583193.3500000001,0.0,260044.72,426342.61,451364.72,0.0,1884.28,1413.21,38931.73,622125.08,1413.21,-37047.45,0.0,112289.014,958454.62,958454.62,414899.48,TRANSPORTES LLAURADO HERMANOS SL_resum
2009-01-01,713245.51,118384.26,253023.36,58598.68,15764.05,665447.47,0.0,100642.83,15683.91,36610.09,52294.0,13135.01,-4606.419,80827.43,375985.97,0.0,35742.59,35742.59,1311987.63,787.3599999999999,1311987.63,0.0,0.0,790155.12,0.0,784072.88,665447.47,14.0,-218260.19,6082.24,139245.52,22228.75,609930.07,0.0,130721.28,713245.51,249105.54,0.0,867.5,80.139,36610.09,646540.159,80.139,-35742.59,0.0,139080.94999999998,1043178.48,1043178.48,428279.97,TRANSPORTES LLAURADO HERMANOS SL_resum
2010-01-01,635298.75,144599.74000000002,186623.57,58598.68,14305.72,625222.74,0.0,112953.4,13435.56,39899.2,53334.759,13135.01,-18511.33,81697.59,361955.16,0.0,38738.99,38738.99,1233214.8,290.05,1233214.8,0.0,0.0,840319.97,0.0,834237.73,625222.74,14.0,-192702.14,6082.24,60535.16,23098.91,568092.8600000001,0.0,165347.46,635298.75,309947.2,0.0,1160.21,870.16,39899.2,607992.06,870.16,-38738.99,0.0,60535.16,1026943.54,1026943.54,415289.92,TRANSPORTES LLAURADO HERMANOS SL_resum
