Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,124741.2,162111.87999999998,193126.53,10818.22,48162.21,292496.23000000004,0.0,153561.94999999998,54502.22,-1367.96,53134.26,0.0,155154.63,34829.99,185005.08,0.0,8285.44,8285.44,577003.47,-2598.53,577003.47,0.0,95.98,170475.3,0.0,169449.97999999998,163318.69,8.0,-282750.44,601.019,37971.899,24011.769,752572.2,0.0,204030.63,124741.2,204030.63,0.0,-9557.42,-6958.889,-1367.96,836013.5,-6340.01,-8189.46,0.0,36725.810000000005,363601.83,363601.83,238854.199,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2000-01-01,124741.2,162111.87999999998,193126.53,10818.22,48162.21,292496.23000000004,0.0,153561.94999999998,54502.22,-1367.96,53134.26,1592.6799999999998,155154.63,34829.99,185005.08,211.94,8285.44,8285.44,577003.47,-2598.53,577003.47,830.8199999999999,95.98,170475.3,424.3,169449.97999999998,163318.69,8.0,-282750.44,601.019,37971.899,24011.769,752572.2,0.0,204030.63,124741.2,204030.63,0.0,-9557.42,-6958.889,-1367.96,836013.5,-6340.01,-8189.46,618.88,36725.810000000005,363601.83,363601.83,238854.199,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2001-01-01,152451.37999999998,162111.87999999998,297549.56,10818.22,85360.57,292496.23000000004,0.0,182441.23,52523.310000000005,49457.99,101981.299,570.9599999999999,183012.19,67667.26,197071.49,13170.43,9980.87,9980.87,722834.63,13870.33,722834.63,19765.89,635.01,215828.59,212.16,215015.42,238085.34,8.0,-282750.44,601.009,114537.37,56849.039,752572.2,0.0,293259.52,152451.37999999998,293259.52,0.0,40112.13,26241.799,49457.99,836013.5,32837.259999999995,-9345.86,6595.459,113616.34,513378.16,513378.16,306283.26,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2002-01-01,170062.58,162111.87999999998,281845.35,10818.22,93916.47,292496.23000000004,0.0,194812.72,64106.850000000006,37908.0,102014.85,3952.92,198765.64,97476.89,213726.66,32.7,8685.849999999999,8685.849999999999,750172.02,11553.31,750172.02,11321.54,851.9399999999999,258087.02,0.0,258087.02,223035.7,16.0,-282750.44,0.0,83079.709,86658.67000000001,752572.2,0.0,272392.9,170062.58,272392.9,0.0,30074.09,18520.78,37908.0,836013.5,29809.62,-7833.91,11288.84,82483.73999999999,539932.37,539932.37,327882.29000000004,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2003-01-01,151221.63,162111.87999999998,361037.06,10818.22,143804.24000000002,292496.23000000004,0.0,207971.81,86876.20999999999,83788.98,170665.19,0.0,207971.81,154404.91999999998,252146.17,379.36,7287.17,7287.17,1075151.37,24114.32,1075151.37,4526.969,392.93,325201.32,0.0,325201.32,355218.07,13.0,-282750.44,0.0,153065.25,143586.7,752572.2,0.0,380611.83,151221.63,380611.83,0.0,76894.73999999999,52780.42,83788.98,836013.5,56928.03,-6894.24,4147.609,152469.28,686238.38,686238.38,427351.9,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2004-01-01,84677.05,162111.87999999998,351176.93000000005,10818.22,78608.04,292496.23000000004,0.0,254732.12,94899.41,-23007.13,71892.28,0.0,254732.12,138113.55,278209.71,375.59,4548.1900000000005,4548.1900000000005,1002748.78,-6982.02,1002748.78,3273.67,1383.85,259155.78,0.0,259155.78,371312.84,12.0,-282750.44,0.0,96444.81,127295.329,752572.2,0.0,387542.11,84677.05,387542.11,0.0,-26171.47,-19189.45,-23007.13,836013.5,-16291.37,-3164.34,2898.08,95848.84,610332.71,610332.71,354383.92000000004,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2005-01-01,155388.8,162111.87999999998,643769.38,10818.22,172687.479,292496.23000000004,0.0,470998.5,103850.59,93529.35,197379.94,0.0,470998.5,206950.44,265640.218,27.86,2197.0,2197.0,1270149.95,30540.36,1270149.95,7968.04,104.72,418848.84,0.0,418848.84,477305.32,9.0,-282750.44,0.0,172770.87999999998,196132.22,752572.2,0.0,700278.98,155388.8,700278.98,0.0,91437.07,60896.71,93529.35,836013.5,68836.89,-2092.28,7940.18,172174.91,1062618.22,1062618.22,471065.057,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2006-01-01,247008.72,162111.87999999998,965932.93,10818.22,235755.2,292496.23000000004,0.0,739765.92,152803.99,133652.239,286456.22900000005,0.0,739765.92,289901.65,315918.16,10740.38,7116.429999999999,7116.429999999999,1761724.57,35550.51,1761724.57,2594.07,112.22,429870.11,108254.0,321616.11,686314.19,9.0,-282750.44,0.0,226167.01,279083.43000000005,752572.2,0.0,858892.6699999999,247008.72,858892.6699999999,0.0,126648.03,91097.519,133652.239,836013.5,82951.20999999999,-7004.21,-8146.309,217196.08,1395803.04,1395803.04,594340.3,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2007-01-01,194059.82,162111.87999999998,1070150.0,10818.22,243233.11,292496.23000000004,0.0,945115.14,147122.61000000002,345624.76,492747.37,0.0,945115.14,386012.15,346250.17,0.56,226821.82,12713.37,1957278.63,34347.18,1957278.63,10901.85,753.4499999999999,485810.34,78422.0,407388.34,647648.72,9.0,-282750.44,0.0,125034.859,375193.93000000005,752572.2,0.0,975888.37,194059.82,975888.37,0.0,119556.39,85209.209,345624.76,836013.5,96110.5,-226068.37,10901.29,120965.41,1555960.34,1555960.34,636543.8300000001,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2008-01-01,165717.52,162111.87999999998,611767.14,10818.22,184241.11,292496.23000000004,0.0,493470.61,128142.92,83441.3,211584.22,0.0,331358.73000000004,424565.57,341678.84,0.0,8160.03,8160.03,1127838.35,19325.7,1128509.73,0.0,142.62,413699.81,0.0,406559.45,292496.23000000004,9.0,-282750.44,7140.360000000001,118296.53,413747.35,752572.2,0.0,273071.98000000004,165717.52,435183.86,0.0,75423.89,56098.19,83441.3,836013.5,56098.19,-8017.41,0.0,94068.36,1025466.95,1025466.95,553405.6799999999,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2009-01-01,133227.38999999998,171335.38999999998,578116.91,10818.22,23156.71,146009.5,0.0,484558.82,120594.35,-122709.36,-2115.009,0.0,313223.43000000005,327127.93000000005,314653.59,0.0,2965.82,2965.82,693682.9600000001,-28223.09,693682.9600000001,0.0,14.45,330853.61,0.0,296490.16,146009.5,10.0,-235134.88,34363.450000000004,93558.09,316309.70900000003,670382.8200000001,0.0,277279.81,133227.38999999998,448615.2,0.0,-125660.73,-97437.64,-122709.36,547673.4600000001,-97437.64,-2951.3700000000003,0.0,42600.33,908970.52,908970.52,312553.03,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2010-01-01,107292.58,149104.96,573274.14,10818.22,91240.64,122096.32,0.0,428103.14,99287.91,-65477.53,33810.380000000005,0.0,278998.18,319080.66,255309.28,0.0,1704.28,1704.28,676223.47,-59124.4,676223.47,0.0,10.14,369914.83,0.0,276436.24,122096.32,7.0,-265007.49000000005,93478.59,145171.0,308262.4390000001,619604.6799999999,0.0,367710.77,107292.58,516815.73,0.0,-67171.67000000001,-8047.269,-65477.53,554127.149,-8047.269,-1694.139,0.0,69663.39,943188.97,943188.97,289129.8,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2011-01-01,103520.98,142658.27000000002,536115.87,10818.22,84525.51166666667,84976.32,0.0,429762.29,83413.54666666666,-60901.62,-60901.62,0.0,287104.02,273059.88,223913.35,0.0,12.44,12.44,441030.23,-14889.71,441030.23,0.0,3.57,388469.01,0.0,285342.17,84976.32,6.0,-193042.18,103126.84,106353.58,262241.659,416955.529,0.0,405345.75,103520.98,548004.02,0.0,-60910.49,-46020.78,-60901.62,356053.91000000003,-46020.78,-8.870000000000001,0.0,21954.17,924584.88,924584.88,163015.3,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
2012-01-01,103520.98,137244.66,502038.33,10818.22,77810.38333333333,78022.32,0.0,404692.81,67539.18333333333,-62829.06,-62829.06,0.0,267448.15,225191.35,221432.69,0.0,477.15,477.15,426491.56,-15212.45,426491.56,0.0,225.23,419980.46,0.0,301641.17,78022.32,5.0,-189865.61,118339.29,97345.52,214373.129,411298.3,0.0,456061.8,103520.98,593306.4600000001,0.0,-63080.98,-47868.53,-62829.06,348469.24,-47868.53,-251.92,0.0,21643.06,922018.79,922018.79,158828.86,TRANSPORTS I EXCAVACIONS J PLAJA SL_resum
