Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,16576.55,10624.13,45327.92,75126.51,8927.710000000001,65630.72,0.0,0.47,8453.42,5297.4,13750.82,5829.820000000001,5830.29,76171.43999999999,69045.47,2902.8900000000003,1719.55,1719.55,173649.59,203.27,173655.97999999998,0.0,2.6,57324.01,1433.76,55890.25,63071.6,6.0,-42175.61,0.0,39497.63,1044.93,191234.58,0.0,9903.95,16576.55,9903.95,0.0,3580.4500000000003,3377.18,5297.4,183297.25,474.29,-1716.95,-2902.8900000000003,39497.64,102651.94,102651.94,79896.0,URANSEL SL_resum
2000-01-01,6275.150000000001,10624.13,44307.95,75126.51,10587.08,65630.72,0.0,33.39,8531.33,3572.77,12104.1,8233.869999999999,8233.869999999999,78227.19,67660.4,0.0,682.98,682.98,171808.87,881.03,171808.87,0.0,46.99,49754.3,1075.32,48678.98,67258.8,6.0,-42175.61,0.0,36074.079,3100.68,191234.58,0.0,9559.91,6275.150000000001,9559.91,0.0,2936.78,2055.75,3572.77,183297.25,2055.75,-635.99,0.0,36074.08,94062.25,94062.25,79811.489,URANSEL SL_resum
2001-01-01,7850.965,10624.13,45998.7,75126.51,11491.7,65630.72,0.0,66.31,8771.28,3956.21,12727.49,4904.860000000001,4904.860000000001,80947.6,69152.19,0.0,121.52,121.52,195708.44,1165.89,195708.44,0.0,51.620000000000005,43738.6,716.88,43021.72,85955.03,6.0,-42175.61,0.0,41093.84,5821.09,191234.58,0.0,8789.7,7850.965,8789.7,0.0,3886.31,2720.42,3956.21,183297.25,2720.42,-69.9,0.0,41093.84,89737.3,89737.3,81931.3,URANSEL SL_resum
2002-01-01,9426.78,10624.13,55025.45,75126.51,12114.609,65630.72,0.0,99.23,10581.06,3090.2,13671.259,7404.85,7504.08,82481.15000000001,73069.37000000001,0.0,1035.0,1035.0,210001.49,657.23,210001.599,0.0,135.58,43819.63,358.44,43461.19,95600.5,6.0,-42175.61,0.0,47521.369,7354.639,191234.58,0.0,6937.150000000001,9426.78,6937.150000000001,0.0,2190.78,1533.55,3090.2,183297.25,1533.55,-899.42,0.0,47521.37,98845.08,98845.08,86876.209,URANSEL SL_resum
2003-01-01,25092.67,10624.13,68925.45,75126.51,11762.419,65630.72,0.0,1614.37,10585.8,2862.8900000000003,13448.689,12904.85,14519.22,83657.77,72033.67000000001,0.0,1222.76,1222.76,207495.51,504.26,207495.61,0.0,40.75,45133.94,0.0,45133.94,98224.35,6.0,-42175.61,0.0,54406.22899999999,8531.26,191234.58,0.0,5308.95,25092.67,5308.95,0.0,1680.88,1176.62,2862.8900000000003,183297.25,1176.62,-1182.01,0.0,54406.23,114059.39,114059.39,85523.11,URANSEL SL_resum
2004-01-01,13286.740000000002,10624.13,67222.47,75126.51,5483.650000000001,65630.72,0.0,299.1,5339.44,1479.73,6819.17,13733.85,14032.95,83801.98,80044.93999999999,0.0,1292.22,1292.22,196215.63,61.8,196215.72,0.0,18.5,39794.5,0.0,39794.5,78594.33,6.0,-42175.61,0.0,53189.52,8675.47,191234.58,0.0,9928.25,13286.740000000002,9928.25,0.0,206.01,144.20899999999995,1479.73,183297.25,144.20999999999998,-1273.72,0.0,53189.52,107016.97,107016.97,86882.61,URANSEL SL_resum
2005-01-01,3534.69,10624.13,77491.07,75126.51,16207.66,65630.72,0.0,736.2800000000001,11328.11,7329.91,18658.02,7202.7,7938.98,88681.53,102375.52,0.0,380.22,380.22,236293.79,2091.23,236841.68,0.0,21.09,28466.39,0.0,28466.39,82146.82,6.0,-42175.61,0.0,69552.09,13555.02,191234.58,0.0,13741.240000000002,3534.69,13741.240000000002,0.0,6970.78,4879.549,7329.91,183297.25,4879.55,-359.13,0.0,69552.09,105957.46,105957.46,121054.63,URANSEL SL_resum
2006-01-01,4000.83,10624.13,98510.99,75126.51,22428.92,65630.72,0.0,717.14,9988.2,17993.75,27981.95,7202.7,7919.84,101122.25,104457.35,0.0,250.23,250.23,259802.34,5331.74,260389.35,0.0,28.94,18478.19,0.0,18478.19,91592.17,6.0,-42175.61,0.0,90591.15,25995.74,191234.58,0.0,15866.93,4000.83,15866.93,0.0,17772.460000000003,12440.72,17993.75,183297.25,12440.72,-221.29,0.0,90591.15,116989.18,116989.18,132468.24000000002,URANSEL SL_resum
2007-01-01,4466.97,10624.13,111420.88,75126.51,10859.759,65630.72,0.0,125.67,9157.97,2080.0,11237.97,26843.7,26969.37,102824.04,131738.34,0.0,125.115,343.5933333333333,256276.02,567.26,256276.08,0.0,189.05,9320.22,0.0,9320.22,75648.11,6.0,-42175.61,0.0,84451.51,27697.53,191234.58,0.0,17917.06,4466.97,17917.06,0.0,2269.05,1701.79,2080.0,183297.25,1701.79,189.05,0.0,84451.51,120741.1,120741.1,143165.36,URANSEL SL_resum
2008-01-01,4933.110000000001,10624.13,105217.78,75126.51,-4051.87,65630.72,0.0,2088.3700000000003,3230.27,-7937.33,-4707.059,46968.7,38432.94,95541.9,145828.7,0.0,0.0,436.9566666666666,248927.97,-4095.13,248927.97,0.0,655.19,6089.95,0.0,6089.95,65630.72,3.0,-42175.61,4378.76,56160.71,20415.39,191234.58,0.0,5141.7,4933.110000000001,15765.83,0.0,-7282.14,-7282.14,-7937.33,183297.25,-7282.14,655.19,0.0,56160.71,111307.73,111307.73,141776.83,URANSEL SL_resum
2009-01-01,5399.25,5560.06,71555.8,75126.51,-24511.009,67362.87000000001,0.0,138.19,1761.56,-34836.619999999995,-33075.06,46968.7,41546.83,69269.33,163344.47,0.0,530.3199999999999,530.3199999999999,231080.08,-8757.52,231080.08,0.0,336.85,13085.91,0.0,4328.39,67362.87000000001,6.0,-33447.8,8757.52,24448.91,-5857.18,198553.83,0.0,9812.32,5399.25,15372.38,0.0,-35030.09,-26272.569,-34836.619999999995,163717.21000000002,-26272.569,-193.47,0.0,24448.91,84641.70999999999,84641.70999999999,130606.26,URANSEL SL_resum
2010-01-01,5865.39,8299.0,46968.7,75126.51,-22850.581,58326.3,0.0,977.2749999999999,1941.84,-32213.03,-30271.19,46968.7,38669.7,44476.91,147851.16,0.0,872.2,872.2,206923.7,-8264.138,206923.7,0.0,28.67,19788.980000000003,0.0,2767.32,58326.3,6.0,-31017.43,17021.66,17577.143333333333,-30649.6,180810.43,0.0,13981.77,5865.39,22280.77,0.0,-33056.559,-24792.421,-32213.03,148597.4,-24792.421,-843.53,0.0,17577.143333333333,66757.67900000002,66757.67900000002,117608.64,URANSEL SL_resum
2011-01-01,6331.530000000001,6723.68,46515.06,75126.51,-16362.829,56516.66,0.0,1816.36,2001.37,-22548.69,-20547.32,44698.7,39791.380000000005,26112.71,139181.11000000002,0.0,1961.68,1961.68,209430.22,-6121.4,209430.22,0.0,24.77,24386.54,0.0,1243.48,56516.66,5.0,-34279.77,23143.06,10705.376666666667,-49013.8,175462.249,0.0,38065.21,6331.530000000001,44788.89,0.0,-24485.6,-18364.199,-22548.69,152913.56,-18364.199,-1936.91,0.0,10705.376666666667,70901.6,70901.6,118658.559,URANSEL SL_resum
2012-01-01,6797.67,7978.6,48629.3,113170.58,-3904.0,53144.17,0.0,2291.99,1243.59,-4115.29,-2871.7,42503.7,36817.09,59009.19,113340.51,0.0,2360.36,2360.36,201582.46,-1315.86,201582.46,0.0,12.2,24458.92,0.0,4465.145,53144.17,5.0,-37969.479,24458.92,3833.61,-54161.39,152553.58,0.0,6100.429999999999,6797.67,14079.03,0.0,-6463.45,-5147.59,-4115.29,148438.289,-5147.59,-2348.16,0.0,3833.61,73088.22,73088.22,110481.01,URANSEL SL_resum
2013-01-01,7263.81,4731.01,50356.72,113170.58,5094.92,51538.26,0.0,7283.78,813.1700000000001,4698.57,5511.74,31663.12,34215.89,63290.94,72300.27,0.0,416.84,416.84,168735.75,-567.8149999999999,168735.75,0.0,0.02,32145.73,0.0,7686.81,51538.26,3.0,-39385.48,24458.92,11409.82,-49879.64,112498.92,0.0,7216.69,7263.81,11947.7,0.0,4281.75,4281.75,4698.57,117197.489,4281.75,-416.82,0.0,11409.82,82502.45,82502.45,77812.03,URANSEL SL_resum
2014-01-01,5703.78,3878.92,50288.02,113170.58,4795.059,50968.5,0.0,5819.94,1244.98,4115.969999999999,5360.95,32643.12,34584.14,66841.02,67856.02,0.0,385.66,385.66,156869.53,180.23,157289.53,0.0,0.0,30945.5,0.0,6666.81,50968.5,3.0,-33104.059,24278.69,11824.96,-46329.56,102205.06,0.0,4809.8,5703.78,8688.720000000001,0.0,3730.31,3550.08,4115.969999999999,106321.03,3550.08,-385.66,0.0,11824.96,81233.52,81233.52,73216.97,URANSEL SL_resum
