Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,275586.56,235379.62,173418.08,33055.67,4787.4,880249.23,118668.33,87083.68000000001,1566.28,7679.88,9246.16,82386.8,169470.479,62611.6,33322.08,0.0,3078.28,3078.28,527103.51,1380.48,527103.51,0.0,806.54,16503.57,0.0,16503.57,463367.7,2.0,-57265.2,0.0,3947.599,29555.93,231493.15,0.0,127310.05,275586.56,127310.05,0.0,4601.6,3221.12,7679.88,259936.699,3221.12,-3078.28,0.0,3947.6,189921.65,189921.65,42568.24,VINS GUILLAMET SL_resum
2000-01-01,275586.56,235379.62,186094.05,195328.93,4144.58,880249.23,118668.33,104377.23,1951.16,7659.3,9610.46,79628.27,184005.5,227078.29,39393.89,87.55,4438.29,4438.29,555762.6699999999,940.04,555762.6699999999,0.0,806.54,157658.63,0.0,157658.63,478737.9,23.0,-57265.2,0.0,2088.549,31749.36,231493.15,0.0,116674.39,275586.56,116674.39,0.0,3221.01,2280.9700000000003,7659.3,259936.699,2193.42,-4438.29,-87.55,2088.55,343752.68,343752.68,48916.8,VINS GUILLAMET SL_resum
2001-01-01,275586.56,235379.62,274754.64,195328.93,8654.38,880249.23,118668.33,209956.04,3599.32,14602.02,18201.34,61464.61,271420.65,232133.35,43531.11,87.59,8061.94,8061.94,606345.11,2203.9700000000003,606345.11,0.0,806.54,372572.77,0.0,372572.77,522479.78,1.0,-57265.2,0.0,3333.99,36804.42,231493.15,0.0,139607.5,275586.56,139607.5,0.0,7346.620000000001,5142.650000000001,14602.02,259936.699,5055.06,-7255.4,-87.59,2644.09,647327.41,647327.41,62451.4,VINS GUILLAMET SL_resum
2002-01-01,285935.31,235379.62,245240.449,195328.93,7127.610000000001,880249.23,118668.33,158060.26,4824.74,17570.609999999997,22395.35,77572.98999999999,235633.25,234436.22,55599.25,180.3,18698.56,18698.56,659887.08,1066.35,659887.08,2624.42,2053.05,549175.24,0.0,549175.24,547027.8,4.0,-57265.2,0.0,9607.199,39107.28999999999,231493.15,0.0,274044.16,285935.31,274044.16,0.0,925.1,-141.24899999999997,17570.609999999997,259936.699,2302.8700000000003,-16645.508,2444.12,6391.860000000001,794415.69,794415.69,82491.77,VINS GUILLAMET SL_resum
2003-01-01,299279.09,235379.62,235620.4,195328.93,26678.04,880249.23,118668.33,125561.46,24350.47,24326.09,48676.56,100912.35,226473.81,236768.79,66736.86,40.690000000000005,26003.79,26003.79,821241.04,997.53,821241.04,4162.029,881.4599999999999,535423.15,0.0,535423.15,667762.3400000001,4.0,-57265.2,0.0,9146.589,41439.86,231493.15,0.0,234995.67,299279.09,234995.67,0.0,-796.24,-1793.77,24326.09,259936.699,2327.57,-25122.33,4121.339,6148.429999999999,771043.55,771043.55,120416.22,VINS GUILLAMET SL_resum
2004-01-01,290928.06,235379.62,287401.17,195328.93,29686.23,880249.23,118668.33,164547.26,26486.15,24267.32,50753.47,117833.85,282381.11,239968.87,96272.89,62.04,20352.81,20352.81,937358.94,1398.05,937358.94,0.0,745.66,533223.7799999999,0.0,533223.7799999999,752440.69,4.0,-57265.2,0.0,5020.059,44639.94,231493.15,0.0,289728.02,290928.06,289728.02,0.0,4660.17,3262.12,24267.32,259936.699,3200.08,-19607.15,-62.04,2045.05,820624.9500000001,820624.9500000001,147709.97999999998,VINS GUILLAMET SL_resum
2005-01-01,255975.98,235379.62,322234.78,195328.93,14313.179,880249.23,118668.33,177194.87999999998,27774.69,20381.41,48156.1,138020.6,315215.48000000004,226507.36,105012.27,16465.86,17145.629999999997,17145.629999999997,1012031.54,1287.57,1012031.54,22.05,1034.089,507594.48,0.0,507594.48,813489.9600000001,4.0,-57265.2,0.0,7019.3,31178.429,231493.15,0.0,347345.92000000004,255975.98,347345.92000000004,0.0,4269.87,2982.3,20381.41,259936.699,-13461.51,-16111.54,-16443.809999999998,4044.29,829829.26,829829.26,137758.65,VINS GUILLAMET SL_resum
2006-01-01,215532.68,235379.62,345696.04,195328.93,33119.61,880249.23,118668.33,197759.17,26786.67,30407.34,57194.009,140281.29,338040.46,232840.3,108815.13,291.44,21929.86,21929.86,1084957.6700000002,2720.3100000000004,1084957.6700000002,0.0,867.21,480530.81,0.0,480530.81,872180.41,4.0,-57265.2,0.0,7655.58,37511.369,231493.15,0.0,377853.87,215532.68,377853.87,0.0,9344.69,6624.38,30407.34,259936.699,6332.94,-21062.65,-291.44,4680.57,826226.8500000001,826226.8500000001,166584.909,VINS GUILLAMET SL_resum
2007-01-01,186211.83,235379.62,373469.79,195328.93,31647.15,880249.23,118668.33,193271.58,27213.75,30658.3,57872.05,173491.5,366763.079,237273.7,114512.72,77.95,25023.73,25023.73,1155229.3,1477.8,1155229.3,1.04,353.54,462209.47,0.0,462209.47,928804.69,4.0,-57265.2,0.0,6706.71,41944.77,231493.15,0.0,412193.73,186211.83,412193.73,0.0,5988.110000000001,4510.309,30658.3,259936.699,4433.4,-24670.19,-76.91000000000001,3731.7,835679.26,835679.26,172661.4,VINS GUILLAMET SL_resum
2008-01-01,186211.83,235379.62,386488.85,195325.0,32521.83,880249.23,118668.33,222663.81,26795.06,28443.55,55238.61,159890.75,147174.94,243000.47,147432.88999999998,0.0,20803.99,20803.99,1140185.93,1913.73,1140185.93,0.0,0.94,437377.84,0.0,436377.84,880249.23,4.0,-57265.2,1000.0,3934.29,47675.47,231493.15,0.0,40606.44,186211.83,394654.39,0.0,7640.5,5726.77,28443.55,259936.699,5726.77,-20803.05,0.0,3934.29,823866.69,823866.69,202672.44,VINS GUILLAMET SL_resum
