Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,9462.05,79438.09,300906.5,102172.06,29046.25,535893.1989999999,0.0,227478.09,17249.0,17772.920000000002,35021.92,48368.17,275846.26,42809.55,90841.28,0.0,978.72,978.72,624967.06,5055.969999999999,624967.06,25.48,33.54,63427.32,17149.329999999998,46277.99,403979.39,6.0,-110156.18,0.0,25060.24,-59362.509,327056.94,0.0,312062.23000000004,9462.05,312062.23000000004,0.0,16827.74,11771.77,17772.920000000002,309461.221,11797.25,-945.18,25.48,24704.3,364333.83,364333.83,125922.22,VINS PAGES SA_resum
2000-01-01,727.8499999999999,79438.09,277782.12,102172.06,26206.85,535893.1989999999,0.0,183599.56,19319.85,10165.01,29484.86,28778.62,212378.18,49696.55,100392.98,0.0,355.94,355.94,673313.1,2951.56,673313.1,0.05,29.44,44107.47,8691.26,35416.21,484500.02,6.0,-110156.18,0.0,65403.94,-52475.509,327056.94,0.0,271465.19,727.8499999999999,271465.19,0.0,9838.51,6886.95,10165.01,309461.221,6887.0,-326.5,0.05,65403.95,321889.59,321889.59,129907.329,VINS PAGES SA_resum
2001-01-01,38045.8875,79438.09,346936.75,102172.06,78457.1,535893.1989999999,0.0,152146.51,8923.94,83022.32,91946.26,13581.83,165728.34,119229.71,92446.24,5.45,455.53625,455.53625,714836.26,14379.03,714836.26,837.8599999999999,57.46,38651.37,2015.74,36635.63,482601.67,6.0,-110156.18,0.0,181208.409,17057.649999999998,327056.94,0.0,266358.40900000004,38045.8875,266358.40900000004,0.0,83079.78,68700.75,83022.32,309461.221,69533.16,57.46,832.41,181208.41,385588.12,385588.12,185282.37,VINS PAGES SA_resum
2002-01-01,75363.925,79438.09,276776.7,102172.06,44176.08,535893.1989999999,0.0,127672.07,11610.97,45008.1,56619.07,9845.25,137517.31999999998,136741.76,124818.12,4.470000000000001,555.1324999999999,555.1324999999999,720310.51,13956.46,720310.51,0.0,1517.94,39853.36,1272.0,38581.36,468088.9900000001,6.0,-110156.18,0.0,139259.37999999998,34569.7,327056.94,0.0,179888.3,75363.925,179888.3,0.0,46526.04,32569.58,45008.1,309461.221,32565.11,1517.94,-4.470000000000001,139259.37999999998,316630.06,316630.06,182950.66,VINS PAGES SA_resum
2003-01-01,112681.9625,79438.09,311797.35,102172.06,55308.119,535893.1989999999,0.0,141912.37999999998,15112.41,51939.05,67051.45999999999,13906.57,155818.94999999998,176937.47,121545.55,120.32,654.72875,654.72875,808269.3200000001,17226.74,808269.3200000001,1777.44,3826.28,51770.74,528.25,51242.49,551977.11,6.0,-110156.18,0.0,155978.39899999998,74765.40999999999,327056.94,0.0,186630.62,112681.9625,186630.62,0.0,55765.33,38538.59,51939.05,309461.221,40195.71,3826.28,1657.12,155978.4,363568.09,363568.09,194080.41,VINS PAGES SA_resum
2004-01-01,150000.0,79438.09,339399.99000000005,102172.06,-130568.15,535893.1989999999,0.0,191678.02,12160.18,-113074.94,-100914.76,17387.129999999997,209065.15,34209.14,126844.69,18997.460000000003,754.325,754.325,872449.99,14740.52,872449.99,0.0,4084.59,39610.56,79.83,39530.73,586513.9400000001,5.0,-110156.18,0.0,130334.84,-67962.92,327056.94,0.0,194801.41,150000.0,194801.41,0.0,-108990.35,-123730.87,-113074.94,309461.221,-142728.33,4084.59,-18997.460000000003,130334.84,379010.55,379010.55,11017.06,VINS PAGES SA_resum
2005-01-01,184992.0,79438.09,372484.93000000005,102172.06,35261.11,535893.1989999999,0.0,186166.98,14105.34,26431.08,40536.42,14777.83,200944.81,55364.89,153299.01,1.56,853.92125,853.92125,894525.62,9066.76,894525.62,0.0,3793.01,72181.12000000001,40880.24,30831.92,600519.07,5.0,-110156.18,468.959,171540.119,-46807.17,327056.94,0.0,204309.16,184992.0,204309.16,0.0,30224.09,21157.33,26431.08,309461.221,21155.77,3793.01,-1.56,168443.81,444666.05,444666.05,197626.88,VINS PAGES SA_resum
2006-01-01,161390.07,79438.09,314463.23000000004,102172.06,20302.89,535893.1989999999,0.0,175729.23,19008.59,-1808.75,17199.84,44123.62,219852.85,56659.2,160606.94999999998,0.13,953.5174999999999,953.5174999999999,769912.1699999999,554.7,769912.1699999999,1.7500000000000002,3656.13,62409.21,32647.84,29292.41,511688.31,6.0,-110156.18,468.959,94610.38,-45512.86,327056.94,0.0,158823.17,161390.07,158823.17,0.0,1847.38,1292.6799999999998,-1808.75,309461.221,1294.3,3656.13,1.62,91883.48,376872.44,376872.44,181464.54,VINS PAGES SA_resum
2007-01-01,137855.74000000002,79438.09,313143.97000000003,102172.06,29429.17,535893.1989999999,0.0,189204.23,27111.25,-661.2,26450.05,79123.02,268327.25,58977.11,173486.34,21.33,1053.11375,1053.11375,827132.62,736.64,827132.62,201.53,3535.56,59479.74,24144.93,34865.850000000006,528647.54,6.0,-110156.18,468.959,44816.72,-43194.95,327056.94,0.0,175790.86,137855.74000000002,175790.86,0.0,2874.36,2137.72,-661.2,309461.221,2317.92,3535.56,180.2,43255.380000000005,372623.71,372623.71,203652.15,VINS PAGES SA_resum
2008-01-01,102579.49,79438.09,276986.35,102172.06,15312.8,535893.1989999999,0.0,163612.8,29362.55,-17595.72,11766.829,81480.0,165654.71000000002,44927.36,187538.21,0.0,1152.71,1152.71,845354.42,-4683.25,845354.42,0.0,15.43,43732.57,79.83,38500.53,535893.1989999999,7.0,-110156.18,5152.21,31893.55,-57244.7,327056.94,0.0,93773.98,102579.49,173212.07,0.0,-18733.0,-14049.75,-17595.72,309461.221,-14049.75,-1137.28,0.0,31893.55,320718.92000000004,320718.92000000004,199320.469,VINS PAGES SA_resum
2009-01-01,83594.82,112669.8,312088.48000000004,102172.06,34628.46,492410.38,6096.02,185984.93,20470.66,19406.12,39876.78,51830.0,125145.12900000002,59085.16,185330.26,0.0,540.12,540.12,805576.6,4710.26,805576.6,0.0,2.06,25746.12,79.83,25197.33,492410.38,8.0,-87959.18000000001,468.96,74273.55,-43086.9,293760.1,0.0,76388.8,83594.82,195154.62,0.0,18868.06,14157.8,19406.12,313166.22000000003,14157.8,-538.06,0.0,74273.55,337834.6,337834.6,225209.1,VINS PAGES SA_resum
2010-01-01,91409.73,97034.18,293845.47000000003,102172.06,26483.81,463115.45,0.0,182401.49,11616.7,20668.980000000003,32285.68,36335.0,121702.31,73952.27,202150.02,0.0,846.16,846.16,783596.02,4955.71,783596.02,0.0,0.0,39208.37,135.85166666666666,38739.41,463115.45,4.0,-86044.87000000001,468.96,75108.98,-28219.789,299811.59,0.0,70657.66,91409.73,167691.84,0.0,19822.82,14867.11,20668.980000000003,320480.57,14867.11,-846.16,0.0,75108.98,333053.84,333053.84,234435.7,VINS PAGES SA_resum
2011-01-01,66844.539,51916.05,231028.14,102172.06,18676.86,431404.0,0.0,172377.54,8615.26,14109.45,22724.71,31387.0,151848.49,84013.87000000001,209217.45,0.0,769.0,769.0,735388.26,3353.86,735388.26,0.0,75.01,34096.55,191.87333333333333,33627.59,431404.0,4.0,-72042.1,468.96,27263.6,-18158.189,289874.81,0.0,62350.23,66844.539,114266.28,0.0,13415.46,10061.599,14109.45,303984.26,10061.599,-693.99,0.0,27263.6,265124.69,265124.69,232017.17,VINS PAGES SA_resum
2012-01-01,42280.3,86372.89,262998.18,102172.06,16301.31,529939.7089999999,0.0,194018.81,7576.37,11956.73,19533.1,43580.0,151225.919,92738.81,210008.95,0.0,367.14,367.14,836623.81,2908.3100000000004,836623.81,0.0,43.66,27320.18,247.89499999999998,26851.22,529939.7089999999,4.0,-77142.05,468.96,25399.37,-9433.25,294727.37,0.0,68926.36,42280.3,155299.25,0.0,11633.25,8724.94,11956.73,306684.101,8724.94,-323.48,0.0,25399.37,290318.36,290318.36,229585.71,VINS PAGES SA_resum
2013-01-01,189006.68,126205.94,433740.29,102172.06,19686.86,791928.07,0.0,261625.95,12668.77,13405.81,26074.58,95435.0,230855.01,99756.9,192178.61,0.0,4699.91,4699.91,1094439.86,1779.52,1094439.86,0.0,91.71,48356.2,303.9166666666667,47887.24,791928.07,5.0,-84258.6,468.96,76679.34,-2415.16,289105.98000000004,0.0,67126.97,189006.68,193332.91,0.0,8797.61,7018.09,13405.81,302511.79000000004,7018.09,-4608.2,0.0,76679.34,482096.4900000001,482096.4900000001,218344.899,VINS PAGES SA_resum
2014-01-01,197899.3,94793.72,371315.23,102172.06,43202.95,684537.51,0.0,280896.96,19196.5,40534.94,59731.44,25120.0,211223.24,123763.35,201860.71,0.0,10437.38,10437.38,1035173.77,6122.72,1035173.77,0.0,31.610000000000003,85293.61,359.93833333333333,84824.65000000001,684537.51,6.0,-89044.11,468.96,65298.27,21591.289,310101.32,0.0,40152.47,197899.3,134946.19,0.0,30129.17,24006.449,40534.94,350636.26,24006.449,-10405.769,0.0,65298.27,456608.84,456608.84,261623.76,VINS PAGES SA_resum
2015-01-01,195491.42,51123.99,312187.23000000004,102172.06,45523.32,573908.01,0.0,263082.26,29673.54,31721.79,61395.33,21298.0,233256.27,139613.13,211639.81,0.0,11347.51,11347.51,954796.69,5283.25,954796.69,0.0,758.75,115823.83,415.96,114938.91,573908.01,6.0,-107853.54,468.96,27806.97,37441.07,349166.889,0.0,41782.52,195491.42,92906.51,0.0,21133.03,15849.779,31721.79,380888.679,15849.779,-10588.76,0.0,27806.97,428011.06,428011.06,273793.89,VINS PAGES SA_resum
2016-01-01,171675.37999999998,115946.42,374544.62,102172.06,42513.28,569726.69,0.0,282505.36,31912.87,24713.33,56626.2,44850.0,211408.94,150213.54,241161.45,0.0,10579.45,10579.45,975707.17,3533.4700000000003,975707.17,0.0,0.0,93830.12,3365.78,89395.38,569726.69,6.0,-108192.83,1068.96,47189.26,48041.48,381267.15,0.0,30539.4,171675.37999999998,146485.81999999998,0.0,14133.88,10600.41,24713.33,405980.48,10600.41,-10579.45,0.0,47189.26,468374.74,468374.74,297787.65,VINS PAGES SA_resum
2017-01-01,255249.4,91238.97,434183.61,102172.06,25928.229,581746.48,7235.64,289801.8,32218.92,1006.1,33225.019,111667.0,310229.829,143922.84999999998,257456.3,0.0,9393.68,9393.68,968487.9,-2096.889,968487.9,0.0,0.0,89398.09,1660.01,84572.23,581746.48,7.0,-96060.1,3165.849,32714.81,41750.78999999999,385735.32,0.0,25934.84,255249.4,124409.45,0.0,-8387.58,-6290.691000000001,1006.1,386741.42,-6290.691000000001,-9393.68,0.0,32714.81,523581.7,523581.7,290681.32,VINS PAGES SA_resum
2018-01-01,215596.04,138049.36,470414.16,102172.06,34379.05,673211.88,7304.72,274924.94,28806.7,19219.5,48026.2,179264.0,316139.58,149495.2,256935.24,0.0,10189.37,10189.37,1077425.32,3457.78,1077425.32,0.0,0.0,69592.07,131.31,68391.8,673211.88,8.0,-99252.0,1068.96,16225.22,47323.14,384993.94,0.0,29560.91,215596.04,174914.99,0.0,9030.13,5572.349,19219.5,404213.44,5572.349,-10189.37,0.0,16225.22,540006.23,540006.23,304961.44,VINS PAGES SA_resum
2019-01-01,244339.97,111823.18,494590.2,102172.06,25188.36,665629.7799999999,1224.21,313150.19,20167.460000000003,15239.5,35406.96,166847.0,368174.01,154516.1,256820.86,0.0,8784.41,8784.41,1049391.73,1434.1899999999998,1049391.73,0.0,0.0,57521.54,131.31,56452.58,665629.7799999999,8.0,-91534.13,1068.96,14593.01,52344.04,368522.45,0.0,40208.28,244339.97,153255.67,0.0,6455.09,5020.9,15239.5,383761.949,5020.9,-8784.41,0.0,14593.01,552111.74,552111.74,292227.82,VINS PAGES SA_resum
2020-01-01,330903.47000000003,93472.79,466984.43000000005,102172.06,-35857.238999999994,507775.04,0.0,309791.04,18737.52,-63284.9,-44547.380000000005,150508.0,366826.25,99921.34,207080.21,0.0,9508.11,9508.11,749295.2,-18198.25,749295.2,0.0,0.0,85764.05,131.31,66496.84,507775.04,7.0,-78987.33,19267.21,6685.39,-2250.72,304805.06,0.0,28450.88,330903.47000000003,121923.67,0.0,-72793.01,-54594.759,-63284.9,241520.159,-54594.759,-9508.11,0.0,6685.39,552748.48,552748.48,162532.83,VINS PAGES SA_resum
2021-01-01,296651.88,156722.58,516791.84,102172.06,18863.779,507995.89,333.34000000000003,274873.54,16410.668999999998,13204.43,29615.099,220653.0,338803.95900000003,102374.45,206261.37,0.0,9933.62,9933.62,827621.31,817.7,827621.31,0.0,0.0,71543.9,131.31,53094.39,507995.89,6.0,-83748.95,18449.51,21265.3,202.389,306420.988,0.0,32253.49,296651.88,189309.41,0.0,3270.8100000000004,2453.109,13204.43,319625.42000000004,2453.109,-9933.62,0.0,21265.3,588335.74,588335.74,235876.468,VINS PAGES SA_resum
2022-01-01,288468.15,167064.5,531064.48,102172.06,16828.238999999998,591696.74,335.54,277850.58,13476.66,9248.9,22725.559,239620.0,350406.08,105726.03,219834.88,0.0,4780.120000000001,4737.63,940462.13,1117.2,940462.13,0.0,0.0,61199.04,131.31,43266.73,591696.74,7.0,-106204.95,17932.309999999998,13593.9,3553.969,339516.48900000006,0.0,30669.3,288468.15,198069.34,0.0,4468.78,3351.58,9248.9,348765.39,3351.58,-4780.120000000001,0.0,13593.9,592263.52,592263.52,242517.95,VINS PAGES SA_resum
2023-01-01,317611.41000000003,97723.97,527935.6889999999,102172.06,15740.47,570515.89,334.42,310459.43000000005,12033.7,11303.57,23337.27,211620.0,424355.459,109432.8,243435.4,0.0,4799.9,4769.26,940741.59,2796.9,940741.59,0.0,0.0,47817.83,131.31,31712.83,570515.89,6.0,-103453.03,16105.0,5856.26,7260.74,358922.129,0.0,50650.92,317611.41000000003,148709.31,0.0,6503.67,3706.77,11303.57,370225.699,3706.77,-4799.9,0.0,5856.26,575753.52,575753.52,266742.03,VINS PAGES SA_resum
