Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado,Empresa
1999-01-01,52625.08,0.0,125253.57,3005.06,134783.0,-5204.2,0.0,71484.78,40012.66,139750.41,179763.07,17344.0,71484.78,175313.58,269136.09,770.64,870.7900000000001,870.7900000000001,680824.51,44240.34,680824.51,460.35,441.34,111127.31,18393.480000000003,89538.67000000001,4843.4,12.0,-602990.98,3195.16,53768.78999999999,172308.52,966507.5,990.0,61067.3,52625.08,61067.3,0.0,139320.96,95080.62,139750.41,1021543.24,94770.34,-429.45,-310.289,53537.6,236380.87,236380.87,449030.22,VISA TRANS SL_resum
2000-01-01,52625.08,0.0,153215.27000000002,62500.0,58846.75,-5204.2,0.0,142403.97,41537.06,30592.14,72129.2,17344.0,142403.97,192623.27,194062.54,1803.7,4116.55,4116.55,581742.99,7540.91,581942.53,159.28,19.43,168036.19,76481.3,88359.73,4843.4,9.0,-602990.98,3195.16,10811.299,130123.269,966507.5,990.0,76003.11,52625.08,76003.11,0.0,26495.02,18954.11,30592.14,1021543.24,17309.69,-4097.120000000001,-1644.42,1455.11,321251.46,321251.46,264566.75,VISA TRANS SL_resum
2001-01-01,102249.71,0.0,187316.77,62500.0,69810.03,-5204.2,0.0,148719.84,47789.27,27722.37,75511.64,17344.0,148719.84,214644.03,230453.13,2340.66,7619.360000000001,7619.360000000001,702670.1,2927.63,703274.65,7165.72,20.32,220676.54,124326.19,93155.19,4843.4,10.0,-602990.98,3195.159,38596.929,152144.03,966507.5,990.0,91099.57,102249.71,91099.57,0.0,20123.33,17195.7,27722.37,1021543.24,22020.76,-7599.04,4825.06,26282.19,407993.31,407993.31,310810.15,VISA TRANS SL_resum
2002-01-01,151037.74000000002,0.0,264229.4,62500.0,74005.5,-5204.2,0.0,220633.78,52447.99,33707.08,86155.07,17344.0,220633.78,236201.54,258639.27,1701.6699999999998,9318.87,9318.87,801430.11,4183.39,801534.9400000001,3041.73,12.63,312629.52,196077.56,113356.8,4843.4,12.0,-602990.98,3195.16,43595.62,173701.54,966507.5,990.0,189619.64,151037.74000000002,189619.64,0.0,24400.84,20217.45,33707.08,1021543.24,21557.51,-9306.240000000002,1340.06,25434.13,576858.92,576858.92,346147.02900000004,VISA TRANS SL_resum
2003-01-01,133919.16,0.0,322346.259,62500.0,105733.76,-5204.2,0.0,259254.57,64921.32,64118.44,129039.76,17344.0,259254.57,277013.98000000004,312650.45,2397.74,11815.9,11815.9,1132996.35,10380.41,1136902.93,1287.81,0.24,333587.31,201003.93,129388.22,4843.4,13.0,-602990.98,3195.159,63091.689,214513.979,966507.5,990.0,245000.43,133919.16,245000.43,0.0,52302.78,41922.369,64118.44,1021543.24,40812.44,-11815.66,-1109.93,33679.97,655933.57,655933.57,440580.52,VISA TRANS SL_resum
2004-01-01,130369.81,0.0,343870.18,62500.0,103304.81,-5204.2,0.0,281423.29000000004,73779.18000000001,51869.89,125649.069,17344.0,281423.29000000004,306539.61,344972.45,3368.88,10076.88,10076.88,1202287.81,9306.05,1202287.81,407.16,0.39,350292.7,212603.98,134493.56,4843.4,14.0,-602990.98,3195.16,62446.89,244039.61,966507.5,990.0,257253.46,130369.81,257253.46,0.0,41793.4,32487.35,51869.89,1021543.24,29525.63,-10076.49,-2961.72,39175.51,694162.88,694162.88,467660.19,VISA TRANS SL_resum
2005-01-01,593032.57,0.0,463440.28,62500.0,49707.53,-5204.2,0.0,315579.49000000005,62687.67,7460.820000000001,70148.489,17344.0,315579.49000000005,293559.47000000003,358946.79000000004,6427.21,21377.74,21377.74,1149648.78,-5344.35,1157362.78,2019.64,0.225,738803.1,587892.64,147715.3,4843.4,14.0,-602990.98,3195.159,147860.79,231059.469,966507.5,990.0,315651.34,593032.57,315651.34,0.0,-13916.92,-8572.57,7460.820000000001,1021543.24,-12980.14,-21377.74,-4407.57,45171.3,1202243.38,1202243.38,424687.709,VISA TRANS SL_resum
2006-01-01,575461.48,0.0,426088.8,62500.0,94637.25,-5204.2,0.0,263112.84,75617.63,63743.13,139360.76,17344.0,263112.84,312579.09,321328.38,13179.73,25602.92,25602.92,1120856.1700000002,8689.98,1128032.1700000002,2749.06,0.06,820393.63,581723.6699999999,238538.21,4843.4,12.0,-602990.98,131.74899999999997,162975.96,250079.09,966507.5,990.0,358441.86,575461.48,358441.86,0.0,38140.27,29450.289,63743.13,1021543.24,19019.62,-25602.86,-10430.67,34331.92,1246482.43,1246482.43,450258.529,VISA TRANS SL_resum
2007-01-01,555080.91,0.0,451654.24,62500.0,88526.76,-5204.2,0.0,279802.24,75765.26,54101.36,129866.62,17344.0,279802.24,325340.59,329093.09,12861.769,35565.8,35565.8,1073985.6800000002,4253.44,1073985.6800000002,11341.15,0.03,767391.92,564915.73,202402.32,4843.4,12.0,-602990.98,73.86999999999999,171852.0,262840.59,966507.5,990.0,338624.66,555080.91,338624.66,0.0,18535.56,14282.12,54101.36,1021543.24,12761.5,-35565.8,-1520.619,23502.61,1219046.16,1219046.16,457439.09,VISA TRANS SL_resum
2008-01-01,441691.38,0.0,290564.07,62500.0,58378.74,-5204.2,153408.4,238879.54,49519.71,55035.74,104555.45,17344.0,256223.54,334199.62,313996.81,0.0,42490.36,42490.36,1009245.4,3686.35,1016339.04,0.0,0.0,765960.7899999999,813.8599999999999,765073.06,-5204.2,11.0,-602990.98,73.86999999999999,34340.53,271699.62,966507.5,990.0,126235.459,442681.38,279643.86,0.0,12545.38,8859.029,55035.74,1021543.24,8859.029,-42490.36,0.0,25999.92,1056524.86,1056524.86,418552.26,VISA TRANS SL_resum
2009-01-01,440179.29,0.0,306177.94,62500.0,66907.989,6670.8,139958.83,260057.11,53835.17,47575.15,101410.32,18453.2,278510.31,347272.44,316116.93000000005,0.0,29449.13,29449.13,937491.08,5053.2,945958.83,0.0,0.0,766949.7899999999,0.0,766875.92,6670.8,11.0,-521760.78,73.86999999999999,27667.63,284772.44,891712.88,0.0,145717.169,440179.29,285676.0,0.0,18126.02,13072.82,47575.15,939288.029,13072.82,-29449.13,0.0,26388.7,1073127.73,1073127.73,417527.25,VISA TRANS SL_resum
