Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,6000.0,2947849.22,19724959.78,18510.8,4319342.148999999,36339208.27,n.d.,165059.34,319019.74,4493238.54,4812258.28,11748550.5,8965760.62,59439549.15,1790050.99,n.d.,12917.63,368.68,43581767.77,1232250.81,44003324.06,n.d.,752252.31,43058624.06,1192.71,2600679.26,36339208.27,58.0,-1061806.52,40456752.09,7811349.939,59421038.349,3170877.25,35179.28999999999,355006.18,41179.28999999999,3302855.4,7572.76,5232573.22,4000322.409,4493238.54,7664115.789,4000322.409,739334.6799999999,n.d.,6677202.88,62783583.84,62783583.84,7342012.63
2022,9143.44,3507774.08,20142665.31,18510.8,3527255.56,33935253.159,n.d.,449685.15,271750.22000000003,4287648.109999999,4559398.33,11398801.34,8340712.41,55968419.31,1619976.77,n.d.,85921.61,369.78,40738856.61,1016871.06,41079930.339,n.d.,70649.9,39706169.89,n.d.,2542083.36,33935253.159,48.0,-965302.08,37164086.53,8294178.818999999,55949908.509,2857029.07,37120.56,326377.81,46264.0,3834151.89,7572.76,4272376.4,3255505.34,4287648.109999999,7144677.18,3255505.34,-15271.71,n.d.,7228015.85,59848835.2,59848835.2,6164473.17
2021,17143.440000000002,2889799.2800000003,28538141.44,18510.8,2504038.08,23522174.72,n.d.,300162.48000000004,254398.83,2888938.36,3143337.19,8664815.15,6075178.35,52712913.97,1109806.89,n.d.,19303.09,370.88,28171172.26,688668.6799999999,28439126.9,n.d.,68672.66,27464498.38,71.88,2335544.89,23522174.72,39.0,-663808.1,25128881.610000003,19573163.81,52694403.16900001,2028013.8190000001,39061.83,343721.3,56205.27,3233520.58,7572.76,2938307.93,2249639.25,2888938.36,4916952.18,2249639.25,49369.57,n.d.,2347445.47,56002639.82,56002639.82,4302884.53
2020,8000.0,718035.2899999999,24424254.79,18510.8,2330936.55,21950933.16,n.d.,52951.97,279017.94,2637471.46,2916489.4,8306216.359999999,7641133.04,50495614.720000006,1156725.36,n.d.,52658.219,370.88,26376723.21,601501.8200000001,26714120.83,n.d.,68607.19,27033824.05,217.93,2043369.54,21950933.16,47.0,-689972.909,24990236.58,16065086.459,50477103.919,2125716.21,41003.099,195425.73,49003.1,913461.02,7572.76,2653420.43,2051918.61,2637471.46,4763187.67,2051918.61,15948.97,n.d.,2977855.74,51458078.84,51458078.84,4089534.61
2019,8000.0,3271665.89,25014482.38,18510.8,4191052.58,35091881.05,n.d.,233843.89,285612.41000000003,5030674.5,5316286.91,8981732.84,5943910.84,48466633.25,1237817.72,n.d.,441.3,441.3,41962833.63,1199993.58,42381320.24,n.d.,75200.55,27161305.89,1710.49,2064861.96,35091881.05,45.0,-735334.559,25094733.44,15798905.65,48448122.449,2258764.69,42944.37,386544.76,50944.37,3658210.65,7572.76,5105433.75,3905440.17,5030674.5,7289439.1899999995,3905440.17,74759.25,n.d.,14273541.4,52175788.27,52175788.27,6629305.18
2018,8000.0,3653749.66,21549291.01,18510.8,3593311.039,34772453.78,n.d.,258068.3,279242.09,4254650.21,4533892.3,9472807.91,6077126.55,44563305.06,1242772.05,n.d.,516.169,511.32,40811444.92,1056509.61,41237205.45,n.d.,116444.52,27280443.32,4149.41,2179311.51,34772453.78,44.0,-688087.3200000001,25096982.399,11818414.8,44544794.260000005,2210101.46,44885.64,559793.97,52885.64,4213543.63,7572.76,4370578.56,3314068.949,4254650.21,6464751.67,3314068.949,115928.35,n.d.,528364.55,48829734.33,48829734.33,5893104.02
2017,8000.0,4465311.14,18716961.95,18510.8,3854073.17,35347033.63,n.d.,312515.75,283102.56,4561841.83,4844944.39,8802461.81,4649666.42,42749236.11,1129428.75,n.d.,3200.3300000000004,510.92,41567756.48,1107847.1700000002,41980472.98,n.d.,120176.28,28863819.69,6722.03,2319194.87,35347033.63,38.0,-659066.21,26537902.79,9601984.389,42730725.309,2071597.52,46826.91,311407.47900000005,54826.91,4776718.619999999,7572.76,4678817.78,3570970.61,4561841.83,6633439.348999999,3570970.61,116975.95,n.d.,629933.02,47580781.64,47580781.64,6091860.01
2016,8000.0,4109172.47,14586611.31,18510.8,3411298.94,36595792.07,n.d.,128419.54,281994.01,3983502.07,4265496.08,9616938.46,5636185.528999999,39178265.5,1120469.09,n.d.,363.19,363.19,42312753.81,959082.79,42674816.9,n.d.,105248.84,29002116.95,7687.120000000001,2471497.27,36595792.07,37.0,-693059.66,26522932.56,4841253.31,39159754.69900001,2095522.76,50709.45,242580.84,58709.45,4351753.31,7572.76,4088387.72,3129304.93,3983502.07,6079024.83,3129304.93,104885.65,n.d.,673539.4600000001,43588728.260000005,43588728.260000005,5491214.01
2015,8000.0,4464309.1,15872636.36,18510.8,3083260.47,38729196.309999995,n.d.,273953.39,259197.52,3844543.65,4103741.17,10041508.77,5851153.06,36048960.57,1307185.08,n.d.,460.12,460.12,44383028.37,1115922.42,44802644.12900001,n.d.,95901.84,25159135.29,16783.51,2144987.68,38729196.31,44.0,-662521.57,22997364.1,5557174.2,36030449.77,2228904.17,50709.45,459792.529,58709.45,4924101.63,7572.76,3939985.37,2824062.95,3844543.65,6073447.818999999,2824062.95,95441.72,n.d.,389132.4,41031771.65,41031771.65,5506828.09
2014,8000.0,4927376.71,13297377.51,18510.8,2817932.79,38581627.720000006,n.d.,395837.41,320894.36,3466840.51,3787734.869,9562762.0,5031222.7,33224897.62,1200744.96,n.d.,694.51,694.51,44006160.28,1079262.52,44347327.42,n.d.,110154.95,25435206.81,31606.6,2236545.76,38581627.720000006,41.0,-777219.87,23167054.45,3338778.099,33206386.82,2298859.19,52883.67,519426.32,60883.67,5446803.03,7572.76,3576300.95,2497038.43,3466840.51,5765699.7,2497038.43,109460.44,n.d.,466010.24,38732584.32,38732584.32,5098634.78
