Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,2640291.05,38437.04,312101.43000000005,402683.4,485958.61,850402.24,94895.29,26431.86,385768.35,231560.43,617328.7799999999,9087.91,-2917.269,2474031.77,1454276.35,n.d.,98003.6,98003.6,3617883.9,33396.75,3644013.44,n.d.,30.18,5227633.5,6071.35,2384698.75,850402.24,40.0,-722006.07,2836863.4,276581.66,2071348.37,2562050.77,0,292079.78,2640291.05,425412.11,n.d.,133587.01,100190.26,231560.43,2793611.2,100190.26,-97973.42,n.d.,176266.24000000002,5539734.930000001,5539734.930000001,2071635.31
2022,2922886.44,8956.94,327873.01,402683.4,612282.7899999999,694851.7799999999,272284.11,22026.09,348735.49000000005,449752.79,798488.2799999999,10090.45,23159.6,2373841.51,1200980.53,n.d.,98371.74,98371.74,3311806.69,87849.1,3328136.07,n.d.,15.350000000000001,5480670.609999999,6071.35,2637735.86,694851.7799999999,33.0,-633815.48,2836863.4,295756.47000000003,1971158.11,2183531.499,0,230574.62,2922886.44,511815.67,n.d.,351396.4,263547.3,449752.79,2633284.29,263547.3,-98356.39,n.d.,195441.05,5808543.619999999,5808543.619999999,1999484.16
2021,3192431.65,45644.44,805599.75,402683.4,971548.8,495469.33,n.d.,37567.06,252520.15,922665.5,1175185.65,8855.8,778.419,2110294.2,844714.24,n.d.,112336.35,112336.35,2441146.25,91300.5,2527530.48,n.d.,0,4924012.83,6071.35,2887972.66,495469.33,29.0,-12161.26,2029968.82,759176.89,1707610.8,1109395.6500000001,0,381242.29,3192431.65,426886.73,n.d.,810329.15,719028.65,922665.5,2032061.1500000001,719028.65,-112336.35,n.d.,759176.89,5729612.58,5729612.58,2019899.89
2020,3547017.09,3825.8,320324.63,402683.4,-200467.569,449697.86,245724.72,54958.63,244659.6,-332210.45,-87550.85,54745.92,105878.749,1391265.55,803309.21,n.d.,112916.72,112916.72,1596500.51,n.d.,1601500.51,n.d.,0,5138696.51,6071.35,3047982.22,449697.86,25.0,-436044.29000000004,2084642.94,210620.08,988582.15,1484013.1,0,271187.98000000004,3547017.09,520738.5,n.d.,-445127.17,-445127.17,-332210.45,1151802.6500000001,-445127.17,-112916.72,n.d.,143410.08,5459021.14,5459021.14,715758.3600000001
2019,3280446.02,9695.359999999999,384874.75,402683.4,322826.78,547823.55,137582.05,22153.5,195286.68,300525.51,495812.19,154149.05,166607.19,1836392.72,1079087.08,n.d.,130472.04,130472.04,2783225.63,42513.37,2783225.63,n.d.,0,5139330.26,6071.35,3158215.11,547823.55,36.0,-660502.81,1975043.8,208572.2,1433709.32,1934876.57,0,260088.86,3280446.02,407366.27,n.d.,170053.47,127540.1,300525.51,2235402.08,127540.1,-130472.04,n.d.,141362.2,5524205.01,5524205.01,1574899.27
2018,3282551.46,7624.820000000001,408942.44,402683.4,261036.51,542337.1799999999,155.57,54303.33,181461.56,191929.38,373390.94,133936.88999999998,180615.4,1708852.62,843489.16,n.d.,85829.43999999999,85829.43999999999,2765028.51,26524.99,2765028.51,n.d.,0,4900370.6,6071.35,3176140.88,542337.1799999999,31.0,-1005811.23,1718158.37,220702.22,1306169.22,2030761.95,0,310128.57,3282551.46,317908.96,n.d.,106099.94,79574.95,191929.38,2222691.329,79574.95,-85829.43999999999,n.d.,220702.22,5309313.04,5309313.04,1216880.1
2017,2500356.41,11586.730000000001,1329994.94,402683.4,227175.04,581358.8,390569.57,41007.2,175020.23,188233.29,363253.52,143861.01,173281.47999999998,1629277.6700000002,947795.02,n.d.,118693.54,118693.54,2383533.08,17384.940000000002,2383533.08,n.d.,0,3285473.5,6071.35,3276889.99,581358.8,33.0,-491125.74,2512.16,1145126.729,1226594.27,1613940.99,0,83678.06,2500356.41,485834.36,n.d.,69539.75,52154.810000000005,188233.29,1802174.28,52154.810000000005,-118693.54,n.d.,83790.32,4615468.44,4615468.44,1311048.54
2016,2600929.15,3829.68,1235160.75,402683.4,226716.54,548411.03,392793.23000000004,35306.17,173490.51,197164.89,370655.4,154373.26,185849.75,1577122.86,905764.25,n.d.,126196.85,126196.85,2282685.21,17742.01,2282685.23,n.d.,0,3447639.24,6071.35,3421670.79,548411.03,39.0,-457854.55,19897.1,1045481.32,1174439.46,1537109.31,0,108125.07,2600929.15,504747.98,n.d.,70968.04,53226.03,197164.89,1734274.2,53226.03,-126196.85,n.d.,67504.90999999999,4682799.99,4682799.99,1276419.65
2015,2580287.52,3620.9700000000003,1026867.84,402683.4,132793.9,582735.23,430402.24,46143.92,59001.63,238176.04,297177.67,157553.41,200076.36,1523896.84,916426.02,n.d.,139787.86,139787.86,2319613.7800000003,24597.420000000002,2319613.7800000003,n.d.,1.51,3603926.8,6071.35,3560216.34,582735.23,35.0,-523274.86,37639.11,823170.51,1121213.44,1498702.509,0,92587.07,2580287.52,526610.2799999999,n.d.,98389.69,73792.27,238176.04,1736878.549,73792.27,-139786.349,n.d.,21153.99,4630794.64,4630794.64,1213605.1990000005
2014,2684342.56,1901.4,1044251.8,402683.4,72518.68000000001,588844.6699999999,465282.13,62490.880000000005,57141.69,187606.97,244748.66,159177.53,219767.01,1450104.56,917864.15,n.d.,173951.14,173951.14,2293034.63,-1707.6699999999998,2293034.63,n.d.,13.49,3649328.78,6071.35,3581020.9,588844.6699999999,35.0,-541577.15,62236.53,822583.39,1047421.159,1516582.99,0,91949.93,2684342.56,559133.4600000001,n.d.,13669.32,15376.99,187606.97,1704189.96,15376.99,-173937.65,n.d.,8045.79,4693580.58,4693580.58,1162626.299
