Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,91268.57,26131.2,275484.42000000004,4008.67,33601.479,183685.47999999998,n.d.,112520.57,23652.16,14114.6,37766.76,64949.25,151338.62,361421.77,227384.73,n.d.,1193.4,1193.4,569611.8300000001,2971.88,569611.8300000001,n.d.,0,262806.53,n.d.,36293.4,183685.48,7.0,-120774.86,226513.13,98014.599,357413.1,371811.75,0,59469.41,91268.57,85600.61,n.d.,12921.2,9949.32,14114.6,385926.35,9949.32,-1193.4,n.d.,97678.34,538290.9500000001,538290.9500000001,265151.49000000005
2022,106863.93,35010.42,255692.7,4008.67,23634.34,191568.31999999998,n.d.,91201.39,22394.95,3264.58,25659.53,83921.25,140112.22,351472.45,230400.74,n.d.,1612.06,1612.06,566517.25,413.13,566849.8,n.d.,0,286458.69,n.d.,59945.56,224540.32,6.0,-119221.209,226513.13,80570.06,347463.78,372016.9,0,48804.59,106863.93,83815.01,n.d.,1652.52,1239.389,3264.58,375281.48000000004,1239.389,-1612.06,n.d.,80233.8,542151.39,542151.39,256060.27
2021,121762.75,53140.77,273597.23000000004,4008.67,34041.850000000006,253946.87,n.d.,135689.77000000002,22936.95,17060.41,39997.36,50949.25,133498.25,350233.06,221057.12,n.d.,2253.8700000000003,2253.8700000000003,634258.66,3701.64,634258.66,n.d.,0,304774.51,n.d.,78261.38,253946.87,6.0,-119257.31,226513.13,86958.209,346224.39,363251.38,0,53235.159,121762.75,106375.93,n.d.,14806.54,11104.9,17060.41,380311.79000000004,11104.9,-2253.8700000000003,n.d.,86621.95,578371.74,578371.74,261054.48
2020,139277.46,29950.809999999998,232854.94,4008.67,26391.6,196240.91,n.d.,126204.13,18401.63,13356.29,31757.92,50949.25,147202.57,339128.16,170928.34,n.d.,2703,2703,499985.92,2663.32,499985.92,n.d.,0,354653.33,n.d.,99653.33,196240.91,6.0,-101058.75,255000.0,55701.56,335119.49000000005,290388.72000000003,0,79151.84,139277.46,109102.65,n.d.,10653.29,7989.969999999999,13356.29,303745.01,7989.969999999999,-2703,n.d.,55365.3,587508.2699999999,587508.2699999999,202686.26
2019,158863.27000000002,17243.89,234551.69,4008.67,-20440.460000000003,288683.43000000005,n.d.,89119.40999999999,24003.84,-79272.72,-55268.880000000005,92421.25,164296.77000000002,331138.19,197108.64,n.d.,1429.85,1429.85,510589.31,-36258.27,510589.31,n.d.,0,357552.35,n.d.,102552.35,238511.43,7.0,-80066.12000000001,255000.0,53011.03,327129.52,301178.6,0,84858.69,158863.27000000002,102102.58,n.d.,-80702.57,-44444.3,-79272.72,221905.87999999998,-44444.3,-1429.85,n.d.,53011.03,592104.04,592104.04,141839.76
2018,108539.58,24048.7,361710.51,6010.0,43246.0,180124.11000000002,n.d.,108924.26,32193.53,10348.99,42542.52,203365.25,288240.81,557853.37,198178.8,n.d.,1920.62,1920.62,518277.18,-2624.1,518277.18,n.d.,0,442676.64,n.d.,262676.64,180124.11000000002,7.0,-97431.75,180000.0,49421.0,551843.37,327804.079,43316.43,70629.069,151856.01,94677.77,n.d.,8428.369999999999,11052.47,10348.99,338153.07,11052.47,-1920.62,n.d.,49421.0,804387.15,804387.15,240721.319
2017,133266.87,36302.719999999994,358082.66,6010.0,24950.53,202893.86,n.d.,114515.64,32456.53,-4801.820000000001,27654.71,205890.97,284103.89,546800.9,191563.8,n.d.,2704.18,2691.58,528373.04,n.d.,528373.04,n.d.,0,474759.81,n.d.,294759.81,202893.86,7.0,-106260.67000000001,180000.0,37676.05,540790.9,330280.99900000007,45940.53,70531.45,179207.4,106834.17,n.d.,-7506.0,-7506.0,-4801.820000000001,325479.18,-7506.0,-2704.18,n.d.,37676.05,832842.47,832842.47,219205.909
2016,158030.14,19739.75,343984.71,6010.0,22893.01,183169.7,n.d.,117078.84,31873.43,-5986.07,25887.36,211240.97,308580.06,554306.9,185258.37,n.d.,2997.3500000000004,2997.3500000000004,510408.86,n.d.,510408.86,n.d.,3,495838.64,n.d.,315764.12,183169.7,7.0,-116093.43,180074.52,15664.9,548296.899,333225.23000000004,45940.53,61806.03,203970.67,81545.78,n.d.,-8980.42,-8980.42,-5986.07,327239.16,-8980.42,-2994.3500000000004,n.d.,15664.9,839823.3500000001,839823.3500000001,211148.729
2015,99519.78,31166.4,352003.19,6010.0,-28338.86,191263.21000000002,n.d.,157353.73,23788.32,-53500.57,-29712.25,166978.58,293165.91000000003,563287.3200000001,205469.78,n.d.,928.3399999999999,928.3399999999999,511621.95,-2298.51,511621.95,n.d.,3.22,507357.79,n.d.,327283.27,191263.21,7.0,-144601.21000000002,180074.52,27670.88,557277.3200000001,373859.31,45940.53,119446.95,145460.31,150613.34999999998,n.d.,-54425.69,-52127.18,-53500.57,320358.74,-52127.18,-925.12,n.d.,27670.88,859360.98,859360.98,175760.75
2014,59940.0,14429.449999999999,419045.03,6010.0,33508.68,162658.99,n.d.,168767.64,13509.27,26662.66,40171.93,166978.58,321316.76900000003,615414.5,173618.67,n.d.,0,n.d.,531517.65,6666.469999999999,534701.05,n.d.,3.22,378651.53,n.d.,198577.01,162658.99,7.0,-158251.46,180074.52,83298.81,609404.5,345379.4,48239.04,59673.569,108179.04,74103.02,n.d.,26665.88,19999.41,26662.66,372042.06,19999.41,3.22,n.d.,83298.81,797696.56,797696.56,213793.82
