Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,70874.89,2515.09,435851.58,3005.06,28129.26,209937.17,n.d.,191327.83,12660.05,19714.31,32374.36,n.d.,188812.74,347612.18,363538.48,n.d.,1547.76,1547.76,739929.7699999999,3888.13,739929.7699999999,n.d.,1190.79,63389.96,3026.65,53039.310000000005,209937.17,9.0,-134079.76,7324,244523.75,344607.12,510278.29000000004,5018.13,73221.25,75893.02,75736.34,n.d.,19357.34,15469.21,19714.31,529992.6,15469.21,-356.97,n.d.,236904.47,499241.54,499241.54,397103.63
2022,100498.25,1800.1299999999999,441767.39,3005.06,26999.36,203244.21000000002,n.d.,175800.58,11534.03,22321.79,33855.82,n.d.,174000.449,332142.97000000003,334205.54,n.d.,1727.07,1727.07,678088.76,5155.110000000001,678088.76,n.d.,25.72,63186.13,1755,54107.13,203244.21,9.0,-106783.19,7324,265966.81,329137.91000000003,452522.76,7090.84,63421.33,107589.09,65221.46,n.d.,20620.44,15465.329,22321.79,474844.55,15465.329,-1701.35,n.d.,258523.13,504953.52,504953.52,368087.08
2021,123670.49,246.86,432097.94,3005.06,28935.76,203349.44,n.d.,155325.97999999998,13525.75,22577.54,36103.28999999999,n.d.,155079.12,316677.64,299451.66,n.d.,2030.86,2030.86,640099.4,5136.67,640099.4,n.d.,0.0,71845.65000000001,n.d.,64521.65,200149.44,8.0,-101195.01,7324,276771.96,313672.58,414172.42000000004,7636.3,55712.3,131306.79,55959.16,n.d.,20546.68,15410.01,22577.54,436749.96,15410.01,-2030.86,n.d.,269243.43000000005,503943.59,503943.59,335554.949
2020,138162.97999999998,3445.8700000000003,428929.88,3005.06,32055.03,192009.79,n.d.,145550.88999999998,20590.44,16864.97,37455.41,3200,145305.02,301267.63,294130.78,n.d.,1592.1799999999998,1592.1799999999998,627416.1699999999,3808.2,627451.1699999999,n.d.,0.0,71355.36,n.d.,70031.36,193049.79,8.0,-103855.19,1324,280178.99000000005,298262.57,418576.41000000003,6016.45,51392.310000000005,144179.43,54838.18,n.d.,15272.79,11464.59,16864.97,435441.38,11464.59,-1592.1799999999998,n.d.,280094.14,500285.24,500285.24,331586.19
2019,32368.73,1027.48,291927.64,3005.06,41141.62,192081.43,n.d.,142526.57,27927.22,18417.85,46345.07,2160,143659.09,289803.04,282846.24,n.d.,798.65,798.65,629242.4,4404.8,629733.09,n.d.,0.0,89922.25,n.d.,88598.25,194241.43,8.0,-108460.35,1324,147241.07,286797.98000000004,419233.809,4429.6,54221.04,36798.33,55248.52,n.d.,17619.2,13214.4,18417.85,437651.66,13214.4,-798.65,n.d.,147156.22,381849.89,381849.89,329191.31
2018,46293.43,4515.650000000001,277356.8,3005.06,56487.76,199009.01,n.d.,143477.4,33578.66,30626.92,64205.58,n.d.,138961.75,276588.64,269179.11,n.d.,1076.05,1076.05,626788.21,7263.64,626788.21,n.d.,621.87,113422.09,58.47,112039.62,199009.01,7.0,-94394.51,1324,133879.4,273583.58,397152.28,2809.75,60571.42,49103.18,65087.07,n.d.,30172.74,22909.1,30626.92,427779.199,22909.1,-454.179,n.d.,133879.4,390778.89,390778.89,334006.56
2017,59940.68,1430.97,224803.61,3005.06,45652.25,174627.84999999998,n.d.,140282.94999999998,34470.37,16085.8,50556.17,n.d.,138851.97999999998,253679.54,260735.29,n.d.,1176.62,1176.62,589831.07,3727.3,590624.7789999999,n.d.,0.0,145714.75,806.43,143584.31999999998,174627.84999999998,9.0,-104705.47,1324,84520.66,250674.48,399911.13,1123.9,54343.27,61064.58,55774.24,n.d.,14909.18,11181.88,16085.8,415996.92900000006,11181.88,-1176.62,n.d.,84520.66,370518.36,370518.36,311291.46
2016,10714.36,1043.25,186025.12,3005.06,34986.850000000006,169005.1,n.d.,128458.69,31067.18,5635.78,36702.96,n.d.,127415.44,242527.01,242574.64,n.d.,476.63,476.63,565139.1,1267.43,565880.2799999999,n.d.,27.95,113968.57,1924.1399999999999,110691.08,160805.1,8.0,-117597.58,1353.35,57566.43,239521.95,391239.4,0,45709.07,10714.36,46752.32,n.d.,5187.1,3919.67,5635.78,396875.18,3919.67,-448.68,n.d.,57566.43,299993.69,299993.69,279305.55
2015,32142.92,1439.4,176523.91,3005.06,20097.78,153132.04,n.d.,128820.17,14973.8,7706.360000000001,22680.16,8200,135580.77000000002,238607.34,226017.37,n.d.,1138.65,1138.6499999999999,495988.14,1449.74,495988.14,n.d.,6.01,139554.97,2105.25,136096.37,161332.04,6.0,-94158.57,1353.35,39503.74,235602.28,335149.74,0,43889.22,32142.92,45328.62,n.d.,6573.72,5123.98,7706.360000000001,342856.1,5123.98,-1132.64,n.d.,38080.24,316078.88,316078.88,248703.539
2014,53571.48,2999.08,192651.75,3005.06,36874.880000000005,16872.05,n.d.,118963.49,29127.34,11361.38,40488.72,n.d.,115964.41,233483.36,359494.73000000004,n.d.,1747.52,1747.52,510252.04,1936.88,510252.04,n.d.,70.56,151875.41999999998,n.d.,150675.41999999998,16872.05,8.0,-93396.54,1200,73688.26,230478.3,482018.61,0,54473.25,53571.48,57472.33,n.d.,9684.42,7747.54,11361.38,493379.99000000005,7747.54,-1676.96,n.d.,72390.76,344527.17,344527.17,400054.01
2013,75000.04,5.81,187670.37,3005.06,23224.47,12816.38,n.d.,108230.67,12829.92,14321.36,27151.28,n.d.,108224.86,232135.82,363088.16,n.d.,2177.3500000000004,2177.3500000000004,491290.1,2598.64,491290.1,n.d.,849.1800000000001,177402.76,n.d.,176202.76,12816.38,9.0,-88234.28,1200,79439.7,229130.759,464152.359,0,57931.46,75000.04,57937.27,n.d.,12993.19,10394.55,14321.36,478473.72000000003,10394.55,-1328.1699999999998,n.d.,79439.7,365073.13,365073.13,391088.619
2012,96428.6,n.d.,206578.08,3005.06,39154.97,13185.77,n.d.,119353.3,25430.66,20922.74,46353.4,n.d.,119353.3,229741.27,346026.52,n.d.,3892.61,3892.61,498817.14,3431.08,498817.14,n.d.,125.26,171948.68,n.d.,170748.68,13185.77,8.0,-93251.45,1200,87224.78,226736.21,464708.63,0,52356.89,96428.6,52356.89,n.d.,17155.39,13724.31,20922.74,485631.37,13724.31,-3767.35,n.d.,87224.78,378526.76,378526.76,392505.18
2011,117857.16,n.d.,195857.63,3005.06,43753.28999999999,10740.52,n.d.,100610.13,23947.38,28827.08,52774.46,n.d.,100610.13,224016.96,335739.9,n.d.,4454.13,4454.13,484793.88,4951.48,484793.88,n.d.,384.44,197379.34,n.d.,196179.34,10740.52,8.0,-85539,1200,95247.5,221011.9,445226.28,0,51362.850000000006,117857.16,51362.850000000006,n.d.,24757.39,19805.91,28827.08,474053.36,19805.91,-4069.69,n.d.,95247.5,393236.97,393236.97,388898.8
2010,139285.72,182.94,191576.32,3005.06,50582.78,13307.08,n.d.,110812.33,20568.45,39113.73,59682.18,n.d.,110629.39,208711.05,318093.92000000004,n.d.,2126.94,2126.94,480983.15,7503.58,480983.15,n.d.,531.12,212263.3,n.d.,211063.3,13307.08,8.0,-89899.97,1200,80763.98999999999,205705.99,428562.33999999997,0,55659.909,139285.72,55842.850000000006,n.d.,37517.91,30014.33,39113.73,467676.07,30014.33,-1595.82,n.d.,80763.98999999999,403839.62,403839.62,378307.22
2009,8944.640000000001,1540.97,182954.4,3005.06,68036.42,13928.1,n.d.,97089.65,11381.68,70537.23999999999,81918.92,n.d.,95548.68,183196.72,307819.07,n.d.,0.0,n.d.,482451.98,14163.68,482451.98,n.d.,281.18,59777.310000000005,n.d.,57927.310000000005,13928.1,8.0,-78785.89,1850,85864.75,180191.66,397986.63999999996,0,49049.380000000005,8944.640000000001,50590.350000000006,n.d.,70818.42,56654.74,70537.23999999999,468523.88,56654.74,281.18,n.d.,85864.75,242731.71,242731.71,390019.17
2008,17889.32,4785.23,167373.61000000002,3005.06,73384.459,13660.98,n.d.,87405.56,14649.71,76187.5,90837.209,n.d.,82620.33,131041.98,296940.73000000004,n.d.,224.85,224.85000000000002,490649.47,19578.25,490649.47,n.d.,2350.3500000000004,41969.83,n.d.,41969.83,13660.98,8.0,-89210.55,n.d.,79968.049,128036.92,400800.99000000005,0,55626.91,17889.32,60412.14,n.d.,78313.0,58734.75,76187.5,476988.49000000005,58734.75,2125.5,n.d.,77021.87000000001,209343.44,209343.44,390128.29
2007,26834.0,n.d.,118326.02,3005.06,58970.45,n.d.,n.d.,81578.8,9649.81,64966.98,74616.79,n.d.,81578.8,92307.23,277726.68,n.d.,848.71,848.71,450224.91,16440.21,450224.91,n.d.,1642.58,55099.54,n.d.,55099.54,18808.31,9.0,n.d.,0,36747.22,89302.17000000001,n.d.,n.d.,54284.33,26834.0,54284.33,n.d.,65760.85,49320.64,64966.98,n.d.,49320.64,793.87,n.d.,36747.22,173425.56,173425.56,353986.05
2006,24521.960000000003,n.d.,101747.94,3005.06,45417.42,n.d.,n.d.,68671.57,12441.46,47378.61,59820.07,n.d.,68671.57,46736.59,254870.32,n.d.,1052.07,1052.07,412325.07,14132.56,412597.81,n.d.,781.98,44351.350000000006,885.74,43465.61,25204.65,8.0,n.d.,0,33076.369,43731.53,n.d.,n.d.,74840.73999999999,24521.960000000003,74840.73999999999,n.d.,47108.52,32975.96,47378.61,n.d.,32975.96,-270.09,n.d.,33076.37,146099.29,146099.29,315472.37
2005,28436.22,n.d.,85022.63,3005.06,47135.479,n.d.,n.d.,54837.49,16731.29,44039.71,60771.0,n.d.,54837.49,43760.63,229137.59,n.d.,1209.3,1209.3,376003.23,12551.86,376718.86,n.d.,125.64,54750.810000000005,2865.74,51885.07,21138.33,8.0,n.d.,0,30185.14,40755.57,n.d.,n.d.,67576.59,28436.22,67576.59,n.d.,42956.05,30404.19,44039.71,n.d.,30404.19,-1083.66,n.d.,30185.14,139773.44,139773.44,290034.23000000004
