Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,355907.78,244937.96,1209855.85,194243.2,97138.569,499682.49000000005,31182.38,250801.88,40138.45,111025.81,151164.26,927870.47,933734.39,810445.3,853403.8400000001,n.d.,14829.79,14829.79,628428.9400000001,39720.92,2017588.97,n.d.,525.02,477821.48,727.6,455815.09,499682.4900000001,24.0,-513338.38,21278.79,31183.5,616202.1,1406880.6700000002,0,245203.91,355907.78,521324.25,n.d.,96721.04,57000.119,111025.81,1517906.48,57000.119,-14304.77,n.d.,31183.5,1687677.33,1687677.33,1005093.12
2022,251243.09,268247.9,1323622.38,194243.2,166560.419,590595.6799999999,55092.48,382818.41,34614.74,187504.46,222119.199,899190.57,1013761.08,876451.92,758764.9,n.d.,3392.65,3392.65,702401.9500000001,52635.91,2160704.29,n.d.,469.78,438744.78,1433.8,416032.19,590595.6799999999,26.0,-589224.51,21278.79,41613.4,682208.72,1382604.1500000001,0,311331.77,251243.09,634672.15,n.d.,184581.59,131945.68,187504.46,1570108.6090000002,131945.68,-2922.8700000000003,n.d.,41613.4,1762367.16,1762367.16,981353.88
2021,278144.07,145953.57,1204146.79,194243.2,80736.9,766004.37,n.d.,337023.2,31276.65,83239.75,114516.4,813450.9600000001,1004520.589,804994.76,680613.5,n.d.,8480.130000000001,8480.130000000001,692913.55,25514.6,2106128.11,n.d.,215.23,433859.52,2140,410440.73,766004.37,23.0,-544993.8400000001,21278.79,53672.63,610751.56,1256883.989,0,408913.91,278144.07,554867.48,n.d.,74974.85,49460.25,83239.75,1340123.74,49460.25,-8264.9,n.d.,53672.63,1638006.31,1638006.31,795345.13
2020,316437.4,128068.51,1337958.65,194243.2,88932.319,930534.8200000001,14833.77,445463.94,32731.19,79824.09,112555.28,872098.69,1189494.1190000002,792493.7699999999,700703.2,n.d.,9187.34,9187.34,1043240.96,14435.62,2340964.429,n.d.,0.0,462900.34,n.d.,441717.38,930534.82,24.0,-597171.13,21182.960000000003,20396.02,598250.57,1330605.52,0,549025.54,316437.4,691927.8200000001,n.d.,70636.75,56201.13,79824.09,1410429.6090000002,56201.13,-9187.34,n.d.,20396.02,1800858.99,1800858.99,813258.4789999999
2019,115229.95,109527.66,1206923.2,194243.2,92769.82,1172180.83,208442.91,182743.02,32506.75,78386.62000000001,110893.37,1005290.17,1078505.53,753259.1699999999,677296.24,n.d.,5187.969999999999,5187.969999999999,1131759.6900000002,13140.93,2486015.9,n.d.,205.35,495631.53,n.d.,474448.57,1172180.83,24.0,-525645.459,21182.960000000003,18890.01,559015.97,1235448.449,0,516095.04,115229.95,834065.61,n.d.,73404.0,60263.07,78386.62000000001,1313835.0690000001,60263.07,-4982.620000000001,n.d.,18890.01,1702554.73,1702554.73,788394.9600000001
2018,64849.3,127668.73999999999,1006673.14,194243.2,64830.810000000005,595069.2699999999,124233.3,152146.18,12843.27,69987.16,82830.43,832528.66,857006.1,692996.1,647767.91,n.d.,449.44,449.44,594054.22,17550.18,1923217.49,n.d.,0.0,186854.28,n.d.,166321.31999999998,595069.2699999999,24.0,-597549.88,20532.960000000003,21998.3,498752.899,1258161.06,0,183779.98,64849.3,435682.02,n.d.,69537.72,51987.54,69987.16,1328148.22,51987.54,-449.44,n.d.,21998.3,1193527.42,1193527.42,730598.3400000001
2017,7157.84,134839.06,1062371.86,194243.2,42585.49,494317.97000000003,168597.94,333313.53,8398.33,47386.28999999999,55784.62,657666.59,856141.06,709341.0,648818.7699999999,n.d.,0.0,n.d.,452256.7,13199.130000000001,1767415.32,n.d.,0.0,125130.85,n.d.,119323.99,494317.97,23.0,-568493.9600000001,5806.860000000001,71391.739,515097.8,1225711.06,0,167566.87,7157.84,471003.87,n.d.,47386.28999999999,34187.16,47386.28999999999,1273097.35,34187.16,0.0,n.d.,35755.9,1187502.71,1187502.71,704603.39
2016,17884.71,80938.15000000001,998717.86,194243.2,37132.96,285848.58,186342.9,338854.45,13260.93,44645.51,57906.44,592119.07,850035.37,705153.8400000001,679913.97,n.d.,73.33,73.33,278971.25,20700.149999999998,1590135.43,n.d.,0.0,133529.18,n.d.,127722.32,285848.58,26.0,-566466.4400000001,5806.860000000001,67744.34,510910.64,1259641.3390000002,0,141927.44,17884.71,409208.4900000001,n.d.,44572.18,23872.03,44645.51,1304286.8490000002,23872.03,-73.33,n.d.,30118.760000000002,1132247.04,1132247.04,737820.41
2015,4237.3,154026.18,939270.31,194243.2,56114.59,313415.2,n.d.,168658.97999999998,16182.6,55729.42,71912.02,734975.49,749608.2899999999,711281.81,722952.2799999999,n.d.,0.0,n.d.,348136.45,15797.43,1693865.1190000002,n.d.,0.0,141876.49,n.d.,113125.64,313415.2,27.0,-585585.62,28750.85,35635.840000000004,517038.61,1324720.5,0,211601.51,4237.3,365627.69,n.d.,55729.42,39931.99,55729.42,1380449.92,39931.99,0.0,n.d.,n.d.,1081146.8,1081146.8,794864.3
2014,28978.61,218240.01,1011071.37,194243.2,47111.12,267973.03,151606.05,168080.29,23570.28,45771.28,69341.56,775085.48,724925.76,671349.8200000001,764020.16,n.d.,8446.68,8446.68,347147.36,14004.96,1593585.44,n.d.,221.2,195059.09,n.d.,129308.24,267973.03,25.0,-492250.69,65750.85,67905.6,477106.62,1279841.1300000001,0,135955.97,28978.61,505802.03,n.d.,37545.8,23540.84,45771.28,1325612.41,23540.84,-8225.48,n.d.,41178.719999999994,1206130.46,1206130.46,833582.92
