Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,227576.8,6931.74,1660630.84,203983.51,957857.62,197729.04,n.d.,38991.76,457388.48,672412.1,1129800.58,2051.949,34111.969,2137807.299,504032.09,n.d.,5019.75,5019.75,2160676.67,166923.21000000002,2190902.75,n.d.,0.0,984218.88,775.6700000000001,221014.23,197729.04,13.0,-359341.04,762428.98,1619587.13,1933823.79,1320761.6090000002,0,272533.879,227576.8,279465.62,n.d.,667392.3500000001,500469.14,672412.1,1993173.71,500469.14,-5019.75,n.d.,890050.61,2644849.72,2644849.72,1633832.6700000002
2022,302683.96,5574.7699999999995,909396.4,203983.51,687098.66,192404.55,n.d.,37945.76,510396.62,250719.84,761116.4600000001,2363.9500000000003,34734.94,1644905.4,432534.17,n.d.,14950.21,14950.21,1781605.83,59067.59,1820966.01,n.d.,0.0,1125990.0,1150.6699999999998,490245.12,192404.55,14.0,-434910.83,634594.21,869086.69,1440921.89,1377841.62,0,82222.27,302683.96,87797.04,n.d.,235769.63,176702.04,250719.84,1628561.46,176702.04,-14950.21,n.d.,535474.66,2035386.4,2035386.4,1193650.63
2021,164320.0,92.36999999999999,909342.82,203983.51,700576.519,120749.09,n.d.,36844.83,528317.6889999999,244622.28,772939.969,3369.25,40121.71,1445342.89,338751.58,n.d.,14620.51,14620.51,1437865.61,57742.94,1514848.25,n.d.,0.0,839950.8,1150.6699999999998,363352.35,120749.09,12.0,-282407.61,475447.78,869128.74,1241359.3790000002,1149476.8790000002,0,139538.35799999998,164320.0,139630.73,n.d.,230001.77,172258.83,244622.28,1394099.1600000001,172258.83,-14620.51,n.d.,393281.76,1749293.62,1749293.62,1111691.549
2020,456417.58,1847.78,889517.02,203983.51,471876.53,118443.35,n.d.,78103.48999999999,395042.19,116154.94,511197.13,3199.25,79454.95999999999,1274287.2,276085.54,n.d.,13634.08,13634.08,1118890.27,25686.52,1146439.14,n.d.,0.0,1070653.78,1150.6699999999998,594055.3300000001,118443.35,11.0,-240713.12,475447.78,808214.2799999999,1070303.6900000002,911840.8500000001,0,227618.24,456417.58,229466.02,n.d.,102520.86,76834.34,116154.94,1027995.7899999999,76834.34,-13634.08,n.d.,417342.52,1960170.8,1960170.8,787282.669
2019,542924.74,5199.4,723262.08,203983.51,536184.98,129548,n.d.,20208.83,448423.0,122439.14,570862.14,2928.3,17937.73,1209583.1700000002,335569.59,n.d.,5555.28,3830.78,1253743.6,29287.57,1271257.45,n.d.,165.69,1234691.78,1525.6699999999998,857718.2699999999,129548.0,12.0,-235277.72,375447.83999999997,700124.9500000001,1005599.659,1019270.31,0,200246.55,542924.74,205445.95,n.d.,117049.55,87761.98,122439.14,1141709.45,87761.98,-5389.59,n.d.,326075.51,1957953.86,1957953.86,904872.92
2018,648179.69,5890.51,826372.99,203979.4,583628.11,123671.06,n.d.,135439.83,454390.59,175296.81,629687.4,1016.3,130565.619,1136030.75,287741.26,n.d.,3225.4300000000003,3225.4300000000003,1131705.51,43179.45,1227295.49,n.d.,345.59,1236414.9,25.67,1136389.23,123671.06,10.0,-186195.77000000002,100000,689916.8600000001,932051.35,928327.62,0,272686.9390000001,648179.69,278577.45,n.d.,172416.97,129237.52,175296.81,1103624.43,129237.52,-2879.8390000000004,n.d.,271935.15,2062787.89,2062787.89,917774.25
2017,764251.97,5170.84,659064.8600000001,203979.4,381754.69,111120.76,n.d.,22759.75,316034.59,91546.26,407580.85,15.18,17604.09,1006793.23,266351.02,n.d.,3949.33,3949.33,999980.86,22157.03,1020016.95,n.d.,280.2,1253481.08,25.67,1253455.41,111120.76,10.0,-234964.31999999998,n.d.,636289.93,802813.8300000001,817349.929,0,136329.9,764251.97,141500.74000000002,n.d.,87877.13,65720.1,91546.26,908896.19,65720.1,-3669.13,n.d.,217951.15,1912545.94,1912545.94,674212.07
2016,543370.91,3604.48,639052.01,203979.4,413378.52,104612.2,n.d.,84500.0,332522.28,111276.94,443799.22,2276.3,83171.82,947979.19,247738.77,n.d.,5454.610000000001,5454.610000000001,975976.59,27021.18,990189.659,n.d.,2055.09,975493.5,25.67,975467.83,104612.2,9.0,-194039.47,n.d.,552275.71,743999.7899999999,774300.52,0,119590.93,543370.91,123195.41,n.d.,107877.42,80856.239,111276.94,885577.4600000001,80856.239,-3399.519,n.d.,231580.07,1614545.51,1614545.51,693593.08
2015,630036.8300000001,5964.38,450221.05,203979.4,403834.38,95961.92,61610.51,5273.03,332207.09,99864.55,432071.64,2488.3,1796.949,881336.02,204865.51,n.d.,4104.89,4104.89,923018.42,24982.480000000003,930588.76,n.d.,850.11,1223903.15,25.67,1223877.48,95961.92,9.0,-197689.69,n.d.,442459.72,677356.62,734762.2899999999,0,95176.459,630036.8300000001,162751.34999999998,n.d.,96609.77,71627.29,99864.55,834626.8400000001,71627.29,-3254.78,n.d.,150437.91,1674124.2,1674124.2,637787.26
2014,713760.48,5636.76,150890.62,203979.4,300438.93000000005,67633.95999999999,61610.51,496.0,258290.31,62780.36,321070.67,2488.3,-2652.46,798899.4500000001,222711.47,n.d.,6726.820000000001,6726.820000000001,779777.2799999999,14865.56,792199.2799999999,n.d.,960.64,1466828.6,25.67,1466802.93,67633.95999999999,8.0,-180783.18,n.d.,147906.31999999998,594920.05,661784.9600000001,0,37812.02,713760.48,105059.29,n.d.,57014.18,42148.62,62780.36,724565.3200000001,42148.62,-5766.179,n.d.,53947.28999999999,1617719.22,1617719.22,544742.7789999999
