Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,205209.69,200854.18,646408.2899999999,61302.0,110561.06,678556.26,385826.75,386714.47,74007.62000000001,83995.12000000001,158002.74000000002,197746.1,383606.389,150668.94999999998,216583.1,n.d.,35465.6,35465.6,1247901.24,11976.08,1270529.6,n.d.,0,406974.0,11852.44,389237.93000000005,678556.26,7,-217387.5,5883.63,61947.719999999994,89366.95,507978.22000000003,5316.81,105505.91,210526.5,692186.8400000001,n.d.,48529.52,36553.439,83995.12000000001,591973.3400000001,36553.439,-35465.6,n.d.,61947.719999999994,1053382.29,1053382.29,374585.839
2022,250266.52,151061.37,579941.14,61302.0,74646.09,668792.73,457700.44,320721.34,68751.88,36125.97,104877.85,238246.3,407906.27,114115.51,269326.94,n.d.,28414.2,28414.2,1228704.99,1817.56,1230225.25,n.d.,0,472880.97,17261.27,449736.07,667892.74,9,-187227.73,5883.63,20973.5,52813.51,525306.5510000001,4464.58,75213.69,254731.1,683975.5,n.d.,7711.769999999999,5894.21,36125.97,561432.52,5894.21,-28414.2,n.d.,20973.5,1052822.11,1052822.11,374204.79
2021,421077.13999999996,129282.18000000001,510859.68,61302.0,79267.37000000001,623396.8200000001,286960.64999999997,254219.68,69859.07,37536.97,107396.04,229250.99,354188.49000000005,108221.3,228243.99,n.d.,25319.52,25319.52,1055273.34,2878.8700000000003,1070633.34,n.d.,69.72,515603.52,5988.59,503731.3,625100.59,8,-111596.48999999999,5883.63,27389.01,46919.3,409699.55,3799.06,77122.87000000001,424876.2,493365.7,n.d.,12287.17,9408.3,37536.97,447236.52,9408.3,-25249.8,n.d.,27389.01,1026463.2,1026463.2,335709.75
2020,478045.28,136515.87,457710.1,61302.0,46111.33,434968.41000000003,203402.27000000002,212663.22,41078.37,32528.08,73606.45,226105.71000000002,302253.06,98813.0,279387.32,n.d.,25810.99,25810.99,897101.31,1684.1299999999999,897101.31,n.d.,0,548269.51,3884.73,538501.15,434031.24,10,-109139.12900000002,5883.63,18941.17,37511.0,429604.819,1896.91,87306.28,479942.19,427224.42,n.d.,6717.09,5032.96,32528.08,462132.9,5032.96,-25810.99,n.d.,18941.17,1005979.61,1005979.61,352993.77
2019,415950.78,164244.05,503358.44,61302.0,19822.18,273463.74,170042.71000000002,251409.16,15942.06,28728.8,44670.86,224581.4,311746.51,93780.04,263200,n.d.,23555.29,23555.29,706107.75,1293.3899999999999,706233.9,n.d.,0,508372.25,2280.72,499449.11,292904.12,11,-124899.3,6642.42,27367.88,32478.039,404041.36,1008.91,166704.2,416959.69,500990.96,n.d.,5173.51,3880.12,28728.8,432770.16,3880.12,-23555.29,n.d.,27367.88,1011730.69,1011730.69,307870.86
2018,229527.47999999998,78222.19,389264.51,61302.0,26360.45,344111.1,140289.009,200007.31,18170.25,20764.45,38934.7,188057.2,309842.32,89899.92,108575.18000000001,n.d.,9814.19,9814.19,601485.97,2760.06,604028.549,n.d.,0,217599.01,716.98,210950.09,354026.9,6,-112407.569,5931.94,1200,28597.92,239152.99899999998,528.8299999999999,68396.09,230056.31,286907.29000000004,n.d.,10950.26,8190.2,20764.45,259917.449,8190.2,-9814.19,n.d.,n.d.,606863.52,606863.52,147509.87999999998
2017,120297.77,74685.57,369840.51,61302.0,24573.440000000002,270430.57,27643.25,225267.95,15270.3,20133.43,35403.72899999999,144572.56,295154.94,81709.72,108900.52,n.d.,7684.24,7684.24,538265.73,3146.05,538608.66,n.d.,0,113736.26,1746.49,107764.64,275558.92000000004,5,-123873.84,4225.13,n.d.,20407.719,248044.66,61.96,179178.49899999998,120359.73,281507.32,n.d.,12449.19,9303.14,20133.43,268178.09,9303.14,-7684.24,n.d.,n.d.,483576.77,483576.77,144304.25
2016,125498.70999999999,28702.74,246814.99,61302.0,21142.8,205715.31,22452.47,122630.98,13698.51,16922.6,30621.11,124184.01,218112.25,72406.58,105809.48,n.d.,6971.78,6971.78,466181.23000000004,2506.53,466226.649,n.d.,0,105820.65,3232.44,95278.99,204711.11000000002,5,-124080.75,7309.22,n.d.,11104.58,243588.74000000002,0,103575.14,125498.70999999999,154730.34999999998,n.d.,9950.82,7444.289,16922.6,260511.33899999998,7444.289,-6971.78,n.d.,n.d.,352635.64,352635.64,136430.59
2015,117634.75,31177.17,225173.29,61302.0,14002.41,206293.71000000002,15866.9,96963.96,9405.710000000001,13717.52,23123.23,128209.33,193996.12,64962.28999999999,83988.45999999999,n.d.,7757.81,7757.81,426768.87,1562.24,426768.87,n.d.,199.23,89075.69,4718.4,74541.54,211578.2,5,-113363.47,9815.75,n.d.,3660.29,206757.639,0,84607.87000000001,117634.75,131651.94,n.d.,6158.94,4596.7,13717.52,220475.15899999999,4596.7,-7558.58,n.d.,n.d.,314248.98000000004,314248.98000000004,107310.92
2014,133537.44999999998,24045.01,205780.2,61302.0,11930.12,171708.67,23106.7,75021.02,10432.869999999999,13013.63,23446.5,130759.18000000001,181735.19,60365.59,101680.19,n.d.,11173.64,11173.64,387134.56,499.09,387134.56,n.d.,156.35000000000002,102617.97,n.d.,91239.98,170750.91999999998,5,-90299.2,11377.99,n.d.,-936.409,202412.259,0,67343.42,133537.44999999998,114495.13,n.d.,1996.34,1497.25,13013.63,215425.88899999997,1497.25,-11017.289,n.d.,n.d.,308398.17,308398.17,125283.04
2013,156653.94999999998,17233.49,216505.88,61302.0,18415,128485.2,22235.2,79472.23999999999,10840.32,23521.74,34362.06,130982.78,193221.53,58868.34,90424.62000000001,n.d.,13422.17,13422.17,356895.03,2524.8900000000003,356898.81,n.d.,0,113611.93,n.d.,101734.85,128800.08,4,-103626.93,11877.08,6050.860000000001,-2433.66,204891.87,0,75126.83,156653.94999999998,114595.52,n.d.,10099.57,7574.68,23521.74,228413.61000000002,7574.68,-13422.17,n.d.,6050.860000000001,330117.81,330117.81,124786.68
2012,137784.22,11454.02,191437.29,61302.0,8842.65,90664.7,36881.49,53169.350000000006,6026.68,16990.1,23016.78,129824.33,171539.66,51293.66,72682.9,n.d.,13350.75,13350.75,262038.36,938.66,262038.36,n.d.,115.28,126977.14,n.d.,112575.17,91693.6,3,-75673.98,14401.97,8443.61,-10008.34,154383.55899999998,0,81001.04,137784.22,129336.55,n.d.,3754.63,2815.9700000000003,16990.1,171373.66,2815.9700000000003,-13235.47,n.d.,8443.61,318414.43000000005,318414.43000000005,95814.959
2011,147065.46,15216.66,194248.82,61302.0,-33286.69899999999,91225.03,43223.57,48963.810000000005,5579.08,-38713.82,-33134.738999999994,126725.85,160473.0,48477.69,75055.55,n.d.,13007.28,13007.28,201215.46,-12855.26,201859.9,n.d.,0.06,82342.48,n.d.,67001.85,91032.57,3,-68714.06,15340.63,18559.16,-12824.309,149348.68899999998,0,22607.92,147065.46,81048.15000000001,n.d.,-51721.04,-38865.78,-38713.82,110634.87000000001,-38865.78,-13007.22,n.d.,18559.16,276591.3,276591.3,41920.87
2010,10000,17806.21,156209.97,61302.0,6274.92,86400.31,54896.15,26064.0,9403.75,5095.91,14499.66,127766.68000000001,136024.47,87343.47,79189.47,n.d.,9267.73,9267.73,233740.47999999998,-1042.95,233791.18,n.d.,0.04,63170.99,n.d.,60685.62,86207.48999999999,3,-53701.74,2485.3700000000003,2379.29,26041.47,142294.96,0,49335.13,10000,122037.49,n.d.,-4171.779,-3128.829,5095.91,147390.87,-3128.829,-9267.689,n.d.,1820.61,219380.96,219380.96,93689.17100000002
2009,20000,11178.4,131872.94,61302.0,12088.84,109031.15000000001,n.d.,3836.66,7458.67,18754.02,26212.69,128036.28,120694.54,90472.3,75247.68000000001,n.d.,12580.51,12580.51,218258.78,1543.3899999999999,218296.34,n.d.,0.05,64203.78999999999,n.d.,62761.37,102941.43999999999,3,-7804.820000000001,1442.42,n.d.,29170.3,90511.16900000001,0,74426.03,20000,85604.43,n.d.,6173.56,4630.17,18754.02,109265.19,4630.17,-12580.46,n.d.,n.d.,196076.73,196076.73,101460.419
