Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,1843.42,105073.95,63707.28,4758.95,46254.78,15000,25845.64,1478.09,10616.65,12094.740000000002,n.d.,24002.22,15107.87,454185.02,n.d.,4579.929999999999,4579.929999999999,586556.51,2760.06,589392.48,n.d.,4.2,16918.309999999998,2254.68,6593.33,46254.78,10,-76857.93999999999,8070.3,79228.31,-48599.41,532521.049,0,90040.97,n.d.,106884.39,n.d.,6040.92,3280.86,10616.65,543137.7,3280.86,-4575.73,n.d.,51903.810000000005,121992.26,121992.26,466283.96
2022,n.d.,8288.740000000002,78249.03,63707.28,3185.6,40024.54,n.d.,27724.53,849.1700000000001,6761.44,7610.610000000001,n.d.,19435.79,11827.01,422065.22,n.d.,3199.24,3199.24,538757.57,1227.39,540945.8300000001,n.d.,1.62,17616.97,2988.8500000000004,3797.7599999999998,40024.54,11,-71245.459,10830.36,50524.5,-51880.27,494159.85,0,75750.25,n.d.,84038.98999999999,n.d.,3563.82,2336.4300000000003,6761.44,500921.29000000004,2336.4300000000003,-3197.62,n.d.,23646.62,95866.0,95866.0,429677.449
2021,n.d.,15292.210000000001,126276.82,63707.28,7331.63,46393.02,27003.960000000003,38697.26,696.58,13935.3,14631.88,n.d.,23405.05,9490.58,409121.08,n.d.,3224.44,3224.44,545422.2899999999,4079.99,547288.43,n.d.,4.18,18029.55,2521.53,3450.27,46393.02,11,-77142.45,12057.75,87579.56,-54216.7,486960.11,0,92519.62,n.d.,134815.79,n.d.,10715.04,6635.05,13935.3,500895.41000000003,6635.05,-3220.26,n.d.,59763.57,144306.37,144306.37,423757.14
2020,8056.59,19640.05,103109.6,63707.28,-12083.45,48254.850000000006,n.d.,48280.22,2020.11,-16171.32,-14151.21,n.d.,28640.17,2855.53,459347.34,n.d.,1453.9,1453.9,584748.6799999999,-3517.05,586297.9,n.d.,4.609999999999999,21286.32,1269.55,3879.03,48254.850000000006,14,-92846.92,16137.740000000002,54829.380000000005,-60851.75,554214.37,0,93843.75,8056.59,113483.8,n.d.,-17620.609999999997,-14103.56,-16171.32,538043.05,-14103.56,-1449.29,n.d.,27741.84,124395.92,124395.92,445200.74
2019,12983.25,14374.740000000002,119792.28,63707.28,-21638.9,53285.33,n.d.,31908.02,1725.6899999999998,-28373.71,-26648.02,n.d.,17533.280000000002,16959.09,467056.1,n.d.,1276.76,1276.76,591854.37,-6172.6900000000005,592235.48,n.d.,113.19,19789.38,2241.01,4927.68,53285.33,15,-98542.07,12620.689,87884.26,-46748.19,567323.8600000001,0,95264.579,12983.25,109639.32,n.d.,-29537.28,-23364.59,-28373.71,538950.15,-23364.59,-1163.57,n.d.,64439.7,139581.66,139581.66,440521.269
2018,n.d.,14499.56,132061.34,63707.28,5585.839,56809.27,n.d.,43673.310000000005,1549.99,9235.88,10785.869,n.d.,29173.75,40323.68,459740.41,n.d.,3248.54,3248.54,616010.89,1958.05,617909.72,n.d.,6.56,10267.84,696.14,4825.320000000001,56809.27,15,-90574.17000000001,4746.38,88388.03,-23383.6,551864.57,0,87505.939,n.d.,102005.5,n.d.,5993.9,4035.849,9235.88,561100.4500000001,4035.849,-3241.98,n.d.,77831.8,142329.18,142329.18,470532.839
2017,n.d.,17166.51,152530.94,63707.28,1707.6699999999998,58178.659999999996,5422.73,50426.3,1669.22,3070.2,4739.42,n.d.,33259.78999999999,36287.83,455999.44,n.d.,1988.99,1988.99,625979.19,1147.35,626320.009,n.d.,104.59,10639.53,n.d.,5893.150000000001,58178.66,15,-107402.48999999999,4746.38,102104.64,-27419.45,565071.15,0,104293.4,n.d.,126882.64,n.d.,1185.8,38.45,3070.2,568141.349,38.45,-1884.4,n.d.,76383.55,163170.47,163170.47,460843.449
2016,5952.120000000001,16949.91,154558.37999999998,63707.28,2075.019,47480.950000000004,5673.28,55352.99,1588.32,3597.9300000000003,5186.25,n.d.,38403.08,36249.380000000005,441018.55,n.d.,1805.95,1805.95,596601.5,1599.38,596979.76,n.d.,294.1,10363.75,n.d.,5617.37,47480.95,15,-103294.01,4746.38,99205.39,-27457.899,545900.879,0,100097.44,5952.120000000001,122720.63,n.d.,2086.08,486.699,3597.9300000000003,549498.81,486.699,-1511.85,n.d.,78632.40999999999,164922.13,164922.13,446498.9
2015,12127.77,22361.08,158431.57,63707.28,2906.9500000000003,48154.09,5383.71,69683.54,1249.39,8057.48,9306.869,n.d.,47322.459,35762.68,418872.86,n.d.,3527.22,2205.25,594571.54,3595.59,595971.49,n.d.,722.89,11492.07,n.d.,6745.6900000000005,48154.09,15,-119637.67000000001,4746.38,88748.03,-27944.6,539759.919,0,94288.4,12127.77,122033.19,n.d.,5253.150000000001,1657.559,8057.48,547817.4,1657.559,-2804.3300000000004,n.d.,84604.61,169923.64,169923.64,427580.65
2014,17988.21,19988.260000000002,167979.62,63707.28,-12586.47,51353.37,5108.96,84876.87000000001,1592.1899999999998,-16276.04,-14683.85,n.d.,64888.61,33643.37,453785.55,n.d.,2234.94,2026.91,570667.14,-3473.15,587004.54,n.d.,859.1700000000001,10917.36,7.8,2690.03,51353.37,15,-96549.47,8219.53,83102.75,-30063.909,551927.21,0,102168.18,17988.21,127265.4,n.d.,-17651.809999999998,-14178.66,-16276.04,535651.1699999999,-14178.66,-1375.77,n.d.,83102.75,178896.97999999998,178896.97999999998,439752.839
