Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,33474.28,12461.34,302490.97000000003,3006.0,n.d.,29458.06,44325.850000000006,14358.15,n.d.,4864.84,4864.84,271303.96,273200.77,246284.25,147447.47999999998,n.d.,4163.85,4163.85,225032.54,n.d.,225032.54,n.d.,0.0,74376.58,n.d.,74376.58,29458.06,5,-43262.159999999996,n.d.,16828.86,243278.25,190709.64,0,40321.83,33474.28,97109.02,n.d.,700.99,700.99,4864.84,195574.47999999998,700.99,-4163.85,n.d.,16828.86,376867.55,376867.55,152312.31999999998
2022,49123.51,n.d.,292016.61,3006.0,11709.83,47156,40812.229999999996,14569.75,11460.640000000001,9043.95,20504.59,271303.96,285873.71,245583.26,140774.44,n.d.,8794.76,8794.76,248991.46,n.d.,248991.46,n.d.,0.0,74376.58,n.d.,74376.58,47156.0,4,-40556.43,n.d.,6142.9,242577.26,192791.51,0,30874.19,49123.51,71686.42,n.d.,249.19,249.19,9043.95,201835.46,249.19,-8794.76,n.d.,6142.9,366393.19,366393.19,161279.03
2021,2966.3,23767.51,354614.93000000005,3006.0,3322.5,63421.11,38545.17,59247.82,1757.05,1565.45,3322.5,272403.66,307883.97000000003,245794.07,118118.91,n.d.,0.0,n.d.,223260.29,n.d.,223260.29,n.d.,0.0,69310.43,n.d.,54596.350000000006,63421.11,4,-38397.77,14714.08,22963.45,242788.07,158273.729,0,112852.31,2966.3,175164.99,n.d.,1565.45,1565.45,1565.45,159839.18,1565.45,0.0,n.d.,20316.91,423925.36,423925.36,121441.41
2020,5826.06,21153.36,331225.34,3006.0,6618.29,49002.380000000005,40557.719999999994,15159.12,1726.12,5118.57,6844.6900000000005,305671.75,299677.51,244228.62,101160.95,n.d.,226.4,226.4,204017.81,n.d.,205838.91,n.d.,0.0,56353.53,1381.59,54971.94,49002.380000000005,4,-48830.89,n.d.,10394.47,241222.62,151717.96,0,75813.11,5826.06,137524.19,n.d.,4892.17,4892.17,5118.57,156836.53,4892.17,-226.4,n.d.,7747.929999999999,387578.87,387578.87,108005.639
2019,31837.52,10817.17,340057.59,3006.0,n.d.,54196.159999999996,47592.15,15377.6,n.d.,2930.32,2930.32,321321.75,325882.18,239336.45,135298.16,n.d.,1932.11,1932.11,230563.52,n.d.,234934.169,n.d.,0.0,65241.42,1381.59,55833.4,54196.16,4,-42509.53,8026.429999999999,3358.24,236330.449,177807.69,0,75715.72,31837.52,134125.04,n.d.,998.21,998.21,2930.32,180738.009,998.21,-1932.11,n.d.,711.7,405299.01,405299.01,138228.479
2018,57120.06,11720.93,338550.05,3006.0,-14588.51,60112.1,53272.41,4563.54,1902.12,-16175.76,-14273.64,327258.72000000003,320101.329,238338.24,161770.22,n.d.,314.87,314.87,252424.65,n.d.,256731.759,n.d.,0.0,57214.99,1381.59,55833.4,60112.1,4,-49123.08,n.d.,6727.79,235332.24,212795.419,0,35313.4,57120.06,100306.74,n.d.,-16490.629999999997,-16490.629999999997,-16175.76,196619.65899999999,-16490.629999999997,-314.87,n.d.,4081.25,395765.04,395765.04,147496.58
2017,87346.15000000001,33999.67,373009.04,3005.06,2334.2799999999997,112288.92,42565.74,33783.01,1420.1299999999999,3188.38,4608.51,326298.95,326082.29000000004,254828.87,139615.34,n.d.,2274.23,2274.23,317360.28,n.d.,322216.22000000003,n.d.,0.0,63917.11,1541.59,62375.52,112288.92,4,-65703.45,n.d.,12927.08,251823.81,206738.919,0,18185.72,87346.15000000001,94751.13,n.d.,914.15,914.15,3188.38,209927.3,914.15,-2274.23,n.d.,6943.95,436926.15,436926.15,144223.84999999998
2016,90250.92,17677.57,369119.96,3005.06,1202.139,73380.83,38461.21,30416.82,439.08,7621.75,8060.83,334399.8,347139.05,253914.72,117619.52,n.d.,6858.6900000000005,6858.6900000000005,248830.4,n.d.,248830.4,n.d.,0.0,55733.01,1701.59,54031.42,73380.83,4,-49769.219999999994,n.d.,4303.34,250909.66,167827.81999999998,0,24548.55,90250.92,80687.33,n.d.,763.06,763.06,7621.75,175449.57,763.06,-6858.6900000000005,n.d.,1656.8,424852.97,424852.97,125680.35
2015,112989.42,16781.17,376940.11,3005.06,17350.17,75844.02,16377.08,31296.07,14014.47,19979.13,33993.6,335097.05,349611.95,253151.66,131236.06,n.d.,16643.527000000002,16643.527000000002,302401.44,n.d.,302401.44,n.d.,0.1,52521.11,1328.26,51192.850000000006,75844.02,4,-61327.759,n.d.,10546.99,250146.6,206578.289,0,30161.89,112989.42,63320.14,n.d.,3335.7,3335.7,19979.13,226557.419,3335.7,-16643.428000000004,n.d.,7900.45,429461.22,429461.22,165229.758
2014,123337.18,49313.93,375737.95,3005.06,21593.52,117447.73,8423.15,32706.42,17509.3,17427.920000000002,34937.219999999994,336422.3,319814.79000000004,89830.95999999999,186803.19,n.d.,13359.54,13359.54,400136.0,n.d.,400136.0,n.d.,15.84,64099.810000000005,1898.26,62201.55,117447.73,5,-60947.86,n.d.,6609.23,86825.9,265260.349,0,168932.54,123337.18,226669.62,n.d.,4084.22,4084.22,17427.920000000002,282688.27,4084.22,-13343.7,n.d.,5212.6900000000005,439837.76,439837.76,221756.25
