Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,83495.9,62837.09,189343.17,36060.73,25877.05,404107.04,n.d.,2931.19,22046.23,9250.31,31296.54,117050.7,57144.8,401346.52,143073.63,n.d.,4417.42,4417.42,682759.31,1042.38,704256.52,n.d.,40.31,425464.57,2031.85,422260.86,404107.04,3.0,-125779.31,1171.86,69361.28,365285.79,290899.17,2816.3500000000004,64311.880000000005,86312.25,127148.97,n.d.,4873.2,3830.819,9250.31,300149.48000000004,3830.819,-4377.110000000001,n.d.,47361.28,614807.74,614807.74,174410.47999999998
2022,114393.43,83416.17000000001,281749.02,36060.73,38859.01,722934.48,n.d.,32881.14,25398.97,21113.460000000003,46512.43,101853.31,51318.28,398823.58,157731.58,n.d.,3815.46,3738.44,1042750.22,3837.96,1057870.6390000002,n.d.,0.0,395492.64,2579.65,391741.13,722934.48,4.0,-130692.15000000001,1171.86,147014.57,362762.85,313822.699,3357.3,77251.18000000001,117750.73,160667.34999999998,n.d.,17298.0,13460.04,21113.460000000003,334936.159,13460.04,-3815.46,n.d.,124994.12000000001,677241.66,677241.66,204166.99
2021,70608.97,97090.93,227741.07,36060.73,52754.7,622218.48,n.d.,11621.99,24630.68,38773.86,63404.54,91143.85,5674.91,390963.54,131894.67,n.d.,2709.75,2709.75,905399.6,8156.8,925033.309,n.d.,216.71,403866.31,3127.4500000000003,399567.0,622218.48,3.0,-107515.62000000001,1171.86,124975.23,354902.81,264040.97000000003,3898.25,69045.69,74507.22,166136.62,n.d.,36280.82,28124.02,38773.86,302814.829,28124.02,-2493.04,n.d.,102774.79,631607.38,631607.38,195515.92
2020,67651.25,103501.39,215679.11,36060.73,61610.78,509069.38,n.d.,n.d.,22425.0,53952.71,76377.709,76301.3,-27200.089,367044.52,110304.48,n.d.,2613.12,2613.12,775602.69,12178.82,792928.1,n.d.,25.01,396003.14,1816.1499999999999,393015.13,509069.38,2.0,-97176.53,1171.86,139377.81,330983.79000000004,229906.01,4439.2,69045.89,72090.45,172547.28,n.d.,51364.6,39185.78,53952.71,283858.72000000003,39185.78,-2588.109,n.d.,117353.43,611682.25,611682.25,186707.199
2019,94304.55,97674.34,187424.39,36060.73,46325.69,475747.4,n.d.,8547.57,18631.91,38257.76,56889.67,86936.1,-2190.669,331189.99000000005,97224.34,n.d.,1812.92,1751.97,673327.51,8751.06,691666.97,n.d.,0.0,416277.29,n.d.,415105.43000000005,475747.4,2.0,-61805.56,1171.86,91940.72,295129.26,177661.81,4980.150000000001,75552.65000000001,99284.7,173226.99,n.d.,36444.84,27693.78,38257.76,215919.569,27693.78,-1812.92,n.d.,69600.93999999999,603701.6799999999,603701.6799999999,154053.06
2018,73907.65000000001,72883.37000000001,172596.72,36060.73,28330.28,450756.18,n.d.,n.d.,16324.09,17282.39,33606.479,106651.99,33768.619999999995,315864.41000000003,94432.15,n.d.,1813.04,1813.04,618119.7,3463.16,630771.5,n.d.,0.0,386744.41,n.d.,385572.55,450756.18,2.0,-51976.689999999995,1171.86,65944.73,279803.68,162732.93,5521.1,91164.6,79428.75,164047.97,n.d.,15469.35,12006.19,17282.39,180015.31999999998,12006.19,-1813.04,n.d.,43944.729999999996,559341.13,559341.13,128038.62900000002
2017,83633.43,77828.45999999999,186737.12,36060.73,35183.36,479476.03,n.d.,10724.96,17877.460000000003,26476.45,44353.91,135446.0,68342.499,303858.22000000003,103156.69,n.d.,3781.49,3781.49,669057.04,5389.06,681186.1699999999,n.d.,0.0,402105.22,n.d.,400933.36,479476.03,2.0,-54199.54,1171.86,40566.16,267797.49000000005,175233.68899999998,6062.05,117460.18,89695.48,195288.64,n.d.,22694.960000000003,17305.898999999998,26476.45,201710.14,17305.898999999998,-3781.49,n.d.,18566.16,588842.3400000001,588842.3400000001,147510.599
2016,90977.29,68705.5,193570.77,36060.73,30274.460000000003,453300.82,n.d.,n.d.,18476.16,19205.18,37681.34,159467.54,90762.04,290952.32,92174.68,n.d.,3611.06,3611.06,639971.47,3795.82,651184.8200000001,n.d.,0.0,418867.81,n.d.,417695.95,453300.82,4.0,-68027.98,1171.86,34103.23,254891.59,178678.819,6603,155200.47,97580.29,223905.97,n.d.,15594.12,11798.3,19205.18,197883.99899999998,11798.3,-3611.06,n.d.,34103.229999999996,612438.58,612438.58,129856.019
2015,62175.380000000005,88253.16,227509.13,36060.73,29692.18,444291.23000000004,n.d.,16417.05,19527.71,14739.34,34267.05,181165.6,109329.489,300404.02,84458.28,n.d.,476.93,476.93,614569.72,4109.42,624129.039,n.d.,11.48,363716.96,n.d.,362545.1,444291.23,4.0,-61112.48,1171.86,29926.480000000003,264343.28900000005,165098.47,7143.95,133249.579,69319.33,221502.74,n.d.,14273.89,10164.47,14739.34,179837.80899999998,10164.47,-465.45,n.d.,29926.480000000003,591226.09,591226.09,118736.81
2014,4444.57,88362.01,277580.96,36060.73,22796.26,410137.63,n.d.,15668.77,16648.18,8453.06,25101.239,196001.12,123307.87900000002,302239.55,78776.05,n.d.,87.61999999999999,87.61999999999999,555544.59,2217.36,571005.039,n.d.,0.0,336169.72000000003,n.d.,335032.85,410137.63,4.0,-56990.119999999995,1136.87,65911.07,266178.82,152414.34999999998,6603,212101.55,11047.57,300463.56,n.d.,8365.44,6148.08,8453.06,160867.40899999999,6148.08,-87.61999999999999,n.d.,62682.119999999995,613750.6799999999,613750.6799999999,103877.29
