Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,306451.54,996562.66,999755.94,123207.46,102483.75,4241676.42,24376.04,658159.6799999999,78575.59,40705.71,119281.299,275037.16,-63365.819,534855.26,478331.89,n.d.,8828.16,8828.16,5371298.88,7969.39,5371298.88,n.d.,0.0,1056596.05,n.d.,1017842.38,4241676.42,14.0,-532009.2699999999,38753.67,66559.1,411647.8,1088916.75,0,194106.49,306451.54,1215045.1900000002,n.d.,31877.55,23908.16,40705.71,1129622.46,23908.16,-8828.16,n.d.,66559.1,2056351.99,2056351.99,597613.19
2022,462099.31,1287273.21,1368170.02,123207.46,87345.56,4034543.04,58434.9,952132.86,63354.32,39308.18,102662.5,416037.16,80896.81,510947.1,381233.83,n.d.,7319.860000000001,7319.860000000001,5022662.1,7997.08,5022794.470000001,n.d.,0.0,1142050.62,n.d.,1109846.95,4034543.04,11.0,-504355.1,32203.67,n.d.,387739.64,948943.25,0,191466.12,462099.31,1537174.23,n.d.,31988.32,23991.239,39308.18,988251.429,23991.239,-7319.860000000001,n.d.,n.d.,2510220.64,2510220.64,483896.33
2021,211465.22,754642.4,1001789.33,123207.46,71734.09,2985808.44,82233.16,735730.81,45022.53,40568.74,85591.269,135437.16,116525.57,486955.86,314491.68,n.d.,4953.33,4953.33,3715626.43,8903.849999999999,3715626.43,n.d.,0.0,636508.31,n.d.,597604.64,2985808.44,9.0,-329735.04,38903.67,130621.36,363748.4,689249.25,0,103001.0,211465.22,939876.56,n.d.,35615.41,26711.56,40568.74,729817.99,26711.56,-4953.33,n.d.,130621.36,1638297.64,1638297.64,400082.95
2020,268807.66,685946.57,1086338.07,123207.46,71636.64,2463202.54,63996.02,620034.4500000001,44888.16,45275.33,90163.49,194437.16,128525.04,460244.3,268708.4,n.d.,8552.710000000001,8552.710000000001,3122496.18,9974.14,3125646.46,n.d.,0.0,515375.78,n.d.,485778.88,2463202.54,11.0,-303572.03,29596.9,271866.46,337036.83900000004,617168.59,0,122719.3,268807.66,872661.89,n.d.,36722.62,26748.480000000003,45275.33,662443.919,26748.480000000003,-8552.710000000001,n.d.,271866.46,1601713.85,1601713.85,358871.89
2019,129411.53,627373.19,880772.41,123207.46,91522.98,2754059.71,65757.14,487457.76,61913.06,44932.39,106845.45,330437.16,190521.729,433495.82,235010.59,n.d.,5576.59,5228.38,3445954.48,9862.58,3445954.48,n.d.,116.7,505113.94,n.d.,475517.04,2754059.71,7.0,-350038.73000000004,29596.9,62877.49,310288.36,646962.38,0,129848.67,129411.53,822979.0,n.d.,39472.5,29609.92,44932.39,691894.7699999999,29609.92,-5459.89,n.d.,59078.99,1385886.35,1385886.35,341624.52900000004
2018,263017.43000000005,491251.64999999997,749906.54,123207.46,69910.43,2641226.04,8297.76,419709.11,40507.32,47089.47,87596.79,319937.16,248394.62,403885.9,209149.48,n.d.,7892.85,7892.85,3257993.83,9801.04,3257993.83,n.d.,7.53,523427.0,n.d.,493830.1,2641226.04,7.0,-320021.51900000003,29596.9,10260.27,280678.44,569678.3200000001,0,106880.8,263017.43000000005,606430.21,n.d.,39204.15,29403.11,47089.47,616767.7899999999,29403.11,-7885.320000000001,n.d.,10260.27,1273333.54,1273333.54,296753.8
2017,347198.64999999997,656614.2799999999,980880.29,123207.46,57848.16,2479296.38,42742.78,424086.81,31129.45,44617.86,75747.31,335271.11,102743.639,374482.79,198926.7,n.d.,8392.06,8392.06,2967326.3,9839.57,2967326.3,n.d.,332.48,563330.8500000001,n.d.,521314.08,2479296.38,7.0,-213355.91,42016.77,221522.37,251275.33,443412.06,0,123172.639,347198.64999999997,822529.7,n.d.,36558.28,26718.71,44617.86,488029.91900000005,26718.71,-8059.58,n.d.,198602.37,1544211.14,1544211.14,275006.49000000005
2016,195082.86,404746.77,782761.24,123207.46,66583.55,2295345.66,136060.16,373147.21,42805.810000000005,46432.73,89238.54,313175.0,281575.4390000001,347764.08,153951.06,n.d.,14672.65,14672.65,2740822.68,7982.34,2740822.68,n.d.,0.0,381735.69,193.67,362445.25,2295345.66,8.0,-202287.41999999998,19096.77,96439.03,224556.62,399044.29000000004,0,80843.06,195082.86,621649.99,n.d.,31760.08,23777.74,46432.73,445477.02,23777.74,-14672.65,n.d.,73519.03,1164496.93,1164496.93,243189.6
2015,133102.25,507508.88,837112.49,123207.46,53842.59,2035590.98,120426.04,420751.75,40300.86,36347.56,76648.42,368453.4,281696.27,323986.34,133975.34,n.d.,19649.59,19649.59,2444025.61,3385.4300000000003,2444025.61,n.d.,229.19,271265.48000000004,412.67,268756.04,2035590.98,5.0,-197810.87,2096.77,47907.340000000004,200778.88,372087.07,0,23354.460000000003,133102.25,651289.38,n.d.,16927.16,13541.73,36347.56,408434.629,13541.73,-19420.4,n.d.,47907.340000000004,1108377.97,1108377.97,210852.949
2014,176605.56,489382.21,808495.04,123207.46,77376.76,1582792.58,33823.159999999996,401485.52,59468.66,38312.53,97781.19,341906.75,254010.06,310444.61,140976.11000000002,n.d.,15927.4,15927.4,1977556.2,4477.03,1977556.2,n.d.,0.0,247270.26,631.6700000000001,244541.82,1582792.58,5.0,-156006.31999999998,2096.77,65102.77,187237.15,356451.09,0,45509.76,176605.56,568715.13,n.d.,22385.13,17908.1,38312.53,394763.619,17908.1,-15927.4,n.d.,65102.77,1055765.3,1055765.3,238757.3
