Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,105713.40999999999,9902.91,372967.31,323584.92000000004,10644.9,307084.96,171860.56,58703.45,6890.38,24876.13,31766.51,310719.09,359519.63,185281.96,123998.88,n.d.,21121.609999999997,20662,550669.7899999999,n.d.,550669.7899999999,n.d.,0,142751.25,n.d.,141311.25,307084.96,6,-87819.43999999999,1440,3544.77,-138302.96,218708.7,0,42959.72,105713.40999999999,224723.19,n.d.,3754.52,3754.52,24876.13,243584.83,3754.52,-21121.61,n.d.,3544.77,515718.56,515718.56,155305.78
2022,124884.43,8048.58,376175.32,323584.92000000004,n.d.,250305.28,158061.71000000002,56111.36,n.d.,22581.13,22581.13,310719.09,358781.87,181527.44,118069.16,n.d.,18060.59,13694.01,473168.72,n.d.,473168.72,n.d.,0,144755.93,n.d.,143315.93,250305.28,6,-82213.15000000001,1440,9344.87,-142057.479,200282.31,0,48409.09,124884.43,214519.38,n.d.,4520.54,4520.54,22581.13,222863.43899999998,4520.54,-18060.59,n.d.,9344.869999999999,520931.25,520931.25,136283.71000000002
2021,154100.52,30797.69,363556.43000000005,323584.92000000004,86426.92,190584.81999999998,125615.77,48982.68,5871.9,94153.13,100025.03,302719.09,320904.08,177006.9,75514.85,n.d.,13598.11,13029.4,343204.84,n.d.,422201.34,n.d.,0,144755.93,n.d.,143315.93,190584.82,4,-56076.64,1440,11854.66,-146578.02,137463.38899999997,0,20791.480000000003,154100.52,177204.94,n.d.,80555.02,80555.02,94153.13,231616.52,80555.02,-13598.11,n.d.,11854.66,508312.36,508312.36,174971.169
2020,183825.3,39686.47,349055.09,323584.92000000004,n.d.,167220.96,168706.66,43440.68,n.d.,-98547.09,-98547.09,302719.09,306473.3,96451.88,81700.53,n.d.,13134.31,11750.18,215441.34,n.d.,215441.34,n.d.,0,150627.83,n.d.,149187.83,167220.96,6,-65066.94,1440,2895.32,-227133.039,146767.47,0,11012.61,183825.3,219405.74,n.d.,-111681.4,-111681.4,-98547.09,48220.380000000005,-111681.4,-13134.31,n.d.,2895.32,499682.92,499682.92,-18230.689
2019,222460.12,46012.42,500409.39,323584.92000000004,n.d.,224862.28,147952.55,60283.24,n.d.,39599.28,39599.28,428964.36,443235.18,208133.28,147478.01,n.d.,17724.82,15588.56,505975.13,n.d.,505975.13,n.d.,0,150627.83,n.d.,149187.83,224862.28,7,-94035.56,1440,11161.79,-115451.64,241513.57,0,26478.85,222460.12,220443.82,n.d.,21874.460000000003,21874.460000000003,39599.28,281112.85,21874.460000000003,-17724.82,n.d.,11161.79,651037.22,651037.22,184941.03
2018,135261.81999999998,75993.32,494625.64,323584.92000000004,n.d.,204018.09,179925.25,62308.16,n.d.,42252.56,42252.56,428964.36,415279.2,186258.82,140354.78,n.d.,21263,20889.37,474983.01,n.d.,474983.01,n.d.,0,150627.83,n.d.,149187.83,204018.09,7,-88357.58,1440,3353.12,-137326.1,228712.36,0,67814.26,135261.81999999998,323732.83,n.d.,20989.56,20989.56,42252.56,270964.92000000004,20989.56,-21263.0,n.d.,3353.12,645253.47,645253.47,182233.71
2017,130871.45,50212.33,456358.68,323584.92000000004,n.d.,253460.27000000002,161037.44999999998,56400.25,n.d.,-4120.31,-4120.31,396760.36,402948.279,165269.26,150316.47,n.d.,22273.238999999998,20773.82,495189.89,n.d.,495193.82,n.d.,0,126283.83,n.d.,124843.83,253460.27,7,-95537.39,1440,3198.07,-158315.66,245853.86,0,75252.02,130871.45,286501.8,n.d.,-26393.55,-26393.55,-4120.31,241733.55,-26393.55,-22273.239,n.d.,3198.07,582642.51,582642.51,144696.74000000002
2016,126046.84,21423.05,407628.27,323584.92000000004,n.d.,251449.02,130224.37000000001,36987.24,n.d.,25874.31,25874.31,368929.86,384494.05,191662.81,146764.04,n.d.,23979.16,20854.69,517356.39,n.d.,517356.39,n.d.,0,113928.46,n.d.,112488.46,251449.02,7,-93269.02,1440,1711.1699999999998,-131922.11000000002,240033.06,0,52199.66,126046.84,203847.08,n.d.,1895.15,1895.15,25874.31,265907.37,1895.15,-23979.16,n.d.,1711.1699999999998,521556.73,521556.73,169513.87999999998
2015,142796.84999999998,20913.85,454724.68,323584.92000000004,n.d.,231719.46,155807.28,42585.43,n.d.,27513.0,27513.0,411910.45,433582.03,189767.66,150824.15,n.d.,26345.808999999997,24502.37,512613.96,n.d.,512613.96,n.d.,122.57,113928.46,n.d.,112488.46,231719.46,7,-102557.35,1440,228.8,-133817.259,253381.5,0,59367.5,142796.84999999998,236088.63,n.d.,1289.76,1289.76,27513.0,280894.5,1289.76,-26223.239,n.d.,228.8,568653.14,568653.14,176616.28
2014,74222.54,64838.42,480209.61,323584.92000000004,n.d.,259783.41,172916.81999999998,66869.59,n.d.,30304.79,30304.79,410205.0,412236.17,188477.9,150698.59,n.d.,28583.66,24800.01,551507.99,n.d.,551507.99,n.d.,0,113928.46,n.d.,112488.46,259783.41,7,-110721.2,1440,3135.02,-135107.02,261419.789,0,93682.39,74222.54,331437.63,n.d.,1721.13,1721.13,30304.79,291724.579,1721.13,-28583.66,n.d.,3135.02,594138.07,594138.07,177219.73
