Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,216884.84999999998,56892.74,44699.55,54099.0,19987.66,232638.68,3976.42,342.78,15506.15,8911.05,24417.199,455.7,-56094.259,3083.68,187652.2,n.d.,3074.48,3074.48,498634.48000000004,1355.06,498634.48000000004,n.d.,0.0,289654.06,n.d.,24114.16,232638.68,6,-53926.4,265539.9,43901.07,-51015.32,257084.75,0,53515.92,216884.84999999998,114385.08,n.d.,5836.57,4481.51,8911.05,265995.8,4481.51,-3074.48,n.d.,33044.57,334353.61,334353.61,212069.4
2022,222651.04,46133.08,123133.77,54099.0,-18246.229,132598.69,3976.42,1609.14,18410.29,-47364.93,-28954.64,1537.48,-42986.46,-3479.55,108190.5,n.d.,1492.1,1492.1,239547.47,-12200.51,239547.47,n.d.,0.0,306515.27,n.d.,30537.75,132598.69,4,-27712.920000000002,275977.52,119987.15,-57578.549,154313.71000000002,0,160368.05,222651.04,210477.55,n.d.,-48857.03,-36656.52,-47364.93,106948.78,-36656.52,-1492.1,n.d.,102465.8,429649.04,429649.04,79235.86
2021,226618.84,47975.28,39627.47,54099.0,7218.45,91836.4,3976.42,342.78,9794.98,-1461.15,8333.83,9827.25,-37805.25,33176.97,128976.54,n.d.,1783.66,1783.66,253532.69,-666.3199999999999,254488.64,n.d.,1.96,312725.05,n.d.,37020.24,91836.4,4,-25341.87,275704.809,29457.44,-20922.03,164113.38999999998,0,40605.01,226618.84,92556.71,n.d.,-3242.8500000000004,-2576.529,-1461.15,162652.24000000002,-2576.529,-1781.7,n.d.,29457.44,352352.52,352352.52,137312.33
2020,223406.2,30572.59,5430.92,54099.0,-1405.299,123610.45,3829.7,228.52,9162.44,-10633.95,-1471.51,821.63,-29522.44,35753.5,101330.45,n.d.,3462.64,3462.64,255916.68,-3522.58,255916.68,n.d.,6.2700000000000005,318129.92000000004,n.d.,34008.87,123610.45,4,-32447.29,284121.05,4380.77,-18345.5,142940.18,0,29998.85,223406.2,64401.14,n.d.,-14090.32,-10567.740000000002,-10633.95,132306.229,-10567.740000000002,-3456.3700000000003,n.d.,4380.77,323560.84,323560.84,99865.21
2019,270208.97000000003,64450.450000000004,81779.16,54099.0,95514.87,2079388.86,6044.29,68593.65000000001,9162.44,109840.45,119002.89,7824.09,11967.289,46321.24,203393.25,n.d.,5125.9,5125.9,2466733.19,18362.12,2466733.19,n.d.,0.0,323769.78,n.d.,34088.75,509589.25,7,-64948.189,289681.03,5361.42,-7777.76,277503.88,0,18523.99,270208.97000000003,89018.73,n.d.,104714.55,86352.43,109840.45,387344.329,86352.43,-5125.9,n.d.,5361.42,405548.94,405548.94,322396.14
2018,326403.96,96642.6,1678977.28,54099.0,20797.960000000003,-205830.49,31890.609999999997,92918.58,9140.77,26467.02,35607.78999999999,1585246.96,1581522.94,-40031.19,255591.73,n.d.,8259.54,8259.54,136596.69,6739.110000000001,136596.69,n.d.,188.82,351548.36,n.d.,34168.63,633951.99,8,-51227.659999999996,317379.73000000004,811.74,-94130.19,315960.16,0,1615619.66,326403.96,1744152.87,n.d.,18396.3,11657.189,26467.02,342427.179,11657.189,-8070.72,n.d.,811.74,2030525.64,2030525.64,291388.34
2017,358323.78,40572.27,768078.76,54099.0,29032.629,-183540.19,12506.04,36807.63,9082.56,36406.12,45488.68,729869.04,726104.4,-51688.380000000005,152354.23,n.d.,7927.48,7927.48,n.d.,8528.57,52321.659999999996,n.d.,0.0,367235.44,n.d.,33907.33,216745.55,6,-38018.94,333328.11,1402.09,-105787.38,199455.73,126.71000000000001,775473.7799999999,358450.49000000005,828552.09,n.d.,28478.64,19950.07,36406.12,235861.84999999998,19950.07,-7927.48,n.d.,1402.09,1135314.2,1135314.2,197842.91
2016,387116.83999999997,10134.79,363535.02,54099.0,-6400.85,-19035.12,11007.76,33760.840000000004,9082.56,-10439.53,-1356.97,329731.39,353357.44,-71638.45,59060.52,n.d.,9761.57,9761.57,43636.37,-4717.6900000000005,52156.37,n.d.,0.0,384846.57,n.d.,33907.33,18276.49,2,-13487.94,350939.24,42.790000000000006,-125737.45,81631.02,126.71000000000001,411633.937,387243.55,432776.4900000001,n.d.,-20201.1,-15483.41,-10439.53,71191.48999999999,-15483.41,-9761.57,n.d.,42.790000000000006,748381.59,748381.59,57703.549
2015,398430.02,3683.36,322067.88,54099.0,-1690.8,4906.860000000001,10636.53,27590.32,9202.85,-3125.51,6077.34,290909.07,314816.03,-56155.04,17203.82,n.d.,11291.09,11291.09,n.d.,-3522.9500000000003,37015.03,n.d.,0.0,389211.44,n.d.,33907.33,4906.860000000001,1,-8827.01,355304.11,3568.49,-110254.04,35233.679,126.71000000000001,354557.74,398556.73000000004,368877.63,n.d.,-14416.6,-10893.65,-3125.51,32108.17,-10893.65,-11291.09,n.d.,3568.49,711279.3200000001,711279.3200000001,23281.159
2014,409190.1,n.d.,307556.89,54099.0,-8620.849999999999,16735.980000000003,10049.88,13933.88,9697.31,-9816.76,-119.45,292725.08,306658.96,-45261.39,23745.19,n.d.,14572.39,14572.39,45809.08,-6070.99,54329.08,n.d.,0.0,394891.34,n.d.,34027.619999999995,16735.980000000003,1,-13967.359999999999,360863.72,897.93,-99360.39,47409.86,126.71000000000001,328342.93000000005,409316.81,338392.81,n.d.,-24389.15,-18318.16,-9816.76,37593.1,-18318.16,-14572.39,n.d.,897.93,702448.23,702448.23,23625.739
2013,419614.99000000005,6226.56,307920.54,54099.0,313720.98000000004,1656670.71,9477.98,7591.18,11072.02,377779.06,388851.08,299937,301301.62,-26943.23,24569.15,n.d.,18749.21,18749.21,2106147.92,56380.89,2114667.92,n.d.,0.0,398517.66,n.d.,34642.37,60605.26,2,-44576.98,363875.29,392.36,-81042.229,80218.15000000001,126.71000000000001,297935.19,419741.7,313639.73000000004,n.d.,359029.85,302648.95900000003,377779.06,457997.20900000003,302648.95900000003,-18749.21,n.d.,392.36,706438.2,706438.2,413420.23
2012,432128.17,5479.39,1973207.54,54099.0,-44981.47,-56302.609,8187.76,35054.43,22158.37,-65706.03,-43547.66,1936789.32,1966364.36,-329592.19,76733.72,n.d.,18256.15,18256.15,20015.5,-16784.960000000003,28535.5,n.d.,37.38,465945.23,n.d.,36631.83,166448.22,3,-51652.05,429313.4,1363.79,-383691.19,150544.14,101.36999999999999,2322848.27,432229.54,2336515.42,n.d.,-83924.8,-67139.84,-65706.03,84838.10900000001,-67139.84,-18218.77,n.d.,1363.79,2439152.77,2439152.77,33223.44
2011,416172.22000000003,n.d.,1796937.0,54099.0,-66200.28,-195861.52,11366.83,51665.87,33032.059,-108996.76,-75964.701,1712147.03,1763812.9,-262452.349,207421.87,n.d.,15068.1,15068.1,n.d.,-24808.09,8520,n.d.,24.43,468907.62,n.d.,47296.619999999995,360382.27,7,-72924.349,421611.0,33124.1,-316551.35,313378.27900000004,101.36999999999999,2100656.55,416273.59,2112023.38,n.d.,-124040.43,-99232.34,-108996.76,204381.52,-99232.34,-15043.67,n.d.,33124.1,2265844.62,2265844.62,131481.599
2010,427507.62,27744.25,1139104.35,54099.0,-75232.68000000001,-181312.15,14075.439,21661.62,32881.42,-115333.7,-82452.28,1109490.61,1103407.98,-163220.01,230308.05,n.d.,17869.52,17869.52,78595.83,-24889.02,87115.83,n.d.,200.1,475942.53,n.d.,70057.06,274395.91000000003,9,-120572.20999999999,405885.47,7952.120000000001,-217319.01,383761.68,101.36999999999999,1308838.21,427608.99000000005,1350657.9,n.d.,-133003.12,-108114.099,-115333.7,268427.98000000004,-108114.099,-17669.420000000002,n.d.,7952.120000000001,1615046.88,1615046.88,148055.87
2009,376976.73000000004,11024.44,728056.65,54099.0,26258.53,-274260.66,12023.08,15281.78,25468.480000000003,25661.31,51129.78999999999,660430,664687.3400000001,-55105.91,151465.1,n.d.,24703.71,24703.71,n.d.,230.13,8520,n.d.,62.58,483960.27,n.d.,93855.92,268801.22000000003,6,-80185.77,390104.35,52344.87,-109204.91,257119.34999999998,126.71000000000001,866971.87,377103.44,890019.39,n.d.,1020.18,790.05,25661.31,282780.66,790.05,-24641.129,n.d.,52344.87,1212016.92,1212016.92,202657.47
