Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,407516.63,106231.93999999999,289685.57,384045.39,399863.0,911454.93,123567.90999999999,121843.29,222750.99,245372.23,468123.22,1106.76,16718.108999999997,1699848.81,905087.14,n.d.,17124.68,17124.68,3096169.54,51135.54,3118903.48,n.d.,0,2346651.45,n.d.,2323421.66,911454.93,35.0,-834238.19,23229.79,166735.52,1315803.42,1962076.3190000001,53688.24,245483.49,461204.87,475283.34,n.d.,228247.55,177112.009,245372.23,2207448.55,177112.009,-17124.68,n.d.,166735.52,2636337.02,2636337.02,1373210.3590000002
2022,618901.66,103980.43999999999,190629.12,384045.39,467112.55,870303.37,122104.549,18611.79,217583.44,345325.19,562908.63,n.d.,-85368.65000000001,1522736.8,830022.2899999999,n.d.,17080.129999999997,17080.129999999997,2969255.2,78715.95,2998166.12,n.d.,0,2425381.1,n.d.,2400651.31,870303.37,35.0,-734931.8300000001,24729.79,172017.33,1138691.41,1782537.56,53003.86,195282.91,671905.52,421367.9,n.d.,328245.06,249529.11,345325.19,2127862.75,249529.11,-17080.129999999997,n.d.,172017.33,2616010.22,2616010.22,1392930.92
2021,889944.4400000001,106867.79,102406.63,384045.39,496761.87,690848.2799999999,94557.38,12306.859999999999,217608.3,395891.39,613499.69,n.d.,-94560.93,1273207.6900000002,686089.1699999999,n.d.,23486.2,23486.2,2345107.27,93251.62,2517308.97,n.d.,0,2437580.61,n.d.,2412850.82,690848.2799999999,31.0,-526871.829,24729.79,90099.77,889162.3,1430569.3,1486.2,173923.74000000002,891430.64,375348.91,n.d.,372405.19,279153.57,395891.39,1826460.6900000002,279153.57,-23486.2,n.d.,90099.77,2539987.24,2539987.24,1299588.86
2020,1406127.02,133332.87,209260.09,384045.39,6286.72,324552.66,149795.08,23105.39,250079.74,-299821.84,-49742.1,20938.99,-89288.489,994054.12,462590.65,n.d.,26159.94,26159.94,1109396.43,-81164.34,1145592.319,n.d.,1024.42,2675467.58,n.d.,2572348.18,324552.66,21.0,-408191.11,103119.4,165215.71000000002,610008.73,1120861.5,0,201418.579,1406127.02,484546.53,n.d.,-324957.36,-243793.02,-299821.84,821039.659,-243793.02,-25135.519,n.d.,165215.71000000002,2884727.67,2884727.67,413872.97
2019,1295651.78,97206.36,254891.38,384045.39,238998.0,663556.56,169533.37,27469.84,230485.11,38352.84,268837.949,16223.640000000001,-53512.880000000005,1237847.14,820786.76,n.d.,26963.07,26963.07,2326295.04,2938.3100000000004,2343875.76,n.d.,61.43,2811706.49,n.d.,2786976.7,663556.56,34.0,-590694.49,24729.79,211197.9,853801.75,1641966.3590000002,2827.23,263531.99000000005,1298479.01,530271.72,n.d.,11451.2,8512.89,38352.84,1680319.2,8512.89,-26901.64,n.d.,211197.9,3066597.87,3066597.87,1089686.14
2018,1446008.98,56637.11,479770.4900000001,384045.39,196354.05,472249.67,166804.1,21630.260000000002,184687.25,43013.810000000005,227701.06,13300.2,-21706.649999999998,1229334.25,701753.23,n.d.,27774.78,27774.78,1899701.82,3626.1,1912211.45,n.d.,53.87,2702731.23,n.d.,2683918.44,472249.67,28.0,-510507.49000000005,18812.79,444840.03,845288.8600000001,1396947.97,2480.9,281236.38,1448489.8800000001,504677.59,n.d.,15292.9,11666.8,43013.810000000005,1439961.78,11666.8,-27720.91,n.d.,444840.03,3182501.72,3182501.72,929508.16
2017,1331342.6700000002,46023.159999999996,278080.25,384045.39,250137.02,380876.23000000004,134446.79,138874.73,233968.12,45560.46,279528.58,12055.449999999999,104907.02,1217667.45,644319.23,n.d.,24593.35,24593.35,1811869.34,4798.21,1823715.29,n.d.,0,2719307.38,n.d.,2709812.83,380876.23,27.0,-518991.25,9494.55,127150.07,833622.06,1397278.6,2118.29,265789.27,1333460.96,446259.22,n.d.,20967.11,16168.9,45560.46,1442839.06,16168.9,-24593.35,n.d.,127150.07,2997387.63,2997387.63,923847.809
2016,647074.38,18600.18,253874.21,384045.39,217280.67,177098.8,140454.28,39745.51,192272.66,55941.99,248214.65,n.d.,21145.329999999998,1201498.55,384370.63,n.d.,23028.23,23028.23,1268398.56,8121.650000000001,1274460.52,n.d.,215.9,2061854.51,n.d.,2053584.77,177098.8,19.0,-464776.44,8269.740000000002,214128.7,817453.16,1041419.73,1638.47,306462.86,648712.8500000001,465517.32,n.d.,33129.66,25008.01,55941.99,1097361.72,25008.01,-22812.329,n.d.,214128.7,2315728.72,2315728.72,632801.1799999999
2015,930999.31,303.41999999999996,376340.82,384045.39,207782.37,161575.59,19788.24,10039.68,180660.25,60768.84,241429.09,n.d.,9736.26,1180091.49,378166.98,n.d.,25612.06,25612.06,1155288.0,8262.98,1161788.52,n.d.,228.32000000000002,1995541.51,109.66,1988674.13,161575.59,19.0,-380616.86,6757.72,366301.14,796046.1,939444.09,826.3,239873.57,931825.61,259965.23,n.d.,35385.1,27122.12,60768.84,1000212.93,27122.12,-25383.74,n.d.,366301.14,2371882.33,2371882.33,619824.39
2014,1046954.26,8475.38,433883.89,384045.39,227208.09,155379.23,19788.24,29276.95,201169.61,54986.57,256156.18,n.d.,20801.57,1152969.37,340385.44,n.d.,22500.42,22500.42,995784.11,6555.360000000001,1001927.299,n.d.,107.69,2009134.81,702.74,2002138.4,155379.23,16.0,-250006.44999999998,6293.67,404606.94,768923.98,791561.5,0,214831.45,1046954.26,243095.07,n.d.,32593.84,26038.480000000003,54986.57,846548.07,26038.480000000003,-22392.73,n.d.,404606.94,2443018.7,2443018.7,596649.31
2013,900437.04,1889.87,114073.01,384045.39,239235.55,125630.42,19788.24,26589.38,212320.21,58620.67,270940.88,n.d.,24699.51,1126930.89,324348.52,n.d.,26071.28,26071.28,931244.27,6728.84,948004.66,n.d.,1094.79,2182349.33,1784.06,2180271.6,125630.42,16.0,-227084.84,293.67,87483.63,742885.5,763753.57,2172.3300000000004,245203.97,902609.37,266882.08,n.d.,33644.18,26915.34,58620.67,822374.24,26915.34,-24976.489,n.d.,52483.63,2296422.34,2296422.34,596384.19
