Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,87636.12000000001,n.d.,48080.97,n.d.,n.d.,n.d.,n.d.,n.d.,-1404.27,-1404.27,n.d.,-87636.12000000001,-3723.83,n.d.,n.d.,0.0,n.d.,n.d.,n.d.,n.d.,n.d.,0,172066.21000000002,n.d.,170626.21000000002,n.d.,n.d.,-1404.27,1440.0,n.d.,-51804.8,1404.27,0,88153.92,n.d.,175790.04,n.d.,-1404.27,-1404.27,-1404.27,n.d.,-1404.27,0.0,n.d.,n.d.,172066.21000000002,172066.21000000002,-1404.27
2022,n.d.,87636.12000000001,n.d.,48080.97,n.d.,n.d.,n.d.,n.d.,n.d.,6991.120000000001,6991.120000000001,n.d.,-87636.12000000001,-2319.56,n.d.,n.d.,10574.84,10574.84,n.d.,n.d.,n.d.,n.d.,0,172066.21000000002,n.d.,170626.21000000002,n.d.,n.d.,6991.120000000001,1440.0,n.d.,-50400.53,-6991.120000000001,0,86749.65000000001,n.d.,174385.77000000002,n.d.,-3583.72,-3583.72,6991.120000000001,n.d.,-3583.72,-10574.84,n.d.,n.d.,172066.21000000002,172066.21000000002,6991.120000000001
2021,n.d.,74529.34,2099.1,48080.97,n.d.,n.d.,n.d.,2099.1,n.d.,-460.96,-460.96,n.d.,-72430.239,1264.16,n.d.,n.d.,851.52,851.52,n.d.,n.d.,n.d.,n.d.,0,172066.21000000002,n.d.,170626.21000000002,n.d.,n.d.,-460.96,1440.0,n.d.,-46816.810000000005,460.96,0,98371.81,n.d.,172901.15,n.d.,-1312.48,-1312.48,-460.96,n.d.,-1312.48,-851.52,n.d.,n.d.,174165.31,174165.31,-460.96
2020,n.d.,83196.32,26725.38,48080.97,n.d.,n.d.,n.d.,9632.97,n.d.,-418.91,-418.91,n.d.,-73563.35,2576.64,n.d.,n.d.,0.0,n.d.,n.d.,n.d.,n.d.,n.d.,0,172066.21000000002,n.d.,170626.21000000002,n.d.,n.d.,-418.90999999999997,1440.0,17092.41,-45504.329,418.90999999999997,0,113018.63,n.d.,196214.95,n.d.,-418.91,-418.91,-418.91,n.d.,-418.91,0.0,n.d.,17092.41,198791.59,198791.59,-418.91
2019,225554.31999999998,116279.03,50910.96,48080.97,-3480.8300000000004,n.d.,558.39,6130.92,382.97999999999996,-2580.68,-2197.7,n.d.,-110148.11,-222558.77,354.68,n.d.,1283.13,1283.1299999999999,n.d.,n.d.,n.d.,n.d.,0,172066.21000000002,n.d.,170626.21000000002,n.d.,n.d.,-1843.02,1440.0,44780.04,-270639.74,2580.68,0,103144.2,225554.31999999998,219981.62,n.d.,-3863.81,-3863.81,-2580.68,n.d.,-3863.81,-1283.13,n.d.,44780.04,222977.17,222977.17,-1843.02
2018,225554.31999999998,117040.27,58800.52,48080.97,18215.25,14934.4,558.39,6074.17,6960.8,11441.88,18402.68,n.d.,-110966.1,-218694.96,2128.08,n.d.,187.44,187.44,53207.28,n.d.,53207.28,n.d.,0.01,175649.19,n.d.,171009.19,14934.4,1,-17742.12,4640.0,52726.350000000006,-266775.93000000005,26830.999,0,109991.69,225554.31999999998,227590.35,n.d.,11254.45,11254.45,11441.88,38272.880000000005,11254.45,-187.43,n.d.,52726.350000000006,234449.71,234449.71,20530.77
2017,225421.31999999998,121384.59,38972.3,48080.97,-23089.45,39479.03,574.59,14955,24000.980000000003,-45890.58,-21889.6,14300,-92129.59,-229949.41,2161.59,n.d.,1199.85,1199.85,67877.58,n.d.,67877.58,n.d.,0,182609.99,n.d.,177969.99,1179.03,1,-48126.56,4640.0,9717.3,-278030.38,74289.13,0,104151.2,225421.31999999998,226110.38,n.d.,-47090.43,-47090.43,-45890.58,28398.55,-47090.43,-1199.85,n.d.,3117.3,221582.29,221582.29,-19728.01
2016,226676.31999999998,113658.47,53170.4,48080.97,-12230.55,13877.729000000001,35.690000000000005,n.d.,28366.440000000002,-36972.71,-8606.27,52600,-61058.47,-182858.98,23873.280000000002,n.d.,3625.27,3625.27,87250.47,n.d.,87250.47,n.d.,0.99,206610.97,n.d.,201970.97,51631.380000000005,2,-58105.729999999996,4640.0,570.4,-230939.95,110345.45,0,102269.87,226676.31999999998,215964.03,n.d.,-40596.99,-40596.99,-36972.71,73372.739,-40596.99,-3624.28,n.d.,570.4,259781.37,259781.37,15268.0
2015,226676.31999999998,150312.78,102024.86,48080.97,-73084.34,32769.619999999995,10.4,40156.03,28666.440000000002,-89167.86,-60501.42,58660.57,-51496.179,-142261.99,136233.87,n.d.,12582.92,12582.91,190063.08,n.d.,190063.08,n.d.,0,234977.41,n.d.,230337.41,32769.619999999995,8,-81561.01,4640.0,3208.2599999999998,-190342.96,246461.31999999998,0,102264.76,226676.31999999998,252587.94,n.d.,-101750.78,-101750.78,-89167.86,157293.46,-101750.78,-12582.92,n.d.,3208.2599999999998,337002.27,337002.27,75732.43999999999
2014,225126.31999999998,152079.59,180865.94999999998,48080.97,-50090.479,177910.19,2316.52,104762.67000000001,28816.440000000002,-48829.69,-20013.25,58534.42,11217.5,-40511.21,193982.87,n.d.,30077.23,30067.23,456610.56,n.d.,456610.56,n.d.,0,263643.849,n.d.,259003.85,156623.27000000002,9,-104730.75,4640.0,17568.86,-88592.18000000001,327530.06,0,105498.58,225126.31999999998,259894.69,n.d.,-78906.92,-78906.92,-48829.69,278700.37,-78906.92,-30077.23,n.d.,4658.860000000001,444509.8,444509.8,173959.62
