Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,925678.37,615413.55,995235.0,206156.25,169284.52,2154264.32,163957.43,630761.41,124306.6,100110.74,224417.34,312797.73000000004,328145.58900000004,1305622.76,612929.08,n.d.,51016.1,51016.1,3464108.91,4116.72,3470855.9,n.d.,0.0,2057558.07,41610.310000000005,1940832.74,2055215.83,20.0,-479245.16,75115.02,51675.859,1099466.51,1216480.8390000002,511.62,41609.34,926189.99,820980.3200000001,n.d.,49094.64,44977.92,100110.74,1316591.58,44977.92,-51016.1,n.d.,77.02,3052793.07,3052793.07,837346.419
2022,1163244.3900000001,668023.66,1195899.72,206156.25,100980.09,1896659.94,264584.43000000005,732331.3300000001,126930.9,5454.45,132385.34999999998,411846.22,476153.889,1236938.83,614348.01,n.d.,31718.51,31718.51,3087619.54,-313.25,3105304.06,n.d.,0.0,2174264.75,52253.27,2045981.38,1998939.04,22.0,-461910.76,76030.1,51722.17,1030782.58,1203189.6700000002,1426.7,35946.46,1164671.09,968554.55,n.d.,-26264.06,-25950.81,5454.45,1208644.12,-25950.81,-31718.51,n.d.,123.33,3370164.47,3370164.47,746733.3600000001
2021,1147690.25,622930.11,1059191.22,206156.25,122912.22,1976313.97,237648.27000000002,697994.81,128639.82,23332.63,151972.44999999998,309567.12,384631.82,1302669.4,555899.06,n.d.,29446.83,29446.83,3164097.95,-386.6,3172959.13,n.d.,0.0,2295004.98,72113.86,2147174.27,2006220.81,21.0,-488773.64999999997,75716.85,51629.289,1096513.15,1173312.53,14686.54,28571.63,1162376.79,889150.01,n.d.,-6114.2,-5727.599,23332.63,1196645.1600000001,-5727.599,-29446.83,n.d.,30.45,3354196.2,3354196.2,707871.51
2020,963437.4400000001,597634.8600000001,1104210.99,206156.25,114113.15,1846495.46,418859.11,772812.37,128351.48,15632.69,143984.169,279660.28,454837.7890000001,1313662.35,573723.72,n.d.,29871.02,29871.02,3001746.57,n.d.,3010607.75,n.d.,0.0,2277615.83,93458.79,2109820.72,1836025.8,24.0,-446404.39900000003,74336.32,51738.34,1107506.0990000002,1148479.6,17288.440000000002,70944.62000000001,980725.88,1087438.59,n.d.,-14238.33,-14238.33,15632.69,1164112.289,-14238.33,-29871.02,n.d.,139.5,3381826.82,3381826.82,717707.89
2019,620646.4500000001,642884.24,957394.02,206156.25,165823.7,1769917.23,712977.39,666879.9500000001,127170.36,76166.11,203336.47,290129.94,314125.649,1334546.56,551377.7,n.d.,33147.350000000006,33147.350000000006,3012050.49,4365.42,3012050.49,n.d.,0.0,2441058.92,115042.32,2200081.44,1780596.5,21.0,-487419.08900000004,125935.16,384.13,1128390.31,1165967.1500000001,19503.74,67894.55900000001,640150.19,1423756.1900000002,n.d.,43018.76,38653.34,76166.11,1242133.26,38653.34,-33147.350000000006,n.d.,384.13,3398452.94,3398452.94,754714.169
2018,666634.5,510523.18,1157856.06,206156.25,157919.86,1658560.049,938804.8300000001,878006.05,117719.17,67474.22,185193.39,279450.67,646933.54,1302539.1,526221.3500000001,n.d.,30909.23,30909.23,2810243.96,-317.6,2810243.96,n.d.,3318.1,2344158.08,137955.24000000002,2079742.68,1652983.38,23.0,-440269.17,126460.16,399.34,1096382.8490000002,1084209.6900000002,22036.64,61475.89,688671.14,1510803.9,n.d.,39883.09,40200.689,67474.22,1151683.91,40200.689,-27591.13,n.d.,399.34,3502014.14,3502014.14,714732.8400000001
2017,774755.4600000001,483177.46,1215283.62,206156.25,119803.19,1499228.0990000002,1017713.8,929312.12,106380.55,47930.02,154310.57,285027.34,731162.0,1268984.29,487923.17,n.d.,35378.03,35378.03,2595834.88,-317.6,2595834.88,n.d.,553.05,2419694.4,162270.36,2130963.88,1570487.14,19.0,-454373.04,126460.16,944.16,1062828.04,1048676.759,24569.54,65777.47,799325,1566668.73,n.d.,13105.04,13422.64,47930.02,1096606.78,13422.64,-34824.979,n.d.,944.16,3634978.02,3634978.02,642786.7899999999
2016,690845.14,495378.39,1100765.8,206156.25,123878.04,1463210.22,915768.4,886674.99,101365.3,61595.17,162960.47,213768.3,605064.9,1262207.53,477269.85,n.d.,39925.03,39925.03,2554172.75,-842.6,2558474.93,n.d.,0.0,2352050.21,185354.41,2040235.64,1446835.93,20.0,-455034.39,126460.16,322.51,1056051.28,1033669.54,27102.440000000002,61514.11,717947.58,1472660.9,n.d.,21670.14,22512.739,61595.17,1095264.71,22512.739,-39925.03,n.d.,322.51,3452816.01,3452816.01,640230.3200000001
2015,702464.09,485524.82,936242.9,206156.25,106467.75,1421164.53,726399.69,705086.21,90551.69,64665.91,155217.6,230142.59,449703.9790000001,1249468.53,497137.98,n.d.,49161.57,49161.57,2430728.55,-411.71999999999997,2449407.27,n.d.,0.0,2323070.7,204324.71000000002,1992810.83,1446472.36,17.0,-375887.16,125935.16,1014.1,1043312.28,963576.829,29635.34,65821.13,732099.43,1277745.64,n.d.,15504.34,15916.06,64665.91,1028242.74,15916.06,-49161.57,n.d.,1014.1,3259313.6,3259313.6,652355.58
2014,789444.43,366171.04,835475.22,206156.25,97900.65,1237629.59,666303.71,630094.9600000001,86357.29,92462.25,178819.539,204834.76,468758.68,1240198.35,384578.86,n.d.,81430.43,81430.43,2053566.64,-511.54,2054066.64,n.d.,0.0,2321272.08,184453.16,1980883.76,1175858.59,15.0,-253038.65,155935.16,545.5,1034042.1,723974.7989999999,32262.36,62367.41,821706.7899999999,1094842.16,n.d.,11031.82,11543.36,92462.25,816437.049,11543.36,-81430.43,n.d.,545.5,3156747.3,3156747.3,563398.399
