Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,162908.55,721658.73,3543034.4,60101.21,378939.33,4659254.34,165670.479,973672.68,88872.54,466046.67,554919.21,845506.51,1097520.46,2033529.76,1291240.82,n.d.,67087.149,14591.69,6688530.22,108893.17,6713820.22,n.d.,0.44,1514968.7,2908.44,778307.42,4883342.149999999,37,-208405.849,733752.8400000001,1723855.21,1973428.55,1588519.21,0,1974235.58,162908.55,2861564.79,n.d.,398959.96,290066.79000000004,466046.67,2054565.8790000002,290066.79000000004,-67086.709,n.d.,1216293.8,5058003.1,5058003.1,1793665.01
2022,325889.33999999997,844606.53,2408948.74,60101.21,228149.29,4082241.6,189626.28,743386.52,58441.82,232244.41,290686.23000000004,209954.1,108734.089,1806712.73,1141412.93,n.d.,12006.16,12006.16,5797127.42,56535.82,5825914.939,n.d.,6005.04,1262652.77,n.d.,783864.9400000001,4082241.6,35,-311574.18,478787.83,1455608.1190000002,1746611.52,1511428.93,0,504766.63,325889.33999999997,1538999.44,n.d.,226243.29,169707.47,232244.41,1743673.3390000002,169707.47,-6001.120000000001,n.d.,678175.11,3671601.51,3671601.51,1438104.2
2021,435165.42000000004,569360.3,1721771.63,60101.21,116975.34,3079666.1,170688.05,426954.56,42528.47,98753.71,141282.18,187376.0,44970.26,1637005.26,1035804.83,n.d.,15919.26,15919.26,4526021.99,25065.7,4551787.89,n.d.,16678.117,1231909.53,n.d.,759558.47,3079666.1,32,-295034.77900000004,472351.06,1107441.069,1576904.049,1373368.0790000001,0,141462.13,435165.42000000004,881510.48,n.d.,99512.57,74446.87000000001,98753.71,1472121.79,74446.87000000001,758.8569999999999,n.d.,624869.03,2953681.16,2953681.16,1193765.13
2020,662087.1699999999,391464.02,1533948.91,60101.21,138648.87999999998,4254703.21,34103.479,608838.2799999999,53384.0,134113.84999999998,187497.85,129695.0,347069.26,1562558.39,889851.93,n.d.,16572.7,16572.7,5533978.34,35698.07,5559152.1,n.d.,3421.8,1366489.23,n.d.,781942.19,4170211.42,n.d.,-227099.11000000002,584547.04,795415.63,1502457.1800000002,1170335.04,0,250225.08,662087.1699999999,675792.58,n.d.,120962.95,85264.88,134113.84999999998,1304448.8890000002,85264.88,-13150.9,n.d.,524322.6699999999,2900438.14,2900438.14,1080771.58
2019,116736.23,1003230.08,1494292.58,60101.21,101142.31,3729915.7600000002,30469.97,580562.81,42258.68,92326.21,134584.88999999998,410446.23,-12221.039,1477293.51,864936.66,n.d.,11387.29,11387.29,4852347.5,22055.29,4878044.970000001,n.d.,0.0,1298862.82,n.d.,731495.3200000001,3729915.76,30,-148607.66,567367.5,503283.54,1417192.299,1055803,0,165425.61000000002,116736.23,1199125.66,n.d.,80938.92,58883.63,92326.21,1148129.21,58883.63,-11387.29,n.d.,239858.62,2793155.4,2793155.4,999521.55
2018,188023.19,637991.21,1227431.44,60101.21,110547.22,2050232.83,80498.75,415093.86,44871.34,96867.78,141739.12,461604.46,238707.11,1418409.88,773334.24,n.d.,11348.52,11348.52,3114650.89,21891.960000000003,3140090.89,n.d.,2048.58,1238527.61,n.d.,650770.14,2050232.83,27,-174784.7,587757.47,350733.119,1358308.6700000002,992990.2799999999,0,141036.02,188023.19,859525.98,n.d.,87567.84,65675.88,96867.78,1089858.06,65675.88,-9299.94,n.d.,84809.45,2465959.05,2465959.05,917121.94
2017,218827.27000000002,602428.09,1633094.99,60101.21,118128.72,1827322.79,99289.22,612837.26,60946.91,91407.81,152354.72,383470.73,393879.9,1352734.0,783023.01,n.d.,15174.13,15174.13,2932078.23,19060.6,2961860.57,n.d.,8.729999999999999,875981.42,n.d.,671671.0,1827322.79,27,-199160.05,204310.42,636787.0,1292632.79,1043129.97,0,235797.83,218827.27000000002,937515.14,n.d.,76242.40999999999,57181.810000000005,91407.81,1134537.779,57181.810000000005,-15165.4,n.d.,31427.84,2509076.41,2509076.41,935386.46
2016,282580.61,571111.57,1613061.74,60101.21,64344.59,1438539.72,223428.29,400941.44,30677.5,62576.62,93254.12,520128.59,349958.46,1295552.1900000002,793928.52,n.d.,17721.66,17721.66,2457178.39,11222.36,2482868.39,n.d.,34.49,1004681.41,n.d.,740239.41,1570615.32,27,-157146.03,264442.0,691991.71,1235450.98,981752.05,0,245070.49,282580.61,1039610.35,n.d.,44889.45,33667.09,62576.62,1044328.6699999999,33667.09,-17687.17,n.d.,16796.91,2617743.15,2617743.15,887217.13
2015,374884.28,604708.97,1605495.61,60101.21,107184.069,2698160.02,182212.87,460142.66,50176.5,87735.5,137912.0,400701.64,256135.33,1261885.1,896227.73,n.d.,11846.91,11846.91,3930923.09,19002.52,3956363.09,n.d.,121.5,983973.57,n.d.,747777.55,2698160.02,31,-224063.34,236196.02,744651.31,1201783.89,1170467.57,0,165777.96,374884.28,952699.8,n.d.,76010.09,57007.569,87735.5,1258203.0690000001,57007.569,-11725.41,n.d.,159938.17,2589469.18,2589469.18,1034261.23
2014,364139.02,538477.3400000001,1468080.96,60101.21,76724.93999999999,2738408.7600000002,160627.91999999998,492837.69,28621.89,82922.57,111544.46,358574.1,312934.45,1204877.53,855939.7,n.d.,16129.43,16129.43,3908962.9,18981.41,3932882.9,n.d.,291.32,990107.09,n.d.,737271.1,2738408.76,29,-226989.97999999998,252835.99,616669.169,1144776.32,1111551.5690000001,0,190066.24,364139.02,889171.5,n.d.,67084.45999999999,48103.05,82922.57,1194474.1400000001,48103.05,-15838.11,n.d.,54706.58,2458188.05,2458188.05,967775.48
