Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,40061.82,582470.7,39065.78999999999,24306.71,591361.519,n.d.,191375.75,6339.74,19633.63,25973.37,344071.03,495384.96,256824.14,381772.66,n.d.,1287.24,1287.24,1043429.28,379.41999999999996,1043429.28,n.d.,0.0,28721.01,n.d.,24404.78,589653.8200000001,14,-44321.729999999996,4316.23,47023.92,217758.35,432434.129,0,314305.75,n.d.,354367.57,n.d.,18346.39,17966.97,19633.63,452067.76,17966.97,-1287.24,n.d.,47023.92,611191.71,611191.71,407746.029
2022,14235.32,35961.37,562490.2899999999,39065.78999999999,23366.22,852439.4500000001,n.d.,153520.8,7122.07,22735.59,29857.66,351850,469409.43000000005,238857.17,448539.78,n.d.,1060.07,1060.07,1384803.15,5431.37,1384821.48,n.d.,0.0,33295.96,n.d.,28979.73,808542.0,14,-53984.59,4316.23,57119.49,199791.38,509646.44,0,306732.39,14235.32,342693.76,n.d.,21675.52,16244.15,22735.59,532382.03,16244.15,-1060.07,n.d.,57119.49,595786.25,595786.25,478397.44
2021,28818.980000000003,58587.810000000005,779273.97,39065.78999999999,12633.34,179331.88999999998,n.d.,334729.43000000005,8157.2699999999995,8009.38,16166.65,429057.45,705199.07,222613.02,386011.2,n.d.,1876.53,1876.53,617082.87,1656.78,617082.87,n.d.,0.0,42433.18,n.d.,32685.58,223229.34,12,-35573.13,9747.6,15487.09,183547.23,429741.6,0,511687.34,28818.980000000003,570275.15,n.d.,6132.85,4476.07,8009.38,437750.98000000004,4476.07,-1876.53,n.d.,15487.09,821707.15,821707.15,402177.85
2020,42594.13,62280.219999999994,729544.51,39065.78999999999,27248.85,297719.93000000005,n.d.,334845.13,8445.83,26469.87,34915.7,368680,641244.91,218136.95,369375.35,n.d.,1399.1799999999998,1399.1799999999998,736384.3400000001,6267.67,736384.3400000001,n.d.,0.0,52247.23,n.d.,40842.850000000006,279589.93000000005,13,-34373.36,11404.38,26019.379,179071.16,412194.54,0,458780.44,42594.13,521060.66,n.d.,25070.69,18803.018999999997,26469.87,438664.41000000003,18803.018999999997,-1399.1799999999998,n.d.,21660.12,781791.74,781791.74,404291.05
2019,55705.92,65048.46,736216.24,39065.78999999999,-48358.33,467258.89,n.d.,304985.25,8405.92,-71689.55,-63283.63,402417.04,642353.8300000001,199333.93,388196.28,n.d.,2746.75,2746.75,809433.81,-17672.05,809433.81,n.d.,0.0,64048.05,n.d.,46376.0,463918.39,15,-17262.27,17672.05,28813.949,160268.14,413864.47000000003,0,480175.98,55705.92,545224.4400000001,n.d.,-74436.3,-56764.25,-71689.55,342174.92000000004,-56764.25,-2746.75,n.d.,24454.69,800264.2899999999,800264.2899999999,324912.65
2018,69377.45999999999,92598.37000000001,844727.59,39065.78999999999,7135.99,420798.08,n.d.,315531.45,7041.4,6042.63,13084.029,397861,620794.08,256098.18,393151.43000000005,n.d.,5918.31,5918.31,859782.11,31.53,859782.11,n.d.,1.8,51869.98,n.d.,51869.98,435025.7,15,-32748.57,n.d.,131335.14,217032.389,432941.4,0,478523.559,69377.45999999999,571121.93,n.d.,126.11999999999999,94.59,6042.63,438984.02900000004,94.59,-5916.51,n.d.,131335.14,896597.57,896597.57,406237.26
2017,83959.16,287224.08,1077685.47,39065.78999999999,76835.16,1449015.1300000001,n.d.,593992.53,5941.96,112290.3,118232.26,351456.06,658224.51,256003.59,498697.04,n.d.,16687.47,16687.47,2115777.91,24709.629999999997,2115777.91,n.d.,0.0,50811.27,n.d.,50811.27,1424332.01,19,-49833.48,n.d.,132236.87999999998,216937.8,554472.48,0,501309.91,83959.16,788533.99,n.d.,95602.83,70893.2,112290.3,666762.7799999999,70893.2,-16687.47,n.d.,132236.87999999998,1128496.74,1128496.74,616929.2989999999
2016,96609.69,103180.38,775698.37,39065.78999999999,7180.26,324152.39,n.d.,317580.07,3944.57,5361.150000000001,9305.72,421731,636130.69,185110.39,361368.28,n.d.,2125.46,2125.46,726901.97,n.d.,726901.97,n.d.,0.0,47759.9,n.d.,24781.36,338608.39,14,-32075.58,22978.54,36387.3,146044.6,397388.43000000005,0,438557.81,96609.69,541738.19,n.d.,3235.69,3235.69,5361.150000000001,402749.579,3235.69,-2125.46,n.d.,36387.3,823458.2699999999,823458.2699999999,370674.0
2015,108456.93999999999,64429.759999999995,757752.6799999999,39065.78999999999,-55915.149,416991.63,n.d.,262812.58,2599.22,-58725.93,-56126.71,436133,634515.8200000001,181874.7,344992.79000000004,n.d.,4553.63,4553.63,755237.66,-4765.1900000000005,755237.66,n.d.,0.0,40258.21,n.d.,17279.67,636436.63,n.d.,-49379.950000000004,22978.54,58807.1,142808.91,396971.95900000003,0,443249.4900000001,108456.93999999999,507679.25,n.d.,-63279.56,-58514.369,-58725.93,338246.03,-58514.369,-4553.63,n.d.,58807.1,798010.89,798010.89,288866.079
2014,121034.5,109912.12000000001,864622.75,39065.78999999999,56190.9,79355.77,n.d.,406169.13,15488.1,43875.4,59363.5,429860,726117.01,20716.65,295923.06,n.d.,3513.53,3513.53,471048.98,n.d.,471048.98,n.d.,340.92999999999995,33513.059,n.d.,15299.71,104480.77,12,-36406.65,18213.35,28593.62,-18349.14,347817.81,0,646472.539,121034.5,756384.66,n.d.,40702.8,40702.8,43875.4,391693.20900000003,40702.8,-3172.6,n.d.,28593.62,898135.81,898135.81,355627.49000000005
2013,133184.48899999997,90685.08,830796.65,39065.78999999999,12733.11,334466.04,n.d.,465494.67,17953.72,-2516.4500000000003,15437.27,291230,666039.59,-19986.15,322250.05,n.d.,4230.72,4230.72,720566.64,-576.01,720566.64,n.d.,950.55,46734.91,n.d.,28521.56,337086.78,12,-48413.28,18213.35,74071.98,-59051.94,388617.049,0,673648.14,133184.48899999997,764333.22,n.d.,-5796.620000000001,-5220.610000000001,-2516.4500000000003,386100.6,-5220.610000000001,-3280.17,n.d.,64071.98,877531.56,877531.56,338637.87
2012,144939.6,134397.91999999998,953994.81,39065.78999999999,-37314.67,491777.01,n.d.,526088.61,17839.940000000002,-68690.55,-50850.61,287404.26,679094.9500000001,-14765.54,352870.62,n.d.,6527.37,6527.37,856156.76,-19879.93,856156.76,n.d.,183.38,63294.77,n.d.,43414.84,493884.64,13,-62359.74,19879.93,140501.94,-53831.33,433070.3,0,752717.6,144939.6,887115.52,n.d.,-75034.54,-55154.609,-68690.55,364379.75,-55154.609,-6343.99,n.d.,105501.93999999999,1017289.58,1017289.58,302203.39
2011,155855.36,52515.89,1024240.06,39065.78999999999,21667.41,357411.67,449.92999999999995,649092.13,20306.86,11104.31,31411.17,283801.63,880377.87,40389.07,325074.16,n.d.,9291.33,9291.33,775450.2799999999,453.51,775450.2799999999,n.d.,1.08,56913.03,n.d.,56913.03,455558.3,13,-61553.28,n.d.,91346.3,1323.28,406934.29900000006,0,831942.8400000001,155855.36,884908.66,n.d.,1814.06,1360.55,11104.31,418038.61,1360.55,-9290.25,n.d.,56346.3,1081153.09,1081153.09,356486.41000000003
2010,171788.16,108102.77,1037625.63,39065.78999999999,36598.950000000004,538985.4500000001,47590.619999999995,811298.16,35608.46,10812.29,46420.75,162817.61000000002,866013.0,39028.52,332991.2,n.d.,9885.84,9885.84,973677.07,430.16,973677.07,n.d.,494.2,75328.78,n.d.,75328.78,560641.3200000001,14,-55279.67,n.d.,63509.86,-37.269000000000005,423879.33,0,746444.3400000001,171788.16,902137.73,n.d.,1420.6499999999999,990.49,10812.29,434691.62,990.49,-9391.64,n.d.,16509.86,1112954.41,1112954.41,379906.15
2009,197652.31999999998,85134.17000000001,1006306.9,39065.78999999999,44613.24,296245.23000000004,n.d.,797991.66,43616.3,42157.15,85773.45,157908.26,870765.75,38038.03,345013.76,n.d.,41158.67,41158.67,782872.7,366.87,782872.7,n.d.,365.33,99174.65,n.d.,99174.65,344164.36,15,-55840.259999999995,n.d.,50406.98,-1027.76,444470.32,0,784657.03,197652.31999999998,869791.2,n.d.,1363.81,996.939,42157.15,486627.47000000003,996.939,-40793.34,n.d.,3406.98,1105481.55,1105481.55,431152.54
2008,221774.33,139111.41,1285028.31,39065.78999999999,39973.689999999995,561888.02,399936.16,1089590.27,43113.15,49180.72,92293.87,125664.08,1076142.94,37041.09,399940.12,n.d.,53100.380000000005,53100.380000000005,1150615.52,670.25,1150615.52,n.d.,1450.45,141665.37,n.d.,141665.37,561888.02,18,-96493.51,n.d.,69773.959,-2024.7,539546.7799999999,0,628830.69,221774.33,1167878.26,n.d.,-2469.21,-3139.46,49180.72,588727.5,-3139.46,-51649.93,n.d.,22773.960000000003,1426693.6800000002,1426693.6800000002,493684.44
2007,35587.21,n.d.,884079.99,39065.78999999999,60719.24,n.d.,n.d.,694499.22,59703.53,30176.980000000003,89880.51,n.d.,694499.22,40180.55,367950.74,n.d.,30724.8,30724.8,1443157.5,338.57,1443157.5,n.d.,1902.1,165038.87999999998,n.d.,165038.87999999998,895180.71,12,n.d.,0,189580.77,1114.76,n.d.,n.d.,973351.11,35587.21,973351.11,n.d.,1354.28,1015.71,30176.980000000003,n.d.,1015.71,-28822.7,n.d.,181705.77000000002,1049118.87,1049118.87,459733.35
