Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,280097.68,2882871.83,234214.41,1894313.97,4918234.25,n.d.,1248339.46,596034.9500000001,1715212.6800000002,2311247.63,292142.07,1260383.85,6348929.52,742539.3600000001,n.d.,22.14,22.14,9153274.96,432844.29,9154712.86,n.d.,15932.77,4173765.02,n.d.,1828765.02,4444575.7,25,-1182691.62,2345000.0,1342390.299,6114715.108999999,2521265.929,100636.52,326973.13,100636.52,607070.81,n.d.,1731123.31,1298279.02,1715212.6800000002,4236478.609999999,1298279.02,15910.63,n.d.,1173003.15,7056636.85,7056636.85,3069719.76
2022,6666.74,682742.55,3022453.15,234214.41,1084616.06,5638071.819999999,17930.649999999998,851637.92,452803.35,836390.98,1289194.33,804300.62,973195.99,5050650.5,802978.66,n.d.,59.45,59.45,8998575.89,210772.24,8998872.89,n.d.,6253.42,3346926.33,15000,2081926.33,6075052.71,29,-1268628.08,1250000.0,1366514.6090000002,4816436.09,2524410.09,75589.82,535799.2189999999,82256.56,1236472.42,n.d.,842584.9500000001,631812.71,836390.98,3360801.07,631812.71,6193.969999999999,n.d.,1189330.24,6369379.48,6369379.48,2098426.41
2021,33333.379,761472.73,3217351.31,234214.41,1009832.26,4418712.6,39117.14,1798290.5,460930.76,709306.98,1170237.74,327819.73000000004,1364637.5,4418837.79,862592.9400000001,n.d.,578.13,578.13,7519430.84,164521.05,7523515.84,n.d.,4693.7,2579616.41,n.d.,2179616.41,4309332.14,32,-1071972.5590000001,400000.0,1091241.08,4184623.38,2395496.2600000002,66136.86,478069.82,99470.24,1278659.6900000002,n.d.,713422.55,548901.5,709306.98,3104803.24,548901.5,4115.569,n.d.,949124.42,5796967.72,5796967.72,2037524.38
2020,21121.8,312295.51,2259919.2,234214.41,984548.72,3979994.72,82017.15000000001,833765.47,386260.11,789444.54,1175704.65,438200.19,959670.149,3869936.29,826662.61,n.d.,3297.84,3297.84,7074755.59,189197.94,7074755.59,n.d.,1339.85,2348300.94,n.d.,1748300.94,3959438.14,29,-1092393.61,600000.0,987953.54,3635721.88,2305316.329,79983.7,242865.69,101105.5,637178.3500000001,n.d.,787486.55,598288.61,789444.54,3094760.869,598288.61,-1957.99,n.d.,853456.47,4608220.14,4608220.14,2003707.11
2019,203959.71000000002,468207.08,2401082.74,234214.41,845261.399,3711617.349,184722.21000000002,674784.37,384134.62,611424.09,995558.71,460256.77,666834.06,3271647.68,920189.69,n.d.,9008.86,9008.86,6653128.87,141663.43,6655603.87,n.d.,374.98,2041156.23,n.d.,1741156.23,3678850.3,32,-1028238.119,300000.0,1266041.5990000002,3037433.2690000003,2332562.429,91605.77,222096.52,295565.48000000004,875025.81,n.d.,602790.21,461126.779,611424.09,2943986.52,461126.779,-8633.88,n.d.,1185887.64,4442238.970000001,4442238.970000001,1916123.38
2018,395156.06,349173.85,2770920.51,234214.41,793429.89,4355082.649999999,251464.12,1252427.33,361497.89,584453.89,945951.78,491523.82,1394777.3,2810520.9,773431.64,n.d.,11061.22,11061.22,7040873.04,141460.67,7042448.04,n.d.,0.0,1643791.61,n.d.,1543791.61,4291335.83,29,-967981.97,100000.0,1026969.36,2576306.489,2102911.5,87090.85,521306.34,482246.91,1121944.31,n.d.,573392.6699999999,431932.0,584453.89,2687365.389,431932.0,-11061.22,n.d.,1003239.86,4414712.119999999,4414712.119999999,1719383.42
2017,740971.64,664614.6,2501712.68,234214.41,462570.199,5111616.52,280524.21,1271586.13,323880.38,195908.57,519788.95,556770.64,1163742.1700000002,2378588.9,673025.8,n.d.,13948.46,13948.46,7660024.95,43270.28999999999,7660584.95,n.d.,0.0,2185205.54,n.d.,1652679.44,4988754.71,26,-1356153.6800000002,532526.1,673355.91,2144374.489,2353059.86,77572.28,544646.59,818543.92,1489785.4,n.d.,181960.11,138689.819,195908.57,2548968.4299999997,138689.819,-13948.46,n.d.,671855.91,4686918.22,4686918.22,1192814.75
2016,626244.919,1074062.21,2928423.84,234214.41,391336.67,5174814.648999999,241961.91,1805147.35,292689.32,150029.4,442718.72,675132.4500000001,1406217.5890000002,2239899.08,745487.11,n.d.,20122.39,20122.39,7231125.87,31283.89,7231125.87,n.d.,24.23,1492220.05,n.d.,1469220.1700000002,5198362.8,28,-868105.39,22999.88,448144.04,2005684.67,1906281.82,82908.90999999999,155566.86,709153.8300000001,1471590.98,n.d.,129931.24,98647.35,150029.4,2056311.22,98647.35,-20098.16,n.d.,448144.04,4420643.89,4420643.89,1188230.059
2015,1113237.6600000001,551121.7899999999,2753608.27,234214.41,285629.78,3231174.8499999996,241383.05,1649713.06,214277.57,122648.97,336926.54,651584.3,1750175.57,2141251.73,683838.3,n.d.,26642.37,26642.37,5018058.87,24717.63,5018933.87,n.d.,63.24,1519547.05,n.d.,1456754.26,3428490.99,25,-766994.1789999999,62792.78999999999,452310.91,1907037.319,1665110.05,92723.51,133437.579,1205961.1700000002,925942.42,n.d.,96069.84,71352.209,122648.97,1787759.019,71352.209,-26579.129,n.d.,452310.91,4273155.319999999,4273155.319999999,1020828.08
2014,819285.39,579663.93,2656572.23,234214.41,286282.21,3092616.9499999997,317165.92000000004,1789926.97,199836.48,76537.06,276373.54,454268.16,1664531.1990000005,2069899.52,473990.33,n.d.,13446.8,13446.8,4521734.41,-5116.3,4552635.819999999,n.d.,18239.17,1311355.8,n.d.,1286420.73,3124519.77,19,-709655,24935.07,412377.1,1835685.109,1383481.81,28648.16,153265.11000000002,847933.55,1050094.96,n.d.,81329.43,86445.73,76537.06,1460018.87,86445.73,4792.369000000001,n.d.,412377.1,3967928.03,3967928.03,768603.04
2013,150128.65,595593.2,2479082.67,234214.41,269651.52,2204996.9699999997,122348.39,1302631.74,214235.43,65561.3,279796.73000000004,422365.34,1129403.88,2490063.79,529709.13,n.d.,35611.01,35611.01,3706900.6,14847.85,3718430.38,n.d.,40313.65,1005072.36,n.d.,1002072.36,2281843.72,21,-703927.55,3000.0,754085.59,2255849.38,1447872.11,26795.4,99225.6,176924.05,817167.19,n.d.,70263.93999999999,55416.09,65561.3,1513433.409,55416.09,4702.639,n.d.,754085.59,3484155.03,3484155.03,849819.51
2012,426595.54,425691.43000000005,2635748.19,234214.41,305991.04,2638797.3,242639.419,1620656.72,240325.87,90386.26,330712.13,345518.59,1540483.88,2434725.24,683853.1,n.d.,35653.07,35653.07,4366088.18,22078.39,4366465.979,n.d.,33010.37,1051342.87,n.d.,1046342.87,2529033.25,26,-713103.4500000001,5000.0,669572.88,2200510.83,1637282.42,21640.04,135799.38999999998,448235.58,804130.24,n.d.,87743.56,65665.17000000001,90386.26,1727668.6790000002,65665.17000000001,-2642.699,n.d.,669572.88,3687091.06,3687091.06,1047575.599
2011,444356.68,746516.2,3217543.02,234214.41,346956.66,2440484.2,374296.82,2397120.92,280211.35,97989.65,378201.0,455282.64,2105887.36,2369060.07,703510.01,n.d.,34151.07,34151.07,4192328.88,21133.69,4193628.88,n.d.,24040.42,1079631.54,n.d.,1073131.54,2440484.2,27,-671433.669,6500.0,365139.46,2134845.66,1655155.03,15081.19,347863.6,459437.87,1468676.62,n.d.,87879.0,66745.31,97989.65,1753144.6790000002,66745.31,-10110.65,n.d.,365139.46,4297174.56,4297174.56,1105751.43
2010,536779.288,461360.62,2442069.2,234214.41,330468.23000000004,1624829.9,n.d.,1248524.47,283541.95,69849.12000000001,353391.07,166650.87,953814.719,2302314.76,765886.01,n.d.,24602.49,24602.49,3292751.85,8620.710000000001,3292751.85,n.d.,10300.36,1036885.51,n.d.,1018885.51,1624829.9,27,-548644.87,18000.0,1026893.86,2068100.349,1598072.83,0,178500.04,536779.2899999999,639860.66,n.d.,55546.99,46926.28,69849.12000000001,1667921.95,46926.28,-14302.13,n.d.,506546.87,3478954.71,3478954.71,1129577.44
2009,620195.97,427860.05,2337421.35,234214.41,472683.17,2127254.009,1843.95,1042016.34,334105.51,210631.06,544736.57,151948.94,766105.23,2255388.48,719312.61,n.d.,28391.65,28391.65,3866990.67,50690.73,3866990.67,n.d.,7028.98,1091463.98,n.d.,1033763.98,2127254.009,27,-475687.48000000004,57700.0,1143456.069,2021174.07,1529105.5990000002,0,123596.88,620195.97,553300.88,n.d.,189268.39,138577.66,210631.06,1739736.6600000001,138577.66,-21362.67,n.d.,537272.66,3428885.33,3428885.33,1271078.16
