Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,251344.36,66788.09,237796.96,56074.43,n.d.,242544.94999999998,87545.8,31011.47,n.d.,56642.48,56642.48,199328.0,163551.37999999998,197255.52,326314.52,n.d.,17186.920000000002,17186.920000000002,793374.9,9863.77,793385.16,n.d.,0.0,451546.38,4764.8,419604.41,242544.95,13.0,-167883.21000000002,27177.17,7457.49,141181.09,494197.73000000004,11745.08,74664.48999999999,263089.44,228998.38,n.d.,39455.56,29591.789,56642.48,550840.21,29591.789,-17186.920000000002,n.d.,7457.49,689343.3400000001,689343.3400000001,382957.0
2022,284364.86,92429.03,254406.93,56074.43,n.d.,223220.26,90256.38,31306.32,n.d.,24013.980000000003,24013.980000000003,219950.0,158827.29,167663.73,318551.63,n.d.,13984.87,13984.87,717389.26,2623.9300000000003,722543.66,n.d.,466.59,461410.15,4764.8,419604.41,223220.26,12.0,-156757.79,37040.94,3150.61,111589.3,475309.42000000004,11745.08,69358.0,296109.94,252043.41,n.d.,10495.7,7871.769999999999,24013.980000000003,499323.4,7871.769999999999,-13518.28,n.d.,3150.61,715817.08,715817.08,343032.2
2021,343308.65,47034.759999999995,247774.62,56074.43,n.d.,177681.44,85336.42,22821.89,n.d.,17214.480000000003,17214.480000000003,223450.0,199237.13,170291.96,278126.99000000005,n.d.,13680.14,13680.14,566084.91,947.4,566094.93,n.d.,255.24,453968.75,4764.8,409539.08,171681.44,12.0,-93072.02,39664.87,1502.73,114217.528,371199.01,11745.08,44026.5,355053.73000000004,176397.68,n.d.,3789.58,2842.18,17214.480000000003,388413.49000000005,2842.18,-13424.9,n.d.,1502.73,701743.37,701743.37,295596.71
2020,346739.08,44312.619999999995,292775.29000000004,56074.43,n.d.,140448.66,35757.189999999995,25376.05,n.d.,664.8299999999999,664.8299999999999,231986.0,213049.43,158354.38999999998,223849.71,n.d.,15891.57,15891.57,499292.89,-3804.5,499398.52,n.d.,8.76,355767.85,4764.8,304790.78,140448.66,12.0,-134435.31999999998,46212.27,35413.24,102279.96,358285.03,11745.08,51634.78,358484.16,131704.59,n.d.,-15217.98,-11413.48,664.8299999999999,358949.86,-11413.48,-15882.81,n.d.,35413.24,648543.14,648543.14,224523.3
2019,232172.01,55359.58,254212.05,56074.43,n.d.,164322.44999999998,41826.619999999995,21594.13,n.d.,20411.58,20411.58,231986.0,198220.55,169767.87,310384.04,n.d.,18328.84,18328.84,633720.4400000001,834.9499999999999,635070.169,n.d.,1.23,330327.16,4764.8,286754.59,170322.44999999998,12.0,-139952.099,38807.77,631.92,113693.44,450336.139,11745.08,73668.05,243917.09,170854.25,n.d.,2083.969,1249.019,20411.58,470747.71900000004,1249.019,-18327.61,n.d.,631.92,584539.21,584539.21,330796.849
2018,242626.2,57548.91,262946.89,56074.43,n.d.,154598.29,40705.11,34189.83,n.d.,22591.960000000003,22591.960000000003,227590.0,204230.92,139032.31999999998,296879.25,n.d.,20979.83,20979.83,621661.61,1106.85,622017.1,n.d.,869.98,303891.3,4764.8,260483.78,154598.29,11.0,-147947.599,38642.72,1167.06,82957.89,444826.85,11745.08,75180.57,254371.28,173434.59,n.d.,2482.11,1375.26,22591.960000000003,467418.809,1375.26,-20109.85,n.d.,1167.06,566838.19,566838.19,320341.19
2017,243783.0,54828.219999999994,276600.87,56074.43,n.d.,172371.81,26848.34,48760.87,n.d.,23204.54,23204.54,227590.0,221522.65,139018.87999999998,300022.49000000005,n.d.,21787.38,21787.38,629078.52,693.7900000000001,630145.14,n.d.,47.3,277269.41000000003,4764.8,232755.04,172371.81,11.0,-134546.3,39749.57,250.0,82944.449,434568.79000000004,11745.08,77646.76,255528.08,159323.31999999998,n.d.,1464.46,770.6700000000001,23204.54,457773.33,770.6700000000001,-21740.08,n.d.,250.0,553870.2799999999,553870.2799999999,323274.33
2016,261848.56,15028.79,281659.51,56074.43,n.d.,123219.47,49323.96,51734.42,n.d.,19602.51,19602.51,226430.0,263135.63,80574.2,298408.48000000004,n.d.,18193.68,18193.68,589545.1,390.61,589545.1,n.d.,153.59,220731.36,3084.8,177203.2,123219.47,11.0,-148314.64,40443.36,3495.09,24499.769,446723.12,11745.08,83870.28,273593.64,148223.03,n.d.,1562.42,1171.81,19602.51,466325.63,1171.81,-18040.09,n.d.,3495.09,502390.87,502390.87,318164.579
2015,238170.5,19547.280000000002,255642.46,56074.43,n.d.,105562.72,43535.17,48254.96,n.d.,21757.03,21757.03,189170.0,217877.68,79402.39,304885.69,n.d.,19369.6,19369.6,571277.87,596.8599999999999,571277.87,n.d.,0.0,215271.08,1282.8,173154.31,105562.72,11.0,-139072.43,40833.97,18217.5,23327.960000000003,443958.12,11745.08,78513.12000000001,249915.58,141595.57,n.d.,2387.4300000000003,1790.569,21757.03,465715.14999999997,1790.569,-19369.6,n.d.,5778.6,470913.54,470913.54,326642.72000000003
2014,222250.55,13053.55,243034.62,56074.43,n.d.,107811.85,42169.8,42855.28,n.d.,18803.3,18803.3,153090.0,182891.73,77611.82,285516.71,n.d.,17334.82,17334.82,565183.04,550.7800000000001,565183.04,n.d.,734.64,197823.33,1282.8,155109.7,107811.85,11.0,-153051.18,41430.83,47089.34,21537.389,438567.89,11745.08,74027.15000000001,233995.63,129250.5,n.d.,2203.12,1652.34,18803.3,457371.19,1652.34,-16600.18,n.d.,2650.44,440857.95,440857.95,305054.65
