Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,755209.2,n.d.,71221.83,222550.3,n.d.,n.d.,n.d.,31018.35,n.d.,246925.75,246925.75,n.d.,31018.35,1344148.6700000002,113613.6,n.d.,0,n.d.,363679.71,61731.44,363679.71,n.d.,0.0,2076765.95,n.d.,n.d.,n.d.,1,-3140.36,2076765.95,40203.48,1121598.37,116753.95999999999,0,48629.91,755209.2,48629.91,n.d.,246925.75,185194.31,246925.75,363679.71,185194.31,0.0,n.d.,40203.48,2147987.7800000003,2147987.7800000003,360539.35
2022,905209.2,n.d.,28599.25,222550.3,n.d.,n.d.,n.d.,7382.26,n.d.,247467.61000000002,247467.61000000002,n.d.,7382.26,1158954.36,78100.33,n.d.,0,n.d.,347541.25,61866.9,347541.25,n.d.,0.0,2078765.95,n.d.,n.d.,n.d.,1,-21973.309999999998,2078765.95,21216.99,936404.059,100073.64,0,43201.64,905209.2,43201.64,n.d.,247467.61,185600.71,247467.61000000002,347541.25,185600.71,0.0,n.d.,21216.99,2107365.2,2107365.2,325567.94
2021,1010680,n.d.,19714.43,222550.3,n.d.,n.d.,n.d.,n.d.,n.d.,390283.13999999996,390283.13999999996,n.d.,n.d.,973353.65,72282.95999999999,n.d.,0,n.d.,468096.88,97570.79,468096.88,n.d.,0.0,2078765.95,n.d.,n.d.,n.d.,1,-5530.78,2078765.95,19714.43,750803.3500000001,77813.73999999999,0,114446.73,1010680,114446.73,n.d.,390283.14,292712.35,390283.13999999996,468096.88,292712.35,0.0,n.d.,19714.43,2098480.38,2098480.38,462566.1
2020,1418056.84,n.d.,33141.23,222550.3,n.d.,n.d.,n.d.,5429.71,n.d.,45248.689999999995,45248.689999999995,n.d.,5429.71,680641.3,72006.36,n.d.,0,n.d.,121388.32,11312.17,121388.32,n.d.,0.0,2078765.95,n.d.,n.d.,n.d.,1,-4133.2699999999995,2078765.95,27711.52,458091.0,76139.63,0,13209.04,1418056.84,13209.04,n.d.,45248.69,33936.52,45248.689999999995,121388.32,33936.52,0.0,n.d.,27711.52,2111907.18,2111907.18,117255.05
2019,1426056.84,12000,24858.02,222550.3,n.d.,n.d.,n.d.,5429.71,n.d.,85376.76,85376.76,n.d.,-6570.29,646704.7799999999,64005.92,n.d.,3.4499999999999997,3.4499999999999997,165888.31999999998,21343.329999999998,165888.31999999998,n.d.,0.0,2090765.95,n.d.,n.d.,n.d.,1,-16505.64,2090765.95,19428.31,424154.48,80511.56,0,30862.35,1426056.84,42862.350000000006,n.d.,85373.31,64029.979,85376.76,165888.31999999998,64029.979,-3.45,n.d.,19428.31,2115623.97,2115623.97,149382.68
2018,1446056.84,n.d.,19129.5,222550.3,n.d.,n.d.,n.d.,7422.74,n.d.,63074.75,63074.75,n.d.,7422.74,582674.8,70866.92,n.d.,0,n.d.,136806.18,15768.69,136806.18,n.d.,0.0,2039765.95,n.d.,n.d.,n.d.,1,-2864.51,2039765.95,11706.76,360124.5,73731.43,0,30163.81,1446056.84,30163.81,n.d.,63074.75,47306.06,63074.75,136806.18,47306.06,0.0,n.d.,11706.76,2058895.45,2058895.45,133941.669
2017,1531056.84,n.d.,41259.810000000005,222550.3,n.d.,n.d.,n.d.,26725.86,n.d.,14130.93,14130.93,n.d.,26725.86,535368.74,69870.54,n.d.,0,n.d.,84530.54,3532.73,84530.54,n.d.,0.0,2039765.95,n.d.,n.d.,n.d.,1,-529.07,2039765.95,14533.95,312818.44,70399.61,0,14600.18,1531056.84,14600.18,n.d.,14130.93,10598.2,14130.93,84530.54,10598.2,0.0,n.d.,14533.95,2081025.76,2081025.76,84001.47
2016,1531056.84,n.d.,25182.11,222550.3,n.d.,n.d.,n.d.,1993.03,n.d.,1860.86,1860.86,n.d.,1993.03,524770.54,69385.84,n.d.,0,n.d.,73254.86,465.21999999999997,73254.86,n.d.,0.0,2039765.95,n.d.,n.d.,n.d.,1,-2008.1599999999999,2039765.95,23189.08,302220.24,71394,0,9120.68,1531056.84,9120.68,n.d.,1860.86,1395.639,1860.86,73254.86,1395.639,0.0,n.d.,23189.08,2064948.06,2064948.06,71246.7
2015,1530680,n.d.,23960.84,222550.3,n.d.,n.d.,n.d.,4836.26,n.d.,3227.77,3227.77,n.d.,4836.26,523374.9,68729.08,n.d.,0,n.d.,72464.14,479.9,72464.14,n.d.,0.0,2039765.95,n.d.,n.d.,n.d.,1,-507.28999999999996,2039765.95,19124.58,300824.6,69236.37000000001,0,9671.89,1530680,9671.89,n.d.,3227.77,2747.8700000000003,3227.77,72464.14,2747.8700000000003,0.0,n.d.,19124.58,2063726.79,2063726.79,71956.85
2014,1530680,n.d.,22372.77,222550.3,n.d.,n.d.,n.d.,13723.1,n.d.,376.21999999999997,376.21999999999997,n.d.,13723.1,520627.03,68598.23,n.d.,0,n.d.,71126.68000000001,n.d.,71126.68000000001,n.d.,0.0,2039765.95,n.d.,n.d.,n.d.,1,-2152.23,2039765.95,8649.67,298076.73000000004,70750.459,0,10831.69,1530680,10831.69,n.d.,376.22,376.22,376.21999999999997,71126.68000000001,376.22,0.0,n.d.,8649.67,2062138.72,2062138.72,68974.45
