Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,21901.03,401028.78,1116386.58,60110.0,207364.43,858387.3400000001,741.1800000000001,113145.24,25082.56,232034.87,257117.43,106869.58,-181013.96,1175342.07,322461.03,n.d.,1204.43,428.46,1949503.81,51990.86,1949552.72,n.d.,3442.29,507502.83,-571.4499999999999,507847.34,779830.5,12.0,-511586.92000000004,226.94,896371.76,1115232.069,859130.51,0,24876.35,21901.03,426646.31,n.d.,234272.73,182281.87,232034.87,1091165.3800000001,182281.87,2237.8590000000004,n.d.,721260.72,1623889.41,1623889.41,582244.7799999999
2022,21902.03,428695.93000000005,999025.31,60110.0,189534.699,694713.9400000001,16203.93,139863.13,20451.43,212046.97,232498.4,121324.73,-167508.07,993060.2,253656.08,n.d.,672.7700000000001,672.7700000000001,1532978.26,46919.380000000005,1533387.86,n.d.,4628.45,515997.05,4636.610000000001,506955.12,716663.23,11.0,-352519.44,4405.320000000001,737837.4500000001,932950.2,626626.9500000001,0,55160.27,21902.03,500060.13,n.d.,216002.65,169083.27000000002,212046.97,838673.92,169083.27000000002,3955.68,n.d.,637837.4500000001,1515022.36,1515022.36,490782.93000000005
2021,36284.27,346556.03,727419.51,60110.0,106068.77,449861.22000000003,16462.809999999998,92682.82,16061.0,101764.47,117825.47,99375.44,-154497.77000000002,825611.21,233812.81,n.d.,880.9,874.01,1088018.54,10990.51,1088018.54,n.d.,114.71,522739.76,1953.67,514746.4900000001,447607.91,11.0,-286519.04,6039.599,535361.25,765501.21,536392.8500000001,0,25244.95,36284.27,388263.79,n.d.,100998.28,90007.77,101764.47,638157.3200000001,90007.77,-766.1890000000001,n.d.,535361.25,1250159.27,1250159.27,351746.1
2020,50536.08,187136.5,470193.36,60110.0,45332.93,552362.26,15948.369999999999,78201.05,17005.5,31457.28,48462.78,74235.78,-34699.668999999994,735603.4400000001,213411.22,n.d.,1360.63,749.07,1068092.94,4052.98,1075599.47,n.d.,2283.76,537166.48,1953.67,530807.49,380156.25,10.0,-261363.21000000002,4405.320000000001,317756.53,675493.4400000001,491779.93000000005,0,18135.45,50536.08,221220.32,n.d.,32380.41,28327.43,31457.28,523237.20900000003,28327.43,923.13,n.d.,317756.53,1007359.84,1007359.84,263546.2
2019,4500,288714.28,496931.32,60110.0,34753.479,654941.99,1059.79,97575.32,20476.01,17713.02,38189.03,311480.15,120341.19,707276.01,277010.2,n.d.,1305.93,164.65,1327471.5,2572.71,1327471.5,n.d.,443.09,554171.98,1953.67,547812.99,584655.4500000001,12.0,-357330.27900000004,4405.320000000001,87875.85,647166.01,654816.49,0,49553.22,4500,339327.29000000004,n.d.,16850.18,14277.47,17713.02,672529.51,14277.47,-862.8399999999999,n.d.,87875.85,1051103.3,1051103.3,314501.04
2018,24900,250133.37,509035.93000000005,60110.0,65847.72,489344.29000000004,49149.01,106960.7,40729.27,34481.54,75210.81,393672.29,250499.62,692998.54,227892.42,n.d.,5962.17,2958.66,1110405.82,3588.3500000000004,1110939.82,n.d.,187.43,574647.99,1953.67,568289.0,525730.88,12.0,-318492.3,4405.320000000001,8402.94,632888.539,587113.99,0,66503.0,24900,365785.38,n.d.,28706.8,25118.45,34481.54,621595.53,25118.45,-5774.74,n.d.,8402.94,1083683.92,1083683.92,300287.149
2017,101184.26,176045.44999999998,423381.03,60110.0,51339.4,304000.61,70064.1,68690.39,30017.74,27119.05,57136.78999999999,336550.75,229195.69,667880.09,209078.32,n.d.,2989.75,1789.65,801582.72,3045.9500000000003,801582.72,n.d.,238.31,660296.3500000001,1953.67,653937.3600000001,355508.63,13.0,-231367,4405.320000000001,18139.89,607770.09,470463.06,0,68503.48,101184.26,314613.03,n.d.,24367.61,21321.66,27119.05,497582.11,21321.66,-2751.44,n.d.,13894.61,1083677.38,1083677.38,265253.32
2016,80100,170882.4,321470.07,60110.0,51588.27,542395.26,1523.47,50179.65,24572.53,33521.23,58093.76,271290.42000000004,150587.67,646558.43,233641.46,n.d.,2816.5,228.16,989014.74,3859.39,989014.74,n.d.,170.4,616656.3400000001,1953.67,610297.3500000001,486174.16,14.0,-154884.259,4405.320000000001,n.d.,586448.429,413098.25,0,39062.11,80100,211467.98,n.d.,30875.13,27015.74,33521.23,446619.48000000004,27015.74,-2646.1,n.d.,n.d.,938126.41,938126.41,289317.27900000004
2015,98500,295004.79000000004,437143.52,60110.0,33433.47,445431.44,1098.92,66249.88,16485.9,23312.4,39798.3,370893.64,142138.73,602542.69,241322.01,n.d.,4306.309,2073.75,868872.11,2421.08,868872.11,n.d.,362.56,611218.99,1953.67,604860.0,508116.9900000001,13.0,-142320.36,4405.320000000001,n.d.,542432.69,400128.27,0,51216.11,98500,347319.82,n.d.,19368.65,16947.57,23312.4,423440.67,16947.57,-3943.749,n.d.,n.d.,1048362.51,1048362.51,279250.31
2014,119178.14,292619.63,375107.6,60110.0,33076.718,271095.89,515.2990000000001,61941.09,18470.54,18954.01,37424.55,301007.32,70328.78,575595.12,230722.69,n.d.,3293.529,1373.98,664171.71,2086.6,664386.21,n.d.,1032.3,622397.2699999999,1953.67,616038.2799999999,347162.87,13.0,-125143.08,4405.320000000001,12159.19,515485.12,374336.309,0,9596.68,119178.14,302731.61,n.d.,16692.777000000002,14606.177,18954.01,393290.319,14606.177,-2261.229,n.d.,12159.19,997504.87,997504.87,267259.987
2013,174006.94999999998,194871.77000000002,299750.41000000003,60092.42,34548.25,319811.97000000003,362.31,43645.94,20139.8,18700.21,38840.009,171473.88999999998,20248.06,560988.9400000001,224371.57,n.d.,3989.06,2733.38,709657.87,2058.3500000000004,710922.93,n.d.,1755.65,639925.12,1953.67,633566.13,313069.87,12.0,-127899.38,4405.320000000001,84630.58,500896.52,372410.75,0,9445.56,174006.94999999998,204679.64,n.d.,16466.8,14408.449,18700.21,391110.96,14408.449,-2233.4100000000003,n.d.,84630.58,939675.53,939675.53,263711.55
2012,200642.64,210623.62,305415.39,60092.42,37514.34,420502.02,692.92,37375.07,23932.37,20798.980000000003,44731.350000000006,196808.95,23560.4,546580.49,233988.97,n.d.,6484.77,4775.55,819099.3500000001,1954.56,828530.15,n.d.,1222.32,661844.99,1953.67,650486.0,364766.38,13.0,-129307.81,9405.32,71231.37000000001,486488.069,387229.14999999997,0,8720.710000000001,200642.64,220037.25,n.d.,15536.53,13581.97,20798.980000000003,408028.13,13581.97,-5262.45,n.d.,71231.37000000001,967260.38,967260.38,278233.42000000004
2011,260898.97999999998,252908.14,377961.05,60092.42,39882.1,476310.20900000003,1100.35,83181.51,23179.61,24694.63,47874.24,261792.94,92066.31,532998.52,236718.66,n.d.,6255.31,4652.6,891101.09,2386.07,905141.09,n.d.,649.24,682763.8400000001,1953.67,671290.3200000001,422881.22,14.0,-144237.979,9519.85,32986.6,472906.1,404136.25,0,12818.9,260898.97999999998,266827.39,n.d.,19088.56,16702.49,24694.63,428830.88,16702.49,-5606.07,n.d.,32986.6,1060724.8890000002,1060724.8890000002,283639.43000000005
2010,289458.55,252848.06,391682.19,60092.42,34060.44,264621.47900000005,1032.4,54262.82,19374.36,20612.61,39986.97,327413.64,128828.4,516296.03,236284.03,n.d.,4234.55,2875.55,667370.1,2126.13,667370.1,n.d.,434.15,687545.97,1953.67,676072.4500000001,335757.49000000005,14.0,-126477.62000000001,9519.85,10005.730000000001,456203.61,382136.009,0,19593.12,289458.55,273473.58,n.d.,16812.21,14686.079,20612.61,402748.62,14686.079,-3800.4,n.d.,10005.730000000001,1079228.16,1079228.16,275346.149
2009,300360.45,175965.77000000002,295534.84,60092.42,32586.65,291362.73000000004,n.d.,53773.87,25425.980000000003,16419.39,41845.369,222277.63,100085.73,501609.95,240478.62,n.d.,8681.56,7584.37,711033.61,1022.95,711033.61,n.d.,445.79,701152.76,1953.67,692679.24,293076.15,15.0,-137346.88999999998,6519.85,19483.34,441517.529,403251.48900000006,0,18751.43,300360.45,194717.2,n.d.,8183.620000000001,7160.67,16419.39,419670.88,7160.67,-8235.769,n.d.,19483.34,996687.6,996687.6,281672.58900000004
2008,325727.79000000004,177268.59,294382.2,60092.42,47913.95,394243.54,n.d.,57964.07,29034.59,32686.11,61720.7,221731.78,102427.259,494449.28,245613.96,n.d.,10505.2,8359.44,838063.06,3663.16,842063.06,n.d.,361.61,724192.09,1953.67,715718.57,383283.14,16.0,-140484.86,6519.85,14686.349999999999,434356.86,415133.41000000003,0,21128.63,325727.79000000004,198397.22,n.d.,22542.52,18879.36,32686.11,447819.52,18879.36,-10143.59,n.d.,14686.349999999999,1018574.29,1018574.29,305550.51
