Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,5569080.619999999,n.d.,3347721.06,600699.5,597924.24,1245352.2,1295442.97,586033.64,142909.9,812902.07,955811.97,1041451.6699999999,1627485.31,3733417.36,164942.91,n.d.,204115.74,204115.74,1234999.92,160738.97,2427483.11,n.d.,6966.98,7905926.35,n.d.,225181.8,1364694,2,-61376.03,7680744.55,1720235.75,3132717.86,369228.83999999997,0,655706.4600000001,5569080.619999999,1951149.43,n.d.,615753.31,455014.34,812902.07,1182130.909,455014.34,-197148.759,n.d.,24181.18,11253647.41,11253647.41,1127721.86
2022,5653554.03,n.d.,4418651.8,600699.5,465025.69,815231.81,n.d.,440100.66,142909.9,561923.05,704832.9500000001,2286803.8699999996,2726904.53,4797607.109999999,158656.81,n.d.,170579.6,170579.6,749999.92,107396.84,1916398.069,n.d.,38169.18,7294361.52,n.d.,225181.8,826206.25,2,-237676.5,7069179.72,1691747.27,4196907.609999999,539243.21,0,1261852.1800000002,5653554.03,1261852.1800000002,n.d.,429512.63,322115.79000000004,561923.05,1101166.259,322115.79000000004,-132410.41999999998,n.d.,n.d.,11713013.32,11713013.32,901658.94
2021,7926682.17,n.d.,5205570.74,600699.5,398450.709,799433.47,n.d.,416310.81,142909.9,457518.9900000001,600428.89,3102035.68,3518346.49,4475491.319999999,189249.94,n.d.,176988.57,176988.57,649999.92,84726.40999999999,1657536.99,n.d.,59736.8,8777442.850000001,n.d.,225181.8,875603.6699999999,6,-68424.68900000001,8552261.05,1687224.25,3874791.82,400584.52900000004,0,1580840.0990000002,7926682.17,1580840.1,n.d.,340267.22000000003,255540.809,457518.9900000001,858103.519,255540.809,-117251.77,n.d.,n.d.,13983013.59,13983013.59,849415.629
2020,8885949.11,n.d.,5754455.51,600699.5,191564.24,n.d.,n.d.,392388.6,142909.9,185302.04,328211.94,3726000,4118388.6,4219950.51,192520.01,n.d.,174637.86,174637.86,35416.61,15764.26,836711.15,n.d.,53754.42,8930498.53,n.d.,225181.8,n.d.,8,-315979.2,8705316.728999998,1636066.91,3619251.01,651409.11,0,1579054.42,8885949.11,1579054.42,n.d.,64418.6,48654.34,185302.04,836711.15,48654.34,-120883.439,n.d.,n.d.,14684954.04,14684954.04,574486.37
2019,8689000.229999999,n.d.,6042941.33,600699.5,-330810.28,380300,n.d.,426512.38,142909.9,66788.479,209698.379,3726000,4152512.38,4171296.17,168340.94999999998,n.d.,261400.99,261400.99,n.d.,337320.01,918345.95,n.d.,58212.34,8280541.18,n.d.,166609,n.d.,6,-160006.62,8113932.18,1890428.95,3570596.67,471257.47000000003,0,1463186.1090000002,8689000.229999999,1463186.11,n.d.,-136400.17,-473720.18,66788.479,538045.9500000001,-473720.18,-203188.65,n.d.,n.d.,14323482.51,14323482.51,436251.669
2018,9458547.42,n.d.,7951825.94,600699.5,2235937.659,5153047.34,1150495.54,4305540.359999999,142909.9,2399233.92,2542143.82,1500000,5805540.359999999,6645016.35,165888.74000000002,n.d.,261938.38,261938.38,7226000,191066.81,8101228.0,n.d.,146799.03,9732724.61,n.d.,48352.5,5153047.34,5,-240148.1,9684372.11,2146285.58,6044316.85,548946.74,0,430491.24,9458547.42,1580986.78,n.d.,2284094.57,2093027.759,2399233.92,2948180.66,2093027.759,-115139.35,n.d.,20385.440000000002,17684550.55,17684550.55,2854831.589
2017,11118378.57,n.d.,7935654.46,600699.5,363158.43000000005,n.d.,1269962.48,858442.24,142909.9,459114.33,602024.23,5068778.09,5927220.33,4551988.59,148871.56,n.d.,309125.88,309125.88,n.d.,63750.65,902837.92,n.d.,134010.73,9495558.89,n.d.,342796.4,n.d.,5,-151942.13,9152762.49,2008434.13,3951289.09,443723.58900000004,0,490883.709,11118378.57,1760846.1900000002,n.d.,283999.18,220248.53,459114.33,902837.92,220248.53,-175115.15,n.d.,21166.82,17431213.35,17431213.35,884906.52
2016,9039998.61,n.d.,7626467.34,600699.5,437429.72,n.d.,26387.32,786645.7699999999,142909.9,545404.14,688314.04,5068778.09,5855423.858999999,4331740.06,200487.46,n.d.,279343.79000000004,279343.79000000004,239254.84999999998,94113.73,1018106.99,n.d.,122573.2,7615170.78,n.d.,442796.4,n.d.,4,-129305.48999999999,7172374.38,1771043.48,3731040.559,472702.85,0,1843512.13,9039998.61,1869899.45,n.d.,388633.55,294519.82,545404.14,1018106.99,294519.82,-156770.58899999998,n.d.,n.d.,15241638.12,15241638.12,1011374.7
2015,9266604.0,n.d.,7515430.72,600699.5,339471.99000000005,n.d.,26387.32,870809.7799999999,142586.6,491691.81,634278.41,5068778.09,5939587.87,4037220.24,219979.64,n.d.,358659.83,358659.83,240405.72,72361.68000000001,989317.53,n.d.,136215.09,7341620.81,n.d.,442796.4,n.d.,2,-135059.47999999998,6898824.41,1575842.8490000002,3436520.74,497625.72000000003,0,1526839.97,9266604.0,1553227.29,n.d.,269247.07,196885.39,491691.81,989317.53,196885.39,-222444.74,n.d.,n.d.,14857051.53,14857051.53,990473.14
2014,8540747.0,n.d.,6564969.38,600699.5,265356.25,n.d.,26387.32,656581.2699999999,113465.51,501950.15,615415.66,5068778.09,5725359.358999999,3840334.85,223906.86,n.d.,382553.03,382553.03,240405.72,65176.76,941391.2,n.d.,97670.38,7634242.23,n.d.,339563.41000000003,n.d.,2,-102068.68000000001,7294678.818999999,839610.02,3239635.349,439441.05,0,1791742.44,8540747.0,1818129.76,n.d.,217067.5,151890.74000000002,501950.15,941391.2,151890.74000000002,-284882.65,n.d.,n.d.,14199211.61,14199211.61,936992.9
2013,8055747.0,n.d.,5792214.13,600699.5,286502.27900000004,n.d.,26387.32,626394.12,113465.51,518077.53,631543.04,5054483.63,5680877.75,3688444.11,218547.46,n.d.,334255.92000000004,334255.92000000004,964558.71,74615.82,965733.34,n.d.,63830.98,6578705.859999999,n.d.,26701.280000000002,n.d.,2,-115642.84,6552004.58,111336.38,3087744.61,447655.81,0,600341.56,8055747.0,626728.88,n.d.,247652.59,173036.77000000002,518077.53,965733.3400000001,173036.77000000002,-270424.94,n.d.,n.d.,12370919.99,12370919.99,913921.48
2012,8005747.0,n.d.,5729771.34,600699.5,271662.15,n.d.,26387.32,142774.67,113465.52,500104.89,613570.41,5068778.09,5211552.76,3686928.29,153881.75,n.d.,336264.64,336264.64,n.d.,67798.56,906362.12,n.d.,62154.94,6335258.19,n.d.,n.d.,n.d.,2,-138909.96,6335258.19,518218.58,3086228.7890000003,406257.23000000004,0,345966.92000000004,8005747.0,372354.24,n.d.,225995.19,158196.63,500104.89,906362.12,158196.63,-274109.7,n.d.,61047.52,12065029.53,12065029.53,829607.1
2011,7405747.0,n.d.,5940089.7,600699.5,294117.98000000004,n.d.,26387.32,378331.32,96687.53,581709.49,678397.02,5068778.09,5447109.41,3528731.66,61422.01,n.d.,320286.34,320286.34,n.d.,84613.05,851375.3200000001,n.d.,20620.35,5354123.71,n.d.,n.d.,n.d.,4,-111556.29,5354123.71,492980.29,2928032.16,269665.829,0,333347.43000000005,7405747.0,359734.75,n.d.,282043.5,197430.45,581709.49,851375.3200000001,197430.45,-299665.99000000005,n.d.,336250.21,11294213.41,11294213.41,760439.38
