Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,35229.61,127127.9,217698.0,261443.7,516651.98,48913.65,99026.04,143423.81,226025.46,374434.38,600459.8400000001,n.d.,16295.91,3475781.27,144345.8,n.d.,5605.35,5605.35,1274963.73,79333.79,1275794.6500000001,n.d.,1131.28,3869845.59,83907.17000000001,3698961.23,48913.65,3,-482075.36,86977.18900000001,74274.19,3214337.57,852446.619,293849.6,56529.17,329079.21,282683.11,n.d.,369960.31,290626.52,374434.38,1226881,290626.52,-4474.07,n.d.,74274.19,4087543.59,4087543.59,745936.919
2022,134188.63,81945.37000000001,156081.36,261443.7,253499.98,150802.3,133203.549,152927.57,206035.79,57828.34,263864.13,n.d.,70982.2,3184134.45,141696.96,n.d.,5462.04,5462.04,1231954.01,5815.9,1235444.58,n.d.,913.79,3694730.44,80943.2,3527658.34,150802.3,3,-679081.19,86128.9,3153.79,2922690.75,1026813.9400000001,294657.52,22682.28,428846.14999999997,237831.2,n.d.,53280.09,47464.189,57828.34,1084642.28,47464.189,-4548.25,n.d.,3153.79,3850811.8,3850811.8,406474.879
2021,293237.62,520.8499999999999,549206.1699999999,261443.7,473875.74,109286.67000000001,38427.810000000005,304578.49000000005,166876.56,413614.5,580491.06,n.d.,304057.64,2463096.86,126902.45999999999,n.d.,6622.820000000001,6622.820000000001,1433198.26,99992.5,1433688.6300000001,n.d.,0.0,2428589.38,7277.860000000001,2329531.04,109286.67000000001,3,-617008.4400000001,91780.48,244627.68,2201653.16,910787.4600000001,66265.67900000002,116246.73,359503.3,155195.38999999998,n.d.,406991.68,306999.18,413614.5,1324401.96,306999.18,-6622.820000000001,n.d.,232400.23,2977795.55,2977795.55,707393.519
2020,332233.97000000003,n.d.,560353.97,261443.7,240049.639,116255.01,81558.62000000001,284589.99000000005,176989.61000000002,87661.82,264651.43000000005,n.d.,284589.99000000005,2163450.84,116880.93,n.d.,7111.99,7111.99,1131188.32,17489.8,1136616.11,n.d.,0.0,2228590.92,9467.2,2135532.21,116255.01,2,-638828.74,83591.51,275763.98000000004,1902007.14,932699.2799999999,65382.65,146318.80899999998,397616.62,227877.43,n.d.,80549.83,63060.03,87661.82,1020361.1,63060.03,-7111.99,n.d.,271763.98000000004,2788944.89,2788944.89,381532.36
2019,163943.37,2845.32,518364.02,261443.7,278394.05,101553.16,64320.01,301139.83,163623.07,151846.5,315469.57,n.d.,298294.51,2107743.97,392799.23000000004,n.d.,3879.23,3879.23,1081257.54,33196.28999999999,1089439.6300000001,n.d.,0.0,2045093.15,4982.33,1956468.18,101553.16,4,-279617.67,83642.64,217224.19,1846300.27,836039.97,64499.619999999995,160104.87999999998,228442.99,227270.21,n.d.,147967.27000000002,114770.979,151846.5,987886.47,114770.979,-3879.23,n.d.,208224.19,2563457.17,2563457.17,708268.8
2018,59388.27,2845.32,481272.42,261443.7,309922.65,117381.17000000001,51159.44,245751.84,158501.87999999998,203696.17,362198.05,n.d.,242906.52,2000326.15,338420.04,n.d.,6033.14,6033.14,1124792.51,46242.259999999995,1124792.51,n.d.,0.0,1817984.15,217.42000000000002,1735032.12,117381.17000000001,4,-306793.25,82734.61,235520.58,1738882.45,803715.1699999999,63616.59,121920.8,123004.86,175925.56,n.d.,197663.03,151420.77000000002,203696.17,1007411.3400000001,151420.77000000002,-6033.14,n.d.,231520.58,2299256.57,2299256.57,700618.09
2017,85940.36,6757.38,506867.86,261443.7,289678.39,138623.01,52459.340000000004,374974.22,148359.16,191968.27,340327.43000000005,n.d.,368216.839,1863611.7,341845.43000000005,n.d.,8250.638,8250.638,1105790.51,42398.4,1105790.51,n.d.,0.0,1632993.07,1989.26,1545693.9,138623.01,7,-284994.63999999996,85309.90999999999,131893.64,1602168.0,775199.23,66580.429,64511.72,152520.79,123728.44,n.d.,183717.63,141319.23,191968.27,967167.5,141319.23,-8250.638,n.d.,127893.64,2139860.93,2139860.93,682172.8580000001
2016,154777.64,58.290000000000006,639077.3600000001,261443.7,326337.88,83343.95,41383.91,296668.96,148960.54,244030.25,392990.79,n.d.,296610.67,1759329.51,344785.63,n.d.,10818.53,10818.53,1109777.1,59155.87,1112234.56,n.d.,3321.49,1475828.34,4369.84,1380831.75,83343.95,7,-291114.189,90626.75,342408.4,1497885.81,784860.3600000001,65743.729,93612.62,220521.37,135054.81999999998,n.d.,236533.21,177377.34,244030.25,1028890.61,177377.34,-7497.04,n.d.,338408.4,2114905.7,2114905.7,741097.91
2015,190151.43,n.d.,434036.46,261443.7,289263.35,130281.04,51061.08,131668.239,134039.81999999998,182010.02,316049.83900000004,n.d.,131668.239,1580593.62,327471.92000000004,n.d.,13301.68,13301.68,1018084.08,13642.97,1021967.7989999999,n.d.,158.16,1535380.31,8602.140000000001,1362893.09,130281.04,7,-248165,163885.08,302368.22000000003,1319149.919,709676.739,65794.35,81816.29,255945.78,132877.37,n.d.,168866.5,155223.53,182010.02,891686.759,155223.53,-13143.52,n.d.,302368.22000000003,1969416.77,1969416.77,643679.92
2014,190906.66,n.d.,544183.8500000001,261443.7,533662.8200000001,108007.22,43263.159999999996,533787.8600000001,189971.67,462439.9900000001,652411.66,n.d.,533787.8600000001,1399205.99,311281.6,n.d.,15482.59,15482.59,1290305.83,103302.86,1290305.83,n.d.,36.61,1343434.47,7488.42,1229340.74,108007.22,7,-218605.34999999998,106605.31,10395.99,1137762.29,719858.62,59002.94,195239.57,249909.6,238502.73,n.d.,446994.01,343691.15,462439.9900000001,1182298.61,343691.15,-15445.98,n.d.,10395.99,1887618.32,1887618.32,963729.87
