Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,15555.84,116771.59,3005.06,26241.09,183860.44,n.d.,46435.52,13868.849999999999,16067.84,29936.69,n.d.,30879.679,215886.27,75224.84,n.d.,0,n.d.,314323.07,3695.6,320323.07,n.d.,0,205355.98,3143.77,200754.91,183860.44,2,-31301.1,1457.3,70336.07,212881.21,120394.79,0,90685.459,n.d.,106241.3,n.d.,16067.84,12372.240000000002,16067.84,136462.63,12372.240000000002,0.0,n.d.,70336.07,322127.57,322127.57,105161.53
2022,n.d.,28380.1,119159.73,3005.06,28528.37,190476.73,n.d.,42090.75,21798.8,8972.9,30771.699,n.d.,13710.65,203514.03,67359.65000000001,n.d.,0,n.d.,313456.96,2243.3300000000004,319456.96,n.d.,0,217600.26,3143.77,212999.19,190476.73,2,-30848.88,1457.3,77068.98,200508.97,120007.33,0,104865.86,n.d.,133245.95899999997,n.d.,8972.9,6729.57,8972.9,128980.23,6729.57,0.0,n.d.,77068.98,336759.99000000005,336759.99000000005,98131.349
2021,n.d.,15907.93,55938.02,3005.06,n.d.,162848.58,n.d.,n.d.,n.d.,10982.64,10982.64,20787.64,4879.709,196784.46,65787.6,n.d.,0,n.d.,270423.22000000003,n.d.,276423.22000000003,n.d.,0,237566.6,1923.6899999999998,234185.61,183636.22,2,-36804.4,1457.3,35150.380000000005,193779.4,102592,0,80812.228,n.d.,96720.16,n.d.,10982.64,10982.64,10982.64,113574.63900000001,10982.64,0.0,n.d.,35150.380000000005,293504.62,293504.62,76770.23999999999
2020,n.d.,10720.25,91113.79,3005.06,35532.718,166367,n.d.,43512.810000000005,23135.08,16136.39,39271.47,n.d.,32792.559,185801.82,62526.11,n.d.,0,n.d.,298614.99000000005,4132.55,304614.99000000005,n.d.,393.8,232963.5,1923.6899999999998,229582.51,166367.0,2,-36450.41,1457.3,47600.98,182796.76,122111.6,0,127555.22,n.d.,138275.47,n.d.,16530.187,12397.637,16136.39,138247.99,12397.637,393.8,n.d.,47600.98,324077.29000000004,324077.29000000004,102191.378
2019,n.d.,15532.58,74709.33,3005.06,28117.51,170282.57,n.d.,44096.310000000005,15442.82,16899.59,32342.41,n.d.,28563.729,173404.18,60818.02,n.d.,0,n.d.,293993.54,4224.9,299993.54,n.d.,0,245237.34,n.d.,244380.04,170282.57,2,-36550.54,857.3,30613.02,170399.12,112811.37900000002,0,131009.909,n.d.,146542.49,n.d.,16899.59,12674.69,16899.59,129710.969,12674.69,0.0,n.d.,30613.02,319946.67,319946.67,93160.43
2018,n.d.,32567.79,97337.57,3005.06,29099.32,166034.84,n.d.,47940.77,12051.08,22730.980000000003,34782.06,n.d.,15372.979,160064.49,87377.53,n.d.,0,n.d.,323689.32,5682.74,323689.32,n.d.,0,276493.21,n.d.,275635.91000000003,166034.84,2,-35494.89,857.3,49396.8,157059.43,134923.5,0,181198.5,n.d.,213766.29,n.d.,22730.980000000003,17048.238999999998,22730.980000000003,157654.47999999998,17048.238999999998,0.0,n.d.,49396.8,373830.78,373830.78,122159.59
2017,n.d.,32250.329999999998,105758.13,3005.06,23792.85,188734.16,n.d.,73983.5,5214.53,24771.09,29985.62,n.d.,41733.17,143015.84999999998,96074.18,n.d.,0,n.d.,352175.23000000004,6192.7699999999995,357175.23000000004,n.d.,0,273972.68,n.d.,273115.38,188734.16,2,-42381.27,857.3,31774.63,140010.79,143669.979,0,204464.63,n.d.,236714.96,n.d.,24771.09,18578.32,24771.09,168441.069,18578.32,0.0,n.d.,31774.63,379730.81,379730.81,126059.799
2016,n.d.,27982.24,90551.2,3005.06,29123.19,162124.67,n.d.,58020.350000000006,13519.12,20805.56,34324.68,n.d.,30038.109,124437.53,93317.66,n.d.,0,n.d.,314362.12,5201.49,318862.12,n.d.,0,275792.01,n.d.,274934.71,162124.67,2,-29095.109999999997,857.3,32530.85,121432.47,135931.88999999998,0,213923.44,n.d.,241905.68,n.d.,20805.56,15604.07,20805.56,156737.449,15604.07,0.0,n.d.,32530.85,366343.21,366343.21,127642.34
2015,419.96999999999997,19062.85,110498.99,3005.06,25057.238999999998,156519.34,n.d.,45562.49,13519.12,15407.56,28926.68,n.d.,26499.64,108833.46,93646.55,n.d.,23.4,23.4,318413.24,3846.04,318413.24,n.d.,0,285959.52,n.d.,285102.22000000003,156519.34,2,-39320.67,857.3,64936.5,105828.4,146486.34,0,268142.22900000005,419.96999999999997,287205.08,n.d.,15384.16,11538.119,15407.56,161893.9,11538.119,-23.4,n.d.,64936.5,396458.51,396458.51,122573.23
2014,2888.42,52907.05,121148.59,3005.06,13554.31,172009.19,n.d.,68977.73,13519.12,337.4,13856.52,16358.58,32429.259,97295.34,121832.12,n.d.,290.47999999999996,290.47999999999996,335540.13,11.729999999999999,335540.13,n.d.,0,295562.94,n.d.,294705.64,172009.19,2,-27842.3,857.3,35812.28,94290.28,163193.539,0,263620.72000000003,2888.42,316527.77,n.d.,46.92,35.190000000000005,337.4,163530.94,35.190000000000005,-290.48,n.d.,35812.28,416711.53,416711.53,135688.64
2013,8578.38,36908.46,107779.57,3005.06,21439.68,149876.79,n.d.,44542.880000000005,21366.58,784.21,22150.79,16351.53,23985.949,97253.1,119385.09,n.d.,692.8399999999999,692.8399999999999,318458.23000000004,18.27,318458.23000000004,n.d.,0,277451.49000000005,n.d.,276594.19,149876.79,2,-27045.56,857.3,46885.16,94248.04,167797.229,0,242491.12,8578.38,279399.58,n.d.,91.37,73.1,784.21,168581.43899999998,73.1,-692.8399999999999,n.d.,46885.16,385231.06,385231.06,141535.879
2012,7437.660000000001,51301.97,121271.82,3005.06,21901.53,184273.31999999998,n.d.,54399.78999999999,20275.129999999997,3135.72,23410.85,18358.58,21456.399,97180.0,105434.6,n.d.,1102.87,1102.87,340168.31,406.6,341968.31,n.d.,0.15000000000000002,296354.04,n.d.,295496.74,184273.32,2,-28849.54,857.3,48513.45,94174.939,154559.27000000002,0,261706.229,7437.660000000001,313008.2,n.d.,2033.0,1626.4,3135.72,157694.99,1626.4,-1102.719,n.d.,48513.45,417625.86,417625.86,128845.6
2011,21834.829999999998,22470.22,95394.96,3005.06,26152.51,103507.45,n.d.,50597.53,21870.93,6525.110000000001,28396.04,19795.7,47923.009,95553.6,52791.67,n.d.,1174.24,1174.24,198299.5,1070.3899999999999,203699.5,n.d.,1.1,292617.38,n.d.,291452.58,103507.45,2,-19004.34,1164.8,25001.73,92548.54,93666.93999999999,0,248153.69,21834.829999999998,270623.91000000003,n.d.,5351.969999999999,4281.58,6525.110000000001,100192.05,4281.58,-1173.14,n.d.,25001.73,388012.34,388012.34,81188.81
2010,35668.39,13111.949999999999,78548.55,3005.06,25532.23,89656.86,n.d.,28530.66,21830.920000000002,6358.3,28189.219,29085.89,44504.6,90575.41,56736.76,n.d.,1732.46,1732.46,190149.39,925.3299999999999,194649.39,n.d.,0.8,315018.31,n.d.,313253.51,89656.86,2,-20066.55,1764.8,20932.0,87570.349,98634.23,0,254211.11,35668.39,267323.06,n.d.,4626.64,3701.31,6358.3,104992.53,3701.31,-1731.66,n.d.,20932.0,393566.86,393566.86,84926.78
2009,49419.98,15173.75,65212.6,3005.06,n.d.,85626.54,n.d.,24444.99,n.d.,3950.01,3950.01,32284.609999999997,41555.850000000006,86874.1,55039.380000000005,n.d.,3423.6,3423.6,166239.49,105.43,166239.49,n.d.,0.7200000000000001,336919.23000000004,-23174.82,358329.25,85626.54,2,-21623.56,1764.8,8483.0,83869.04,76662.93999999999,0,250664.0,49419.98,265837.75,n.d.,527.13,421.7,3950.01,80612.95,421.7,-3422.88,n.d.,8483.0,402131.83,402131.83,58990.109
2008,61586.2,13927.65,82173.47,3005.06,7562.99,100200.55,n.d.,27073.99,7024.91,4496.429999999999,11521.34,33155.809,46302.149,86452.4,53833.880000000005,n.d.,3779.58,3779.58,197876.8,179.36,197876.8,n.d.,0.59,335629.92000000004,516.59,333348.53,100200.55,2,-32321.03,1764.8,21943.67,83447.34,93179.82,0,255837.139,61586.2,269764.79000000004,n.d.,717.4399999999999,538.08,4496.429999999999,97676.249,538.08,-3778.99,n.d.,21943.67,417803.39,417803.39,65355.810000000005
2007,291791.35,n.d.,81235.03,3005.06,6703.1900000000005,n.d.,n.d.,34998.61,6022.09,4711.72,10733.81,32803.489,67802.099,85562.0,51286.52,n.d.,3803.58,3803.58,174480.55,227.04,174480.55,n.d.,n.d.,332164.2,2584.73,328722.17,88920.42,2,n.d.,857.3,13432.93,82556.93999999999,n.d.,n.d.,36045.880000000005,291791.35,36045.880000000005,n.d.,908.14,681.1,4711.72,n.d.,681.1,-3803.58,n.d.,12525.43,413399.23,413399.23,62020.33
2006,92875.12000000001,n.d.,94265.57,3005.06,19802.9,n.d.,n.d.,71091.19,18537.49,5722.02,24259.51,9786.68,80877.87000000001,84880.9,35048.759999999995,n.d.,4035.8,4035.8,195875.86,542.3199999999999,195875.86,n.d.,121.51,338186.29000000004,8606.82,328722.17,111919.96,2,n.d.,857.2990000000001,13387.7,81875.84,n.d.,n.d.,254695.84,92875.12000000001,254695.84,n.d.,1807.73,1265.409,5722.02,n.d.,1265.41,-3914.29,n.d.,12301.63,432451.86,432451.86,59429.78
2005,110177.53,n.d.,96871.43,3005.06,10642.4,n.d.,n.d.,55343.4,10230.11,3997.44,14227.55,17939.68,73283.08,83615.48999999999,39047.87,n.d.,4594.78,4594.78,206623.2,176.69,206623.2,n.d.,1186.32,250303.23,14426.02,235019.91,118080.22,1,n.d.,857.3,23588.35,80610.43,n.d.,n.d.,153381.64,110177.53,153381.64,n.d.,588.98,412.29,3997.44,n.d.,412.29,-3408.46,n.d.,22107.36,347174.66,347174.66,54461.74
2004,127028.98,n.d.,114025.52,3005.06,9025.029,n.d.,n.d.,69942.57,8246.799,6053.38,14300.179,15558.66,85501.23,83203.2,52784.68,n.d.,4948.44,4948.44,258771.41,333.53,258771.41,n.d.,6.819999999999999,258301.63,20050.37,237652.02,160035.6,2,n.d.,599.24,28524.289,80198.14,n.d.,n.d.,162094.97,127028.98,162094.97,n.d.,1111.76,778.23,6053.38,n.d.,778.23,-4941.620000000001,n.d.,26486.97,372327.15,372327.15,67091.67900000002
