Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,36842.08,320790.79000000004,60101.21,14677.449999999999,391737.48000000004,n.d.,8356.76,7876.360000000001,8919.41,16795.77,82850.09,54364.76899999999,325505.6,148305.55,n.d.,0,n.d.,636395.12,2118.32,636395.12,n.d.,0.0,65257.61,n.d.,65257.61,391737.48,6,-79556.32,n.d.,229583.94,265404.39,235738.229,0,23700.72,n.d.,60542.8,n.d.,8919.41,6801.09,8919.41,244657.64,6801.09,0.0,n.d.,229583.94,386048.4,386048.4,165101.319
2022,n.d.,31231.64,302256.42000000004,60101.21,11571.4,308927.99000000005,n.d.,10580.27,9532.83,2718.1,12250.93,77216.9,56565.53,318704.51,134200.15,n.d.,0,n.d.,537537.7699999999,679.53,537537.7699999999,n.d.,0.0,73969.78,n.d.,73133.97,308927.99000000005,6,-82158.7,835.81,214459.25,258603.3,225891.679,0,26290.05,n.d.,57521.69,n.d.,2718.1,2038.57,2718.1,228609.78,2038.57,0.0,n.d.,214459.25,376226.2,376226.2,146451.08
2021,n.d.,27046.440000000002,287179.26,60101.21,21686.23,295329.29000000004,n.d.,16879.84,8065.14,18161.460000000003,26226.6,45206.72,35040.119,316665.94,117955.72,n.d.,0,n.d.,516939.09,4540.37,516939.09,n.d.,0.0,81204.97,n.d.,79689.63,295329.29000000004,6,-77427.48,1515.34,225092.7,256564.729,203448.34,0,24671.85,n.d.,51718.28999999999,n.d.,18161.460000000003,13621.09,18161.460000000003,221609.8,13621.09,0.0,n.d.,225092.7,368384.23,368384.23,144182.31999999998
2020,n.d.,14570.720000000001,270653.5,60101.21,n.d.,245121.47,n.d.,18838.57,n.d.,-24521.45,-24521.45,45206.72,49474.57,303044.85,127623.32,n.d.,0,n.d.,412374.59,-6055.71,412374.59,n.d.,298.61,67800.15000000001,n.d.,61744.44,245121.47,6,-64151.25,6055.71,206608.21,242943.639,191774.57,0,20838.08,n.d.,35408.8,n.d.,-24222.84,-18167.13,-24521.45,167253.12,-18167.13,298.61,n.d.,206608.21,338453.65,338453.65,103400.48
2019,n.d.,23291.93,298354.25,60101.21,31694.440000000002,246354.79,n.d.,11962.240000000002,20740.71,14306.79,35047.5,45206.72,33877.03,321211.98000000004,144379.17,n.d.,0,n.d.,496343.93000000005,3651.24,496343.93000000005,n.d.,298.18,58284.69,n.d.,58284.69,246354.79,6,-70562.47,n.d.,241185.29,261110.77,235682.34999999998,0,12135.03,n.d.,35426.96,n.d.,14604.97,10953.73,14306.79,249989.139,10953.73,298.18,n.d.,241185.29,356638.94,356638.94,179724.84999999998
2018,n.d.,27640.88,276934.02,60101.21,57414.92,252772.04,n.d.,11049.94,34008.78999999999,31208.18,65216.97,27052.43,10461.49,310258.25,165275.23,n.d.,0,n.d.,584671.3300000001,7802.05,584671.3300000001,n.d.,0.0,78874.16,n.d.,78874.16,252772.04,6,-101407.09,n.d.,238831.65,250157.04,300691.11,0,17909.05,n.d.,45549.93,n.d.,31208.18,23406.13,31208.18,331899.28900000005,23406.13,0.0,n.d.,238831.65,355808.18,355808.18,230492.2
2017,n.d.,24524.64,213985.24,60101.21,65928.8,250627.21000000002,n.d.,12243.8,62185.46,5004.31,67189.77,31733.73,19452.89,286852.12,192268.03,n.d.,13.19,13.19,613005.0,1247.78,613005.0,n.d.,0.0,112258.16,n.d.,112258.16,250627.21,n.d.,-102919.98999999999,n.d.,170007.71000000002,226750.91,357373.48000000004,0,14866.64,n.d.,39391.28,n.d.,4991.120000000001,3743.34,5004.31,362377.79000000004,3743.34,-13.19,n.d.,170007.71000000002,326243.4,326243.4,259457.8
2016,1666.1699999999998,14299.69,154905.64,60021.01,70470.95,214533.91,n.d.,10692.55,67008.43999999999,5200.05,72208.48999999999,30731.35,27124.209,283108.78,183083.64,n.d.,588.3399999999999,588.3399999999999,560784.22,1154.1699999999998,560784.22,n.d.,4.970000000000001,172908.49,n.d.,172908.49,214533.91,n.d.,-90958.18000000001,n.d.,113481.74,223087.77,341050.26,0,28739.49,1666.1699999999998,43039.18,n.d.,4616.68,3462.51,5200.05,346250.309,3462.51,-583.37,n.d.,113481.74,327814.13,327814.13,255297.1
2015,21610.73,13195.41,118111.8,60021.01,72006.33,236566.41999999998,n.d.,11984.41,68886.69,5428.160000000001,74314.85,31048.47,29837.47,279646.27,128744.1,n.d.,1268.6399999999999,1268.6399999999999,516984.1,1039.88,516984.1,n.d.,0.0,235588.7,n.d.,235588.7,236566.42,5,-77358.73,n.d.,75078.92,219625.26,274989.52,0,39248.09,21610.73,52443.5,n.d.,4159.52,3119.64,5428.160000000001,280417.679,3119.64,-1268.64,n.d.,75078.92,353700.5,353700.5,203058.95
2014,29277.41,24459.18,113426.8,60021.01,n.d.,231137.47,n.d.,12535.33,n.d.,6058.72,6058.72,63564.07,51640.219,276526.63,125714.01,n.d.,2311.12,2311.12,426074.83,936.9,426074.83,n.d.,0.0,299175.39,n.d.,299175.39,231137.47,6,-63164.63,n.d.,37327.4,216505.62,188878.639,0,82338.97,29277.41,106798.15,n.d.,3747.6,2810.7,6058.72,194937.36,2810.7,-2311.12,n.d.,37327.4,412602.19,412602.19,131772.73
