Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,78723.78,484789.51,16828.0,15824.529,581830.63,n.d.,288751.0,5327.18,13979.3,19306.480000000003,84312.73,294339.949,464043.34,322424.31,n.d.,3213.73,3213.73,1003463.49,3870.78,1003463.49,n.d.,3602.56,98308.32,n.d.,108.32,581830.63,8.0,-79902.069,98200,111725.78,447215.339,407653.56,774.7700000000001,39555.94,774.7700000000001,118279.72,n.d.,14368.13,10497.349,13979.3,421632.86,10497.349,388.829,n.d.,80430.78,583097.8300000001,583097.8300000001,345333.35
2022,n.d.,122863.70999999999,564951.47,16828.0,19394.69,573174.13,n.d.,223061.4,8243.59,20780.82,29024.41,60913.19,161110.879,453545.9900000001,337066.45,n.d.,996.75,996.75,1015679.27,12232.97,1015679.27,n.d.,3600.0,103635.5,n.d.,5435.5,573174.13,10.0,-76414.28,98200,280976.88,436717.9900000001,421724.32,774.7700000000001,91402.5,774.7700000000001,214266.21,n.d.,23384.07,11151.1,20780.82,442505.13999999996,11151.1,2603.25,n.d.,253281.88,668586.97,668586.97,369690.86
2021,n.d.,123332.27,788215.39,16828.0,53800.479,509052.38,n.d.,355671.96,11122.13,53719.06,64841.189,53813.53,286153.22000000003,742394.89,335853.62,n.d.,350.27,350.27,975626.08,14290.44,975626.08,n.d.,3600.0,112383.18,n.d.,13679.09,509052.38,10.0,-65878.89,98704.09,378729.9,725566.89,412854.639,774.7700000000001,34096.64,774.7700000000001,157428.91,n.d.,56968.78999999999,42678.350000000006,53719.06,466573.699,42678.350000000006,3249.73,n.d.,351034.9,900598.57,900598.57,404294.81
2020,n.d.,114183.75,714683.7899999999,16828.0,-33446.989,684006.37,n.d.,298300.24,15107.48,-70509.93,-55402.45,51285.59,235402.079,699716.54,371354.01,n.d.,284.97,284.97,1106049.99,-18640.43,1106049.99,n.d.,3600.0,124190.79,n.d.,18933.45,684006.37,10.0,-106092.06,105257.34,365097.96,682888.54,492553.55,0,24974.29,n.d.,139158.04,n.d.,-67194.9,-48554.469,-70509.93,422043.62,-48554.469,3315.029,n.d.,333157.64,838874.58,838874.58,319551.559
2019,n.d.,198293.74000000002,882131.47,16828.0,99067.1,639039.66,n.d.,423975.11,14266.63,44846.59,59113.219,46948.41,272629.78,748271.01,299180.36,n.d.,393.09,393.09,1115351.08,18582.35,1115351.08,n.d.,58929.32,121333.88,n.d.,23133.88,639039.66,8.0,-118017.84,98200,411207.95,731443.01,431464.83,11583.09,45317.51,11583.09,243611.25,n.d.,103382.82,84800.47,44846.59,476311.42000000004,84800.47,58536.23,n.d.,378183.63,1003465.35,1003465.35,417222.9
2018,n.d.,136010.74000000002,718176.31,16828.0,92340.36,549143.71,n.d.,335329.59,13655.39,105279.51,118934.9,40396.3,239715.15,663470.54,335320.85,n.d.,265.47,265.47,1095176.78,26329.07,1095176.78,n.d.,0.0,142040.27000000002,n.d.,19840.27,549143.71,11.0,-91777.319,122200,342450.42000000004,646642.539,440753.56,9724.849999999999,51010.45,9724.849999999999,187021.19,n.d.,105014.04,78684.97,105279.51,546033.07,78684.97,-265.47,n.d.,320355.42000000004,860216.58,860216.58,454255.75
2017,n.d.,119057.07,742299.69,16828.0,83812.85,497873.58,n.d.,381852.39,7275.28,105723.65,112998.93,52833.54,315628.86,584785.57,381611.36,n.d.,192.53,192.53,1074093.8,29133.62,1074093.8,n.d.,140.07,34666.86,n.d.,32466.86,497873.58,13.0,-81609.93,2200,307613.76,567957.57,470496.57,7091.94,66031.97,7091.94,185089.04,n.d.,105671.19,76537.57,105723.65,576220.22,76537.57,-52.46,n.d.,285518.76,776966.55,776966.55,494750.36
2016,n.d.,107755.42,750344.19,16828.0,114802.96,529200.6989999999,n.d.,431527.96,5694.7,146307.97999999998,152002.68,54194.51,377967.05,558248.0,391117.42,n.d.,596.6,596.6,1161411.1700000002,37226.78,1162161.1700000002,n.d.,623.66,10492.7,n.d.,8292.7,529200.6989999999,14.0,-89840.37000000001,2200,264621.71900000004,541420.0,486652.49000000005,4176.99,90656.48,4176.99,198411.9,n.d.,146335.04,109108.26,146307.97999999998,632960.47,109108.26,27.059,n.d.,242526.72,760836.89,760836.89,543743.759
2015,n.d.,99292.35,597656.71,16828.0,44032.719,337375.82,n.d.,237840.63,3194.1,53711.83,56905.93,53635.66,192183.94,449139.74,314877.33,n.d.,165.87,165.87,807309.39,14254.77,807309.39,n.d.,1547.43,3106.8100000000004,n.d.,3106.8100000000004,337375.82,10.0,-98150.31,n.d.,306180.42000000004,432311.74,416221.74,454.31,51877.12,454.31,151169.47,n.d.,55093.39,40838.619,53711.83,469933.57,40838.619,1381.56,n.d.,284140.42000000004,600763.52,600763.52,373330.69
2014,n.d.,93170.23999999999,536052.959,16828.0,7970.39,255960.16,n.d.,250807.43,2134.66,5124.13,7258.79,55986.17,213623.36,408301.12,291299.51,n.d.,179.22,179.22,637873.12,1916.45,637873.12,n.d.,2807.27,13052.96,n.d.,3243.4,255960.16,10.0,-83354.66,9809.56,229259.36,391473.12,376788.829,0,47634.56,n.d.,140804.8,n.d.,7752.18,5835.73,5124.13,381912.95900000003,5835.73,2628.05,n.d.,215524.6,549105.92,549105.92,301365.569
