Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,n.d.,1222952.75,340000.0,n.d.,n.d.,n.d.,13251.99,n.d.,6763.8,6763.8,n.d.,13251.99,1811229.59,n.d.,n.d.,77.94000000000001,77.94000000000001,60096.49,n.d.,60096.49,n.d.,3428.61,598491.3500000001,n.d.,368077.35,n.d.,n.d.,-53332.689999999995,230414.0,1209700.76,1471229.59,53332.689999999995,0,10214.51,n.d.,10214.51,n.d.,10114.47,10114.47,6763.8,60096.49,10114.47,3350.67,n.d.,721720.4400000001,1821444.1,1821444.1,10192.41
2022,n.d.,n.d.,830655.07,340000.0,5677.78,n.d.,n.d.,23222.4,6399.96,-4981.29,1418.6699999999998,n.d.,23222.4,1831115.12,n.d.,n.d.,22.91,22.91,76479.95999999999,n.d.,76652.38,n.d.,4282.02,1012491.35,n.d.,368077.35,n.d.,n.d.,-75233.70999999999,644414.0,807432.669,1491115.12,81633.67000000001,0,12031.3,n.d.,12031.3,n.d.,-722.1800000000001,-722.1800000000001,-4981.29,76652.38,-722.1800000000001,4259.110000000001,n.d.,803964.23,1843146.42,1843146.42,5700.6900000000005
2021,n.d.,600.5,861439.43,340000.0,48291.810000000005,n.d.,n.d.,13062.45,6399.96,37492.41,43892.37,n.d.,12461.95,1903729.15,n.d.,n.d.,365.63,365.63,35452.32,n.d.,43892.369,n.d.,4765.07,1049477.31,n.d.,374477.31,n.d.,n.d.,n.d.,675000.0,848376.98,1563729.15,6399.96,0,6587.09,n.d.,7187.59,n.d.,41891.850000000006,41891.850000000006,37492.41,43892.369,41891.850000000006,4399.44,n.d.,846539.5,1910916.74,1910916.74,48657.439
2020,n.d.,319.61,626122.8500000001,340000.0,-3232.88,n.d.,n.d.,11728.15,6399.96,-16045.45,-9645.49,n.d.,11408.539,1891837.3,n.d.,n.d.,355.88,355.88,31671.91,n.d.,31671.91,n.d.,6768.49,1280877.27,n.d.,380877.27,n.d.,n.d.,-41317.4,900000.0,614394.7,1551837.3,47717.36,0,14843.21,n.d.,15162.82,n.d.,-9632.84,-9632.84,-16045.45,31671.91,-9632.84,6412.610000000001,n.d.,611638.48,1907000.12,1907000.12,-2877.0
2019,n.d.,1456.25,650265.9500000001,340000.0,-6823.969999999999,n.d.,n.d.,13040.45,6399.96,-19619.53,-13219.57,n.d.,11584.2,1931470.14,n.d.,n.d.,354.4,354.4,33063.25,n.d.,33063.25,n.d.,6750,1287277.23,n.d.,387277.23,n.d.,n.d.,-46282.82,900000.0,637225.5,1591470.14,52682.78,0,4616.79,n.d.,6073.04,n.d.,-13223.93,-13223.93,-19619.53,33063.25,-13223.93,6395.6,n.d.,634469.2799999999,1937543.18,1937543.18,-6469.57
2018,n.d.,2408.69,675508.2,340000.0,-67186.209,n.d.,n.d.,22983.63,6399.96,-81387.54,-74987.57900000001,n.d.,20574.94,1963212.6,52748.729999999996,n.d.,496.3,496.3,22987.51,n.d.,22987.51,n.d.,8297.67,1293677.1900000002,n.d.,393677.19,n.d.,1,-45226.36,900000.0,652524.57,1623212.6,104375.05,0,3564.1,n.d.,5972.79,n.d.,-73586.17000000001,-73586.17000000001,-81387.54,22987.51,-73586.17000000001,7801.37,n.d.,649768.3500000001,1969185.39,1969185.39,-13941.179
2017,n.d.,2594.2799999999997,742385.1699999999,340000.0,-68124.56,n.d.,n.d.,17008.74,533.3299999999999,-77986.38,-77453.05,n.d.,14414.46,2036798.77,52748.729999999996,n.d.,349.46,349.46,12059.33,n.d.,12059.33,n.d.,9677.949999999999,1300077.15,n.d.,400077.15,n.d.,1,-36763.65,900000.0,725376.43,1696798.77,90045.70999999999,0,3069.27,n.d.,5663.55,n.d.,-68657.89,-68657.89,-77986.38,12059.33,-68657.89,9328.49,n.d.,721655.53,2042462.32,2042462.32,-15026.369
2016,n.d.,1581.1299999999999,844177.3400000001,340000.0,-63061.83,n.d.,n.d.,6938.25,924.14,-75705.43999999999,-74781.3,n.d.,5357.120000000001,2105456.66,51159.43,n.d.,27.9,27.9,16419.867000000002,n.d.,16419.867000000002,n.d.,11747.369999999999,1265610.49,n.d.,365610.4900000001,n.d.,1,-40041.74,900000.0,837239.09,1765456.66,92125.31,0,2750.04,n.d.,4331.17,n.d.,-63985.97,-63985.97,-75705.43999999999,16419.867000000002,-63985.97,11719.47,n.d.,833518.19,2109787.83,2109787.83,-11874.5
2015,n.d.,3222.25,911087.61,340000.0,-46462.28999999999,n.d.,n.d.,7080.05,2771.88,-57326.06,-54554.18,n.d.,3857.8,2169442.63,50411.78,n.d.,20,20,27769.69,7146.73,27769.69,n.d.,15258.62,1266534.63,n.d.,366534.63,n.d.,1,-31912.089,900000.0,904007.56,1829442.63,85095.75,0,4957.360000000001,n.d.,8179.610000000001,n.d.,-42087.44,-49234.17,-57326.06,27769.69,-49234.17,15238.62,n.d.,900311.0,2177622.24,2177622.24,11116.219
2014,n.d.,6145.63,1268353.76,340000.0,-63554.310000000005,n.d.,n.d.,67329.15000000001,2771.88,-87872.01,-85100.12900000002,n.d.,61183.52,2517356.8,50411.78,n.d.,17,17,3497.16,n.d.,3497.16,n.d.,21562.82,1271156.52,n.d.,369306.51,n.d.,1,-38185.51,901850.01,1201024.61,2177356.8,91369.17000000001,0,16007.85,n.d.,22153.480000000003,n.d.,-66326.19,-66326.19,-87872.01,3497.16,-66326.19,21545.82,n.d.,1197395.59,2539510.2800000003,2539510.2800000003,-13125.53
2013,n.d.,5404.08,1318646.86,340000.0,204053.09,2084812.24,n.d.,60866.67,6167.41,199910.16,206077.57,n.d.,55462.59,2581832.98,611370.13,n.d.,12868.01,12868.01,2265782.51,n.d.,2265782.51,n.d.,10843.53,1272078.39,n.d.,372078.39,2096839.6400000001,8,636477.429,900000.0,1257780.1900000002,2241832.98,-18939.89,0,3488.19,n.d.,8892.27,n.d.,197885.68,197885.68,199910.16,180970.269,197885.68,-2024.479,n.d.,1257780.1900000002,2590725.25,2590725.25,828291.23
2012,n.d.,279954.71,2474666.5,340000.0,-344257.54,16519547.91,241831.78,2223458.26,13746.869999999999,-291323.14,-277576.27,172744.6,2116248.15,2383947.3,919332.37,n.d.,66681.27,66681.27,17763018.37,n.d.,17763358.45,n.d.,0,650543.1,n.d.,380499.47,16598891.31,35,-602054.4400000001,270043.63,78463.64,2043947.3,1535133.6800000002,0,219475.81,n.d.,741262.3,n.d.,-358004.41000000003,-358004.41000000003,-291323.14,1243810.539,-358004.41000000003,-66681.27,n.d.,78463.64,3125209.6,3125209.6,641756.1
2011,n.d.,5728.89,85106.61,340000.0,n.d.,n.d.,n.d.,6201.53,n.d.,-59.7,-59.7,n.d.,472.639,2580046.41,72516.39,n.d.,0,n.d.,85308.82,n.d.,85308.82,n.d.,3978,2506638.38,n.d.,274890.49000000005,n.d.,2,-12852.130000000001,2231747.89,78905.08,2240046.41,85368.52,0,5969.6900000000005,n.d.,11698.58,n.d.,3918.3,3918.3,-59.7,85308.82,3918.3,3978,n.d.,78905.08,2591744.99,2591744.99,76434.69
2010,n.d.,112.05,76960.97,340000.0,n.d.,n.d.,n.d.,7751.9,n.d.,11010.47,11010.47,n.d.,7639.849,2576128.11,70077.51,n.d.,19655.829999999998,55,86918.27,n.d.,86918.27,n.d.,3299.56,2506638.38,n.d.,274890.49000000005,n.d.,2,-5830.29,2231747.89,69209.07,2236128.11,75907.799,0,7359.19,n.d.,7471.24,n.d.,-5345.8,-5345.8,11010.47,86918.27,-5345.8,-16356.27,n.d.,69209.07,2583599.35,2583599.35,64786.709
2009,n.d.,105.1,61785.41,340000.0,n.d.,n.d.,n.d.,3851.88,n.d.,9690.64,9690.64,n.d.,3746.78,2581473.91,69535.93,n.d.,30.25,30.25,86430.40999999999,2898.12,86430.40999999999,n.d.,0,2526239.21,n.d.,274890.49000000005,n.d.,2,-7203.84,2251348.72,57933.53,2241473.91,76739.769,0,6445.610000000001,n.d.,6550.71,n.d.,9660.39,6762.269,9690.64,86430.40999999999,6762.269,-30.25,n.d.,57933.53,2588024.62,2588024.62,79226.569
2008,n.d.,101.73,55042.01,340000.0,n.d.,n.d.,n.d.,4526.0,n.d.,7466.4,7466.4,n.d.,4424.27,2574711.64,69250.89,n.d.,53.08,53.08,85419.98999999999,2224,85419.98999999999,n.d.,0,2526239.21,n.d.,274890.49000000005,n.d.,1,-8702.7,2251348.72,50516.01,2234711.639,77953.59,0,6467.85,n.d.,6569.58,n.d.,7413.320000000001,5189.320000000001,7466.4,85419.98999999999,5189.320000000001,-53.08,n.d.,50516.01,2581281.22,2581281.22,76717.29
2007,129221.43999999999,n.d.,189927.65,340000.0,n.d.,n.d.,n.d.,4698.63,n.d.,5538.14,5538.14,n.d.,4698.63,2569522.32,85878.82,n.d.,57,57,63281.24,1781.37,99281.239,n.d.,n.d.,2526239.21,n.d.,274890.49000000005,n.d.,1,n.d.,2251348.719,185229.02,2229522.32,n.d.,n.d.,17423.1,129221.43999999999,17423.1,n.d.,5481.14,3699.77,5538.14,n.d.,3699.77,-57,n.d.,185229.02,2716166.86,2716166.86,91416.96
2006,258442.87999999998,n.d.,302921.52,340000.0,11642.720000000001,n.d.,n.d.,155493.97,677.43,16869.68,17547.109999999997,n.d.,155493.97,2565822.55,22514.809999999998,n.d.,n.d.,n.d.,48000.0,5904.39,48000.0,n.d.,n.d.,2526239.21,n.d.,274890.49000000005,n.d.,1,n.d.,2251348.719,147427.55,2225822.55,n.d.,n.d.,4895.3,258442.87999999998,4895.3,n.d.,16869.68,10965.29,16869.68,n.d.,10965.29,n.d.,n.d.,147427.55,2829160.73,2829160.73,40061.92
2005,387664.32,n.d.,471214.52,340000.0,117122.599,n.d.,n.d.,393716.02,5241.48,20279.24,25520.72,n.d.,393716.02,2554857.26,21986.01,n.d.,0.01,n.d.,58750.0,7149.22,58750.0,139.09,98612.02,2478916.64,n.d.,275567.92000000004,n.d.,1,n.d.,2203348.72,77498.5,2214857.26,n.d.,n.d.,7609.58,387664.32,7609.58,n.d.,118891.25,111742.03,20279.24,n.d.,111881.12,98612.01,139.09,77498.5,2950131.16,2950131.16,146257.83
2004,n.d.,n.d.,74609.19,340000.0,16259.34,n.d.,n.d.,54240.0,5241.48,17004.980000000003,22246.460000000003,n.d.,54240.0,2442976.14,28173.9,n.d.,54.42,54.42,61045.39,5932.7,61045.39,n.d.,n.d.,2373858.14,n.d.,280809.4,n.d.,1,n.d.,2093048.74,20369.19,2102976.14,n.d.,n.d.,5491.1900000000005,n.d.,5491.1900000000005,n.d.,16950.56,11017.86,17004.980000000003,n.d.,11017.86,-54.42,n.d.,20369.19,2448467.33,2448467.33,50420.36
2003,n.d.,n.d.,68191.16,340000.0,17987.58,n.d.,n.d.,59260.0,5241.48,19674.99,24916.47,n.d.,59260.0,2431958.2800000003,27041.89,n.d.,65.6,65.6,63621.75,6863.29,63621.75,n.d.,n.d.,2379099.62,n.d.,286050.88,n.d.,1,n.d.,2093048.74,8931.16,2091958.279,n.d.,n.d.,15332.5,n.d.,15332.5,n.d.,19609.39,12746.099,19674.99,n.d.,12746.1,-65.6,n.d.,8931.16,2447290.7800000003,2447290.7800000003,51958.359
2002,n.d.,n.d.,1987803.37,340000.0,192233.65,n.d.,n.d.,1862510.74,37894.24,227181.28,265075.52,31276.1,1893786.84,2419212.18,798538.89,n.d.,1937.54,1937.54,14298259.36,71801.56,14298259.36,n.d.,897.23,648792.6799999999,n.d.,411828.2,12408467.5,38,n.d.,236964.48,94016.53,2079212.18,n.d.,n.d.,217383.87,n.d.,217383.87,n.d.,226140.97,154339.41,227181.28,n.d.,154339.41,-1040.31,n.d.,94016.53,2636596.05,2636596.05,1064511.64
2001,n.d.,n.d.,1921645.79,340000.0,247797.62,n.d.,n.d.,1825597.49,25343.45,166393.3,191736.75,84949.88,1910547.37,2264872.77,753470.57,n.d.,15971.46,15971.46,16670253.08,86740.83,16670253.08,96507.43,62265.729999999996,410572.68,13026.94,181601.26,14889087.78,38,n.d.,215944.479,11098.42,1924872.77,n.d.,n.d.,67345.7,n.d.,67345.7,n.d.,212687.57,125946.74,166393.3,n.d.,222454.17,46294.27,96507.43,11098.42,2332218.47,2332218.47,1103980.479
2000,n.d.,n.d.,1794245.1900000002,204344.12,179568.91,n.d.,n.d.,1641794.25,38751.52,193151.82,231903.34,112536.23999999999,1754330.49,2042418.6,681328.87,n.d.,9623.61,9623.61,13340176.02,75824.73999999999,13342580.07,32271.01,842.92,386035.73,22222.420000000002,187862.57,11595598.94,37,n.d.,175950.74000000002,39914.69899999999,1838074.48,n.d.,n.d.,137862.31999999998,n.d.,137862.31999999998,n.d.,184371.12,108546.37900000002,193151.82,n.d.,140817.38999999998,-8780.69,32271.01,39914.7,2180280.92,2180280.92,946346.13
