Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,119208.12,927102.97,1689846.47,8414.17,169961.53,6436481.29,361336.68,1324499.03,122334.95999999999,81656.67000000001,203991.63,62809.9,460205.959,1353407.58,726719.61,n.d.,20089.56,20089.56,7895971.859999999,13940.54,7905251.189999999,n.d.,0,1109153.41,47284.7,918265.86,6436481.29,24,-538058.66,143602.84999999998,302537.54,1344993.41,1387113.229,0,37944.53,119208.12,1326384.1800000002,n.d.,61567.11,47626.57,81656.67000000001,1468769.9,47626.57,-20089.56,n.d.,208067.37,2798999.88,2798999.88,930711.24
2022,94290.32,654266.89,1244838.59,8414.17,164102.37999999998,5647579.25,164360.13,1059140.48,115252.7,77355.63,192608.33,109365.74,514239.329,1305781.01,710108.2899999999,n.d.,13947.76,13947.76,7064838.9,14558.19,7086031.73,n.d.,0,1034844.96,54315,867777.66,5647579.25,22,-535735.8600000001,112752.3,76332.37000000001,1297366.8390000002,1361096.85,0,60985.2,94290.32,879612.22,n.d.,63407.87,48849.68,77355.63,1438452.48,48849.68,-13947.76,n.d.,7213.73,2279683.55,2279683.55,902716.62
2021,113732.92,544816.3,1402420.3,8414.17,169674.229,4862485.94,512883.57,1042012.58,131922.95899999997,56482.28,188405.239,108339.22,605535.5,1256931.33,604898.03,n.d.,6079.89,6079.89,6193293.0,12915.62,6195682.31,n.d.,264.5,1026612.93,61345.3,852515.3300000001,4862485.94,18,-539893.1,112752.3,252068.5,1248517.16,1276714.0890000002,0,669.11,113732.92,1058368.98,n.d.,50666.89,37751.27,56482.28,1333196.3690000002,37751.27,-5815.39,n.d.,125252.70999999999,2429033.23,2429033.23,793567.769
2020,138693.94,580689.48,1385560.02,8414.17,155544.4,5015196.609999999,497939.68,1062107.6900000002,130055.75,39624.07,169679.81999999998,90127.82,571546.03,1219213.44,608818.3,n.d.,5129.110000000001,5129.110000000001,6142068.159999999,9022.31,6151231.69,n.d.,16,1050976.52,68395.27,977388.32,5015196.609999999,22,-357536.96,5192.929999999999,233324.51,1210799.27,1096411.01,0,n.d.,138693.94,1078629.16,n.d.,34510.96,25488.65,39624.07,1136035.08,25488.65,-5113.110000000001,n.d.,104976.26,2436536.54,2436536.54,778514.12
2019,67407.28,685445.2,1217445.6,8414.17,234776.729,4882649.7,41307.719999999994,1022567.37,206081.61000000002,55727.73,261809.34,151918.05,489040.22,1193724.1700000002,504808.06,n.d.,17467.57,17467.57,6021529.23,9565.04,6030794.56,n.d.,0,1053677.77,4509.53,1043975.31,4882649.7,20,-381527.45900000003,5192.929999999999,42960.18,1185310.0,1092417.1300000001,0,283239,67407.28,1009991.92,n.d.,38260.16,28695.12,55727.73,1148144.86,28695.12,-17467.57,n.d.,n.d.,2271123.37,2271123.37,766617.399
2018,151167.99,896249.7799999999,1448889.79,8414.17,136200.24000000002,4572603.72,441549.6,1202321.97,111221.73,59431.42,170653.15,125301.09,431373.28,1165061.81,513180.23,n.d.,24009.3,24009.3,5611452.92,10443.61,5614108.859999999,n.d.,0,1205139.39,1693.53,1198252.93,4572603.72,22,-357671.76,5192.929999999999,121266.73,1156647.64,982073.72,0,n.d.,151167.99,1337799.38,n.d.,35422.119999999995,24978.51,59431.42,1041505.14,24978.51,-24009.3,n.d.,42585.28,2654029.18,2654029.18,683833.38
2017,95995.7,509577.64999999997,1227994.26,8414.17,152289.54,4391234.07,711116.58,918317.81,118059.87000000001,81083.87000000001,199143.74,78304.32,487044.48,1139876.06,542191.9,n.d.,35444.32,35444.32,5499228.470000001,11409.88,5502709.87,n.d.,0,1281211.53,4544.38,1271474.22,4391234.07,22,-370140.16,5192.929999999999,231372.13,1131461.89,1030391.93,0,52639.8,95995.7,1273334.03,n.d.,45639.55,34229.67,81083.87000000001,1111475.799,34229.67,-35444.32,n.d.,158753.6,2509205.79,2509205.79,741335.64
2016,255194.28,738106.2699999999,1464201.87,8414.17,155066.77000000002,6200567.54,533744.5789999999,1171398.0,121082.76,73002.39,194085.15,115128.11,548419.8400000001,1105646.33,509803.81,n.d.,28363.99,28363.99,7184339.89,11328.01,7190703.96,n.d.,673.62,1219036.96,1456.34,1211340.57,6200567.54,23,-286247.45900000003,6240.048,177675.76,1097232.1590000002,917134.03,0,50547.37,255194.28,1322398.22,n.d.,45312.02,33984.009,73002.39,990136.419,33984.009,-27690.37,n.d.,162286.43,2683238.83,2683238.83,704562.58
2015,182003.3,937937.89,1505320.49,8414.17,134335.2,6544527.71,715091.73,1183783.9,120269.34,81916.68000000001,202186.02,297060.31,542906.3200000001,1071778.11,760254.76,n.d.,62699.03,62699.03,7956231.06,5151.79,7963797.579,n.d.,0,1401490.54,6297.26,1390000.35,6544527.71,36,-456829.08900000004,5192.929999999999,24476.28,1063363.94,1337353.1900000002,0,n.d.,182003.3,1653029.62,n.d.,19217.65,14065.86,81916.68000000001,1419269.8690000002,14065.86,-62699.03,n.d.,15875.53,2906811.03,2906811.03,962440.78
2014,391950.84,711779.37,1467279.76,8414.17,151155.31,4752678.659999999,631605.5,1004958.02,134529.88999999998,81744.45,216274.34,341247.58,634426.23,1057712.25,690312.3,n.d.,59744.45,59744.45,6121366.19,5541.81,6127809.03,n.d.,167.23,1425479.48,8362.03,1411924.52,4748409.930000001,32,-468543.73000000004,5192.929999999999,121074.16,1049298.079,1293385.92,0,99711.28,391950.84,1443096.15,n.d.,22167.23,16625.418999999998,81744.45,1375130.37,16625.418999999998,-59577.219,n.d.,116468.43999999999,2892759.24,2892759.24,906753.87
