Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,36241.23,100981.36,124559.87,67313.36,9587,679681.14,n.d.,41614.17,8013.41,1573.59,9587.0,34477.87,-24889.319,36510.45,189371.81,n.d.,0.0,n.d.,942939.77,n.d.,957851.72,n.d.,0.0,121556.16,168.60999999999999,30111.83,686261.88,7,-79211.77,91275.72,48467.83,-30802.91,276596.98900000006,0,72382.98999999999,36241.23,173364.34999999998,n.d.,1573.59,1573.59,1573.59,278170.579,1573.59,0.0,n.d.,47048.850000000006,246116.03,246116.03,198958.81
2022,36241.23,85196.16,119193.08,67313.36,7419.17,687921.63,n.d.,37154.73,7274.05,128.8,7402.85,27897.13,-20144.3,34936.86,185815.46,n.d.,0.0,n.d.,928879.87,n.d.,949206.26,n.d.,16.32,109528.54,192.7,15876.95,687921.63,9,-68066.32,93458.89,54141.22,-32376.499,261155.82899999997,0,72347.37000000001,36241.23,157543.53,n.d.,145.12,145.12,128.8,261284.63,145.12,16.32,n.d.,52734.12,228721.62,228721.62,193234.629
2021,36241.23,85855.98,88912.43,67313.36,10077.05,620307.7899999999,n.d.,17477.16,7319.06,2757.9700000000003,10077.03,14268.35,-54110.469,34791.74,192155.64,n.d.,0.0,n.d.,871669.72,n.d.,884628.52,n.d.,0.02,115041.64,216.79,19182.8,620307.7899999999,10,-62088.06,95642.05,57166.92,-32521.62,261562.76,0,47065.12,36241.23,132921.1,n.d.,2757.99,2757.99,2757.9700000000003,264320.72900000005,2757.99,0.02,n.d.,55868.54,203954.07,203954.07,202232.69
2020,36241.23,61681.11,44666.25,67313.36,21722.129999999997,724367.8200000001,n.d.,20166.9,8931.93,16418.66,25350.59,13243.03,-28271.18,32033.75,186240.38999999998,n.d.,3629.24,n.d.,988378.37,n.d.,998550.77,n.d.,0.78,122067.71,n.d.,24242.49,724367.8200000001,10,-62591.97,97825.22,11256.32,-35279.61,257764.29,0,36777.87,36241.23,98458.98,n.d.,12790.2,12790.2,16418.66,274182.95,12790.2,-3628.459,n.d.,9957.94,166733.96,166733.96,207962.52
2019,36241.23,71557.02,39304.74,67313.36,29372.02,606767.9,n.d.,19912.32,10932.53,18439.67,29372.199,14531.01,-37113.69,19243.55,206209.2,n.d.,0.18,0.18,908094.29,n.d.,919901.59,n.d.,0.0,133213.91999999998,n.d.,29576.29,606767.9,10,-77552.29,103637.63,4861.41,-48069.810000000005,294694.02,0,45476.86,36241.23,117033.88,n.d.,18439.49,18439.49,18439.67,313133.69,18439.49,-0.18,n.d.,3436.27,172518.66,172518.66,235581.4
2018,36241.23,93610.17000000001,40271.380000000005,67313.36,-52767.46,826381.8600000001,n.d.,21824.37,11335.43,-64102.92,-52767.49,13820.68,-57965.119,804.06,407987.85,n.d.,0.0,n.d.,1238246.33,n.d.,1252300.83,n.d.,0.03,143539.43,n.d.,37718.65,826381.8600000001,18,-70698.60900000001,105820.78,4626.33,-66509.3,490021.889,0,53155.350000000006,36241.23,146765.52,n.d.,-64102.89,-64102.89,-64102.92,425918.97000000003,-64102.89,0.03,n.d.,3167.9500000000003,183810.81,183810.81,355220.389
2017,36241.23,102608.15000000001,71360.75,67313.36,-8401.859999999999,884510.3400000001,n.d.,23867.78,11442.38,-19844.24,-8401.859999999999,15685.68,-63054.689,64906.95,406460.48000000004,n.d.,0.0,n.d.,1371815.97,n.d.,1385522.07,n.d.,0.0,155469.52,n.d.,47625.57,884510.3400000001,20,-102953.11,107843.95,31807.29,-2406.4100000000003,520855.97000000003,0,23073.94,36241.23,125682.09,n.d.,-19844.24,-19844.24,-19844.24,501011.73000000004,-19844.24,0.0,n.d.,29148.07,226830.27,226830.27,398058.62
2016,36241.23,103615.29,80863.06,67313.36,14470.33,981437.4,n.d.,28359.1,14292.76,236.76,14529.52,27028.0,-48228.189,84689.54,393207.93000000005,n.d.,0.0,n.d.,1496794.6700000002,59.190000000000005,1508471.069,n.d.,0.0,166911.9,n.d.,57044.78,981437.4,21,-119296.22,109867.12,25475.960000000003,17376.18,526796.91,0,23228.9,36241.23,126844.19,n.d.,236.76,177.57,236.76,527033.669,177.57,0.0,n.d.,22791.81,247774.96,247774.96,407737.45
2015,36241.23,110973.59,78353.97,67313.36,16018.740000000002,1087051.1600000001,n.d.,37707.68,14292.76,2301.3100000000004,16594.07,25430.0,-47835.909,84511.97,414309,n.d.,0.0,n.d.,1632062.77,575.3299999999999,1646451.07,n.d.,0.0,177575.41999999998,n.d.,69582.4,1087051.1600000001,25,-128496.84,107993.02,15216.289,17198.609999999997,557098.6,0,24202.6,36241.23,135176.19,n.d.,2301.3100000000004,1725.98,2301.3100000000004,559399.91,1725.98,0.0,n.d.,11174.14,255929.39,255929.39,430903.07
2014,53741.23,115207.01,79367.73,67313.36,18334.29,1195638.87,n.d.,33086.65,14366.26,5290.71,19656.97,16650.0,-65470.359,82785.98999999999,483728.13,n.d.,0.0,n.d.,1811831.95,1322.6799999999998,1824508.03,n.d.,0.0,191868.18,n.d.,82120.02,1195638.87,27,-125484.06,109748.16,29631.08,15472.63,623578.4500000001,0,19501.68,53741.23,134708.69,n.d.,5290.71,3968.029,5290.71,628869.159,3968.029,0.0,n.d.,25588.93,271235.91000000003,271235.91000000003,503385.1
