Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,454982.63,341294.05,972267.7,33055.68,118952.52,866515.1,n.d.,464940.46,98320.25,35814.689999999995,134134.94,312255.0,435901.41,661425.58,430788.46,n.d.,9792.14,9792.14,1506766.82,5632.28,1506946.9,n.d.,242.0,557496.51,221.63,555445.61,871159.03,10,-75508.4,1829.27,195072.24,628369.9,604617.11,12615.17,59446.78,467597.8,400740.83,n.d.,26264.55,20632.27,35814.689999999995,640431.8,20632.27,-9550.14,n.d.,180039.61000000002,1529764.21,1529764.21,565165.4
2022,605554.38,195374.44,929284.19,33055.68,144128.34,998398.6799999999,n.d.,267194.14,98265.14,71044.61,169309.75,197795.0,269614.7,640793.31,418670.75,n.d.,10634.09,10634.09,1671792.62,14547.32,1673464.14,n.d.,0.0,590909.7899999999,221.63,589188.16,957748.68,10,-87084.95999999999,1500,464295.05,607737.63,604020.8500000001,14009.42,64462.43,619563.8,259836.87,n.d.,60410.52,45863.2,71044.61,675065.4600000001,45863.2,-10634.09,n.d.,449262.42,1520193.98,1520193.98,587980.5
2021,815017.64,193541.97,1005266.3,33055.68,124356.67,628028.93,n.d.,262292.21,102143.83,39769.55,141913.37999999998,254645.0,323395.24,594930.11,400536.96,n.d.,11972.25,11972.25,1231062.15,5584.46,1231228.65,n.d.,0.0,689824.61,221.63,687453.3,723728.93,10,-60749.380000000005,2149.68,488329.09,561874.429,563430.169,15899.32,75701.87000000001,830916.9600000001,269243.84,n.d.,27797.3,22212.84,39769.55,603199.7189999999,22212.84,-11972.25,n.d.,438329.09,1695090.91,1695090.91,542450.3400000001
2020,940544.04,189745.7,1033485.71,33055.68,162458.96,743611.81,n.d.,344572.17,102307.09,90656.5,192963.59,112105.0,266931.46900000004,572717.2699999999,352840.11,n.d.,12905.98,12905.98,1358878.83,17598.649999999998,1359051.44,n.d.,0.0,792357.08,221.63,790465.13,691346.81,9,-69635.93,1670.32,576808.54,539661.59,524783.13,19367.72,103468.06,959911.76,293213.76,n.d.,77750.52,60151.87,90656.5,615439.63,60151.87,-12905.98,n.d.,326808.54,1825842.79,1825842.79,545803.7
2019,747289.55,95067.79,547649.99,33055.68,151572.77000000002,482905.1,n.d.,202765.09,78013.65000000001,106156.3,184169.95,124275.12,231972.419,512565.4,369309.83,n.d.,10880.66,10880.66,1114619.64,21716.52,1114658.5990000002,n.d.,0.0,891307.73,221.63,890842.22,593775.1,9,-78273.72,243.88000000000002,220609.78,479509.72,525597.1989999999,19055.460000000003,64979.52,766345.01,160047.31,n.d.,95275.64,73559.12000000001,106156.3,631753.499,73559.12000000001,-10880.66,n.d.,220609.78,1438957.72,1438957.72,553479.7799999999
2018,454588.91,134919.13,589162.3400000001,33055.68,123522.769,757422.81,n.d.,344501.86,39427.1,115267.85,154694.94999999998,11870.0,221452.729,439006.28,368619.4,n.d.,5498.929999999999,5498.929999999999,1366403.16,25673.25,1366505.829,n.d.,0.0,566961.5,221.63,566739.87,749622.81,11,-85768.67000000001,n.d.,232790.48,405950.6,493815.17,13821.640000000001,113787.88,468410.55,248707.01,n.d.,109768.92,84095.67000000001,115267.85,609083.019,84095.67000000001,-5498.929999999999,n.d.,180888.92,1156123.84,1156123.84,523314.35
2017,225072.81,91176.93,432229.77,33055.68,140175.05,818086.8300000001,n.d.,139845.68,35008.75,147564.91,182573.66,16970.0,65638.75,354910.61,315237.87,n.d.,7343.17,7343.17,1383959.81,35055.44,1384071.23,n.d.,0.0,319715.35,221.63,319493.72000000003,750686.8300000001,10,-68172.87000000001,n.d.,275414.09,321854.93000000005,418419.49000000005,6492.07,74292.7,231564.88,165469.63,n.d.,140221.74000000002,105166.299,147564.91,565984.4,105166.299,-7343.17,n.d.,275414.09,751945.12,751945.12,497811.529
2016,170867.61000000002,61994.54,253241.69,33055.68,75246.67000000001,561838.73,9525.58,121249.8,28690.51,68599.4,97289.909,104575.0,163830.259,249744.31,269279.89,n.d.,6524.52,6524.52,1001497.45,15518.72,1001610.289,n.d.,0.0,274557.5,221.63,263923.5,589838.73,10,-73201.76,10412.369999999999,27416.89,216688.63,371172.16,0,35667.15,170867.61000000002,107187.27,n.d.,62074.880000000005,46556.159,68599.4,439771.559,46556.159,-6524.52,n.d.,27416.89,527799.1889999999,527799.1889999999,366569.8
2015,194077.58,52971.810000000005,228839.78,33055.68,30131.39,239379.71000000002,125.49000000000001,111609.22,21321.19,15869.47,37190.659,97075.0,155712.41,203188.15,208994.54,n.d.,4769.74,4769.74,544054.42,2936.74,544109.04,n.d.,647.21,294304.01,221.63,268151.28900000005,251129.71,8,-58544.13,25931.09,20155.56,170132.47,288859.86,0,72780.76,194077.58,125878.06,n.d.,11746.94,8810.2,15869.47,304729.33,8810.2,-4122.529,n.d.,20155.56,523143.79,523143.79,246832.41
2014,163110.6,36924.48,160488.91,33055.68,-20375.45,148129.8,n.d.,78880.79,20301.52,-48869.55,-28568.03,65625.0,107581.309,194377.95,211446.22,n.d.,5849.07,5849.07,390018.96,-14041.65,390018.96,n.d.,0.0,265961.94,221.63,236872.48,153029.8,5,-59010.97,28867.829999999998,15983.12,161322.27000000002,290758.70900000003,0,32037.82,163110.6,68962.3,n.d.,-54718.62,-40676.97,-48869.55,241889.16,-40676.97,-5849.07,n.d.,15983.12,426450.85,426450.85,182878.19
2013,182972.06,35586.53,233360.44,33055.68,13808.399,310958.57,n.d.,42247.86,10166.72,8124.37,18291.09,47600.0,54261.33,235054.92,307772.36,n.d.,3268.8,3268.8,713302.23,1213.89,713302.23,n.d.,0.0,269039.76,221.63,253991.95,312758.57,10,-76280.209,14826.18,143512.58,201999.24,394219.28900000005,0,48786.69,182972.06,84373.22,n.d.,4855.57,3641.679,8124.37,402343.66,3641.679,-3268.8,n.d.,143512.58,502400.2,502400.2,326063.449
2012,66091.45,66801.20999999999,247236.85,33055.68,8853.67,254032.44999999998,n.d.,132792.51,7337.160000000001,4453.79,11790.95,48300.0,114291.3,231413.24,250271.88,n.d.,2431.8500000000004,2431.8500000000004,577633.1,505.51,577633.1,n.d.,0.08,155063.94,221.63,138802.24000000002,255932.45,9,-61537.82,16040.07,66144.34,198357.56,319146.859,0,37994.89,66091.45,104796.1,n.d.,2022.02,1516.51,4453.79,323600.649,1516.51,-2431.77,n.d.,66144.34,402300.79,402300.79,262062.91
2011,74257.32,34770.6,201502.01,33055.68,-15768.35,221076.84,n.d.,49872.13,5793.08,-25959.03,-20165.949,38250.0,53351.53,229896.73,280427.87,n.d.,2789.54,2789.54,560099.43,-7187.14,560099.43,n.d.,0.0,162906.61000000002,221.63,146139.4,211576.84,10,-78760.67000000001,16545.58,113379.88,196841.05,364981.62,0,25483.97,74257.32,60254.57,n.d.,-28748.57,-21561.43,-25959.03,339022.59,-21561.43,-2789.54,n.d.,113379.88,364408.62,364408.62,260261.919
