Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,2613701.72,4765.969999999999,480309.57,3000.0,95976.18,n.d.,n.d.,57760.810000000005,52840.0,56844.77,109684.769,310000,362994.84,461092.32,50,n.d.,7.8,7.8,125816.22,13700.79,125816.22,n.d.,0.0,2604861.47,n.d.,n.d.,n.d.,n.d.,-16081.449999999999,2604861.47,112548.76,458092.32,68971.45,0,5611.03,2613701.72,10377.0,n.d.,56836.97,43136.18,56844.77,125816.22,43136.18,-7.8,n.d.,112429.91,3085171.04,3085171.04,109734.77
2022,20559.280000000002,5967.28,25375.24,3000.0,25527.239,n.d.,n.d.,6268.75,5389.0,26621.59,32010.59,n.d.,301.47,417956.14,50,n.d.,0.0,n.d.,55170.55,6483.35,55170.56,n.d.,0.0,419308.66,n.d.,n.d.,n.d.,n.d.,-23109.97,419308.66,19106.49,414956.14,28548.97,0,201.2,20559.280000000002,6168.48,n.d.,26621.59,20138.239,26621.59,55170.56,20138.239,0.0,n.d.,19106.49,444683.9,444683.9,32060.589
2021,34453.59,2739.72,119957.94,3000.0,30615.11,73109.76,n.d.,845.31,9683.19,27909.23,37592.42,n.d.,-1894.409,411867.9,50,n.d.,0.0,n.d.,83601.68000000001,6977.31,122128.709,n.d.,0.0,332401.16,2410.06,328995.31,73109.76,n.d.,-11376.53,995.79,119112.63,408867.899,21109.72,0,3297.8900000000003,34453.59,6037.610000000001,n.d.,27909.23,20931.92,27909.23,49018.950000000004,20931.92,0.0,n.d.,119112.63,452359.1,452359.1,37642.42
2020,34452.89,86656.86,197658.34,3000.0,64208.53,425697.85,n.d.,167018.3,9683.19,75655.45,85338.64,n.d.,80361.439,405935.98,n.d.,n.d.,3013.88,3013.88,459795.3,18116.23,516782.329,n.d.,0.0,342084.35,n.d.,341088.56,415711.85,n.d.,-5745.839,995.79,30640.04,402935.98,15429.029,0,12696.96,34452.89,99353.82,n.d.,72641.57,54525.34,75655.45,91084.479,54525.34,-3013.88,n.d.,30640.04,539742.69,539742.69,85338.64
2019,78298.87000000001,100423.43999999999,205404.56,3000.0,69806.98,467533.38,23387.72,159706.19,11185.52,78493.83,89679.35,9986,69268.75,335900.34,n.d.,n.d.,315.35,315.35,528988.2899999999,19557.02,585514.24,n.d.,0.0,345723.27,2410.06,342227.27,467533.38,n.d.,-28301.51,1085.94,35712.37,332900.34,39487.03,0,13117.46,78298.87000000001,136928.62,n.d.,78178.48,58621.459,78493.83,117980.85900000001,58621.459,-315.35,n.d.,35712.37,551127.8300000001,551127.8300000001,89679.35
2018,116950.93999999999,44196.950000000004,122609.79,3000.0,64020.319,324412.56,28846.829999999998,96409.18,11185.52,74403.31,85588.83,n.d.,52212.22899999999,277278.88,50,n.d.,651.55,651.55,368763.68,20916.960000000003,424530.19,n.d.,0.0,356908.79000000004,2410.06,353412.79000000004,324412.56,n.d.,-14478.8,1085.94,26200.61,274278.88,25714.32,0,12244.98,116950.93999999999,85288.76,n.d.,73751.76,52834.79899999999,74403.31,100117.63,52834.79899999999,-651.55,n.d.,26200.61,479518.58,479518.58,85638.83
2017,159655.2,65862.729,197193.13,3000.0,63658.83,310739.63999999996,28908.56,168767.31999999998,11185.52,71000.19,82185.70999999999,n.d.,102904.591,298518.15,100,n.d.,1161.91,1161.91,370701.09,17364.97,425190.79,n.d.,0.0,370542.83,2410.06,364598.31,310739.63999999996,n.d.,-32165.440000000002,3534.46,28425.81,295518.15,43450.96,0,14791.32,159655.2,109562.61,n.d.,69838.28,52473.310000000005,71000.19,114451.15000000001,52473.310000000005,-1161.91,n.d.,23179.77,567735.9600000001,567735.9600000001,82285.70999999999
2016,122752.77,66834.649,164656.3,3000.0,49806.03,297520.2,n.d.,150241.13,12460.22,50748.7,63208.92,n.d.,83406.481,276555.54,n.d.,n.d.,1963.22,1963.22,382022.67,11450.17,382022.67,n.d.,10.5,381728.35,2410.06,375783.83,297520.2,n.d.,-21293.55,3534.46,14415.17,273555.54,33753.77,0,80241.68900000001,122752.77,147076.34,n.d.,48795.98,37345.810000000005,50748.7,84502.469,37345.810000000005,-1952.72,n.d.,14415.17,546384.65,546384.65,63219.42
2015,166171.51,139070.38999999998,230806.03,3000.0,59466.07,276216.19,28908.56,207224.68,28955.37,44944.84,73900.209,n.d.,68154.289,239209.73,50,n.d.,2563.04,2563.04,321603.96,11871.1,372430.4900000001,n.d.,0.0,394188.57,2410.06,388244.05,276216.19,n.d.,-22264.09,3534.46,23581.35,236209.73,51269.46,0,51634.41,166171.51,219613.36,n.d.,42381.8,30510.7,44944.84,96214.299,30510.7,-2563.04,n.d.,23581.35,624994.6,624994.6,73950.209
2014,201785.5,102725.75,253693.87,3005.5,64240.22899999999,233268.34999999998,28908.56,247820.11,31157.91,51183.39,82341.3,n.d.,145094.36,291615.58,50,n.d.,3645.32,3645.32,261518.46,14455.75,335298.72000000003,n.d.,0.0,423416.0,2410.06,417199.42000000004,233268.34999999998,n.d.,-19639.07,3806.52,5873.76,288610.08,50846.98,0,52074.48,201785.5,183708.79,n.d.,47538.07,33082.32,51183.39,102030.369,33082.32,-3645.32,n.d.,4423.74,677109.87,677109.87,82391.3
