Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,5375,n.d.,199642.29,389448.0,24367.019,n.d.,n.d.,n.d.,11193.4,17465.71,28659.11,n.d.,n.d.,443135.64,13075.33,n.d.,0,n.d.,n.d.,4414.45,69466.15000000001,n.d.,122.36,257631.38,n.d.,247185.02,n.d.,1,-27731.71,10446.359,199642.289,53687.64,52000.44,0,8763.03,5375,8763.03,n.d.,17588.07,13173.619,17465.71,69466.15000000001,13173.619,122.36,n.d.,17284.58,457273.67,457273.67,41856.8
2022,5375,n.d.,169733.55,389448.0,21185.480000000003,n.d.,n.d.,90,11193.4,15349.79,26543.19,n.d.,90,429962.02,12286.08,n.d.,2064.96,2064.96,n.d.,3353.9300000000003,70023.95999999999,n.d.,61.18,269220.66,n.d.,258378.42,n.d.,1,-31194.69,10842.240000000002,169643.55,40514.02,54674.17,0,3617.19,5375,3617.19,n.d.,13346.01,9992.08,15349.79,70023.95999999999,9992.08,-2003.78,n.d.,27083.43,438954.21,438954.21,38890.45
2021,4850,n.d.,214102.33,389448.0,16751.18,n.d.,n.d.,n.d.,11193.4,9449.58,20642.980000000003,n.d.,n.d.,419969.94,11682.51,n.d.,2015.96,2015.96,n.d.,1875.84,61046.48,n.d.,0.0,283239.98000000004,n.d.,269571.82,n.d.,1,-28720.99,13668.16,214102.33,30521.94,51596.9,0,72522.37000000001,4850,72522.37000000001,n.d.,7433.620000000001,5557.78,9449.58,61046.48,5557.78,-2015.96,n.d.,38931.78999999999,497342.31,497342.31,32325.489
2020,4850,322.21,194173.3,389448.0,16829.920000000002,n.d.,n.d.,1001.98,11193.4,9512.0,20705.4,n.d.,679.7700000000001,414412.16,11464.41,n.d.,1973.4,1973.4,n.d.,1902.08,57363.64,n.d.,0.0,296309.22000000003,n.d.,280765.22000000003,n.d.,1,-25193.829999999998,15544.0,193171.32,24964.16,47851.64,0,70898.15000000001,4850,71220.36,n.d.,7538.6,5636.52,9512.0,57363.64,5636.52,-1973.4,n.d.,44758.59,490482.52,490482.52,32169.81
2019,4850,n.d.,176077.97999999998,389448.0,14730.47,n.d.,n.d.,1299.29,11193.4,6491.46,17684.86,n.d.,1299.29,408775.64,11546.05,n.d.,1921.33,1921.33,52863.68,1202.26,52863.68,n.d.,169.2,309404.7,n.d.,291958.62,n.d.,1,-23632.77,17446.08,174778.69,19327.64,46372.219,0,71857.04,4850,71857.04,n.d.,4739.33,3537.069,6491.46,52863.68,3537.069,-1752.129,n.d.,56234.43,485482.68,485482.68,29400.11
2018,4850,2103.55,162049.68,389448.0,6652.0,n.d.,n.d.,5381.18,11193.4,-3762.13,7431.269,n.d.,3277.63,405238.57,10749.32,n.d.,2481.38,2481.38,47363.68,-1490.56,47363.68,n.d.,211.549,321800.36,n.d.,303152.02,n.d.,1,-29183.09,18648.34,156668.5,15790.57,51125.810000000005,0,71657.92,4850,73761.47,n.d.,-6031.96,-4541.4,-3762.13,47363.68,-4541.4,-2269.8300000000004,n.d.,58124.24,483850.04,483850.04,18392.14
2017,850,n.d.,143914.24000000002,389448.0,-1277.37,n.d.,n.d.,3272.46,11193.4,-16644.22,-5450.820000000001,n.d.,3272.46,409779.97,10042.36,n.d.,2514.2599999999998,2511.46,18460.38,-6507.44,18460.38,n.d.,180.27,331503.2,n.d.,314345.42000000004,n.d.,1,-13868.84,17157.780000000002,140641.78,20331.97,35104.6,0,64787.47,850,64787.47,n.d.,-18978.21,-12470.77,-16644.22,18460.38,-12470.77,-2333.99,n.d.,124361.52,475417.44,475417.44,4769.01
2016,450,2760.18,310823.26,389448.0,-237.129,n.d.,n.d.,7729.03,11193.4,-10292.25,901.149,n.d.,4968.85,609676.9,10367.08,n.d.,2701.84,2701.82,39567.17,-1413.1899999999998,39567.17,n.d.,150.37,397935.87,n.d.,391285.53,n.d.,1,-28298.940000000002,6650.34,303094.23000000004,220228.9,49859.42,0,95872.05,450,98632.23,n.d.,-12843.72,-11430.529,-10292.25,39567.17,-11430.529,-2551.4700000000003,n.d.,99385.01,708759.13,708759.13,11418.58
2015,7650,2743.6,287152.58,389448.0,12760.55,n.d.,n.d.,53778.63,11193.4,4388.09,15581.49,n.d.,51035.03,666107.43,10337.14,n.d.,3261.9700000000003,3261.9700000000003,47563.68,19.22,47563.68,n.d.,460.25,482180.55,n.d.,468225.64,n.d.,1,-21645.05,13954.91,233373.949,276659.43000000005,43175.59,1517.76,91314.34,9167.76,94057.94,n.d.,1586.37,1567.149,4388.09,47563.68,1567.149,-2801.72,n.d.,38677.27,769333.13,769333.13,26378.879
2014,7650,2593.23,313596.61,389448.0,11375.85,n.d.,n.d.,95440.63,11193.4,3073.65,14267.05,n.d.,92847.4,709540.2799999999,10322.4,n.d.,3000,3000,49657.53,45.2,49657.53,n.d.,154.0,493478.52,n.d.,479419.04,n.d.,1,-25068.08,14059.48,218155.98,320092.28,46583.880000000005,3642.61,83649.01,11292.61,86242.23999999999,n.d.,227.65,182.45,3073.65,49657.53,182.45,-2846.0,n.d.,37662.1,807075.13,807075.13,24743.449
2013,7650,977.52,340900.97000000003,389448.0,20874.77,n.d.,n.d.,138808.97999999998,11618.73,11833.0,23451.73,n.d.,137831.46,754357.8300000001,10320.96,n.d.,3243.08,3243.08,55175.380000000005,-531.37,55175.380000000005,n.d.,134.75,505122.13,n.d.,490612.44,n.d.,1,-21402.69,14509.69,202091.99,364909.83,43342.380000000005,5463.91,77573.84,13113.91,78551.36,n.d.,8724.67,9256.04,11833.0,55175.380000000005,9256.04,-3108.3300000000004,n.d.,44475.61,846023.1,846023.1,33907.439
2012,n.d.,2255.71,369459.29,389448.0,6689.42,n.d.,n.d.,187773.43,14596.16,-5038.160000000001,9558.0,n.d.,185517.72,790101.7899999999,10043.56,n.d.,3383.3500000000004,3383.3500000000004,54716.04,-303.56,54716.04,n.d.,211.21,508045.17,n.d.,502231.17,n.d.,1,-35114.48,5814.0,181685.86,400653.79,59754.2,7285.22,77861.73999999999,7285.22,80117.45,n.d.,-8210.299,-7906.739,-5038.160000000001,54716.04,-7906.739,-3172.14,n.d.,54848.99,877504.4600000001,877504.4600000001,19812.77
2011,n.d.,2254.8100000000004,416270.47,389448.0,29411.01,n.d.,n.d.,232199.81999999998,14596.16,23646.47,38242.63,n.d.,229945.01,843008.53,10300.34,n.d.,3337.4700000000003,3337.4700000000003,55263.63,7588.78,55263.63,n.d.,2094.63,522558.62,n.d.,516827.33,n.d.,1,-6720.659000000001,5731.29,184070.65,453560.53,31617.158999999996,7588.78,85976.97,7588.78,88231.78,n.d.,22403.63,14814.85,23646.47,55263.63,14814.85,-1242.839,n.d.,77633.78,938829.09,938829.09,50637.6
2010,n.d.,1340.37,174411.37,389448.0,23815.22,n.d.,n.d.,7234.74,14596.16,10003.79,24599.95,n.d.,5894.37,828193.6799999999,10259.82,n.d.,3133.9300000000003,3133.9300000000003,58203.54,406.95,58203.54,n.d.,2756.15,734394.92,n.d.,728663.63,n.d.,1,-23343.77,5731.29,167176.63,438745.68,48199.75,0,79272.23999999999,n.d.,80612.61,n.d.,9626.01,9219.06,10003.79,58203.54,9219.06,-377.779,n.d.,9539.76,908806.29,908806.29,37615.92
2009,n.d.,1994.82,147481.28,389448.0,-27881.84,66.05,n.d.,39160.1,14596.16,-79422.0,-64825.84,n.d.,37165.28,818974.62,10184.06,n.d.,18624.27,18624.27,62388.98,-47594.82,62388.98,n.d.,7973.45,749491.08,n.d.,743259.7899999999,66.05,1,-116964.709,6231.29,108321.18,429526.62,141744.93,0,76002.92,n.d.,77997.73999999999,n.d.,-90072.82,-42478.0,-79422.0,62322.93,-42478.0,-10650.82,n.d.,3984.31,896972.3600000001,896972.3600000001,-46668.33
2008,n.d.,9158.59,198883.62,389448.0,18876.69,77.13,n.d.,58622.25,15590.97,10439.8,26030.769,n.d.,49463.659999999996,861452.62,9542.65,n.d.,4210.88,4210.88,72218.08,9425.740000000002,72218.08,n.d.,6482.54,763587.24,n.d.,757855.9500000001,77.13,1,-36567.53,5731.29,140261.37,472004.62,61701.15,18305.7,73553.95,18305.7,82712.54,n.d.,12711.46,3285.719,10439.8,72140.95,3285.719,2271.66,n.d.,7224.5,962470.86,962470.86,42055.96
