Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,48924,193365.53,6010.120000000001,4334.03,249452.41,n.d.,4475.75,2457.94,2436.48,4894.42,32175.43,-12272.82,135060.58,55391.45,n.d.,0,n.d.,368398.32,560.39,368398.32,n.d.,0,16278.9,6044.320000000001,10234.58,249452.41,1.0,-58660.04,n.d.,156714.34999999998,129050.459,116509.43,0,25659.85,n.d.,74583.85,n.d.,2436.48,1876.09,2436.48,118945.90999999999,1876.09,0.0,n.d.,151714.34999999998,209644.43,209644.43,60285.87
2022,n.d.,29776,163454.8,6010.120000000001,5133.24,341632.36,n.d.,8587.220000000001,2681.19,3269.4,5950.59,36711.58,15522.8,133184.48899999997,54405.51,n.d.,0,n.d.,464234.4,817.3499999999999,464234.4,n.d.,0,21145.26,6044.320000000001,15100.94,341632.36,1.0,-62245.94,n.d.,118156.0,127174.37,119332.64,0,21639.57,n.d.,51415.57,n.d.,3269.4,2452.05,3269.4,122602.04,2452.05,0.0,n.d.,113156.0,184600.06,184600.06,60356.1
2021,n.d.,87610.07,244700.51,6010.120000000001,43686.950000000004,223975.02,n.d.,3143.98,2681.19,54674.34,57355.53,2933.48,-81532.61,130732.44,27328.13,n.d.,0,n.d.,291374.64,13668.58,338893.29000000004,n.d.,0,23826.45,6044.320000000001,17782.129999999997,223975.02,1.0,-30234.609999999997,n.d.,238623.05,124722.32,60243.93,0,50184.45,n.d.,137794.52,n.d.,54674.34,41005.759,54674.34,114918.27,41005.759,0.0,n.d.,233623.05,268526.96,268526.96,84683.66
2020,n.d.,1508.98,73683.92,6010.120000000001,n.d.,72138.85,n.d.,1457.32,n.d.,-8585.17,-8585.17,43370.5,43318.84,89726.68000000001,24051.84,n.d.,0,n.d.,110376.76,-2146.29,110376.76,n.d.,0,28653.93,6044.320000000001,20463.32,72138.85,1.0,-22771.24,2146.29,28856.1,83716.56,46823.08,0,11102.19,n.d.,12611.17,n.d.,-8585.17,-6438.88,-8585.17,38237.909,-6438.88,0.0,n.d.,23856.1,102337.85,102337.85,15466.67
2019,n.d.,72506.78,188121.33,6010.120000000001,1549.74,415700.94,n.d.,12469.1,548.9599999999999,1190.76,1739.72,43863.310000000005,-16174.37,96165.56,80934.64,n.d.,0,n.d.,563424.93,333.59,563424.93,n.d.,143.60999999999999,25880.41,6000,19880.41,415700.94,2.0,-65049.63,n.d.,131788.91999999998,90155.44,146533.23,0,45329.4,n.d.,117836.18,n.d.,1334.37,1000.78,1190.76,147723.99,1000.78,143.61,n.d.,131788.91999999998,214001.74,214001.74,82817.97
2018,33448.019,61578.729999999996,212588.27,6010.120000000001,2136.609,330919.49000000005,n.d.,10780.39,1397.09,522.539,1919.629,62923.89,12125.549,95164.78,81862.07,n.d.,0,n.d.,478161.57,246.51,478161.57,n.d.,463.48999999999995,14366.62,6000,8366.62,330919.49000000005,2.0,-63460.380000000005,n.d.,138883.99,89154.66,146719.54,0,36763.36,33448.019,98342.09,n.d.,986.03,739.52,522.539,147242.08,739.52,463.49,n.d.,138883.99,226954.89,226954.89,84245.19
2017,n.d.,75163.09,244598.18,6010.120000000001,3774.3100000000004,396999.3,n.d.,27759.55,3295.12,638.92,3934.04,58656.71,11253.169,94425.26,81523.37000000001,n.d.,0,n.d.,548211.8300000001,159.73,548211.8300000001,n.d.,0,9763.71,n.d.,9763.71,396999.3,2.0,-65755.119,n.d.,158181.91999999998,88415.14,150573.609,0,84773.54,n.d.,159936.63,n.d.,638.92,479.189,638.92,151212.52899999998,479.189,0.0,n.d.,158181.91999999998,254361.89,254361.89,85457.409
2016,n.d.,79057.33,241472.73,6010.120000000001,4858.660000000001,420062.55,n.d.,10180.03,2992.46,1977.15,4969.610000000001,36397.04,-32480.26,93946.07,76310.97,n.d.,0,n.d.,572291.42,622.07,572291.42,n.d.,511.12,11824.83,n.d.,11824.83,420062.55,2.0,-70948.29,n.d.,194895.66,87935.95,150251.72,0,80294.16,n.d.,159351.49,n.d.,2488.27,1866.199,1977.15,152228.87,1866.199,511.12,n.d.,194895.66,253297.56,253297.56,81791.7
2015,n.d.,110895.15000000001,292901.78,6010.120000000001,8261.5,514520.74,n.d.,18358.920000000002,2933.77,6093.27,9027.04,20893.15,-71643.07900000001,92079.87,47722.61,n.d.,0,n.d.,636644.1,1775.91,636644.1,n.d.,1010.37,13054.29,n.d.,13054.29,514520.74,1.0,-65373.71,n.d.,253649.71,86069.75,116030.09,0,102981.05,n.d.,213876.2,n.d.,7103.64,5327.73,6093.27,122123.35900000001,5327.73,1010.37,n.d.,253649.71,305956.07,305956.07,57760.02
2014,n.d.,50650.28999999999,195923.22,6010.120000000001,n.d.,333280.91000000003,n.d.,17203.980000000003,n.d.,3421.06,3421.06,43977.54,10531.23,86752.14,73043.23,n.d.,0,n.d.,458763.86,855.2700000000001,458763.86,n.d.,0,15988.06,n.d.,15988.06,333280.91000000003,2.0,-49018.659999999996,n.d.,134741.7,80742.019,122061.89,0,74508.85,n.d.,125159.14,n.d.,3421.06,2565.79,3421.06,125482.95,2565.79,0.0,n.d.,84741.7,211911.28,211911.28,76464.29
