Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,314081.11,71718.28,1578533.47,3005.06,305402.98000000004,484149.8,n.d.,273457.75,46250.27,345434.68,391684.95,n.d.,201739.47,1015702.38,1551658.81,n.d.,7575.18,7575.18,2822833.59,86452.69,2822833.59,n.d.,7745.9,87554.09,n.d.,71048.57,484149.8,36,-395340.031,16505.52,1305075.72,1012697.32,1993249.111,0,264585.78900000005,314081.11,336304.07,n.d.,345605.4,259152.71,345434.68,2338683.79,259152.71,170.71899999999997,n.d.,1305075.72,1666087.56,1666087.56,1951089.66
2022,389989.53,37351.09,1369328.84,3005.06,362064.79000000004,491633.57,n.d.,170636.44,58562.46,410093.9900000001,468656.45,n.d.,133285.34999999998,756549.6699999999,1283359.46,n.d.,9944.77,9944.77,2582303.69,96931.4,2582961.25,n.d.,284.51,114489.26,199,97784.74,491633.57,33,-339311.77,16505.52,1198692.4,753544.61,1681233.6900000002,0,299927.81,389989.53,337278.9,n.d.,400433.73,303502.329,410093.9900000001,2091327.6800000002,303502.329,-9660.26,n.d.,1198692.4,1483818.1,1483818.1,1752300.42
2021,443610.91000000003,61758.63,936293.57,3005.06,63568.96,601512.53,n.d.,194568.03,44471.87,30944.65,75416.52,n.d.,132809.4,453047.34,966432.23,n.d.,11847.56,11847.56,1915792.75,n.d.,1918263.64,n.d.,0.0,152126.37999999998,597,135023.86,601512.53,29,-274902.36,16505.52,741725.54,450042.279,1285806.46,0,130003.07,443610.91000000003,191761.7,n.d.,19097.09,19097.09,30944.65,1316751.1090000002,19097.09,-11847.56,n.d.,741725.54,1088419.95,1088419.95,1041848.75
2020,400000,n.d.,794735.92,3005.06,n.d.,214278.12,n.d.,161652.57,n.d.,-23269.82,-23269.82,n.d.,161652.57,433950.25,890774.3500000001,n.d.,8535.4,8535.4,1318155.89,n.d.,1318155.89,n.d.,0.0,122001.82,1066,105128.3,214278.12,26,-236373.24000000002,15807.52,633083.3500000001,430945.189,1127147.5890000002,0,82787.48999999999,400000,82787.48999999999,n.d.,-31805.22,-31805.22,-23269.82,1103877.77,-31805.22,-8535.4,n.d.,633083.3500000001,916737.74,916737.74,867504.53
2019,9421.05,53516.94,604308.21,3005.06,173198.419,417339.78,n.d.,53267.13,41253.74,178601.52,219855.259,n.d.,-249.81,465755.47,840376.64,n.d.,2812.92,2812.92,1782212.25,43981.56,1837833.35,n.d.,137.64,65383.25,270,49305.73,417339.78,26,-360261.67,15807.52,551041.08,462750.41,1241892.05,0,140998.0,9421.05,194514.94,n.d.,175926.24000000002,131944.68,178601.52,1420493.57,131944.68,-2675.28,n.d.,549216.88,669691.4600000001,669691.4600000001,1060369.54
2018,23719.68,61679.850000000006,455559.83,3005.06,167126.56,346191.85,n.d.,60738.59,37871.87,174453.88999999998,212325.76,n.d.,-941.26,333810.79000000004,689867.2699999999,n.d.,2770.3100000000004,2770.3100000000004,1565730.1800000002,43101.57,1565730.1800000002,n.d.,672.6800000000001,92459.03,1890,74761.51,346191.85,23,-317345.3,15807.52,394821.24,330805.73000000004,1045084.4400000001,0,128808.54,23719.68,190488.39,n.d.,172356.26,129254.69,174453.88999999998,1219538.33,129254.69,-2097.63,n.d.,394821.24,548018.8600000001,548018.8600000001,902865.71
2017,37655.55,64137.25,313539.73000000004,3005.06,91864.48999999999,453637.22000000003,n.d.,41065.21,31575.41,83845.48,115420.89,n.d.,-23072.04,204556.1,556654.4500000001,n.d.,3804.46,3804.46,1454195.9,20236.36,1454195.9,n.d.,484.42,100187.64,2700,81680.12000000001,453637.22,20,-328483.33999999997,15807.52,272474.52,201551.039,916713.2,0,107378.47,37655.55,171515.72,n.d.,80525.43999999999,60289.08,83845.48,1000558.6789999999,60289.08,-3320.04,n.d.,272474.52,413727.37,413727.37,672559.759
2016,34132.42,16696.07,146655.87999999998,3005.06,n.d.,399895.57,n.d.,4956.1900000000005,n.d.,8022.2,8022.2,n.d.,-11739.88,144267.02,469332.92,n.d.,2914.86,2914.86,1122548.84,1398.01,1122548.84,n.d.,484.7,102137.81,n.d.,86480.29,399895.57,20,-245298.15,15657.52,141699.69,141261.95899999997,714631.07,0,53698.18,34132.42,70394.25,n.d.,5592.04,4194.029,8022.2,722653.2699999999,4194.029,-2430.16,n.d.,141699.69,248793.69,248793.69,477839.819
2015,17187.89,23884.920000000002,180139.41,3005.06,34293.509,383097.22000000003,n.d.,30752.99,13147.130000000001,34981.89,48129.02,n.d.,6868.07,140072.99,451448.69,n.d.,6971.55,6971.55,1171384.13,7048.79,1171384.13,n.d.,184.83,65931.72,n.d.,50274.2,383097.22,18,-288709.2,15657.52,149386.41999999998,137067.93,753305.02,0,64925.33,17187.89,88810.25,n.d.,28195.17,21146.379,34981.89,788286.909,21146.379,-6786.72,n.d.,149386.41999999998,246071.13,246071.13,499762.54
2014,n.d.,7502.88,126064.93,3005.06,n.d.,321366.4,n.d.,13561.240000000002,n.d.,2813.63,2813.63,n.d.,6058.360000000001,118926.61,447663.69,n.d.,1848.46,1848.46,1055591.04,843.16,1055591.04,n.d.,2407.4500000000003,62975.07,n.d.,42774.68,321366.4,18,-283747.32,20200.39,112503.69,115921.55,731411.01,0,62610.51,n.d.,70113.39,n.d.,3372.62,2529.46,2813.63,734224.64,2529.46,558.989,n.d.,112503.69,189040.0,189040.0,452884.77
