Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,390386.31,424198.23000000004,2551256.31,500000.0,313386.51,2718004.54,174907.7,1382586.72,228476.71,105644.11,334120.82,436928.81,1395317.3,1653371.95,1381850.11,n.d.,9370.55,9370.55,5490775.85,25360.04,5493922.04,n.d.,13996.28,623012.63,9103.22,602028.7799999999,2705700.69,37.0,-1059946.57,11880.63,731740.7799999999,1153371.949,2670273.3899999997,6343.17,525061.5789999999,396729.48000000004,1124167.51,n.d.,110269.84,84909.799,105644.11,2775917.5,84909.799,4625.73,n.d.,730195.38,3174268.94,3174268.94,1729967.21
2022,630071.42,389848.07,2443771.19,500000.0,337934.73000000004,2902938.56,177084.7,1589611.87,222833.37,166562.75,389396.12,449232.66,1648996.46,1568462.15,1237949.0,n.d.,13389.8,13389.8,5765555.56,38071.59,5767239.56,n.d.,0.0,825357.56,12047.14,801429.7899999999,2925766.89,35.0,-1236955.8800000001,11880.63,404926.66,1068462.15,2697738.25,3807.16,499855.25,633878.58,1066788.02,n.d.,153172.94999999998,115101.36,166562.75,2864300.999,115101.36,-13389.8,n.d.,357449.34,3269128.75,3269128.75,1627345.1190000002
2021,637389.88,598330.51,2411618.87,500000.0,299119.37,1651433.3190000001,195321.62,1232597.86,219371.85,99212.49,318584.34,426404.33,1060671.6800000002,1453360.79,1121631.6,n.d.,10270.37,10270.37,3937285.63,9194.6,3937285.63,n.d.,0.0,826090.93,17567.74,805842.56,1977077.67,34.0,-845636.37,2680.63,752616.6789999999,953360.79,2186639.82,0,353307.0,637389.88,1146959.13,n.d.,88942.12000000001,79747.519,99212.49,2285852.309,79747.519,-10270.37,n.d.,699125.74,3237709.8,3237709.8,1440215.94
2020,649369.3200000001,252111.23,2016627.41,500000.0,116815.9,1282789.3690000002,22777.85,975508.62,174722.5,-51489.850000000006,123232.65,100759.98,824157.37,1373613.27,958366.09,n.d.,8081.04,8081.04,3338416.44,-1664.29,3338416.44,n.d.,0.0,510860.43000000005,35843.57,472336.23,1295565.64,32.0,-974028.3300000001,2680.63,940358.81,873613.2699999999,2107116.92,0,229616.169,649369.3200000001,504505.25,n.d.,-59570.89,-57906.6,-51489.850000000006,2055627.07,-57906.6,-8081.04,n.d.,938813.41,2527487.84,2527487.84,1081598.74
2019,261503.11000000002,287729.6,1693551.35,500000.0,203707.27,1678559.01,21275.37,1391172.91,153778.54,71052.54,224831.08,87983.70999999999,1191427.02,1431519.87,1002444.83,n.d.,4642.84,4642.84,3989828.25,16642.91,3989828.25,n.d.,161.94,597294.8200000001,71853.42,523638.36,1603992.77,32.0,-1083993.33,1803.04,214394.729,931519.87,2240216.7,1664.29,287153.93000000005,263167.4,596158.9,n.d.,66571.64,49928.72899999999,71052.54,2311269.239,49928.72899999999,-4480.9,n.d.,212849.33,2290846.17,2290846.17,1227437.85
2018,237997.97,450431.54,1745663.03,500000.0,175985.33,1814625.5890000002,n.d.,1278224.31,153939.61000000002,35954.54,189894.15,162549.94999999998,990342.72,1381591.14,1031274.12,n.d.,6779.53,6779.53,4019373.32,7348.58,4019373.32,n.d.,219.29,567679.12,88805.33,477070.75,1742796.9,33.0,-983579.4600000001,1803.04,304888.77,881591.14,2168793.19,0,243321.5,237997.97,693753.04,n.d.,29394.3,22045.72,35954.54,2204747.73,22045.72,-6560.24,n.d.,304888.77,2313342.15,2313342.15,1221387.559
2017,329680.13,518485.85,1871580.38,500000.0,176215.81,1873473.46,n.d.,1366047.77,164340.96,22991.0,187331.96,234378.64,1081940.56,1359545.42,1017258.11,n.d.,7246.94,7246.94,4147637.24,3958.2799999999997,4147637.24,n.d.,89.07,645565.9600000001,80758.61,563004.31,1974569.76,31.0,-1069573.71,1803.04,271153.97000000003,859545.419,2251172.7800000003,0,309434.94,329680.13,827920.7899999999,n.d.,15833.13,11874.849,22991.0,2274163.7800000003,11874.849,-7157.87,n.d.,271153.97000000003,2517146.34,2517146.34,1204679.14
2016,274153.87,368809.32,1731222.61,500000.0,172734.97,1823108.3,n.d.,1096229.74,124384.24,69032.26,193416.5,133282.34,860702.76,1347670.57,982380.25,n.d.,4817.71,4817.55,4163470.64,16116.91,4163470.64,n.d.,253.09,562624.06,9998.79,550816.23,1817205.23,30.0,-1164565.59,1809.04,501710.53,847670.57,2271330.08,0,303212.91000000003,274153.87,672022.23,n.d.,64467.64,48350.72899999999,69032.26,2340362.34,48350.72899999999,-4564.620000000001,n.d.,501710.53,2293846.67,2293846.67,1176049.6800000002
2015,n.d.,487384.71,1703520.64,500000.0,148189.812,1722936.81,n.d.,1230631.48,98839.73,67801.90999999999,166641.64,139185.41,882432.1789999999,1299319.84,957178.06,n.d.,2130.3100000000004,2130.3100000000004,3772529.93,16450.027000000002,3772529.93,n.d.,128.508,356522.7,11184.94,343534.72000000003,1698575.82,31.0,-925773.42,1803.04,333703.75,799319.8400000001,1981791.21,0,273338.79000000004,n.d.,760723.5,n.d.,65800.11,49350.082,67801.90999999999,2049593.1190000002,49350.082,-2001.802,n.d.,333703.75,2060043.34,2060043.34,1123948.21
2014,n.d.,426310.94,1663076.08,500000.0,186050.2,1515757.0990000002,22184.17,1242202.7,135414.66,64757.33,200171.99,163546.4,979438.159,1249969.76,966469.34,n.d.,2514.76,2514.76,3696005.93,11790.93,3696005.93,n.d.,183.9,333724.38,12631.3,319290.04,1508293.72,31.0,-1013607.5,1803.04,257326.98,749969.76,2115491.5,0,298335.58900000004,n.d.,746830.7,n.d.,62426.47,50635.54,64757.33,2180248.8299999996,50635.54,-2330.86,n.d.,257326.98,1996800.46,1996800.46,1166825.23
2013,22184.17,331664.55,1515506.96,500000.0,231139.77,1453608.82,n.d.,1273022.04,153214.47,82473.57,235688.04,171009.78,1112367.27,1199334.22,1001980.44,n.d.,4818.84,4818.84,3585974.5,n.d.,3587774.5,n.d.,270.57,396978.04,11402.18,383772.82,1409253.79,31.0,-896497.2,1803.04,71475.14,699334.221,2051692.1090000002,0,359302.06,22184.17,690966.61,n.d.,77925.3,77925.3,82473.57,2134165.68,77925.3,-4548.27,n.d.,71475.14,1912485.0,1912485.0,1237939.05
2012,108151.33,365809,1369164.52,500000.0,211173.11,1272833.6500000001,n.d.,1023675.79,248517.96,-25647.72,222870.24,215364.81,873231.6,1121408.92,961297.17,n.d.,12028.26,9028.26,3087269.51,n.d.,3094469.51,n.d.,331.13,499488.87,12014.7,485671.13,1333419.28,32.0,-637468.4500000001,1803.04,130123.92,621408.92,1847283.58,0,273284.14,108151.33,639093.14,n.d.,-37344.850000000006,-37344.850000000006,-25647.72,1821635.8590000002,-37344.850000000006,-11697.13,n.d.,130123.92,1868653.39,1868653.39,1181498.54
2011,189854.54,437946.08,1590841.1800000002,500000.0,241576.52,1463850.84,59396.1,1385288.84,238236.05,14514.84,252750.889,154779.18,1102121.94,1158753.77,950906.97,n.d.,11616.06,11616.06,3361935.89,n.d.,3369135.89,n.d.,441.69,618852.05,12178.33,598870.6799999999,1459664.8,32.0,-701627.19,7803.04,50773.16,658753.769,1890770.21,0,363742.74,189854.54,861084.92,n.d.,3340.4700000000003,3340.4700000000003,14514.84,1905285.05,3340.4700000000003,-11174.369,n.d.,49573.16,2209693.23,2209693.23,1204099.55
