Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,394266.09,582102.57,1733362.5,108180.0,191587.94999999998,2592192.04,416699.2,1090687.44,96436.39,197340.48,293776.87,478281.28,986866.15,1449731.96,1532316.07,n.d.,76972.93999999999,76972.93999999999,4820145.58,31717.19,4847089.58,n.d.,6501.21,1694019.49,n.d.,1190583.71,2537322.02,45.0,-428804.6,503435.779,164393.78,1341551.96,2057557.0590000001,0,584582.1699999999,394266.09,1583383.94,n.d.,126868.75,95151.56,197340.48,2254897.54,95151.56,-70471.73,n.d.,107187.72,3427381.99,3427381.99,1832594.15
2022,523936.42,583728.09,1469718.74,108180.0,137833,2140048.9,478891.74,752718.9600000001,63909.08,164551.16,228460.24,610047.7,779038.57,1352751.82,1528974.57,n.d.,66512.38,55942.92,4445518.71,24641.3,4482472.479,n.d.,526.4399999999999,1852464.77,664.66,1282061.62,2158953.21,46.0,-584988.769,569738.49,106952.07900000001,1244571.819,2177872.42,0,382875.44,523936.42,1445495.27,n.d.,98565.22,73923.92,164551.16,2342423.579,73923.92,-65985.93999999999,n.d.,73736.43,3322183.51,3322183.51,1747391.79
2021,585644.48,664630.2799999999,995117.71,108180.0,154838.4,1849935.3090000001,443172.63,358509.48000000004,63909.08,145315.17,209224.25,558759.49,252638.689,1278827.9,1428987.6900000002,n.d.,44297.69,44297.69,3825863.13,30309.78,3855883.85,n.d.,20221.62,2208891.12,664.66,1312280.11,2005764.16,42.0,-367736.6,895946.349,77848.73999999999,1170647.9,1860633.37,0,231733.539,585644.48,1339536.45,n.d.,121239.1,90929.32,145315.17,2005948.54,90929.32,-24076.07,n.d.,72915.40999999999,3204008.83,3204008.83,1658433.56
2020,516045.37,293392.69,665498.48,108180.0,212997.44,1674198.59,290549.86,357048.08,123288.76,147625.57,270914.33,201662.12,265317.509,1461898.58,1464585.1800000002,n.d.,31913.12,31897.44,3742809.64,29902.89,3774959.64,n.d.,3899.12,2292748.19,664.66,1376127.4,1702755.59,45.0,-365261.54,915956.129,106788.28,1353718.579,1953135.48,0,396360.17,516045.37,980302.72,n.d.,119611.57,89708.68000000001,147625.57,2100761.049,89708.68000000001,-28014.0,n.d.,99154.95,2958246.67,2958246.67,1739382.95
2019,528299.74,463687.85,934970.12,108180.0,160701.24000000002,1932315.34,393949.57,562366.16,78644.78,158455.02,237099.8,129713.95,228392.26,1359866.3,1140379.23,n.d.,53466.850000000006,47197.14,3599565.08,27352.16,3626962.08,n.d.,4420.45,2354691.15,664.66,1426079.05,1886568.12,25.0,-317167.71,927947.44,242890.009,1251686.3,1536191.72,0,543857.81,528299.74,1401495.23,n.d.,109408.62,82056.459,158455.02,1694646.739,82056.459,-49046.4,n.d.,235256.68,3289661.27,3289661.27,1375629.77
2018,718917.3,246303.81,1610649.39,108180.0,n.d.,1033873.9400000001,411259.46,345486.98000000004,n.d.,43034.26,43034.26,1172757.76,1271940.93,1277809.84,809227.8200000001,n.d.,41253.4,39645.16,2035737.38,672.7900000000001,2076379.849,n.d.,910.3299999999999,1598524.78,n.d.,361885.76,1120686.27,27.0,-190243.83,1236639.02,92404.65000000001,1169629.8390000002,999471.65,0,554883.76,718917.3,1212447.03,n.d.,2691.19,2018.4,43034.26,1042505.909,2018.4,-40343.07,n.d.,92404.65000000001,3209174.17,3209174.17,851564.169
2017,526389.72,233006.1,1527548.34,108180.0,n.d.,1165847.03,295411.5,452795.2,n.d.,32045.1,32045.1,1074753.14,1294542.239,1275791.44,777991.87,n.d.,31082.69,30184.7,2090583.64,1022.05,2149581.11,n.d.,3125.8100000000004,1398170.6900000002,n.d.,338056.47000000003,1063003.62,29.0,-173697.11000000002,1060114.22,n.d.,1167611.44,951688.98,0,595120.2699999999,526389.72,1123537.87,n.d.,4088.22,3066.17,32045.1,983734.0789999999,3066.17,-27956.88,n.d.,n.d.,2925719.03,2925719.03,812264.7889999999
2016,544137.93,407420.5,1783083.02,108180.0,n.d.,1310621.01,244043.19,559221.59,n.d.,44944.53,44944.53,1223598.89,1375399.98,1272725.27,763818.37,n.d.,42043.32,42043.310000000005,2268607.2800000003,725.3,2334903.829,n.d.,0,1262566.87,n.d.,292562.52,1299459.01,30.0,-215519.919,970004.35,262.54,1164545.27,979338.2899999999,0,577323.0,544137.93,1228786.6900000002,n.d.,2901.21,2175.9100000000003,44944.53,1024282.819,2175.9100000000003,-42043.32,n.d.,262.54,3045649.89,3045649.89,808762.889
2015,502032.68,328679.17,1667978.65,108180.0,n.d.,1259373.35,335549.74,424859.32,n.d.,37211.2,37211.2,1236565.89,1332746.04,1282872.96,663503.42,n.d.,46571.66,46571.66,2128890.25,767.7700000000001,2134497.069,n.d.,12431.5,1246109.28,n.d.,270121.2,1335848.49,27.0,-174409.1,975988.08,6553.44,1174692.96,837912.52,0,464953.38,502032.68,1129182.29,n.d.,3071.04,2303.27,37211.2,875123.72,2303.27,-34140.16,n.d.,6553.44,2914087.93,2914087.93,713146.12
2014,623557.3600000001,176393.33,1644990.2,108180.0,n.d.,632691.3600000001,344165.85,491522.67,n.d.,13837.47,13837.47,1126509.03,1441638.3690000002,1268246.09,635815.31,n.d.,36248.26,36248.26,1452046.58,306.51,1466304.88,n.d.,23636.82,1247210.33,n.d.,257572.25,691291.3600000001,27.0,-183960.74000000002,989638.08,26958.5,1160066.09,819776.05,0,479837.9,623557.3600000001,1000397.08,n.d.,1226.03,919.52,13837.47,833613.52,919.52,-12611.44,n.d.,26958.5,2892200.53,2892200.53,673289.6
