Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,3778089.3,775433.6799999999,4410920.53,2600000.0,-63464.1,2024371.26,1779208.99,1513974.79,57560.91,-145888.03,-88327.12000000001,2271655.34,3010196.449,7846057.29,1946247.29,n.d.,40555.259,24453.42,5382164.05,-40729.84,5413565.3,n.d.,24688.44,11491970.8,n.d.,747987.42,2134003.93,54.0,-1531273.87,10743983.38,625290.4,5246057.29,3535082.07,0,1724102.069,3778089.3,4278744.74,n.d.,-161754.84999999998,-121025.01,-145888.03,3389194.039,-121025.01,-15866.819,n.d.,179637.5,15902891.33,15902891.33,1866506.769
2022,3778089.3,681087.06,4335242.94,2600000.0,137896.79,2186798.949,1779208.99,1416320.9,45732.93,153366.81999999998,199099.75,2056202.45,2791436.2890000003,7967082.3,1834255.66,n.d.,31415.01,31380.960000000003,5493250.14,29787.95,5560247.67,n.d.,0.0,11587071.18,n.d.,702369.0,2067334.9,50.0,-1340093.31,10884702.18,862719.59,5367082.3,3220081.9,0,1716846.47,3778089.3,4177142.52,n.d.,121951.81,92163.86,153366.81999999998,3373448.72,92163.86,-31415.01,n.d.,626964.8500000001,15922314.12,15922314.12,2033321.359
2021,3778089.3,595719.3,4604422.319999999,2600000.0,101959.51,1869122.3900000001,1779208.99,1335011.21,44903.73,109602.43,154506.16,2222815.34,2962107.25,7874918.44,1833596.86,n.d.,34294.719999999994,34263.48,4922207.72,18251.93,4952373.228999999,n.d.,0.0,10981487.92,n.d.,736168.23,1810714.46,53.0,-1095147.82,10245319.69,1046595.77,5274918.44,2973648.4099999997,0,1557974.21,3778089.3,3932902.5,n.d.,75307.70999999999,57055.78,109602.43,3083250.84,57055.78,-34294.719999999994,n.d.,313409.05,15585910.239999998,15585910.239999998,1988071.78
2020,3778089.3,662095.8400000001,5170833.25,2600000.0,75640.7,1264153.41,1779136.91,1360517.58,46593.73,74966.25,121559.98,2231390.27,2929812.01,8162825.83,1616265.81,n.d.,36536.96,36394.82,4058624.47,9382.32,4088999.5,n.d.,0.0,11566975.87,n.d.,772779.9600000001,1046169.36,53.0,-1087020.3,10794195.91,1578925.4,5562825.83,2749879.84,0,2355661.24,3778089.3,4796893.99,n.d.,38429.28999999999,29046.97,74966.25,2824846.09,29046.97,-36536.96,n.d.,556537.91,16737809.12,16737809.12,1737683.65
2019,3778089.3,611835.3300000001,5135280.1,2600000.0,152392.631,2013569.23,1779072.61,1449217.93,35997.08,317581.85,353578.93000000005,2443047.54,3280430.139,8133778.859999999,1935344.08,n.d.,261223.75,261223.75,5694832.79,32894.449,5727939.23,n.d.,92931.9,11375446.69,1690,711717.21,1887541.68,53.0,-1425446.99,10662039.479,1243014.63,5533778.858999999,3396788.15,0,2207950.69,3778089.3,4598858.63,n.d.,149290.0,116395.551,317581.85,3714370,116395.551,-168291.849,n.d.,335873.45,16510726.79,16510726.79,2381854.91
2018,3778089.3,649950.0,5448261.149999999,2600000.0,149637.11000000002,2160376.099,1550876.1700000002,1498525.9,34960.33,418408.07,453368.4,2668047.06,3516622.96,8352853.53,2045815.44,n.d.,265416.64,265416.64,5946071.619999999,38412.49,5982677.8,n.d.,97.84,10645648.25,3380,735656.7899999999,2143088.589,61.0,-1323117.86,9906611.46,1281688.1900000002,5752853.53,3403893.63,0,1762140.4,3778089.3,3962966.57,n.d.,153089.27000000002,114676.78,418408.07,3822301.7010000004,114676.78,-265318.8,n.d.,295341.98000000004,16093909.4,16093909.4,2499281.68
2017,3778089.3,596376.73,5257590.95,2600000.0,47388.58,2043964.74,1322716.53,1567401.94,34762.25,278145.46,312907.71,2710805.91,3681831.119,8238176.75,1854496.2,n.d.,261443.69,261405.35,5535648.39,4075.44,5572071.698999999,n.d.,0.0,10478670.53,5070,761366.56,1899296.59,59.0,-1360703.05,9712233.97,979383.1,5638176.75,3249961.5,0,1800902.1700000002,3778089.3,3719995.43,n.d.,16701.77,12626.33,278145.46,3528106.959,12626.33,-261443.69,n.d.,161474.83,15736261.48,15736261.48,2167365.57
2016,3778089.3,597993.6699999999,4855916.95,2337000.0,32047.23,2012822,1092149.53,1491554.51,11577.77,237682.52,249260.289,2874897.27,3768458.11,7962550.42,1742294.97,n.d.,257348.35,257348.35,5137088.55,6823.150000000001,5163943.2700000005,n.d.,46958.439,10113556.09,n.d.,546132.57,1802338.88,54.0,-1159566.01,9567423.52,489465.17,5625550.42,2913438.75,0,1538690.1190000002,3778089.3,3228833.32,n.d.,27292.61,20469.460000000003,237682.52,3151121.2690000003,20469.460000000003,-210389.911,n.d.,283567.04,14969473.04,14969473.04,2038513.7
2015,3778089.3,763722.73,4749595.23,2337000.0,5697.599,1466109.73,864281.37,1258533.32,23966.02,246223.07,270189.09,3071241.21,3566051.8,7942080.96,1677019.01,n.d.,271683.31,271369.49000000005,4422575.930000001,-7104.39,4437724.188999999,n.d.,87.43,10124776.5,n.d.,557710.3400000001,2023068.37,51.0,-1024406.3600000001,9567066.16,419820.7,5605080.96,2725391.3899999997,0,1526197.37,3778089.3,3154201.47,n.d.,-25372.81,-18268.42,246223.07,2971614.459,-18268.42,-271595.88,n.d.,174889.7,14874371.73,14874371.73,1946981.71
2014,3778089.3,578612.1,4256469.48,1707000.0,109623.08,1524515.01,642822.39,1343417.93,31827.52,381930.0,413757.52,2520058.22,3284864.05,7330349.38,1457507.04,n.d.,270994.22000000003,269986.02,4030427.57,33340.949,4082739.04,n.d.,200.73,9555787.78,n.d.,581676.3600000001,1481276.74,49.0,-686959.47,8974111.42,392993.33,5623349.379,2176294.03,0,1482384.09,3778089.3,2703818.58,n.d.,111136.51,77795.56,381930.0,2558224.03,77795.56,-270793.49000000005,n.d.,191942.7,13812257.26,13812257.26,1870457.09
