Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,7566460.84,38452.15,7898295.31,116400.0,3258195.94,4381094.05,1094918.81,279565.31,723729.6799999999,3354176.48,4077906.16,9546.9,250660.06,10618330.5,615666.05,n.d.,321054.86,321054.86,10695861.9,779688.8300000001,10928057.97,n.d.,281033.47000000003,13809833.94,5223.320000000001,8404400.8,4381094.05,16.0,-1853391.71,5400209.818999999,7609183.1,10501930.5,3192787.44,134151.579,2255815.37,7700612.42,3389186.33,n.d.,3314155.09,2534466.26,3354176.48,6546963.92,2534466.26,-40021.39,n.d.,830655.01,21708129.25,21708129.25,4974605.68
2022,8173532.05,579494.3300000001,5903663.54,116400.0,2678302.12,3834832.92,657579.11,262086.12,727784.7699999999,2764168.74,3491953.51,18988.93,-298419.27900000004,8083864.24,514974.55,n.d.,226309.27,208944.28,9337583.84,602162,9528086.82,n.d.,14819.88,13132451.99,693.8,8593664.5,3834832.92,14.0,-1686325.84,4538093.69,5622588.49,7967464.24,2929085.16,134151.579,1407494.22,8307683.63,2644567.66,n.d.,2552679.35,1950517.35,2764168.74,5693253.9,1950517.35,-211489.389,n.d.,5600067.319999999,19036115.53,19036115.53,4004382.949
2021,8424534.118999999,442705.8,4010514.22,116400.0,1148936.39,2027565.85,304780.48000000004,386682.86,723557.8400000001,659106.8300000001,1382664.6700000002,9706.94,-46316.0,6133346.89,375494.69,n.d.,183681.4,173478.1,4985159.38,66978.17000000001,5296106.26,n.d.,16931.29,13009272.98,1156.28,8945732.99,2027565.85,8.0,-1510381.05,4062383.71,3614124.42,6016946.89,2609433.58,134151.579,1580268.33,8558685.697999999,2327754.61,n.d.,492356.72,425378.55,659106.8300000001,3268540.409,425378.55,-166750.11000000002,n.d.,3585096.86,17019787.2,17019787.2,1764887.35
2020,6446991.659999999,2169.3900000000003,974431.6,116400.0,-390382.339,1339068.96,573127.01,406238.26,731369.64,-1304500.49,-573130.8500000001,8804.740000000002,412873.61,5916063.819999999,367180.78,n.d.,197512.49,120112.62,2240567.25,-371233.43000000005,2293503.36,n.d.,9027.57,13711138.75,1618.76,9604818.43,1339068.96,6.0,-1160384.47,4104701.56,559388.6,5799663.819999999,2258934.8899999997,134151.579,1613066.89,6581143.24,2188363.29,n.d.,-1492985.41,-1121751.98,-1304500.49,954434.399,-1121751.98,-188484.919,n.d.,393181.12,14685570.35,14685570.35,-274322.369
2019,4523720.0,30416.79,592359.99,116400.0,1793650.55,3517672.79,1096490.95,460215.21,702884.74,1528455.85,2231340.59,19424.85,449223.27,7037815.8,655928.55,n.d.,130876.35,117817.66,8362683.23,324290.87,8545144.56,n.d.,17477.178,13771350.08,2058.659,9981489.33,3517672.79,11.0,-2140202.63,3787802.09,112719.93,6921415.8,3499015.92,134151.579,1541114.95,4657871.58,2668022.69,n.d.,1415056.6800000002,1090765.81,1528455.85,5027471.7700000005,1090765.81,-113399.172,n.d.,73065.31,14363710.07,14363710.07,2891687.63
2018,5196490.609999999,55683.78,1429330.01,116400.0,1757502.999,3589064.04,752042.12,198729.28,578070.99,1721579.49,2299650.48,6391.64,149437.14,5947049.99,657220.15,n.d.,180635.02,125145.72,8383496.159999999,369605.64999999997,8561733.109,n.d.,8093.19,12021060.56,5479.860000000001,8628438.57,3589064.04,7.0,-2015798.44,3387142.13,1224209.0890000002,5830649.99,3251089.58,134151.579,1364972.49,5330642.19,2172698.39,n.d.,1549037.66,1179432.009,1721579.49,4972669.068999999,1179432.009,-172541.83,n.d.,1193294.6900000002,13450390.57,13450390.57,2909474.52
2017,3820636.25,41355.05,402853.9900000001,116400.0,1872350.359,3368684.56,722030.929,181359.29,541786.4,1860040.67,2401827.07,10875.29,150879.53,4767617.98,613754.23,n.d.,148083.2,148083.2,7887344.6,408315.73000000004,8070128.1,n.d.,26922.22,10462148.72,10266.869999999999,8106701.92,3368684.56,12.0,-1685862.24,2345179.93,210619.41,4651217.98,2841402.8699999996,119778.2,1393584.299,3940414.45,2156970.2800000003,n.d.,1738879.6900000002,1330563.96,1860040.67,4701443.539,1330563.96,-121160.98,n.d.,181711.34,10865002.71,10865002.71,3042503.52
2016,4393099.91,473867.04,411600.7,116400.0,1339207.1090000002,3177957.03,634244.15,145452.8,800243.72,874580.3500000001,1674824.069,31148.29,-297265.949,3437054.02,677506.3500000001,n.d.,193243.389,177978.77000000002,6857623.14,161285.97999999998,7042037.658999999,n.d.,18912.41,9649323.43,4442.13,7308948.13,3177957.03,17.0,-1511750.21,2335933.17,234999.61,3320654.02,2989500.2800000003,134151.579,988507.429,4527251.49,2096618.62,n.d.,700249.37,538963.39,874580.3500000001,3864080.629,538963.39,-174330.979,n.d.,205356.26,10060924.13,10060924.13,2355978.21
2015,4712441.07,308293.76,341050.86,116400.0,1224987.3590000002,2721612.27,628759.8,252920.27,646520.14,1104197.45,1750717.5890000002,22020.6,-33352.89,2898090.63,621325.03,n.d.,325791.069,300791.66,5769738.33,206522.3,5942295.359999999,n.d.,6583.14,9697187.83,9618.92,7334809.470000001,2721612.27,16.0,-848640.47,2352759.44,66109.98999999999,2781690.63,2116485.64,134151.579,1356501.85,4846592.649999999,2293555.41,n.d.,784989.52,578467.22,1104197.45,3220683.09,578467.22,-319207.92900000006,n.d.,40392.4,10038238.69,10038238.69,2353626.35
2014,5631341.53,305108.3,238252.57,116400.0,876444.58,2449059.74,574355.05,165008.58,634865.58,478500.22,1113365.799,23128.1,-116971.62,2319623.41,577100.04,n.d.,212416.86,210034.69,5046556.94,51657.850000000006,5234260.68,n.d.,27153.489,9483564.43,6882.44,8047972.29,2449059.74,15.0,-1094735.1,1428709.7,50115.89,2203223.41,2306700.72,0,891388.71,5631341.53,1770852.06,n.d.,293236.85,241578.999,478500.22,2785200.94,241578.999,-185263.37,n.d.,20590.53,9721817.0,9721817.0,1715237.16
