Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,56333.94,139751.87999999998,447256.95,24040.0,16626.18,624431.48,287.67,249994.76,7047.2699999999995,20635.04,27682.31,132503.97999999998,242746.86,75749.95999999999,379477.26,n.d.,8194.9,8194.9,1129285.79,2861.23,1129410.08,n.d.,0,43277.77,n.d.,42948.78999999999,551916.5,13,-97819.03,328.98,64758.21,51709.96,484343.56,0,218411.27,56333.94,358450.82,n.d.,12440.14,9578.91,20635.04,504978.6,9578.91,-8194.9,n.d.,64758.21,490534.72,490534.72,407159.57
2022,50364.98,172877.44,542545.1,24040.0,6659.9,571665.4400000001,287.67,289439.57,3998.3700000000003,4159.14,8157.51,216988.96,333551.09,66171.05,330285.06,n.d.,1438.1,1438.1,948458.7799999999,59.51,949429.7899999999,n.d.,0,9503.01,n.d.,9174.03,570476.4400000001,10,-39321.78,328.98,36116.57,42131.05,373605.20900000003,0,262346.97000000003,50364.98,435512.08,n.d.,2721.04,2661.529,4159.14,377764.35,2661.529,-1438.1,n.d.,36116.57,552048.11,552048.11,338442.569
2021,65101.51,109268.37000000001,446109.41,24040.0,15887.15,376208.91000000003,287.67,222841.38,3996.96,13485.22,17482.18,219559.56,333132.57,63509.52,294545.07,n.d.,1595.03,1595.03,725545.24,n.d.,725545.24,n.d.,0,32700.38,n.d.,32371.4,369418.61,10,-37309.08,328.98,3708.4700000000003,39469.52,335851.11,0,240642.72,65101.51,350198.76,n.d.,11890.19,11890.19,13485.22,349336.329,11890.19,-1595.03,n.d.,3708.4700000000003,478809.79,478809.79,312027.25
2020,44353.810000000005,86030.65000000001,421816.7,24040.0,23504.538999999997,389400.6,287.67,180381.37,3750.19,21957.78,25707.969,229063.06,323413.78,55510.84,283547.67,n.d.,2203.4500000000003,2203.4500000000003,740217.64,n.d.,741556.64,n.d.,0.02,44507.07,n.d.,36368.36,379620.6,8,-42900.4,8138.71,12372.27,31470.84,330198.26,0,280140.8,44353.810000000005,366459.12,n.d.,19754.35,19754.35,21957.78,352156.04,19754.35,-2203.4300000000003,n.d.,12372.27,466323.77,466323.77,309255.66
2019,53155.1,72898.13,412718.91,24040.0,15782.9,389560.51,287.67,172083.09,5370.06,12704.1,18074.16,238679.3,337864.26,35756.49,242448.94999999998,n.d.,2291.2599999999998,2291.2599999999998,687058.98,n.d.,687246.1789999999,n.d.,0,36076.24,n.d.,35747.259999999995,370585.51,7,-37162.56,328.98,1956.52,11716.489,284981.57,0,286697.76,53155.1,359883.56,n.d.,10412.84,10412.84,12704.1,297685.669,10412.84,-2291.2599999999998,n.d.,1956.52,448795.15,448795.15,260523.11
2018,58145.96,79306.25,404782.66,24040.0,12794.88,260973.22,5332.860000000001,137701.76,4779.48,10122.87,14902.35,266975.44,325370.95,25343.65,203861.13,n.d.,2107.4700000000003,2107.4700000000003,519333.06,n.d.,519333.06,n.d.,0,31445.56,n.d.,31116.58,254083.22,7,-39596.36,328.98,105.46000000000001,1303.649,248236.97,0,268099.5,58145.96,352738.61,n.d.,8015.4,8015.4,10122.87,258359.84,8015.4,-2107.4700000000003,n.d.,105.46000000000001,436228.22,436228.22,218763.48
2017,71388.77,75507.83,393962.45,24040.0,14576.38,212729.41999999998,287.67,111716.34,9228.17,6183.54,15411.71,278235.44,314443.95,17328.25,142772.44,n.d.,2635.3300000000004,2635.3300000000004,405541.73000000004,n.d.,405805.73000000004,n.d.,1800,36434.99,n.d.,36106.01,209879.42,4,-34892.159999999996,328.98,4010.67,-6711.75,186892.77000000002,0,265884.91900000005,71388.77,341680.42000000004,n.d.,5348.21,5348.21,6183.54,193076.30899999998,5348.21,-835.329,n.d.,4010.67,430397.44,430397.44,159984.15
2016,102218.4,67004.06,381450.94,24040.0,n.d.,262013.9,287.67,97315.2,n.d.,14601.35,14601.35,282405.86,312717.0,11980.04,146785.19,n.d.,3305.32,3305.32,461557.26,n.d.,461557.26,n.d.,0.09,24559.05,n.d.,24230.07,262013.9,4,-38156.82,328.98,1729.8799999999999,-12059.96,184942.009,0,224519.82,102218.4,291811.55,n.d.,11296.12,11296.12,14601.35,199543.36,11296.12,-3305.23,n.d.,1729.8799999999999,406009.9900000001,406009.9900000001,161386.63
2015,120667.87000000001,73785.13,377270.37,24040.0,n.d.,236963.31,287.67,86905.22,n.d.,-49426.27,-49426.27,282386.46,295506.55,683.92,170124.84,n.d.,5323.05,5323.05,388396.73000000004,n.d.,388396.73000000004,n.d.,105.93,26628.94,n.d.,26299.960000000003,236963.31,5,-30734.85,328.98,7978.6900000000005,-23356.08,200859.68899999998,0,208474.719,120667.87000000001,282547.52,n.d.,-54643.39,-54643.39,-49426.27,151433.419,-54643.39,-5217.120000000001,n.d.,7978.6900000000005,403899.31,403899.31,120804.5
2014,145475.97,63847.810000000005,367246.53,24040.0,n.d.,137952.96,287.67,65005.23,n.d.,-14733.51,-14733.51,282386.46,283543.88,33327.309,172497.49,n.d.,2363.7799999999997,2363.7799999999997,348122.25,n.d.,348122.25,n.d.,1884.1899999999998,26628.94,n.d.,26299.960000000003,210952.96,6,-52405.310000000005,328.98,19854.84,9287.31,224902.8,0,150936.71000000002,145475.97,215072.19,n.d.,-15213.1,-15213.1,-14733.51,210169.29,-15213.1,-479.59,n.d.,19854.84,393875.47,393875.47,159648.169
