Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,70498.07,426963.13,3005.06,-22574.16,301993.69,116470.3,285108.13,1270.09,-19879.06,-18608.97,81648.2,296258.26,238593.52,199084.63,n.d.,11075.7,11075.7,511906.97,-7110.51,516906.97,n.d.,0,23637.62,n.d.,3916.53,301993.69,3.0,-34437.619,19721.09,60206.8,235588.46,234792.34,0,25038.86,n.d.,212007.23,n.d.,-30954.76,-23844.25,-19879.06,214913.279,-23844.25,-11075.7,n.d.,60206.8,450600.75,450600.75,180475.66
2022,n.d.,65180.06,455507.19,3005.06,19586.480000000003,352480.27,118052.16,322632.38,1493.82,29815.36,31309.18,15722.8,273175.12,262437.77,195321.71,n.d.,6083,6083,619201.93,5639.7,619783.9500000001,n.d.,0,17797.2,n.d.,5186.620000000001,352480.27,5.0,-40672.78999999999,12610.58,117152.01,259432.71,237488.31999999998,0,27634.4,n.d.,210866.62,n.d.,23732.36,18092.66,29815.36,267303.68,18092.66,-6083.0,n.d.,117152.01,473304.39,473304.39,226630.89
2021,n.d.,94631.81,448276.0,3005.06,32829.839,567449.54,119715,313525.98000000004,2188.5,51004.350000000006,53192.850000000006,11825.1,230719.269,244345.11,196686.99,n.d.,11467.140000000001,11467.140000000001,880275.73,8895.869999999999,880275.73,n.d.,0,24930.72,n.d.,6680.44,567449.54,6.0,-62946.350000000006,18250.280000000002,122924.92,241340.05,261821.84,0,14514.8,n.d.,228861.61,n.d.,39537.21,30641.339,51004.350000000006,312826.189,30641.339,-11467.14,n.d.,122924.92,473206.72,473206.72,249879.839
2020,534.16,62008.24,542677.0,3005.06,30281.379,399893.28,290873.67,417608.14,2741.01,44153.8,46894.810000000005,3701.58,359301.48000000004,213703.77,230050.74,n.d.,8617.84,8617.84,767158.7799999999,7995.59,767158.7799999999,n.d.,0,33648.09,n.d.,6501.94,399893.28,8.0,-90319.95,27146.149999999998,121367.28,210698.71,323111.7,0,9205.25,534.16,362087.16,n.d.,35535.96,27540.37,44153.8,367265.5,27540.37,-8617.84,n.d.,121367.28,576325.09,576325.09,276945.55
2019,6853.81,128135.51,554743.2799999999,3005.06,33812.5,596636.24,199485.5,405607.87,2496.05,64091.9,66587.95,5748.2,283220.56,186163.4,235853.2,n.d.,22336.629999999997,22336.629999999997,966108.52,10438.82,966108.52,n.d.,0,44384.69,n.d.,9242.95,596636.24,9.0,-67031.13,35141.74,143387.21000000002,183158.34,305380.38,0,78489.75,6853.81,406110.76,n.d.,41755.27,31316.449,64091.9,369472.28,31316.449,-22336.63,n.d.,143387.21000000002,599127.97,599127.97,302441.15
2018,13002.230000000001,73662.9,327426.02,3005.06,5362.0,258530.06,126888.20999999999,230009.46,3350.52,16684.309999999998,20034.83,38292.75,194639.309,154846.94999999998,248219.48,n.d.,14002.34,14002.34,607011.74,670.49,607011.74,n.d.,0,55444.6,n.d.,9864.04,258530.06,11.0,-80227.37000000001,45580.56,59123.810000000005,151841.88999999998,331797.37,0,14470.33,13002.230000000001,215021.44,n.d.,2681.9700000000003,2011.479,16684.309999999998,348481.68,2011.479,-14002.34,n.d.,50268.39,382870.62,382870.62,268254.31
2017,18984.06,73859.98999999999,289743.29000000004,3005.06,50100.979,694854.38,81163.6,263880.59,2796.9500000000003,72060.82,74857.77,3815.69,193836.29,152835.47,262337.47900000005,n.d.,8988.78,8988.78,1086242.3,15768.01,1086242.3,n.d.,0,53768.350000000006,n.d.,7517.3,694854.38,9.0,-54192.67,46251.05,22047.01,149830.41,319327.09900000005,0,16668.52,18984.06,171692.11000000002,n.d.,63072.04,47304.03,72060.82,391387.92000000004,47304.03,-8988.78,n.d.,20492.17,343511.64,343511.64,337195.249
2016,6623.91,96815.58,303378.57,3005.06,7431.78,295542.03,75.98,192101.67,3944.18,10089.57,14033.75,99708.8,194994.89,105531.44,184378.49,n.d.,5439.44,5439.44,521524.71,1162.53,521524.71,n.d.,0,69606.52,n.d.,7587.46,295542.03,3.0,-27570.440000000002,62019.06,11568.1,102526.38,215893.11000000002,0,163938.18,6623.91,260829.74,n.d.,4650.13,3487.6,10089.57,225982.68,3487.6,-5439.44,n.d.,10013.26,372985.09,372985.09,198412.24
2015,13255.43,20045.04,118896.3,3005.06,-3441.75,89904.11,n.d.,18028.86,3680.63,-7647.01,-3966.38,98550.16,96533.98,102043.84,79081.59,n.d.,1864.21,1864.21,188858.2,-2374.13,188858.2,n.d.,14.709999999999999,73657.23,n.d.,10475.64,89904.11,4.0,-23838.878999999997,63181.59,2317.279,99038.78,106601.099,0,57209.22,13255.43,77254.26,n.d.,-9496.51,-7122.38,-7647.01,98954.09,-7122.38,-1849.5,n.d.,762.4399999999999,192553.53,192553.53,75129.92
2014,119277.67000000001,24141.06,212828.6,3005.06,-9467.83,41205.87,6511.5,41543.2,3575.25,-9478.61,-5903.360000000001,96596.57,113998.71,32574.51,56857.64,n.d.,7912.160000000001,7912.160000000001,115869.64,-4347.6900000000005,115869.64,n.d.,0,68907.28,n.d.,8099.820000000001,41205.87,3.0,-23709.489,60807.46,74688.83,29569.45,84142.38,0,99231.14,119277.67000000001,129883.7,n.d.,-17390.77,-13043.08,-9478.61,74663.769,-13043.08,-7912.160000000001,n.d.,61077.61,281735.88,281735.88,50954.28
