Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,423472.7,676504.15,2733827.07,502806.72,100327.418,4335712.05,n.d.,1268551.79,16590.508,121504.31,138094.818,1210008.57,1802056.21,1329789.63,1155071.33,n.d.,8923.730000000001,8923.730000000001,5982592.659999999,30222.93,5993645.49,n.d.,1379.26,258003.95,421.04,81858.78,5426864.859999999,32.0,-364767.29000000004,175724.13,255266.71000000002,826982.91,1536429.128,0,562064.54,423472.7,1238568.6900000002,n.d.,113959.84,83736.90999999999,121504.31,1657933.44,83736.90999999999,-7544.469,n.d.,255266.71000000002,2991831.02,2991831.02,1294545.4079999998
2022,512110.98,560568.2,2660097.25,502806.72,72532.29,3651395.949,n.d.,1272745.73,8762.0,92612.71,101374.71,1342510.07,2054687.599,1246052.72,885759.08,n.d.,10228.1,10228.1,4903242.96,19781.6,4908533.63,n.d.,1167.28,208166.31,1721.33,86570.5,4993906.02,32.0,-270003.889,119874.48,44841.450000000004,743246.0,1164524.97,0,549531.66,512110.98,1110099.86,n.d.,83551.89,63770.28999999999,92612.71,1257137.6800000002,63770.28999999999,-9060.82,n.d.,44841.450000000004,2868263.56,2868263.56,988301.07
2021,606548.41,505761.21,2549757.15,502806.72,57857.361,2586612.4899999998,n.d.,925364.77,8685.34,72740.83,81426.17000000001,1361751.94,1781355.5,1182282.43,868409.1,n.d.,9984.57,9984.2,3790246.73,16390.668999999998,3790246.73,n.d.,2806.4300000000003,147160.41,4738.64,11145.15,3948364.43,28.0,-253798.97,131276.62,262640.44,679475.71,1130893.41,0,402325.51,606548.41,908086.72,n.d.,65562.69,49172.02099999999,72740.83,1203634.239,49172.02099999999,-7178.14,n.d.,262640.44,2696917.56,2696917.56,952641.33
2020,564601.6799999999,310947.08,2062385.45,502806.72,16595.308999999997,1313445.3,n.d.,204102.41,9857.65,15138.1,24995.75,1420719.51,1313874.8390000002,1133110.41,638879.3300000001,n.d.,6467.27,6467.27,2191572.39,2245.8900000000003,2191572.39,n.d.,312.719,111355.38,6416.22,15648.01,2734164.81,24.0,-214252.01,89291.15000000001,437563.53,630303.69,862988.99,0,165081.66,564601.6799999999,476028.74,n.d.,8983.55,6737.660000000001,15138.1,878127.09,6737.660000000001,-6154.55,n.d.,437563.53,2173740.83,2173740.83,664187.8
2019,88385.4,414067.66,1747578.09,502806.72,17065.920000000002,1554260.009,n.d.,313916.92000000004,8785.630000000001,16302.12,25087.75,1433661.1700000002,1333510.43,1126372.75,781189.9600000001,n.d.,3031.27,3031.27,2611741.72,5039.59,2611741.72,n.d.,49.03,109503.53,9505.6,13477.03,2847540.05,24.0,-251204,86520.9,n.d.,623566.03,1041179.59,0,228255.81,88385.4,642323.47,n.d.,13319.88,8280.289,16302.12,1057481.71,8280.289,-2982.24,n.d.,n.d.,1857081.62,1857081.62,806326.74
2018,130583.09,263917.62,1627606.53,502806.72,11493.8,1065120.83,n.d.,309755.76,3965.59,12320.75,16286.34,1317850.77,1363688.91,1098092.46,710717.09,n.d.,2813.29,2813.29,2050489.14,2509.4,2050489.14,n.d.,530.15,108689.75,8182.67,10325.34,2382971.6,32.0,-258364.87999999998,90181.74,n.d.,595285.74,973047.559,0,243703.11,130583.09,507620.73,n.d.,10037.61,7528.21,12320.75,985368.31,7528.21,-2283.14,n.d.,n.d.,1736296.28,1736296.28,727533.58
2017,127424.84,241894.5,1561353.64,502806.72,12174.87,1089469.0690000001,n.d.,288221.73000000004,4551.18,12411.46,16962.64,1205330.77,1251658.0,1090564.25,724021.4,n.d.,3047.27,3047.27,2057722.3,2541.23,2057722.3,n.d.,800.73,99457.34,2250.88,12574.63,2294799.84,34.0,-227269.19,84631.83,67801.14,587757.529,955841.7699999999,0,200927.39,127424.84,442821.89,n.d.,10164.92,7623.69,12411.46,968253.23,7623.69,-2246.54,n.d.,67801.14,1660810.98,1660810.98,741784.7699999999
2016,614809.7899999999,238752.31999999998,1485747.08,3005.06,11454.27,829099.81,n.d.,150009.31999999998,5737.110000000001,9624.62,15361.73,1243953.93,1155210.93,583138.9,692186.42,n.d.,2551.76,2551.76,1922939.62,1905.72,1922939.62,n.d.,550.02,97318.28,3772.77,8601.48,2073053.74,32.0,-386291.66,84944.03,91783.83,580133.8400000001,1084215.1900000002,0,146364.34999999998,614809.7899999999,385116.67,n.d.,7622.88,5717.160000000001,9624.62,1093839.8090000001,5717.160000000001,-2001.74,n.d.,91783.83,1583065.36,1583065.36,708098.1699999999
2015,588000.2,224043.25,1419255.96,3005.06,17182.34,878155.2,n.d.,248644.66,5450.87,18644.59,24095.460000000003,1113591.16,1138192.569,577421.74,714734.11,n.d.,3640.32,3640.32,1659315.89,3910.49,1659315.89,n.d.,637.69,100729.78,3403.18,13194.99,1991746.36,25.0,-42331.119999999995,84131.61,57020.14,574416.6789999999,762516.1,0,130520.55,588000.2,354563.8,n.d.,15641.96,11731.47,18644.59,781160.6889999999,11731.47,-3002.63,n.d.,57020.14,1519985.74,1519985.74,739467.259
2014,540428.58,210304.71000000002,1651456.83,3005.06,8694.8,753674.89,n.d.,472834.63,5413.4,9137.03,14550.43,1115653.73,1378183.65,565690.2699999999,753657.76,n.d.,4761.83,4761.83,1749731.43,1093.8,1751381.39,n.d.,0,103245.3,1756.78,13945.16,1787996.05,28.0,-229498.31,87543.36,62968.47,562685.21,988569.47,0,438278.57,540428.58,648583.2799999999,n.d.,4375.2,3281.3990000000003,9137.03,997706.499,3281.3990000000003,-4761.83,n.d.,48118.47,1754702.13,1754702.13,768208.19
2013,535854.41,257370.09,1701275.06,3005.06,11816.44,740967.04,n.d.,485146.65,8965.62,7236.9,16202.52,1148116.33,1375892.89,562408.87,608063.7799999999,n.d.,3618.3,3618.3,1616639.28,950.28,1616639.28,n.d.,182.5,105103.93,2342.38,15963.04,1889083.37,28.0,-251405.94,86798.51,68012.08,559403.809,868435.3400000001,0,450745.62,535854.41,708115.71,n.d.,3801.1,2850.8190000000004,7236.9,875672.24,2850.8190000000004,-3435.8,n.d.,53162.08,1806378.99,1806378.99,624448.8
2012,479469.42,176182.93,1581517.3,3005.06,20843.09,691065.22,6000,429775.22,14972.68,9392.15,24364.83,1066783.76,1320376.05,559558.05,579636.3200000001,n.d.,3978.31,3978.31,1565442.1800000002,1956.8,1565538.53,n.d.,2413.3700000000003,99558.59,n.d.,17898.71,1757848.98,23.0,-270472.16,81659.88,84958.32,556552.99,865081.16,0,459865.4900000001,479469.42,642048.42,n.d.,7827.21,5870.41,9392.15,874473.31,5870.41,-1564.94,n.d.,84958.32,1681075.89,1681075.89,606414.52
2011,498039.85,171355.61000000002,1518434.95,3005.06,25260.58,669982.75,7142.4,399258.02,19634.65,5907.31,25541.960000000003,988115.52,1216017.93,553687.64,672823.3200000001,n.d.,1746.29,1746.29,1492379.24,1875.31,1496584.38,n.d.,3340.22,108067.78,n.d.,25205.75,1658098.27,25.0,-128236.35,82862.03,131061.40999999999,550682.58,820694.3200000001,0,396277.23,498039.85,574775.24,n.d.,7501.24,5625.929999999999,5907.31,826601.629,5625.929999999999,1593.929,n.d.,131061.40999999999,1626502.73,1626502.73,701705.5
