Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,379408.76,n.d.,1400146.77,1262328.38,33531.059,n.d.,n.d.,1094451.31,24649.58,11401.92,36051.5,n.d.,1094451.31,2448625.37,41107.14,n.d.,0,n.d.,113200,2520.44,113200.0,n.d.,0.0,1439027.31,n.d.,9504.2,n.d.,1,-36041.36,1429523.1090000002,305695.46,1186296.99,101798.08,0,11139.95,379408.76,11139.95,n.d.,11401.92,8881.48,11401.92,113200,8881.48,0.0,n.d.,305695.46,2839174.08,2839174.08,77158.64
2022,379408.76,n.d.,1469569.62,1262328.38,32889.119999999995,n.d.,n.d.,1107040.4,24649.58,10631.66,35281.24,n.d.,1107040.4,2439743.89,40882.51,n.d.,0,n.d.,103060,2392.12,103060.0,n.d.,0.0,1363676.89,n.d.,11405.02,n.d.,1,-26896.25,1352271.87,362529.218,1177415.51,92428.34,0,14093.86,379408.76,14093.86,n.d.,10631.66,8239.54,10631.66,103060,8239.54,0.0,n.d.,262529.218,2833246.51,2833246.51,76163.75
2021,379408.76,n.d.,1429372.28,1262328.38,27395.89,n.d.,n.d.,1084180.4,24649.58,3543.63,28193.21,n.d.,1084180.4,2431504.35,38038.53,n.d.,0,n.d.,95360,797.3199999999999,95360.0,n.d.,0.0,1388326.47,n.d.,13305.84,n.d.,1,-29128.260000000002,1375020.6300000001,345191.88,1169175.97,91816.37000000001,0,6785.64,379408.76,6785.64,n.d.,3543.63,2746.3100000000004,3543.63,95360,2746.3100000000004,0.0,n.d.,245191.88,2817698.75,2817698.75,66231.739
2020,379408.76,n.d.,1411258.79,1262328.38,26830.67,n.d.,n.d.,1052488.95,24649.58,3094.3500000000004,27743.93,n.d.,1052488.95,2428758.04,39617.13,n.d.,312.98999999999995,312.98999999999995,95360,633.22,95360.0,n.d.,32.95,1412976.05,n.d.,15206.66,n.d.,1,-27998.940000000002,1397769.3890000002,358769.83900000004,1166429.66,92265.65000000001,0,16068.04,379408.76,16068.04,n.d.,2814.3100000000004,2181.09,3094.3500000000004,95360,2181.09,-280.04,n.d.,258769.84,2824234.84,2824234.84,67394.01
2019,379408.76,n.d.,1388798.85,1262328.38,66779.52,n.d.,751.25,1023929.19,24649.58,54703.15,79352.73,n.d.,1023929.19,2426576.95,42225.47,n.d.,341.94,341.94,154000,12231.27,154000.0,n.d.,0.0,1437625.63,n.d.,17107.480000000003,n.d.,1,-32421.8,1420518.1500000001,364869.66,1164248.569,99296.85,0,19687.52,379408.76,20438.77,n.d.,54361.21,42129.94,54703.15,154000,42129.94,-341.94,n.d.,64869.66,2826424.48,2826424.48,121578.2
2018,380154.27,n.d.,1326093.63,1262328.38,68633.77,n.d.,9484.25,988771.88,22748.760000000002,60294.4,83043.16,n.d.,988771.88,2384447.01,38662.43,n.d.,1087.93,1087.93,154000,13321.46,154000.0,n.d.,0.0,1462275.21,n.d.,19008.3,n.d.,1,-32294.41,1443266.91,337321.75,1122118.63,93705.599,0,14283.31,380154.27,23767.56,n.d.,59206.47,45885.01,60294.4,154000,45885.01,-1087.93,n.d.,37321.75,2788368.84,2788368.84,121705.589
2017,389637.12,n.d.,1270196.1900000002,1262328.38,71097.7,n.d.,13997.17,943534.97,22748.760000000002,64028.43,86777.19,n.d.,943534.97,2338562.0,35502.350000000006,n.d.,1642.7,1642.7,150000,14036.79,150000.0,n.d.,0.0,1485023.97,n.d.,19008.3,n.d.,1,-27720.460000000003,1466015.6700000002,326661.22000000003,1076233.62,85971.569,0,13023.87,389637.12,27021.04,n.d.,62385.73,48348.94,64028.43,150000,48348.94,-1642.7,n.d.,26661.22,2755220.16,2755220.16,122279.54
2016,394716.46,n.d.,1267736.8,1262328.38,229612.6,n.d.,9650.61,915449.02,22748.760000000002,271216.7,293965.46,n.d.,915449.02,2290213.06,41256.93,n.d.,1234.45,1234.45,n.d.,63368.41,375000.0,n.d.,250.0,1488764.47,n.d.,0.04,n.d.,1,-39777.61,1488764.43,352287.78,1027884.679,103783.3,0,61921.14,394716.46,71571.75,n.d.,270232.25,206863.84,271216.7,375000,206863.84,-984.45,n.d.,52287.78,2756501.27,2756501.27,335472.39
2015,428407.47,n.d.,1078180.28,1262328.38,238629.729,n.d.,9288.03,695250,38538.06,262941.4,301479.46,n.d.,695250,2083349.22,43294.03,n.d.,1667.99,1667.99,n.d.,62531.74,375000.0,n.d.,1350.0,1511513.23,n.d.,0.04,n.d.,1,-30226.51,1511513.1900000002,382930.28,821020.8400000001,112058.599,0,68648.79,428407.47,77936.82,n.d.,262623.40900000004,200091.669,262941.4,375000,200091.669,-317.98999999999995,n.d.,82930.28,2589693.51,2589693.51,346123.48900000006
2014,437652.83,n.d.,841625.1,1262328.38,318292.87,n.d.,8957.12,454808.86,179443.49,185698.44,365141.93000000005,n.d.,454808.86,1883257.55,48882.06,n.d.,1965.93,1965.93,n.d.,46283.13,375000.0,n.d.,1400.0,1550051.29,n.d.,16980.24,n.d.,1,39023.99,1533071.05,386816.24,620929.169,189301.55899999998,0,61808.89,437652.83,70766.01,n.d.,185132.51,138849.37999999998,185698.44,375000,138849.37999999998,-565.93,n.d.,86816.23999999999,2391676.39,2391676.39,415423.9900000001
