Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,193132.31,28276.37,85920.15000000001,36060.73,21060.04,152605.06,2673.3300000000004,84963.13,10962.26,19891.0,30853.26,957.02,57643.78,192140.03,108701.95,n.d.,6777.0,6777.0,341440.51,3016.22,353055.51,n.d.,0,407016.7,n.d.,406333.3,152605.06,3,-60895.24,683.4,n.d.,156079.3,180559.44999999998,0,76714.81,193132.31,107664.51,n.d.,13114.0,10097.78,19891.0,200450.44999999998,10097.78,-6777.0,n.d.,n.d.,492936.85,492936.85,139555.21000000002
2022,208269.39,84129.69,126912.36,36060.73,48394.539,247619.09,2916.36,108684.59,10708.28,50106.89,60815.17,1899.55,26454.449,182042.25,122205.93,n.d.,5916.26,5916.26,481253.09,6504.37,488453.09,n.d.,0,417978.96,n.d.,417295.56,247619.09,5,-57812.9,683.4,16328.220000000001,145981.52,190727.11000000002,0,67533.63,208269.39,154579.68,n.d.,44190.63,37686.259,50106.89,240834,37686.259,-5916.26,n.d.,16328.220000000001,544891.3200000001,544891.3200000001,183021.1
2021,164624.67,n.d.,299042.3,36060.73,-17610.93,152589.18,n.d.,281071.49000000005,6882.13,-19999.18,-13117.05,9795.26,290866.75,144355.99,104054.96,n.d.,4493.88,4493.88,291542.65,n.d.,297997.49000000005,n.d.,0,216343.09,n.d.,215659.69,152589.18,4,-54470.4,683.4,8175.55,108295.26,165407.49,0,206404.73,164624.67,206404.73,n.d.,-24493.06,-24493.06,-19999.18,145408.31,-24493.06,-4493.88,n.d.,8175.55,515385.39,515385.39,90937.91
2020,172993.41999999998,n.d.,332285.64,36060.73,n.d.,148849.34999999998,n.d.,274727.95,n.d.,25841.460000000003,25841.460000000003,9795.26,284523.21,168849.05,112516.13,n.d.,3314.51,3314.51,355124.28,n.d.,360587.58,n.d.,0,223225.22,n.d.,222541.82,148849.34999999998,4,-73380.64,683.4,47762.43,132788.31999999998,185896.77000000002,0,213668.39,172993.41999999998,213668.39,n.d.,22526.95,22526.95,25841.460000000003,211738.23,22526.95,-3314.51,n.d.,47762.43,555510.8600000001,555510.8600000001,138357.59
2019,87189.73,28554.38,253903.76,36060.73,n.d.,134111.97,n.d.,208403.27,n.d.,16850.05,16850.05,9795.26,189644.15,146322.1,101787.68,n.d.,3333.77,3333.77,297263.99000000005,n.d.,304150.83900000004,n.d.,0,223225.22,n.d.,222541.82,134111.97,3,-51401.14,683.4,35705.229999999996,110261.37,153188.81999999998,0,215062.77,87189.73,243617.15,n.d.,13516.28,13516.28,16850.05,170038.86899999998,13516.28,-3333.77,n.d.,35705.229999999996,477128.98,477128.98,118637.73
2018,89162.31,46464.86,266287.59,36060.73,n.d.,138709.01,n.d.,220678.49,n.d.,30174.71,30174.71,9795.26,184008.89,132805.81999999998,53920.18,n.d.,3600.8500000000004,3600.8500000000004,253021.77,n.d.,259704.169,n.d.,0,222851.71,n.d.,222541.82,138709.01,2,-36900.27,309.89,35813.840000000004,96745.089,90820.45,0,220706.31,89162.31,267171.169,n.d.,26573.86,26573.86,30174.71,120995.15900000001,26573.86,-3600.8500000000004,n.d.,35813.840000000004,489139.3,489139.3,84094.89
2017,195182.73,33295.53,373179.56,36060.73,-42447.380000000005,148490.68,2683.279,324669.81,15594.77,-54462.83,-38868.06,9795.26,301169.54,106231.96,180435.51,n.d.,3579.32,3579.32,341376.53,n.d.,343590.69,n.d.,0,219107.24,n.d.,219107.24,148490.68,2,-53532.56,n.d.,38714.49,70171.229,249562.84,0,254893.3,195182.73,290872.11,n.d.,-58042.15,-58042.15,-54462.83,195100.01,-58042.15,-3579.32,n.d.,38714.49,592286.8,592286.8,141567.44999999998
2016,203173.42,51510.810000000005,298600.62,36060.73,13138.66,160762.1,2683.279,234044.34,11732.77,6649.95,18382.72,19411.460000000003,201944.99,164274.11000000002,171482.08,n.d.,5244.06,5244.06,375690.97,n.d.,382324.73,n.d.,0,433019.06,n.d.,433019.06,160762.1,4,-31697.829999999998,n.d.,45144.82,128213.37900000002,214912.679,0,309978.06,203173.42,364172.15,n.d.,1405.89,1405.89,6649.95,221562.629,1405.89,-5244.06,n.d.,45144.82,731619.6799999999,731619.6799999999,189864.8
2015,210120.06,35789.189999999995,283468.08,36060.73,n.d.,149336.91,2683.279,214128.61,n.d.,20114.36,20114.36,29911.460000000003,208250.879,162868.22,151232.1,n.d.,5698.48,5698.48,356254.04,n.d.,356474.72000000003,n.d.,4.5,444751.83,n.d.,444751.83,149336.91,4,-35791.350000000006,n.d.,39428.01,126807.489,187023.449,0,316759.16,210120.06,355231.63,n.d.,14420.38,14420.38,20114.36,207137.80899999998,14420.38,-5693.98,n.d.,39428.01,728219.91,728219.91,171350.96
2014,216794.91,44493.659999999996,283108.04,36060.73,n.d.,142021.94,2683.279,224315.07,n.d.,32547.79,32547.79,29911.460000000003,209732.87,148447.84,139890.31,n.d.,6023.23,6023.23,345084.35,n.d.,345084.35,n.d.,23.88,444751.83,n.d.,444751.83,142021.94,4,-30624.309999999998,n.d.,28881.51,112387.109,170514.62,0,315440.18,216794.91,362617.12,n.d.,26548.44,26548.44,32547.79,203062.40899999999,26548.44,-5999.349,n.d.,28881.51,727859.87,727859.87,172461.97999999998
2013,223250.09,23177.38,252620.1,36060.73,23535.51,113191.98999999999,2683.279,185074.62,21540.829999999998,8797.54,30338.37,29911.460000000003,191808.699,121899.4,177758.17,n.d.,6824.320000000001,6824.320000000001,366474.42,n.d.,366474.42,n.d.,21.459999999999997,444751.83,n.d.,444751.83,113191.99,4,-45185.89,n.d.,37634.02,85838.66900000001,244484.88999999998,0,326361.78,223250.09,352222.44,n.d.,1994.68,1994.68,8797.54,253282.43,1994.68,-6802.860000000001,n.d.,37634.02,697371.93,697371.93,208118.0
2012,235863.55,35637.450000000004,295124.62,36060.73,n.d.,124498.03,n.d.,205147.75,n.d.,-42200.89,-42200.89,29911.460000000003,199421.76,119904.72,243692.24,n.d.,12608.35,12608.35,387343.51,n.d.,394918.09,n.d.,628.43,464764.56,n.d.,464764.56,124498.03,5,-68928.709,n.d.,60065.41,83843.989,312620.95,0,368483.46,235863.55,404120.91,n.d.,-54180.810000000005,-54180.810000000005,-42200.89,270420.06,-54180.810000000005,-11979.92,n.d.,60065.41,759889.1799999999,759889.1799999999,202119.78
2011,248404.03,42731.119999999995,224758.36,36060.73,n.d.,233563.86,n.d.,156522.43,n.d.,30080.61,30080.61,33234.949,147026.259,174085.53,273353.14,n.d.,3669.35,3669.35,541572.62,1488.12,549490.3500000001,n.d.,636.3599999999999,454178.4,n.d.,454178.4,233563.86,5,-12492.739000000001,n.d.,35000.98,138024.8,285845.88,0,213716.08,248404.03,256447.2,n.d.,27047.62,25559.5,30080.61,315926.49000000005,25559.5,-3032.99,n.d.,35000.98,678936.76,678936.76,304070.11
2010,116186.09,38002.33,168442.66,36060.73,n.d.,240104.13,n.d.,78599.18000000001,n.d.,-19721.94,-19721.94,37234.95,77831.799,148526.03,290590.48000000004,n.d.,1373.21,1373.21,519438.18,n.d.,539620.08,n.d.,0,346700.86,n.d.,346700.86,240104.13,8,-28647.41,n.d.,52608.53,112465.3,319237.889,0,212429.07,116186.09,250431.4,n.d.,-21095.15,-21095.15,-19721.94,299515.949,-21095.15,-1373.21,n.d.,52608.53,515143.52,515143.52,270868.54
2009,122300.56,90587.42,283195.48000000004,36060.73,n.d.,345957.35,n.d.,129958.26,n.d.,12738.51,12738.51,37234.95,76605.79,169621.18,269415.59,n.d.,7948.33,7948.33,601291.2699999999,1197.55,628111.4500000001,n.d.,0,346700.86,n.d.,346700.86,345957.35,10,n.d.,n.d.,116002.27,133560.44999999998,269415.59,0,247387.18,122300.56,337974.6,n.d.,4790.18,3592.63,12738.51,282154.1,3592.63,-7948.33,n.d.,116002.27,629896.3400000001,629896.3400000001,282154.1
2008,109274.07,43642.05,211365.07,36060.73,n.d.,345450.91000000003,n.d.,34276.65,n.d.,21291.83,21291.83,37234.95,27869.55,166028.55,306582.75,n.d.,1235.64,1235.64,700559.07,5014.09,706186.769,n.d.,0.16,327511.88,n.d.,327511.88,345450.91000000003,10,-32861.28,n.d.,139853.47,129967.819,339444.03,0,219932.28,109274.07,263574.33,n.d.,20056.35,15042.259,21291.83,360735.859,15042.259,-1235.48,n.d.,139853.47,538876.9500000001,538876.9500000001,327874.74
2007,9449.71,n.d.,691708.69,36060.73,n.d.,n.d.,n.d.,485447.27,n.d.,17212.02,17212.02,62234.95,547682.22,150986.29,301511.99000000005,n.d.,1930.51,1930.51,868149.1,3820.38,874110.01,n.d.,n.d.,115545.54,n.d.,115545.54,533339.76,11,n.d.,0,144026.46899999998,114925.56,n.d.,n.d.,646818.23,9449.71,646818.23,n.d.,15281.51,11461.13,17212.02,n.d.,11461.13,-1930.51,n.d.,144026.47,807254.23,807254.23,318724.01
2006,23016.37,n.d.,496986.75,36060.73,31659.358,n.d.,n.d.,337874.09,16554.527000000002,23771.0,40325.528,62234.95,400109.04,139525.16,254525.78,n.d.,2192.67,2192.67,762300.24,6473.5,762668.8300000001,n.d.,n.d.,111615.92,n.d.,111615.92,404597.41,10,n.d.,0,96877.709,103464.43,n.d.,n.d.,446061.14,23016.37,446061.14,n.d.,21578.33,15104.83,23771.0,n.d.,15104.83,-2192.67,n.d.,96877.70999999999,608602.6699999999,608602.6699999999,294851.307
2005,9846.55,n.d.,372513.41,36060.73,32985.989,n.d.,n.d.,209611.79,11993.220000000001,32054.87,44048.09,85408.45999999999,295020.25,124420.33,260194.78,n.d.,1683.26,1683.26,765571.42,9378.84,766113.3600000001,n.d.,n.d.,99720.08,n.d.,99720.08,390048.43000000005,10,n.d.,0,77493.15900000001,88359.6,n.d.,n.d.,337966.61,9846.55,337966.61,n.d.,30371.61,20992.77,32054.87,n.d.,20992.77,-1683.26,n.d.,77493.16,472233.4900000001,472233.4900000001,304242.87
2004,30977.33,n.d.,256822.72,36060.73,29613.07,n.d.,n.d.,140100.23,9982.869999999999,30601.86,40584.73,5408.46,145508.69,103427.56,264568.69,n.d.,2558.71,2558.71,822093.21,8412.949999999999,826370.7699999999,n.d.,n.d.,110672.86,n.d.,110672.86,412174.87,9,n.d.,0,111314.03,67366.82900000001,n.d.,n.d.,233090.69,30977.33,233090.69,n.d.,28043.15,19630.2,30601.86,n.d.,19630.2,-2558.71,n.d.,111314.03,367495.58,367495.58,305153.42000000004
