Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,269465.03,n.d.,226461.69,6911.5,n.d.,-7368.660000000001,2392.48,n.d.,n.d.,1383.63,1383.63,226461.69,226461.69,144234.97999999998,n.d.,n.d.,1383.63,1383.63,n.d.,n.d.,n.d.,n.d.,0.0,190328.67,n.d.,6437.09,n.d.,n.d.,-5985.03,183891.58,n.d.,137323.479,5985.03,0,697.87,269465.03,3090.3500000000004,n.d.,n.d.,n.d.,1383.63,7368.660000000001,n.d.,-1383.63,n.d.,n.d.,416790.36,416790.36,1383.63
2022,266109.93000000005,n.d.,222626.16,6911.5,n.d.,-10472.369999999999,2266.59,3213.2,n.d.,1975.31,1975.31,219093.03,222306.23,144234.97999999998,n.d.,n.d.,1975.31,1975.31,n.d.,n.d.,n.d.,n.d.,0.0,190328.67,n.d.,6437.09,n.d.,n.d.,-8497.06,183891.58,319.92999999999995,137323.479,8497.06,0,343.33,266109.93000000005,2609.92,n.d.,n.d.,n.d.,1975.31,10472.369999999999,n.d.,-1975.31,n.d.,319.92999999999995,412954.83,412954.83,1975.31
2021,354400.3,n.d.,224033.8,6911.5,n.d.,-15610,3959.88,15201.65,n.d.,1870.42,1870.42,208620.66,223822.31,144234.97999999998,2415.7799999999997,n.d.,1870.42,1870.42,n.d.,n.d.,n.d.,n.d.,0.0,280566.04,n.d.,6437.09,3172.61,n.d.,-11323.8,274128.949,211.49,137323.479,13739.58,0,2004.68,354400.3,5964.56,n.d.,n.d.,n.d.,1870.42,15610,n.d.,-1870.42,n.d.,211.49,504599.84,504599.84,4286.2
2020,362358.07,2160.27,240147.15,6911.5,-52314.56,24271.75,4805.4,45460.7,1706.44,-68711.53,-67005.09,189838.05,233138.48,144234.97999999998,79742.43,n.d.,3304.98,3304.98,59516.840000000004,-17988.99,59516.840000000004,n.d.,6.52,280410.64,n.d.,6437.09,24271.75,3,-22507.75,273973.55,4848.4,137323.479,103956.619,0,6999.07,362358.07,13964.740000000002,n.d.,-72009.98999999999,-54021,-68711.53,35245.09,-54021,-3298.46,n.d.,4848.4,520557.79,520557.79,12743.859
2019,219985.76,54265.47,254691.17,6911.5,-21456.69,226215.29,5025.01,62964.53,2521.75,-29436.38,-26914.63,191421.19,200120.25,198255.98,95582.06,n.d.,2549.72,2549.72,323265.28,-7992.81,323265.28,n.d.,14.85,262757.43000000005,n.d.,8143.53,226215.29,3,-28382.56,254613.9,305.45,191344.479,126486.37000000001,0,39916.380000000005,219985.76,99206.86,n.d.,-31971.25,-23978.440000000002,-29436.38,97049.98999999999,-23978.440000000002,-2534.8700000000003,n.d.,305.45,517448.6,517448.6,68682.28
2018,143821.96,20210.55,215160.35,6911.5,n.d.,56048.450000000004,4340.08,11785.2,n.d.,3041.75,3041.75,189838.05,181412.7,222234.42,81593.65000000001,n.d.,2466.98,2466.98,170878.01,143.93,170878.01,n.d.,0.93,259179.81,n.d.,10665.28,82958.93,3,-30194.16,248514.53,13537.1,215322.919,111787.81,0,83733.15000000001,143821.96,108283.78,n.d.,575.7,431.77,3041.75,114829.56,431.77,-2466.05,n.d.,13537.1,474340.16,474340.16,84636.32900000001
2017,138701.62,9447.58,186522.51,6911.5,n.d.,102636.04,3218.86,22184.16,n.d.,-17926.280000000002,-17926.280000000002,162927.57,175664.15,221802.65,81083.48,n.d.,2280.46,2280.46,163617.37999999998,-5051.68,194043.21000000002,n.d.,0.03,229634.8,n.d.,n.d.,102636.04,4,-28249.97,229634.8,1410.78,214891.15,109333.45,0,42986.6,138701.62,55653.04,n.d.,-20206.71,-15155.029,-17926.280000000002,91407.17000000001,-15155.029,-2280.4300000000003,n.d.,1410.78,416157.31,416157.31,63157.22899999999
2016,110678.79,67216.57,277207.02,6911.5,n.d.,177958.97,1782.79,74358.75,n.d.,3256.68,3256.68,180901.74,188043.919,236957.68,78425.8,n.d.,2634.75,2634.75,293499.45,155.48000000000002,293499.45,n.d.,0.0,206940.05,n.d.,n.d.,177958.97,3,-33858,206940.05,21946.53,230046.18,112283.8,0,67511.23999999999,110678.79,136510.6,n.d.,621.93,466.449,3256.68,115540.48,466.449,-2634.75,n.d.,11878.2,484147.07,484147.07,81682.48
2015,108461.28,38387.8,263783.77,6911.5,n.d.,207265.76,1713.12,61888.11,n.d.,-5783.26,-5783.26,180901.74,204402.05,236491.23,79975.02,n.d.,2589.55,2589.55,278785.99000000005,-2093.15,279285.99000000005,n.d.,0.21,198888.07,n.d.,n.d.,207265.76,3,2171.529,198888.07,20993.920000000002,229579.729,77803.48999999999,0,77618.40999999999,108461.28,117719.33,n.d.,-8372.6,-6279.45,-5783.26,72020.229,-6279.45,-2589.34,n.d.,8534.06,462671.84,462671.84,74191.97
2014,41812.03,20645.940000000002,259972.63,6911.5,n.d.,195430.05,1645.43,32714.329999999998,n.d.,-30613.29,-30613.29,186913.74,198982.13,242770.68,80450.75,n.d.,2213.71,2213.71,265327,-8206.740000000002,265927,n.d.,0.05,187925.83,n.d.,n.d.,195430.05,4,-20659.489,187925.83,40344.56,235859.18,101110.239,0,141024.37999999998,41812.03,163315.75,n.d.,-32826.949,-24620.209,-30613.29,70496.95,-24620.209,-2213.66,n.d.,3797.51,447898.46,447898.46,49837.511
2013,43854.9,28291.32,309117.16,6911.5,-61587.7,128803.7,1183.51,27622.05,981.2800000000001,-81296.14,-80314.86,276166.86,275497.58900000004,267390.89,96677.93999999999,n.d.,2129.17,2129.17,184300.13,-20856.329999999998,185289.76,n.d.,0.0,174538.33,n.d.,n.d.,128803.7,5,-40122.979,174538.33,5328.25,260479.389,137782.2,0,142934.87,43854.9,172409.7,n.d.,-83425.31,-62568.979,-81296.14,56486.06,-62568.979,-2129.17,n.d.,5328.25,483655.4900000001,483655.4900000001,16363.08
2012,46174.11,38069.49,391691.07,6911.5,-342870.47000000003,1901605.07,n.d.,51008.06,153.4,-417743.29,-417589.889,311806.34,324744.91000000003,329959.63,115859.58,n.d.,39621.87,39621.87,1398272.4,-114341.29,1422373.6800000002,n.d.,0.0,142531.99,210.33,770.9499999999999,1901605.07,5,177501.08,141550.71000000002,28876.67,323048.13,-61488.1,0,120019.83,46174.11,158089.31999999998,n.d.,-457365.16,-343023.87,-417743.29,-479231.39,-343023.87,-39621.87,n.d.,28876.67,534223.06,534223.06,-301730.309
2011,1736480.47,49394.82,2183381.89,6911.5,3874.79,304535.27,1152.83,65561.539,1618.6799999999998,51458.72,53077.4,2112621.0,2128787.719,330799.44,215188.67,n.d.,48455.58,48455.58,622086.3200000001,752.04,628020.419,n.d.,5.01,1134.6799999999998,210.33,924.3499999999999,224368.99,8,-55219.08,n.d.,5199.35,323887.94,272026.43000000005,0,66689.009,1736480.47,117236.66,n.d.,3008.15,2256.11,51458.72,323485.149,2256.11,-48450.57,n.d.,5199.35,2184516.57,2184516.57,268271.08
2010,1702893.6900000002,52536.6,2300185.82,6911.5,8090.099,956815.93,31548.36,60759.42,4077.9900000000002,53026.46,57104.45,2192787.2800000003,2201010.099,328543.33,162420.91999999998,n.d.,47762.65,47762.65,1243428.49,1337.37,1246805.41,n.d.,85.66999999999999,2047.36,210.33,1837.03,956815.93,7,-70464.11,n.d.,46639.119999999995,321631.829,236963.02,0,186711.2,1702893.6900000002,270796.16,n.d.,5349.48,4012.109,53026.46,289989.47900000005,4012.109,-47676.98,n.d.,46639.119999999995,2302233.18,2302233.18,219611.04
2009,1462620.49,213530.07,3250463.33,6911.5,10144.43,779018.4600000001,1053520.04,262126.08,6888.650000000001,57007.61,63896.26,2961268.76,3009864.77,324531.22000000003,288171.24,n.d.,53353.05,53353.05,1210334.81,1085.26,1221387.56,n.d.,686.48,6125.35,277.09,5848.26,1153955.46,11,-90301.599,n.d.,27068.49,317619.72000000003,385361.49000000005,0,202386.86,1462620.49,1469436.97,n.d.,4341.04,3255.779,57007.61,442369.1,3255.779,-52666.57,n.d.,27068.49,3256588.68,3256588.68,352753.98000000004
2008,1314149.1700000002,111904.09,3574383.98,6911.5,9282.94,155057.37,265898.39900000003,957017.54,8308.66,66644.35,74953.01,2595421.76,3440535.21,321275.44,364101.21,n.d.,65364.880000000005,65360.66,665862.25,324.76,666859.71,n.d.,19.57,12949.0,554.1700000000001,12394.83,459559.37,15,-72748.12000000001,n.d.,21944.68,314363.94,445157.99000000005,0,1574105.88,1314149.1700000002,1951908.37,n.d.,1299.04,974.2800000000001,66644.35,511802.33900000004,974.2800000000001,-65345.310000000005,n.d.,21944.68,3587332.98,3587332.98,439069.569
2007,1236207.91,n.d.,2164381.67,6911.5,20509.01,n.d.,n.d.,n.d.,7733.26,20318.15,28051.41,2164342.93,2164342.93,320301.16,318699.39,30.01,3465.5,3465.5,837849.03,4258.59,837849.03,192.46,19.24,20633.66,10359.09,10274.57,436049.33,15,n.d.,0,38.74,313389.66,n.d.,n.d.,628506.26,1236207.91,628506.26,n.d.,16871.89,12613.3,20318.15,n.d.,12775.75,-3446.26,162.45000000000002,n.d.,2185015.33,2185015.33,346932.49000000005
2006,678995.8400000001,n.d.,2707569.89,6911.5,26306.480000000003,n.d.,n.d.,1014149.01,8626.08,34122.04,42748.12,1570173.6800000002,2584322.69,307525.41000000003,342845.78,219.7,9385.43,9385.43,1185974.53,7577.31,1185974.53,725.09,15.71,25232.7,18105.4,7127.3,713551.3200000001,15,n.d.,0,123247.2,300613.91000000003,n.d.,n.d.,1746281.34,678995.8400000001,1746281.34,n.d.,24752.32,17175.01,34122.04,n.d.,17680.4,-9369.72,505.39,122643.20999999999,2732802.59,2732802.59,386115.0
2005,58727.28,n.d.,925528.49,6911.5,41627.11,n.d.,n.d.,359176.55,11158.640000000001,65445.02,76603.66,555207.8600000001,914384.409,289845.01,340451.33,365.1,21770.2,21770.2,2570698.66,13057.91,2570698.66,192.66,24.0,36562.74,23312.829999999998,10545.949999999999,2055536.35,19,n.d.,2703.9590000000003,11144.08,282933.51,n.d.,n.d.,613518.9400000001,58727.28,613518.9400000001,n.d.,43698.82,30640.91,65445.02,n.d.,30468.47,-21746.2,-172.44,9827.640000000001,962091.23,962091.23,416906.55
2004,49434.95,n.d.,1662368.52,6911.5,23670.93,n.d.,n.d.,407298.42000000004,9304.83,22156.92,31461.75,1215359.38,1622657.799,259376.54,345870.73000000004,0.77,1748.02,1748.02,840158.16,6156.9,840158.16,90.17999999999999,24.69,43553.86,28658.64,12191.26,383449.27,19,n.d.,2703.96,39710.719999999994,252465.04,n.d.,n.d.,1397110.89,49434.95,1397110.89,n.d.,20433.59,14276.69,22156.92,n.d.,14366.1,-1723.33,89.41000000000001,37362.03,1705922.38,1705922.38,377446.58
2003,43147.14,n.d.,710182.71,6911.5,33724.340000000004,n.d.,n.d.,192575.44,11795.859999999999,33714.11,45509.97,474998.15,667573.59,245010.44,298309.48000000004,44.4,2837.75,2837.75,1216311.21,9397.92,1216311.21,308.14000000000004,186.3,29635.64,12750.04,14181.640000000001,799726.74,15,n.d.,2703.9590000000003,42609.119999999995,238098.94,n.d.,n.d.,451660.77,43147.14,451660.77,n.d.,31062.66,21664.738999999998,33714.11,n.d.,21928.480000000003,-2651.4500000000003,263.74,41294.83,739818.3500000001,739818.3500000001,344269.49000000005
2002,53141.69,n.d.,561408.75,6911.5,28596.68,n.d.,n.d.,138019.99,9035.11,31197.51,40232.619,402412.6,540432.59,223081.96,307483.05,270.95,3528.4700000000003,3528.4700000000003,1147605.44,8383.53,1147605.44,100.11999999999999,446.89,37036.78999999999,13473.48,23563.309999999998,738010.98,17,n.d.,0,20976.16,216170.46,n.d.,n.d.,322221.89,53141.69,322221.89,n.d.,28115.93,19732.4,31197.51,n.d.,19561.57,-3081.58,-170.829,18905.329999999998,598445.54,598445.54,347991.72900000005
2001,105657.93,n.d.,562320.57,6911.5,21666.480000000003,n.d.,n.d.,94194.64,7203.2,27787.17,34990.369,423405.37,517600.01,203520.41,266380.22900000005,33.27,7466.9,7466.9,718866.03,6198.54,718866.03,n.d.,374.82,27402.25,6423.14,20979.109999999997,359946.4,16,n.d.,0,44720.559,196608.91,n.d.,n.d.,280544.48000000004,105657.93,280544.48000000004,n.d.,20695.09,14496.55,27787.17,n.d.,14463.28,-7092.08,-33.27,44645.94,589722.8200000001,589722.8200000001,301712.149
2000,58823.7,n.d.,347719.56,6010.120000000001,23340.14,n.d.,n.d.,57801.71,7047.53,31456.53,38504.06,225139.8,282941.51,188155.61,234989.25,0.04,8972.33,8972.33,1127958.02,6982.55,1127958.02,218.84,572.16,25082.57,10888.04,14194.54,787849.81,15,n.d.,-0.01,64778.05,182145.49,n.d.,n.d.,125822.83,58823.7,125822.83,n.d.,23056.36,16073.81,31456.53,n.d.,16292.61,-8400.17,218.8,64460.380000000005,372802.13,372802.13,274284.27
1999,80161.62000000001,n.d.,394759.42,6010.120000000001,19637.05,n.d.,n.d.,38607.310000000005,6982.469999999999,28573.89,35556.36,332526.26,371133.57,171862.99,220977.77000000002,22.06,10556.25,10556.25,767615.71,5423.39,767615.71,12.82,69.57,27845.95,13429.8,14416.15,471006,14,n.d.,0,23625.849,165852.87,n.d.,n.d.,170580.76,80161.62000000001,170580.76,n.d.,18087.21,12663.82,28573.89,n.d.,12654.58,-10486.68,-9.238999999999999,22770.980000000003,422605.38,422605.38,256594.46
