Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,563306.669,n.d.,34882.56,2123212.799,87721.099,n.d.,59942.380000000005,18938.62,82030.01,20745.0,102775.01,n.d.,18938.62,2682015.93,32852.51,n.d.,13156.88,13156.88,209802.19,1897.03,209802.19,n.d.,0,3347787.18,n.d.,34996.189999999995,n.d.,2.0,-74174.67000000001,3312790.99,15943.94,558803.13,189057.19,21512.5,55892.259999999995,584819.1699999999,115834.64,n.d.,7588.120000000001,5691.09,20745.0,209802.19,5691.09,-13156.88,n.d.,15943.94,3382669.74,3382669.74,135627.52
2022,621813.56,1859.75,37768.06,2123212.799,72929.459,n.d.,71766.42,17973.52,70758.4,15736.73,86495.12900000002,n.d.,16113.77,2676324.84,32157.8,n.d.,12841.99,12841.99,198075.52,723.6800000000001,198075.52,n.d.,0,3393391.12,n.d.,39512.68,n.d.,2.0,-79422.59,3353878.44,19794.54,553112.04,182338.79,24273.99,35120.619,646087.55,108746.79,n.d.,2894.74,2171.06,15736.73,198075.52,2171.06,-12841.99,n.d.,19794.54,3431159.18,3431159.18,118652.93
2021,707076.2699999999,n.d.,50145.03,2123212.799,67592.33,n.d.,88471.17000000001,27252.73,63529.34,18279.97,81809.31,n.d.,27252.73,2674153.7800000003,31207.61,n.d.,12862.67,12862.67,198470.75,1354.31,198470.75,n.d.,0,3464149.52,n.d.,44088.33,n.d.,2.0,-85453.83,3420061.19,22892.3,550940.98,180190.78,27035.480000000003,17557.85,734111.75,106029.02,n.d.,5417.3,4062.99,18279.97,198470.75,4062.99,-12862.67,n.d.,22892.3,3514294.55,3514294.55,113016.92
2020,645547.53,n.d.,80196.93999999999,2123212.799,38948.619,n.d.,87031.73999999999,64439.54,51197.46,-3734.24,47463.22,n.d.,64439.54,2670090.79,31330.08,n.d.,12597.55,12597.55,181177.74000000002,-4082.9500000000003,181177.74,n.d.,0,3362935.81,n.d.,48859.11,n.d.,1.0,-102384.43999999999,3314076.7,15757.4,546877.99,184911.97999999998,29796.97,10665.720000000001,675344.5,97697.45999999999,n.d.,-16331.79,-12248.84,-3734.24,181177.74000000002,-12248.84,-12597.55,n.d.,15757.4,3443132.75,3443132.75,78793.3
2019,680242.4400000001,n.d.,233534.6,2123212.799,92788.96,n.d.,85616.27,46174.28999999999,68466.33,52007.77,120474.1,n.d.,46174.28999999999,2682339.63,29952.25,n.d.,19562.480000000003,19562.480000000003,n.d.,8122.660000000001,228464.35,n.d.,0,3386727.25,n.d.,49677.06,n.d.,1.0,-78038,3337050.19,187360.31,559126.8300000001,176456.58,32558.460000000003,139505.05,712800.9,225121.31999999998,n.d.,32445.29,24322.63,52007.77,228464.34999999998,24322.63,-19562.480000000003,n.d.,187360.31,3620261.85,3620261.85,150426.34999999998
2018,742802.3300000001,n.d.,101559.61,2123212.799,55339.909,n.d.,55439.340000000004,44395.89,48876.56,23863.89,72740.45,n.d.,44395.89,2658017.0,31330.08,n.d.,15615.52,15615.52,n.d.,1785.02,166032.66,n.d.,0,3460554.73,n.d.,54265.33,n.d.,2.0,-61962.13,3406289.4,57163.72,534804.2,142168.77000000002,29796.95,76058.72,772599.2799999999,131498.06,n.d.,8248.369999999999,6463.35,23863.89,166032.66,6463.35,-15615.52,n.d.,57163.72,3562114.34,3562114.34,104070.53
2017,249643.67,581.14,111393.04,2123212.799,21915.21,n.d.,n.d.,28457.18,30192.83,1024.9,31217.73,n.d.,27876.04,2652661.95,31330.08,n.d.,12207.93,12207.93,n.d.,-2905.4100000000003,103440.58,n.d.,0,2910242.22,n.d.,58907.880000000005,n.d.,2.0,-40892.77,2851334.34,82935.86,529449.15,102415.68000000001,27035.440000000002,91713.06,276679.11,92294.2,n.d.,-11183.03,-8277.62,1024.9,103440.58,-8277.62,-12207.93,n.d.,82935.86,3021635.26,3021635.26,62547.810000000005
2016,308495.51,551.47,43055.14,1923200.0,162353.74000000002,n.d.,n.d.,12358.51,53988.12,155531.33,209519.449,n.d.,11807.04,2461365.39,29121.31,n.d.,11043.83,11043.83,n.d.,36121.880000000005,112547.38,n.d.,0,2834816.53,n.d.,42749.62,n.d.,2.0,126093.37900000002,2792066.91,30696.63,538165.39,-42983.949,24273.93,83185.37000000001,332769.44,83736.84,n.d.,144487.5,108365.62,155531.33,112547.38,108365.62,-11043.83,n.d.,30696.63,2877871.67,2877871.67,238640.759
2015,335377.07,n.d.,77935.48999999999,1923200.0,-76560.35900000001,n.d.,n.d.,41170.92,52391.65,-92766.33,-40374.68,n.d.,41170.92,2352999.77,23945.16,n.d.,12917.68,12917.68,n.d.,23268,151146.49,n.d.,0,2695731.93,n.d.,37789.61,n.d.,2.0,-167576.01,2657942.32,36764.57,429799.77,243912.81999999998,21512.420000000002,63778.159999999996,356889.49000000005,63778.159999999996,n.d.,-105684.01,-128952.01,-92766.33,151146.49,-128952.01,-12917.68,n.d.,36764.57,2773667.42,2773667.42,-16429.518999999997
2014,395554.37,n.d.,78690.09,1923200.0,64099.659,n.d.,n.d.,38372.380000000005,49817.95,33908.17,83726.12000000001,n.d.,38372.380000000005,2481951.7800000003,23799.72,n.d.,14865.88,14865.88,n.d.,4760.58,153212.77000000002,n.d.,0,2880722.77,n.d.,42488.310000000005,n.d.,2.0,-45686.93,2838234.46,40317.71,558751.7799999999,119304.599,18750.93,63155.78,414305.3,63155.78,n.d.,19042.29,14281.71,33908.17,153212.77000000002,14281.71,-14865.88,n.d.,40317.71,2959412.86,2959412.86,107525.84
