Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,93359.4,n.d.,18238.32,12741.2,257419.72,n.d.,61423.759999999995,n.d.,44278.78999999999,263056.28900000005,307335.078,n.d.,n.d.,1441322.45,n.d.,n.d.,12370.95,12370.949999999999,n.d.,58001.86,337922.88,n.d.,20457.45,1875252.22,n.d.,1031475.42,n.d.,n.d.,-30587.8,843776.8,18238.32,1428581.25,74866.59,0,297384.93000000005,93359.4,358808.69,n.d.,271142.79000000004,213140.93,263056.28900000005,337922.88,213140.93,8086.5,n.d.,15204,1893490.54,1893490.54,327792.52900000004
2022,193368.26,n.d.,8184.22,12741.2,241447.83,n.d.,59362.9,n.d.,51840.07,241370.11,293210.18,n.d.,n.d.,1228181.52,n.d.,n.d.,11065.67,11065.67,n.d.,57735.89,319397.76,n.d.,17039.21,1737359.53,n.d.,1075754.21,n.d.,n.d.,-26187.58,661605.3200000001,8184.219,1215440.32,78027.65000000001,0,264631.07,193368.26,323993.97000000003,n.d.,247343.65,189607.76,241370.11,319397.76,189607.76,5973.539,n.d.,5149.9,1745543.75,1745543.75,310249.39
2021,328441.46,n.d.,6342.610000000001,12741.2,219442.44999999998,n.d.,68302.05,n.d.,55441.54,215136.64,270578.18,n.d.,n.d.,1038573.76,n.d.,n.d.,14269.76,14269.76,n.d.,49512.97,299904,n.d.,12647,1640968.03,n.d.,1127594.28,n.d.,n.d.,-29325.82,513373.75,6342.610000000001,1025832.559,84767.36,0,211993.37,328441.46,280295.42000000004,n.d.,213513.88,164000.91,215136.64,299904,164000.91,-1622.76,n.d.,3308.29,1647310.64,1647310.64,283225.18
2020,597249.8200000001,n.d.,362273.69,12741.2,210061.72,n.d.,47027.11,n.d.,55441.54,217859.05,273300.58900000004,n.d.,n.d.,874572.8500000001,n.d.,n.d.,16551.93,16551.93,n.d.,46686.94,299904,n.d.,0,1196035.82,n.d.,1183035.82,n.d.,n.d.,-26603.41,13000,362273.69,861831.649,82044.95,0,39459.729999999996,597249.8200000001,86486.84,n.d.,201307.12,154620.18,217859.05,299904,154620.18,-16551.93,n.d.,3975.86,1558309.51,1558309.51,273300.59
2019,684634.57,n.d.,239631.42,12741.2,200631.33,n.d.,50370.09,n.d.,55037.52,208452.54,263490.06,n.d.,n.d.,719952.6699999999,n.d.,n.d.,20196.94,20196.940000000002,n.d.,42661.78999999999,297528,n.d.,0,1251477.36,n.d.,1238477.36,n.d.,n.d.,-34037.94,13000,239631.42,707211.47,89075.459,0,36151.450000000004,684634.57,86521.54,n.d.,188255.6,145593.81,208452.54,297528,145593.81,-20196.94,n.d.,5751.150000000001,1491108.78,1491108.78,263490.06
2018,784294.58,n.d.,180706.67,12741.2,225232.05,n.d.,4831.84,n.d.,49147.44,250755.06,299902.5,n.d.,n.d.,574358.8600000001,n.d.,n.d.,17988.84,17988.84,n.d.,56681.61,294000,n.d.,0,1293047.7,n.d.,1280047.7,n.d.,n.d.,5902.5,13000,180706.67,561617.659,43244.94,0,110269.09,784294.58,115100.93,n.d.,232766.22,176084.61000000002,250755.06,294000,176084.61000000002,-17988.84,n.d.,3908.12,1473754.37,1473754.37,299902.5
2017,893292.8300000001,n.d.,388350.12,12741.2,82814.02,n.d.,n.d.,n.d.,22416.109999999997,101224.85,123640.96,n.d.,n.d.,398274.25,n.d.,n.d.,20694.3,20694.3,n.d.,20132.64,211200,n.d.,0,946269.05,n.d.,933269.05,n.d.,n.d.,-87559.039,13000,388350.12,385533.05,109975.149,0,43052.09,893292.8300000001,43052.09,n.d.,80530.55,60397.91,101224.85,211200,60397.91,-20694.3,n.d.,294933.78,1334619.1700000002,1334619.1700000002,123640.96
2016,582937.3400000001,n.d.,7821.48,12741.2,58816.65,n.d.,n.d.,n.d.,22416.109999999997,67311.06,89727.17000000001,n.d.,n.d.,337876.34,n.d.,n.d.,18777.01,18777.01,n.d.,12133.51,156284.52,n.d.,0,955685.16,n.d.,955685.16,n.d.,n.d.,-66557.35,n.d.,7821.48,325135.139,88973.45999999999,0,42692.96,582937.3400000001,42692.96,n.d.,48534.05,36400.54,67311.06,156284.52,36400.54,-18777.01,n.d.,5787.160000000001,963506.64,963506.64,89727.17000000001
2015,638584.56,n.d.,7945.46,12741.2,38781.159999999996,n.d.,n.d.,n.d.,34783.58,28952.0,63735.58,n.d.,n.d.,301475.8,n.d.,n.d.,23399.8,23399.8,n.d.,1554.62,156284.52,n.d.,0,978101.27,n.d.,978101.27,n.d.,n.d.,-92548.939,n.d.,7945.46,288734.6,127332.519,0,45986.37,638584.56,45986.37,n.d.,5552.2,3997.58,28952.0,156284.52,3997.58,-23399.8,n.d.,5911.14,986046.73,986046.73,63735.58
2014,646593.6699999999,n.d.,9744.61,12741.2,45288.6,n.d.,n.d.,n.d.,20658.57,54495.89,75154.459,n.d.,n.d.,297478.21,n.d.,n.d.,28403.61,28403.609999999997,n.d.,1462.25,156284.52,n.d.,0,980378.75,12353.33,968025.42,n.d.,n.d.,-81130.06,n.d.,9744.61,284737.01,101788.62900000002,0,46051.48,646593.6699999999,46051.48,n.d.,26092.28,24630.03,54495.89,156284.52,24630.03,-28403.61,n.d.,7710.29,990123.36,990123.36,75154.459
2013,706641.9500000001,n.d.,7369.95,12741.2,56102.63,n.d.,n.d.,n.d.,20658.54,72161.38,92819.92,n.d.,n.d.,272848.18,8481.34,n.d.,36817.28999999999,36817.28999999999,n.d.,n.d.,156284.52,n.d.,100,1001037.32,14922.61,986114.71,n.d.,n.d.,-54983.259999999995,n.d.,7369.95,260106.979,84123.14,0,28917.14,706641.9500000001,28917.14,n.d.,35444.09,35444.09,72161.38,156284.52,35444.09,-36717.28999999999,n.d.,5335.63,1008407.27,1008407.27,101401.26
2012,1122290.83,n.d.,57232.48,12020.0,38631.15,n.d.,n.d.,n.d.,21284.629999999997,65593.72,86878.35,n.d.,n.d.,-62595.91,n.d.,n.d.,48247.2,48247.2,n.d.,n.d.,151880,n.d.,0,1021695.86,17491.89,1004203.97,n.d.,n.d.,-65001.65,n.d.,57232.479,-74615.909,86286.28,0,19233.420000000002,1122290.83,19233.420000000002,n.d.,17346.52,17346.52,65593.72,151880,17346.52,-48247.2,n.d.,5198.160000000001,1078928.34,1078928.34,86878.35
2011,1154082.71,n.d.,50243.27,12020.0,41719.14,n.d.,n.d.,n.d.,21698.88,69514.70999999999,91213.59,n.d.,n.d.,-79942.43,n.d.,n.d.,49494.45,49494.450000000004,n.d.,n.d.,148320,n.d.,0,1042980.49,20122.72,1022857.77,n.d.,n.d.,-57106.41,n.d.,50243.27,-91962.43,78805.29,0,19083.480000000003,1154082.71,19083.480000000003,n.d.,20020.26,20020.26,69514.70999999999,148320,20020.26,-49494.45,n.d.,50243.27,1093223.76,1093223.76,91213.59
2010,1222049.26,n.d.,77915.39,12020.0,9431.57,n.d.,n.d.,2736.58,19405.89,39090.52,58496.409,n.d.,2736.58,-99962.46,n.d.,n.d.,49064.84,49064.840000000004,n.d.,n.d.,144000,n.d.,0,1064679.37,25692.7,1038986.67,n.d.,n.d.,-85503.59,n.d.,75178.81,-111982.459,104909.48,0,20507.960000000003,1222049.26,20507.960000000003,n.d.,-9974.32,-9974.32,39090.52,144000,-9974.32,-49064.84,n.d.,75178.81,1142594.76,1142594.76,58496.409
2009,1209110.44,n.d.,85016.04,12020.0,n.d.,n.d.,n.d.,9496.8,n.d.,15702.0,15702.0,n.d.,9496.8,-89988.14,n.d.,n.d.,50840.22,50840.219999999994,n.d.,n.d.,n.d.,n.d.,0,1034106.26,25692.7,1008413.56,n.d.,n.d.,15702,n.d.,75519.23999999999,-102008.14,-15702,0,n.d.,1209110.44,n.d.,n.d.,-35138.219999999994,-35138.219999999994,15702.0,n.d.,-35138.219999999994,-50840.22,n.d.,75519.23999999999,1119122.3,1119122.3,15702.0
