Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,n.d.,318503.92000000004,1357426.79,63105.0,250596.67,3223672.07,n.d.,875143.09,37183.84,277182.08,314365.92000000004,215476.43,772115.6,1867886.93,372757.4,n.d.,0,n.d.,4096121.14,71070.95,4096121.14,n.d.,7301.7,942701.75,n.d.,419580.66,3223672.07,7.0,-185325.75,523121.09,266807.27,1804781.93,595266.989,0,113737.69,n.d.,432241.61,n.d.,284483.78,213412.83,277182.08,872449.07,213412.83,7301.7,n.d.,266807.27,2300128.54,2300128.54,694425.02
2022,n.d.,290135.42000000004,1137787.72,63105.0,224733.719,2765246.2,n.d.,838387.75,38974.310000000005,242246.27,281220.579,182103.08,730355.409,1654474.1,359554.77,n.d.,0,n.d.,3536796.63,61899.8,3539527.2800000003,n.d.,5412.94,896581.48,1326.97,398133.42,2765246.2,10.0,-133505.73,497121.09,117296.89,1591369.0990000002,532034.81,0,89759.68000000001,n.d.,379895.1,n.d.,247659.21,185759.409,242246.27,774281.0789999999,185759.409,5412.94,n.d.,117296.89,2034369.2,2034369.2,646188.2899999999
2021,n.d.,237434.58,1040183.14,63105.0,161861.37,2191265.88,n.d.,556743.61,32939.89,166909.57,199849.46,138917.44,458226.47,1468714.6900000002,319509.8,n.d.,0,n.d.,2825350.74,42973.83,2825350.74,n.d.,4985.74,733202.9600000001,6934.94,367646.93000000005,2191265.88,11.0,-114725.6,358621.09,344522.09,1405609.6900000002,467175.29000000004,0,67236.83,n.d.,304671.41000000003,n.d.,171895.31,128921.48,166909.57,634084.8600000001,128921.48,4985.74,n.d.,344522.09,1773386.1,1773386.1,524345.0
2020,n.d.,250122.5,849681.51,63105.0,112848.69,1822556.78,n.d.,312982.83,32142.84,107488.94,139631.78,102849.75,165710.08,1339793.21,314767.19,n.d.,0,n.d.,2369950.3,26901.95,2369950.3,n.d.,118.86,786394.09,5680.99,346409.52,1822556.78,7.0,-92994.55,434303.58,433848.93000000005,1276688.21,439904.58,0,46159.89,n.d.,296282.39,n.d.,107607.8,80705.85,107488.94,547393.519,80705.85,118.86,n.d.,433848.93000000005,1636075.6,1636075.6,454517.83
2019,n.d.,259489.51,1095033.62,63105.0,106607.52,2478102.75,n.d.,355840.15,33379.44,97637.44,131016.88,115680.41,212031.05,1259087.36,323947.75,n.d.,0,n.d.,3054884.57,24409.36,3054884.57,n.d.,0.0,481939.97,n.d.,377636.35,2478102.75,7.0,-121817.19,104303.62,623513.06,1195982.36,479144.38,0,58396.72,n.d.,317886.23000000004,n.d.,97637.44,73228.08,97637.44,576781.819,73228.08,0.0,n.d.,623513.06,1576973.59,1576973.59,454964.63
2018,n.d.,243694.55,995657.31,63105.0,97308.93,2364871.73,n.d.,490885.4900000001,35941.03,81720.84,117661.87,205874.93,453065.869,1185859.28,294687.26,n.d.,0,n.d.,2894853.68,20455.97,2894853.68,n.d.,103.03,483472.41,n.d.,409168.79,2364871.73,7.0,-117632.82,74303.62000000001,298896.89,1122754.278,448261.11,0,49575.89,n.d.,293270.44,n.d.,81823.87000000001,61367.899,81720.84,529981.9500000001,61367.899,103.03,n.d.,298896.89,1479129.72,1479129.72,412452.16
2017,n.d.,238967.99,919334.34,63105.0,89938.28,2344336.27,n.d.,362418.95,35384.11,71467.32,106851.43,310969.83,434420.79,1124491.38,248065.45,n.d.,0,n.d.,2799114.01,18184.72,2799114.01,n.d.,1271.57,496529.9,n.d.,421139.91,2344336.27,7.0,-99860.86,75389.98999999999,245945.56,1061386.3790000002,383310.42000000004,0,52404.87,n.d.,291372.86,n.d.,72738.89,54554.17,71467.32,454777.73900000006,54554.17,1271.57,n.d.,245945.56,1415864.24,1415864.24,356188.45
2016,n.d.,200564.16,851068.4400000001,63105.0,78863.18000000001,2282139.36,n.d.,288396.05,26316.44,68830.18000000001,95146.62,329955.43000000005,417787.319,1069937.21,218739.7,n.d.,0,n.d.,2695076.12,17515.58,2695076.12,n.d.,1232.14,477017.3,n.d.,401627.31,2282139.36,6.0,-99050.43999999999,75389.98999999999,232716.96,1006832.21,344106.58,0,57584.37,n.d.,258148.53,n.d.,70062.32,52546.74,68830.18000000001,412936.76,52546.74,1232.14,n.d.,232716.96,1328085.74,1328085.74,315118.46
2015,n.d.,262595.41900000005,867156.53,63105.0,77831.66,2186025.9899999998,n.d.,224373.41,32396.35,55586.3,87982.65000000001,381300.03,343078.021,1017390.47,206486.49,n.d.,0,n.d.,2575989.12,15145.1,2575989.12,n.d.,4994.110000000001,468312.74,n.d.,392922.75,2186025.99,6.0,-95493.98999999999,75389.98999999999,261483.09,954285.47,334376.83,0,55483.380000000005,n.d.,318078.8,n.d.,60580.41,45435.310000000005,55586.3,389963.129,45435.310000000005,4994.110000000001,n.d.,261483.09,1335469.27,1335469.27,299463.25
2014,n.d.,287996.8,818503.8400000001,63105.0,67059.239,2199891.2,n.d.,166089.12,26086.83,54593.27,80680.1,426357.6,304449.92000000004,971955.16,210802.37,n.d.,0,n.d.,2590722.74,13657.47,2590722.74,n.d.,36.61,471631.96,n.d.,396241.97,2199891.2,7.0,-99349.07,75389.98999999999,226057.12,908850.16,336238.27,0,30183.84,n.d.,318180.64,n.d.,54629.880000000005,40972.409,54593.27,390831.54,40972.409,36.61,n.d.,226057.12,1290135.8,1290135.8,291519.08
