Año,Acreedores a L. P.,Acreedores comerciales,Activo circulante,Capital suscrito,Cash flow,Consumo de mercaderías y de materias,Deudas financieras,Deudores,Dotaciones para amortiz. de inmovil.,EBIT,EBITDA,Existencias,Fondo de maniobra,Fondos propios,Gastos de personal,Gastos extraordinarios,Gastos financieros,Gastos financieros y gastos asimilados,Importe neto Cifra de Ventas,Impuestos sobre sociedades,Ingresos de explotación,Ingresos extraordinarios,Ingresos financieros,Inmovilizado,Inmovilizado inmaterial,Inmovilizado material,Materiales,Número empleados,Otros Conceptos de Explotación,Otros activos fijos,Otros activos líquidos,Otros fondos propios,Otros gastos de explotación,Otros pasivos fijos,Otros pasivos líquidos,Pasivo fijo,Pasivo líquido,Provisiones,Result. ordinarios antes Impuestos,Resultado Actividades Ordinarias,Resultado Explotación,Resultado bruto,Resultado del Ejercicio,Resultado financiero,Resultados actividades extraordinarias,Tesorería,Total activo,Total pasivo y capital propio,Valor agregado
2023,133715.98899999997,135623.88999999998,444382.8,116596.35,59461.4,869375.64,n.d.,370267.82,31883.07,41440.25,73323.32,67002.86,301646.79000000004,356062.83,402033.2,n.d.,5091.429999999999,5091.429999999999,1546187.59,8770.49,1549548.59,n.d.,0,243848.98,n.d.,195428.98,869375.64,7.0,-204816.43,48420.0,7112.120000000001,239466.479,638732.7,0,62829.07,133715.98899999997,198452.96,n.d.,36348.82,27578.33,41440.25,680172.9500000001,27578.33,-5091.429999999999,n.d.,7112.120000000001,688231.7799999999,688231.7799999999,475356.52
2022,66883.2,151485.31999999998,458267.12,116596.35,31340.92,714049.14,n.d.,229079.54,19730.86,17100.1,36830.96,89015.45,166609.669,328484.5,324016.63,n.d.,2119.38,2119.38,1242495.02,3370.66,1243705.1900000002,n.d.,0,137682.99,n.d.,134262.99,714049.14,7.0,-168808.46,3420.0,140172.13,211888.15,512555.95,0,49097.09,66883.2,200582.41,n.d.,14980.72,11610.06,17100.1,529656.049,11610.06,-2119.38,n.d.,140172.13,595950.11,595950.11,360847.589
2021,70844.20999999999,154654.01,452340.4,116596.35,43204.42,564411.54,n.d.,221985.88,20206.93,33259.92,53466.850000000006,83201.0,150532.87,316874.44,273904.84,n.d.,2544.05,2544.05,1056368.75,7718.38,1056368.75,n.d.,0,136894.84999999998,n.d.,133474.84999999998,564411.54,6.0,-164585.52,3420.0,147153.52,200278.09,458697.29000000004,0,46862.59,70844.20999999999,201516.6,n.d.,30715.87,22997.489,33259.92,491957.20900000003,22997.489,-2544.05,n.d.,146866.76,589235.25,589235.25,327371.69
2020,91706.41,142797.96,396450.98,116596.35,-2580.79,469229.01,n.d.,240686.96,19619.58,-27078.81,-7459.23,90517.0,188405.999,293876.95,259341.61,n.d.,2305.02,2305.02,869292.3200000001,-7183.46,873817.3200000001,n.d.,0,162834.83,n.d.,152231.37,464970.26,6.0,-152705.93,10603.46,65247.02,177280.6,431667.119,0,30904.49,91706.41,173702.44999999998,n.d.,-29383.83,-22200.37,-27078.81,404588.309,-22200.37,-2305.02,n.d.,65247.02,559285.81,559285.81,251882.379
2019,31049.15,134068.72,374280.0,116596.35,18546.03,438881.88,n.d.,253989.13,15065.95,7465.29,22531.24,100261.55,220181.96,316077.32,298913.64,n.d.,2974.8700000000003,2974.8700000000003,923800.85,1010.34,923800.85,n.d.,0,145144.43,n.d.,141724.43,443140.63,7.0,-163474.09,3420.0,20029.32,199480.97,477453.68,0,38229.24,31049.15,172297.96,n.d.,4490.42,3480.08,7465.29,484918.97000000003,3480.08,-2974.8700000000003,n.d.,20029.32,519424.43000000005,519424.43000000005,321444.88
2018,66726.009,104179.48,433647.97,116596.35,46995.91,379027.69,n.d.,292212.55,21738.63,37785.74,59524.369,97150.3,285183.37,312597.24,307125.08,n.d.,4063.35,4063.35,846252.81,8465.11,851093.48,n.d.,0,114873.31,n.d.,113053.31,379027.69,7.0,-105416.34,1820.0,44285.119999999995,196000.889,434280.05,0,65018.55,66726.009,169198.03,n.d.,33722.39,25257.28,37785.74,472065.79000000004,25257.28,-4063.35,n.d.,44056.729999999996,548521.2799999999,548521.2799999999,366649.45
2017,76355.14,92944.34,397540.72,116596.35,27175.4,323450.2,1841.35,275286.17,23256.24,9697.34,32953.58,122254.55,304596.38,287339.96,307474.17,n.d.,4638.37,4638.37,744411.1,1139.81,744411.1,n.d.,0,113598.15,n.d.,111778.15,323450.2,7.0,-80533.15000000001,1820.0,n.d.,170743.61000000002,411263.559,0,52658.08,76355.14,147443.77000000002,n.d.,5058.969999999999,3919.16,9697.34,420960.89900000003,3919.16,-4638.37,n.d.,n.d.,511138.87,511138.87,340427.749
2016,72861.09,115689.52,412738.53,116596.35,26867.92,339470.93000000005,2250.65,283171.26,21025.76,11663.14,32688.899,126342.85,293824.58900000004,283420.8,297939.07,n.d.,3960.41,3960.41,750176.03,1860.57,750176.03,n.d.,0,113049.54,n.d.,111229.54,337968.93000000005,7.0,-80077.13,1820.0,3224.42,166824.44999999998,399041.96,0,51566.01,72861.09,169506.18,n.d.,7702.73,5842.160000000001,11663.14,410705.1,5842.160000000001,-3960.41,n.d.,3224.42,525788.069,525788.069,330627.97000000003
2015,84412.28,75018.43,356122.27,116596.35,20906.51,270267.73000000004,n.d.,204366.95,17707.0,7155.31,24862.31,146662.2,276010.72000000003,277578.64,259857.66,n.d.,2981.0,2981.0,628685.65,974.8,628685.65,n.d.,0,115031.94,n.d.,113211.94,270566.73000000004,7.0,-73697.95,1820.0,5093.120000000001,160982.29,351262.61,0,34144.86,84412.28,109163.29,n.d.,4174.31,3199.51,7155.31,358417.92000000004,3199.51,-2981.0,n.d.,5093.120000000001,471154.21,471154.21,284719.97000000003
2014,43990.28,63610.1,337712.63,116596.35,20526.97,245490.29,15265.89,180603.8,17470.18,7592.14,25062.32,157021.2,274014.9,274379.12,248851.05,n.d.,3516.42,3516.42,596312.05,1018.93,596312.05,n.d.,0,97171.1,n.d.,95351.1,244223.29,7.0,-76908.39,1820.0,87.63,157782.77000000002,343229.62,0,37638.34,43990.28,116514.33,n.d.,4075.72,3056.79,7592.14,350821.76,3056.79,-3516.42,n.d.,n.d.,434883.73,434883.73,273913.37
2013,69246.84,76998.56,375433.35,116596.35,11826.26,226486.61000000002,n.d.,204609.15,10824.25,5975.38,16799.629999999997,170824.2,298434.79000000004,271322.33,245725.74,n.d.,4639.74,4639.74,579789.3600000001,334.01,579789.3600000001,n.d.,0.38000000000000006,114641.28,n.d.,112821.28,225369.61,7.0,-90777.37900000002,1820.0,n.d.,154725.97999999998,347327.37,0,72506.9,69246.84,149505.46,n.d.,1336.02,1002.01,5975.38,353302.75,1002.01,-4639.360000000001,n.d.,n.d.,490074.63,490074.63,262525.75
2012,94166.08,64245.159999999996,361586.58,116596.35,13322.94,179167.81,n.d.,181696.89,12849.84,7352.81,20202.65,179889.69,297341.42000000004,270320.32,271906.74,n.d.,6722.01,6722.01,549725.25,157.7,551225.25,n.d.,0,120867.19,n.d.,119047.19,174786.81,7.0,-79948.05,1820.0,n.d.,153723.97,364704.63,0,53722.21,94166.08,117967.37,n.d.,630.8,473.099,7352.81,372057.44,473.099,-6722.01,n.d.,n.d.,482453.77,482453.77,292109.39
2011,114909.71,85970.12000000001,403253.21,116596.35,19177.14,231637.19,5118.1900000000005,229675.52,18363.02,7320.660000000001,25683.68,173577.69,317283.08900000004,271347.22000000003,262588.659,n.d.,6235.160000000001,6235.160000000001,602813.65,271.38,602813.65,n.d.,0,133717.03,n.d.,131897.03,231575.19,7.0,-82904.12000000001,1820.0,n.d.,154750.87,363855.79900000006,0,59625.0,114909.71,150713.31,n.d.,1085.5,814.12,7320.660000000001,371176.46,814.12,-6235.160000000001,n.d.,n.d.,536970.24,536970.24,288272.33900000004
2010,135277.58,100788.02,401157.73,116596.35,21850.94,227677.16,10348.27,206893.5,21076.39,9264.34,30340.73,183093.04,289198.52,269033.1,255094.95,n.d.,8232.01,8232.01,595370.7799999999,258.19,595393.63,n.d.,0.41000000000000003,149599.54,n.d.,147779.54,226675.16,7.0,-82280.79,1820.0,11171.19,152436.75,358452.13,0,35310.3,135277.58,146446.59,n.d.,1032.74,774.55,9264.34,367716.47000000003,774.55,-8231.6,n.d.,11171.19,550757.2699999999,550757.2699999999,285436.09
2009,214560.49,71666.58,429056.63,116596.35,43082.59,277356.96,10349.2,228890.24,33045.259999999995,-42666.66,-9621.4,183969.72,341193.379,268258.55,252695.86,n.d.,12283.05,12283.05,601934.0,3345.78,602189.07,n.d.,68332.82,168757.83,n.d.,166937.83,267375.71,7.0,-81757.65000000001,1820.0,16196.67,151662.199,367498.76900000003,0,32979.64,214560.49,114995.42,n.d.,13383.11,10037.33,-42666.66,324832.109,10037.33,56049.77,n.d.,16196.67,597814.4600000001,597814.4600000001,311407.27900000004
2008,204858.79,61022.619999999995,435406.26,116596.35,41293.65,234514.74000000002,9725.710000000001,218383.86,49360.43,3249.22,52609.65,217022.4,374383.64,258221.22,260349.54,n.d.,14009.08,14009.08,630021.0,-2668.9300000000003,630043.8200000001,n.d.,24.150000000000002,204043.02,n.d.,199534.09,234527.99,10.0,-82569.89,4508.929999999999,n.d.,141624.87,392279.86,0,105620.94,204858.79,176369.27000000002,n.d.,-10735.71,-8066.778999999999,3249.22,395529.079,-8066.778999999999,-13984.93,n.d.,n.d.,639449.2799999999,639449.2799999999,312983.34
2007,244341.22,n.d.,470313.79,116596.35,56983.68,n.d.,n.d.,249715.11,47525.46,28543.7,76069.16,216519.3,466234.41,266288.0,244704.95,1051.77,14929.7,14929.7,694349.81,3152.74,694441.09,32.119,16.610000000000003,231849.53,47306.689999999995,182722.84,281980.23000000004,10.0,n.d.,1820.0,4079.38,149691.65,n.d.,n.d.,191534.1,244341.22,191534.1,n.d.,13630.61,10477.87,28543.7,n.d.,9458.22,-14913.09,-1019.651,n.d.,702163.3200000001,702163.3200000001,319771.07
2006,264624.26,n.d.,435519.85,116596.35,38813.72,n.d.,n.d.,180748.76,34766.87,15551.71,50318.58,252994.4,433743.16,256829.78,214029.91,2404.3100000000004,9884.76,9884.76,586037.87,1734.38,586129.21,2493.18,25.41,237454.99,27353.480000000003,208401.51,222083.33,9.0,n.d.,1699.999,1776.6889999999999,140233.43,n.d.,n.d.,151520.8,264624.26,151520.8,n.d.,5692.360000000001,3957.979,15551.71,n.d.,4046.85,-9859.35,88.869,n.d.,672974.8400000001,672974.8400000001,264462.77
2005,218741.25,n.d.,431883.46,116596.35,51758.03,n.d.,n.d.,156002.41999999998,44946.93,12147.98,57094.91,265523.0,421525.42,252782.93,176219.97,n.d.,10629.44,10629.44,587455.8200000001,2919.05,588170.159,8211.4,0.21000000000000002,150510.21000000002,20326.55,130183.66,243877.04,9.0,n.d.,0.0,10358.04,136186.58,n.d.,n.d.,110869.49,218741.25,110869.49,n.d.,1518.75,-1400.3,12147.98,n.d.,6811.1,-10629.23,8211.4,10140.7,582393.6699999999,582393.6699999999,241526.49
2004,278225.74,n.d.,494892.98,116596.35,43491.83,n.d.,n.d.,178505.38999999998,41737.83,-25649.64,16088.19,315420.0,493925.39,245971.83,203599.07,526.3599999999999,12460.27,12460.27,776497.88,751.71,777019.9500000001,41141.98,n.d.,169206.97999999998,24631.17,143958.96,486300.19,12.0,n.d.,616.8499999999999,967.589,129375.479,n.d.,n.d.,139902.38899999997,278225.74,139902.38899999997,n.d.,-38109.91,-38861.62,-25649.64,n.d.,1754.0,-12460.27,40615.619999999995,321.72999999999996,664099.9600000001,664099.9600000001,260302.879
2003,224667.06,n.d.,510934.54,116596.35,26554.41,n.d.,n.d.,155991.38999999998,24862.83,13614.59,38477.42,340480.0,496471.39,244217.83,200205.23,976.13,10916.25,10916.25,766058.9400000001,724.9599999999999,766581.009,694.3299999999999,n.d.,184798.19,n.d.,184798.19,459672.01,12.0,n.d.,0.0,14463.149000000001,127621.479,n.d.,n.d.,226847.838,224667.06,226847.838,n.d.,2698.34,1973.38,13614.59,n.d.,1691.58,-10916.25,-281.799,14459.42,695732.73,695732.73,238400.85
2002,205688.18,n.d.,516841.75,116596.35,55021.43,n.d.,n.d.,181559.09,51911.58,18483.44,70395.02,326432.35,507991.4390000001,242526.25,187456.19,0.8300000000000001,15039.97,15039.97,779433.2899999999,1332.79,779955.3600000001,1000,n.d.,207834.2,9913.16,197260.89,450877.83,12.0,n.d.,660.149,8850.31,125929.9,n.d.,n.d.,276461.52,205688.18,276461.52,n.d.,3443.4700000000003,2110.68,18483.44,n.d.,3109.8500000000004,-15039.97,999.1700000000001,3184.52,724675.9500000001,724675.9500000001,258850.38
2001,108991.3,n.d.,473271.9,116596.35,58342.329,n.d.,n.d.,136876.29,54414.810000000005,17235.260000000002,71650.069,327180.48000000004,464056.77,239416.41,177764.64,n.d.,11997.44,11997.44,748426.92,1344.32,748948.99,8.46,25.56,240695.47,33891.350000000006,206495.01,434612.83,12.0,n.d.,309.10900000000004,9215.130000000001,122820.06,n.d.,n.d.,365559.66,108991.3,365559.66,n.d.,5263.38,3919.06,17235.260000000002,n.d.,3927.52,-11971.88,8.46,3155.06,713967.37,713967.37,249448.73
